date,open,high,low,close,volume,amount,price_type
2020-01-02,12.696,12.956,12.636,12.856,159345.0,,adjusted
2020-01-03,12.866,13.13,12.693,12.813,129936.0,,adjusted
2020-01-06,12.596,13.196,12.53,12.893,169871.0,,adjusted
2020-01-07,12.903,12.966,12.723,12.816,93400.0,,adjusted
2020-01-08,12.65,12.916,12.516,12.56,110974.0,,adjusted
2020-01-09,12.716,12.866,12.593,12.683,89217.0,,adjusted
2020-01-10,12.686,12.686,12.336,12.44,109294.0,,adjusted
2020-01-13,14.003,14.003,13.636,14.003,518827.0,,adjusted
2020-01-14,15.133,15.463,14.466,14.613,614975.0,,adjusted
2020-01-15,14.803,15.05,14.226,14.57,298705.0,,adjusted
2020-01-16,14.63,14.98,14.06,14.83,335737.0,,adjusted
2020-01-17,14.753,16.633,14.533,16.116,530600.0,,adjusted
2020-01-20,15.9,16.766,15.633,16.386,300775.0,,adjusted
2020-01-21,16.04,16.043,15.65,15.706,203836.0,,adjusted
2020-01-22,15.633,16.966,15.5,16.556,327979.0,,adjusted
2020-01-23,16.13,17.426,15.97,16.743,291584.0,,adjusted
2020-02-03,14.75,14.96,14.75,14.75,100398.0,,adjusted
2020-02-04,14.8,15.966,14.8,15.586,367775.0,,adjusted
2020-02-05,16.033,17.466,15.796,17.07,446230.0,,adjusted
2020-02-06,16.283,17.083,16.266,17.05,301131.0,,adjusted
2020-02-07,17.046,17.046,15.686,16.1,321281.0,,adjusted
2020-02-10,16.533,17.92,16.416,17.11,352796.0,,adjusted
2020-02-11,16.8,16.84,16.226,16.48,196175.0,,adjusted
2020-02-12,16.48,17.0,16.25,16.53,197455.0,,adjusted
2020-02-13,16.3,16.843,15.966,15.983,236947.0,,adjusted
2020-02-14,15.986,16.1,15.613,15.766,211173.0,,adjusted
2020-02-17,15.77,16.32,15.77,16.293,209889.0,,adjusted
2020-02-18,16.066,16.8,16.056,16.623,228365.0,,adjusted
2020-02-19,18.29,18.293,17.353,17.436,437476.0,,adjusted
2020-02-20,17.856,19.5,17.836,19.5,649390.0,,adjusted
2020-02-21,19.133,19.556,18.693,19.3,455189.0,,adjusted
2020-02-24,18.606,19.18,18.453,18.866,357968.0,,adjusted
2020-02-25,18.266,20.863,18.19,20.416,407434.0,,adjusted
2020-02-26,20.06,22.066,19.8,20.7,522768.0,,adjusted
2020-02-27,20.693,21.183,19.493,20.15,272699.0,,adjusted
2020-02-28,19.02,19.796,18.45,18.59,338253.0,,adjusted
2020-03-02,18.666,19.21,18.133,19.083,225643.0,,adjusted
2020-03-03,20.066,20.2,19.286,19.423,274252.0,,adjusted
2020-03-04,19.116,19.4,18.373,18.993,180932.0,,adjusted
2020-03-05,19.14,19.34,18.633,19.07,170003.0,,adjusted
2020-03-06,18.633,19.316,18.576,18.586,147209.0,,adjusted
2020-03-09,17.896,17.896,16.526,16.616,292478.0,,adjusted
2020-03-10,16.0,17.3,15.91,16.856,266805.0,,adjusted
2020-03-11,17.056,17.183,16.333,16.383,222212.0,,adjusted
2020-03-12,15.903,16.02,15.433,15.81,232383.0,,adjusted
2020-03-13,14.733,15.633,14.25,15.353,213198.0,,adjusted
2020-03-16,15.663,15.91,14.76,14.76,238773.0,,adjusted
2020-03-17,14.76,15.12,14.093,14.48,180919.0,,adjusted
2020-03-18,14.663,15.023,14.14,14.163,172684.0,,adjusted
2020-03-19,14.17,14.306,13.426,13.92,194450.0,,adjusted
2020-03-20,14.233,14.396,13.933,14.306,148296.0,,adjusted
2020-03-23,13.55,13.733,12.763,12.85,242740.0,,adjusted
2020-03-24,13.22,13.426,12.596,13.376,205027.0,,adjusted
2020-03-25,13.983,14.4,13.813,14.216,289787.0,,adjusted
2020-03-26,14.3,15.193,14.003,14.89,296621.0,,adjusted
2020-03-27,15.266,15.483,14.946,15.06,229972.0,,adjusted
2020-03-30,15.133,16.06,15.09,15.543,328937.0,,adjusted
2020-03-31,15.72,16.796,15.283,16.79,350174.0,,adjusted
2020-04-01,16.766,17.02,15.806,15.84,365565.0,,adjusted
2020-04-02,15.7,15.7,15.066,15.663,233842.0,,adjusted
2020-04-03,15.663,15.663,15.103,15.133,169190.0,,adjusted
2020-04-07,15.613,15.773,15.333,15.57,189116.0,,adjusted
2020-04-08,15.4,15.4,15.146,15.24,129543.0,,adjusted
2020-04-09,15.403,15.646,15.316,15.35,133338.0,,adjusted
2020-04-10,15.56,15.56,14.85,14.99,131855.0,,adjusted
2020-04-13,15.043,15.446,15.043,15.4,102560.0,,adjusted
2020-04-14,15.4,16.133,15.26,16.106,233863.0,,adjusted
2020-04-15,16.586,17.596,16.26,16.846,306227.0,,adjusted
2020-04-16,16.833,17.233,16.483,16.803,165259.0,,adjusted
2020-04-17,17.0,17.126,16.36,16.4,156490.0,,adjusted
2020-04-20,16.6,16.6,16.186,16.42,107474.0,,adjusted
2020-04-21,16.3,16.693,16.066,16.59,147148.0,,adjusted
2020-04-22,16.266,16.8,16.093,16.61,121458.0,,adjusted
2020-04-23,16.796,16.983,16.146,16.216,116028.0,,adjusted
2020-04-24,16.356,16.963,16.3,16.376,135949.0,,adjusted
2020-04-27,16.473,16.496,15.76,15.793,138265.0,,adjusted
2020-04-28,15.8,15.996,15.053,15.793,128658.0,,adjusted
2020-04-29,16.2,16.616,15.986,16.133,165126.0,,adjusted
2020-04-30,16.406,16.993,16.303,16.786,218876.0,,adjusted
2020-05-06,16.6,17.633,16.5,17.526,231906.0,,adjusted
2020-05-07,17.523,17.523,16.793,16.83,225118.0,,adjusted
2020-05-08,16.836,16.966,16.566,16.726,171472.0,,adjusted
2020-05-11,16.563,16.686,16.17,16.426,190716.0,,adjusted
2020-05-12,16.43,16.513,16.2,16.51,104020.0,,adjusted
2020-05-13,16.51,16.716,16.3,16.463,111115.0,,adjusted
2020-05-14,16.433,16.433,15.983,16.03,118363.0,,adjusted
2020-05-15,16.063,16.326,15.9,16.12,102771.0,,adjusted
2020-05-18,15.933,16.266,15.6,15.86,104743.0,,adjusted
2020-05-19,16.133,16.333,16.05,16.206,94042.0,,adjusted
2020-05-20,16.366,16.9,16.356,16.47,164708.0,,adjusted
2020-05-21,16.503,16.59,15.803,15.85,120968.0,,adjusted
2020-05-22,15.853,16.023,15.303,15.476,92350.0,,adjusted
2020-05-25,15.476,15.65,15.236,15.64,59697.0,,adjusted
2020-05-26,15.733,16.26,15.733,16.233,98544.0,,adjusted
2020-05-27,16.666,16.783,15.823,15.9,113617.0,,adjusted
2020-05-28,15.916,16.21,15.6,15.96,86300.0,,adjusted
2020-05-29,15.84,16.14,15.736,15.936,68036.0,,adjusted
2020-06-01,16.05,16.696,15.946,16.576,161068.0,,adjusted
2020-06-02,16.656,17.526,16.426,17.133,204796.0,,adjusted
2020-06-03,17.063,17.15,16.626,16.776,146357.0,,adjusted
2020-06-04,16.96,17.2,16.703,16.836,105743.0,,adjusted
2020-06-05,17.133,17.893,16.91,17.866,265451.0,,adjusted
2020-06-08,17.8,18.076,17.616,17.73,172441.0,,adjusted
2020-06-09,17.8,18.27,17.363,17.46,204431.0,,adjusted
2020-06-10,17.553,17.606,17.026,17.15,186194.0,,adjusted
2020-06-11,17.423,18.2,17.303,17.746,280233.0,,adjusted
2020-06-12,17.266,17.443,17.01,17.293,175497.0,,adjusted
2020-06-15,17.633,18.093,17.216,17.633,195740.0,,adjusted
2020-06-16,18.066,18.286,17.843,18.166,214116.0,,adjusted
2020-06-17,18.133,18.17,17.586,18.17,144378.0,,adjusted
2020-06-18,18.066,19.053,17.78,19.046,279033.0,,adjusted
2020-06-19,19.03,19.693,18.9,19.13,220619.0,,adjusted
2020-06-22,19.0,19.726,18.896,19.466,196255.0,,adjusted
