date,open,high,low,close,volume,amount,price_type
2023-05-04,98.966,101.526,97.366,97.696,22822.0,,adjusted
2023-05-05,98.136,99.056,95.576,96.006,21311.0,,adjusted
2023-05-08,97.006,97.286,92.826,95.546,35660.0,,adjusted
2023-05-09,95.116,96.016,93.366,93.486,23101.0,,adjusted
2023-05-10,93.716,102.786,93.226,102.236,62123.0,,adjusted
2023-05-11,102.216,106.896,100.986,103.736,43360.0,,adjusted
2023-05-12,103.726,105.016,101.216,102.696,25445.0,,adjusted
2023-05-15,102.696,106.216,102.376,104.136,26270.0,,adjusted
2023-05-16,104.716,104.716,102.066,103.126,16921.0,,adjusted
2023-05-17,102.566,103.506,100.016,100.846,23065.0,,adjusted
2023-05-18,100.846,103.026,100.276,101.726,18575.0,,adjusted
2023-05-19,101.716,106.006,100.816,104.886,27630.0,,adjusted
2023-05-22,105.706,107.596,103.816,106.816,29225.0,,adjusted
2023-05-23,106.946,108.716,105.126,105.136,19329.0,,adjusted
2023-05-24,105.086,106.316,103.316,103.556,16000.0,,adjusted
2023-05-25,102.916,104.096,101.726,103.446,15193.0,,adjusted
2023-05-26,103.446,105.316,100.716,104.186,19422.0,,adjusted
2023-05-29,104.186,107.706,100.716,102.806,24818.0,,adjusted
2023-05-30,100.816,108.156,100.816,105.696,36424.0,,adjusted
2023-05-31,104.896,111.376,104.716,110.186,54901.0,,adjusted
2023-06-01,109.356,114.706,109.016,110.266,33051.0,,adjusted
2023-06-02,110.516,116.376,109.716,114.736,46754.0,,adjusted
2023-06-05,116.026,118.516,111.676,114.056,34206.0,,adjusted
2023-06-06,113.276,113.556,110.216,111.126,24229.0,,adjusted
2023-06-07,111.226,111.996,109.216,110.206,13820.0,,adjusted
2023-06-08,110.116,111.666,108.866,109.706,21028.0,,adjusted
2023-06-09,110.486,112.486,108.216,110.916,29409.0,,adjusted
2023-06-12,116.216,122.336,113.906,122.336,57221.0,,adjusted
2023-06-13,128.726,134.706,126.346,132.246,124786.0,,adjusted
2023-06-14,132.246,135.046,128.976,133.036,126205.0,,adjusted
2023-06-15,131.716,143.716,129.726,139.816,139296.0,,adjusted
2023-06-16,139.816,143.266,137.516,140.826,68072.0,,adjusted
2023-06-19,145.726,153.376,145.316,148.806,119465.0,,adjusted
2023-06-20,148.806,157.716,147.286,156.406,96223.0,,adjusted
2023-06-21,154.716,163.376,151.726,155.596,95431.0,,adjusted
2023-06-26,153.706,158.616,145.516,146.456,123153.0,,adjusted
2023-06-27,145.276,148.706,144.796,146.706,72699.0,,adjusted
2023-06-28,143.726,145.656,137.956,143.616,95906.0,,adjusted
2023-06-29,146.016,150.396,143.426,149.216,89343.0,,adjusted
2023-06-30,147.856,155.456,147.496,152.526,50090.0,,adjusted
2023-07-03,154.716,165.846,150.476,153.536,86187.0,,adjusted
2023-07-04,154.526,169.216,153.246,169.216,107948.0,,adjusted
2023-07-05,171.466,172.816,154.646,156.676,144819.0,,adjusted
2023-07-06,151.046,164.266,146.486,162.166,164296.0,,adjusted
2023-07-07,163.366,164.616,155.716,156.576,94511.0,,adjusted
2023-07-10,159.716,163.716,154.266,160.536,75141.0,,adjusted
2023-07-11,158.716,176.216,157.746,169.126,99813.0,,adjusted
2023-07-12,168.716,168.816,157.716,159.416,88311.0,,adjusted
2023-07-13,159.716,165.106,157.716,162.086,61516.0,,adjusted
2023-07-14,160.666,164.216,155.716,156.716,101640.0,,adjusted
2023-07-17,156.236,156.426,149.516,149.716,109244.0,,adjusted
2023-07-18,149.316,157.126,149.226,154.356,99962.0,,adjusted
2023-07-19,154.396,158.256,152.716,154.606,56813.0,,adjusted
2023-07-20,154.596,156.086,146.816,147.816,67705.0,,adjusted
2023-07-21,147.826,150.406,144.186,146.956,39872.0,,adjusted
2023-07-24,147.806,149.386,144.796,148.216,37555.0,,adjusted
2023-07-25,152.716,155.076,142.556,148.876,72963.0,,adjusted
2023-07-26,147.736,147.736,144.926,146.716,35001.0,,adjusted
2023-07-27,158.716,161.366,152.916,153.316,117175.0,,adjusted
2023-07-28,154.356,157.516,148.216,154.526,67875.0,,adjusted
2023-07-31,155.566,161.216,151.696,152.266,56836.0,,adjusted
2023-08-01,152.216,154.376,149.616,152.416,32933.0,,adjusted
2023-08-02,150.516,155.606,150.016,152.376,30432.0,,adjusted
2023-08-03,151.716,154.126,149.436,150.466,29324.0,,adjusted
2023-08-04,151.716,159.616,150.596,156.776,56198.0,,adjusted
2023-08-07,156.716,164.986,154.776,159.656,52874.0,,adjusted
2023-08-08,159.396,161.586,153.206,154.126,40454.0,,adjusted
2023-08-09,153.346,153.346,149.016,150.246,33719.0,,adjusted
2023-08-10,150.206,150.696,146.996,149.306,27625.0,,adjusted
2023-08-11,150.216,152.586,147.216,147.616,27584.0,,adjusted
2023-08-14,145.716,146.426,141.426,145.366,38845.0,,adjusted
2023-08-15,145.466,149.086,144.216,145.916,29643.0,,adjusted
2023-08-16,145.706,147.016,143.216,144.376,25816.0,,adjusted
2023-08-17,137.716,139.176,130.046,138.676,110413.0,,adjusted
2023-08-18,138.356,141.046,135.716,136.286,42299.0,,adjusted
2023-08-21,135.746,140.216,134.716,136.316,36290.0,,adjusted
2023-08-22,137.936,143.416,136.426,142.176,53384.0,,adjusted
