date,open,high,low,close,volume,amount,price_type
2021-01-04,34.07,37.25,33.96,36.06,416722.0,,adjusted
2021-01-05,36.06,36.71,34.96,36.24,383431.0,,adjusted
2021-01-06,36.14,37.03,34.5,35.57,323661.0,,adjusted
2021-01-07,35.35,39.33,34.94,39.33,456451.0,,adjusted
2021-01-08,40.16,40.99,37.95,40.45,391515.0,,adjusted
2021-01-11,40.75,44.61,40.75,44.07,443969.0,,adjusted
2021-01-12,42.95,47.79,41.55,46.72,495241.0,,adjusted
2021-01-13,46.72,49.67,45.45,47.76,557544.0,,adjusted
2021-01-14,46.46,47.45,42.78,42.78,504433.0,,adjusted
2021-01-15,40.02,45.95,38.3,41.46,868762.0,,adjusted
2021-01-18,39.95,40.14,38.16,39.15,551149.0,,adjusted
2021-01-19,39.36,39.78,37.35,37.91,487719.0,,adjusted
2021-01-20,38.19,39.58,37.57,38.45,447201.0,,adjusted
2021-01-21,38.23,40.01,36.18,38.8,670139.0,,adjusted
2021-01-22,38.12,39.07,36.33,37.32,597434.0,,adjusted
2021-01-25,37.45,41.26,37.41,41.26,804003.0,,adjusted
2021-01-26,41.95,44.15,39.97,42.19,660376.0,,adjusted
2021-01-27,41.45,41.95,38.39,40.16,476471.0,,adjusted
2021-01-28,38.55,41.16,37.75,38.93,363518.0,,adjusted
2021-01-29,39.45,40.73,38.52,39.87,311651.0,,adjusted
2021-02-01,38.95,40.05,37.66,37.83,376291.0,,adjusted
2021-02-02,38.36,41.82,37.97,41.82,552379.0,,adjusted
2021-02-03,42.13,42.45,38.75,39.3,606785.0,,adjusted
2021-02-04,38.81,38.9,37.45,37.99,337266.0,,adjusted
2021-02-05,37.85,38.55,35.99,36.08,376658.0,,adjusted
2021-02-08,37.15,38.82,36.85,38.2,369913.0,,adjusted
2021-02-09,38.82,39.6,37.34,38.85,359766.0,,adjusted
2021-02-10,39.87,41.18,38.22,40.41,431498.0,,adjusted
2021-02-18,41.04,41.43,38.99,39.55,359079.0,,adjusted
2021-02-19,38.45,38.96,37.07,38.7,299699.0,,adjusted
2021-02-22,38.95,38.95,36.26,36.38,477520.0,,adjusted
2021-02-23,35.25,35.25,33.06,33.43,613973.0,,adjusted
2021-02-24,33.27,34.03,30.87,31.34,609594.0,,adjusted
2021-02-25,32.21,32.35,29.89,30.3,508939.0,,adjusted
2021-02-26,28.7,29.73,27.86,29.32,446721.0,,adjusted
2021-03-01,29.55,29.92,28.21,29.78,389422.0,,adjusted
2021-03-02,29.96,30.29,28.64,29.31,345200.0,,adjusted
2021-03-03,28.95,29.85,28.6,29.82,258538.0,,adjusted
2021-03-04,29.25,29.26,28.13,28.36,269938.0,,adjusted
2021-03-05,27.53,29.82,27.15,29.45,378212.0,,adjusted
2021-03-08,29.45,29.75,26.65,26.72,464776.0,,adjusted
2021-03-09,27.0,28.22,25.34,27.68,522148.0,,adjusted
2021-03-10,28.77,29.5,28.36,28.96,421901.0,,adjusted
2021-03-11,28.75,29.91,28.33,29.11,363638.0,,adjusted
2021-03-12,29.43,29.65,28.23,28.83,260159.0,,adjusted
2021-03-15,28.23,28.55,27.41,27.78,232708.0,,adjusted
2021-03-16,27.78,28.77,27.78,28.04,210305.0,,adjusted
2021-03-17,27.9,28.39,27.23,28.13,190471.0,,adjusted
2021-03-18,28.53,29.18,28.24,28.41,188585.0,,adjusted
2021-03-19,27.63,28.13,27.03,27.03,224145.0,,adjusted
2021-03-22,27.25,27.86,26.93,27.62,180582.0,,adjusted
2021-03-23,27.6,27.73,26.37,26.59,199515.0,,adjusted
2021-03-24,26.61,26.87,25.41,25.99,218690.0,,adjusted
2021-03-25,25.62,27.03,25.49,26.37,177580.0,,adjusted
2021-03-26,26.48,29.18,26.48,29.18,439391.0,,adjusted
2021-03-29,27.93,28.33,27.19,27.37,481809.0,,adjusted
2021-03-30,26.89,28.09,26.84,27.92,298009.0,,adjusted
2021-03-31,29.49,30.58,28.17,28.36,480227.0,,adjusted
2021-04-01,28.7,31.06,28.69,30.66,559943.0,,adjusted
2021-04-02,30.78,33.53,29.63,32.61,596948.0,,adjusted
2021-04-06,32.82,33.85,31.88,32.65,417893.0,,adjusted
2021-04-07,32.66,32.66,30.9,31.23,373358.0,,adjusted
2021-04-08,30.4,31.23,30.03,30.69,269165.0,,adjusted
2021-04-09,31.07,31.2,29.34,29.85,284262.0,,adjusted
2021-04-12,29.85,30.06,28.47,28.62,245699.0,,adjusted
2021-04-13,28.93,29.43,28.39,28.81,215573.0,,adjusted
2021-04-14,28.91,30.11,28.91,29.99,291881.0,,adjusted
2021-04-15,29.25,29.73,28.48,29.25,257348.0,,adjusted
2021-04-16,29.25,31.51,28.91,31.01,479454.0,,adjusted
2021-04-19,31.93,34.28,31.13,34.25,742587.0,,adjusted
2021-04-20,34.26,36.21,32.83,33.42,742557.0,,adjusted
2021-04-21,32.73,34.21,32.45,33.77,458622.0,,adjusted
2021-04-22,32.84,33.21,31.35,32.23,541020.0,,adjusted
2021-04-23,31.82,33.03,31.73,31.95,298820.0,,adjusted
2021-04-26,31.23,32.41,31.23,31.47,328096.0,,adjusted
2021-04-27,31.13,31.73,30.48,31.5,244311.0,,adjusted
2021-04-28,31.43,32.63,30.83,32.39,331625.0,,adjusted
2021-04-29,32.14,32.97,31.61,32.4,309630.0,,adjusted
2021-04-30,32.12,32.48,31.23,31.66,245929.0,,adjusted
2021-05-06,31.66,32.0,30.56,31.26,230075.0,,adjusted
2021-05-07,31.26,31.26,28.68,29.47,359944.0,,adjusted
2021-05-10,28.93,30.51,28.28,29.93,285159.0,,adjusted
2021-05-11,29.03,29.59,28.48,29.07,284151.0,,adjusted
2021-05-12,28.86,30.71,28.63,30.06,307364.0,,adjusted
2021-05-13,29.53,29.58,28.83,28.95,213595.0,,adjusted
2021-05-14,28.73,29.46,28.64,28.97,217979.0,,adjusted
2021-05-17,29.08,31.56,29.0,31.34,480683.0,,adjusted
2021-05-18,31.29,31.29,30.33,30.72,254283.0,,adjusted
2021-05-19,30.51,33.47,30.35,32.69,543665.0,,adjusted
2021-05-20,32.83,34.06,32.11,32.6,479915.0,,adjusted
2021-05-21,32.61,33.23,31.43,32.37,412625.0,,adjusted
2021-05-24,31.79,32.5,31.09,32.18,261462.0,,adjusted
2021-05-25,32.13,33.98,31.7,33.53,407151.0,,adjusted
2021-05-26,34.36,37.06,34.36,35.26,644085.0,,adjusted
2021-05-27,35.77,35.83,34.31,34.58,336167.0,,adjusted
2021-05-28,34.23,36.23,33.79,34.98,354121.0,,adjusted
2021-05-31,34.95,35.33,33.42,35.22,279558.0,,adjusted
2021-06-01,35.13,36.48,34.41,35.89,312948.0,,adjusted
2021-06-02,36.04,37.78,36.04,36.43,399416.0,,adjusted
2021-06-03,37.23,37.83,35.8,35.84,296456.0,,adjusted
2021-06-04,35.72,37.14,35.04,36.83,302548.0,,adjusted
2021-06-07,36.83,37.43,36.13,36.42,212546.0,,adjusted
2021-06-08,36.61,38.26,36.61,37.96,348690.0,,adjusted
2021-06-09,36.93,38.67,36.44,38.33,293328.0,,adjusted
2021-06-10,38.0,41.39,37.74,40.69,399978.0,,adjusted
2021-06-11,40.24,43.73,39.83,42.53,455953.0,,adjusted
2021-06-15,42.83,44.53,41.56,42.28,394497.0,,adjusted
2021-06-16,41.68,41.73,37.88,37.88,389563.0,,adjusted
2021-06-17,36.71,39.48,36.41,38.43,353903.0,,adjusted
2021-06-18,38.95,42.43,38.48,41.21,431727.0,,adjusted
2021-06-21,40.73,43.53,39.62,42.46,345910.0,,adjusted
2021-06-22,42.49,44.0,41.34,42.26,278260.0,,adjusted
2021-06-23,42.35,45.23,42.35,43.52,432354.0,,adjusted
2021-06-24,43.54,44.73,42.56,43.08,323213.0,,adjusted
2021-06-25,43.85,44.09,41.73,42.11,386252.0,,adjusted
2021-06-28,42.21,43.51,41.46,42.55,309407.0,,adjusted
2021-06-29,43.23,43.86,41.23,42.05,298201.0,,adjusted
2021-06-30,42.03,42.03,40.39,41.82,240999.0,,adjusted
2021-07-01,41.81,42.17,40.47,40.6,175632.0,,adjusted
2021-07-02,40.46,40.96,39.34,40.11,216264.0,,adjusted
2021-07-05,39.83,43.4,39.46,43.03,418509.0,,adjusted
2021-07-06,43.38,45.23,43.03,44.29,435086.0,,adjusted
2021-07-07,43.34,45.41,42.36,44.58,314512.0,,adjusted
2021-07-08,45.21,45.37,43.57,43.62,256106.0,,adjusted
2021-07-09,43.99,48.03,43.55,47.36,542154.0,,adjusted
2021-07-12,47.23,49.73,45.91,47.13,463571.0,,adjusted
2021-07-13,46.73,47.88,45.66,46.23,282708.0,,adjusted
2021-07-14,45.91,45.91,43.23,43.28,371285.0,,adjusted
2021-07-15,43.0,43.65,40.73,41.99,389315.0,,adjusted
2021-07-16,41.73,44.13,41.23,42.91,309730.0,,adjusted
2021-07-19,41.23,43.99,39.53,43.53,282375.0,,adjusted
2021-07-20,42.73,44.53,42.43,43.75,163331.0,,adjusted
2021-07-21,46.23,48.3,46.23,48.3,335373.0,,adjusted
2021-07-22,50.01,50.01,47.43,49.26,496046.0,,adjusted
2021-07-23,48.23,53.23,48.03,53.18,473944.0,,adjusted
2021-07-26,52.49,54.23,51.03,52.66,420558.0,,adjusted
2021-07-27,52.53,54.53,49.48,50.39,361146.0,,adjusted
2021-07-28,48.43,51.23,48.06,49.24,307097.0,,adjusted
2021-07-29,51.34,54.34,49.29,54.34,434974.0,,adjusted
2021-07-30,54.23,59.72,53.41,58.94,501647.0,,adjusted
2021-08-02,59.92,63.32,57.99,61.94,523604.0,,adjusted
2021-08-03,60.23,61.93,56.64,57.35,409367.0,,adjusted
2021-08-04,57.21,61.33,56.23,59.53,372854.0,,adjusted
2021-08-05,58.73,62.43,56.35,61.62,384989.0,,adjusted
2021-08-06,62.28,63.45,60.21,60.75,247718.0,,adjusted
2021-08-09,58.91,59.06,56.73,58.25,272952.0,,adjusted
2021-08-10,58.31,59.62,53.89,56.43,470116.0,,adjusted
2021-08-11,56.43,56.61,54.05,55.63,289963.0,,adjusted
2021-08-12,55.19,60.39,54.43,58.87,452489.0,,adjusted
2021-08-13,57.58,58.73,56.38,56.68,243143.0,,adjusted
2021-08-16,55.91,57.78,55.03,55.94,247556.0,,adjusted
2021-08-17,55.34,56.68,52.73,53.82,311468.0,,adjusted
2021-08-18,53.43,54.08,51.96,52.61,258906.0,,adjusted
2021-08-19,53.43,56.73,52.73,55.44,363558.0,,adjusted
2021-08-20,55.03,57.08,53.64,56.5,336316.0,,adjusted
2021-08-23,56.53,59.23,55.22,58.96,368204.0,,adjusted
2021-08-24,58.69,60.23,57.13,57.74,321102.0,,adjusted
2021-08-25,57.84,61.38,57.26,59.46,302122.0,,adjusted
2021-08-26,59.22,60.2,55.61,56.51,336163.0,,adjusted
2021-08-27,56.21,62.23,55.92,61.2,467967.0,,adjusted
2021-08-30,62.21,66.0,60.89,63.33,405583.0,,adjusted
