date,open,high,low,close,volume,amount,price_type
2022-03-01,12.35,12.73,12.34,12.49,395262.0,,adjusted
2022-03-02,12.34,12.51,12.31,12.5,189128.0,,adjusted
2022-03-03,12.54,12.61,12.24,12.27,262180.0,,adjusted
2022-03-04,12.14,12.14,11.51,11.62,655092.0,,adjusted
2022-03-07,11.53,11.54,11.14,11.33,398827.0,,adjusted
2022-03-08,11.47,11.49,10.78,10.96,420921.0,,adjusted
2022-03-09,11.07,11.11,10.22,10.72,382542.0,,adjusted
2022-03-10,11.03,11.1,10.89,10.99,271239.0,,adjusted
2022-03-11,10.69,11.03,10.63,11.02,235394.0,,adjusted
2022-03-14,10.78,10.96,10.61,10.61,224976.0,,adjusted
2022-03-15,10.52,10.61,9.93,9.93,364174.0,,adjusted
2022-03-16,10.17,10.46,9.87,10.44,402375.0,,adjusted
2022-03-17,10.71,10.84,10.58,10.61,377979.0,,adjusted
2022-03-18,10.69,11.05,10.64,10.9,411783.0,,adjusted
2022-03-21,10.99,11.13,10.76,10.86,344338.0,,adjusted
2022-03-22,10.71,10.94,10.64,10.85,179793.0,,adjusted
2022-03-23,10.94,10.99,10.78,10.81,190922.0,,adjusted
2022-03-24,10.73,10.81,10.64,10.66,158998.0,,adjusted
2022-03-25,10.75,10.76,10.51,10.52,155636.0,,adjusted
2022-03-28,10.47,10.75,10.31,10.59,256345.0,,adjusted
2022-03-29,10.62,10.69,10.37,10.41,166734.0,,adjusted
2022-03-30,10.48,10.69,10.47,10.67,193949.0,,adjusted
2022-03-31,10.78,10.82,10.58,10.62,262733.0,,adjusted
2022-04-01,10.5,10.74,10.47,10.64,237403.0,,adjusted
2022-04-06,10.69,10.89,10.66,10.77,325438.0,,adjusted
2022-04-07,10.71,10.76,10.41,10.41,229047.0,,adjusted
2022-04-08,10.55,11.37,10.51,11.22,887229.0,,adjusted
2022-04-11,11.08,11.22,10.56,10.67,543464.0,,adjusted
2022-04-12,10.5,10.99,10.46,10.9,412743.0,,adjusted
2022-04-13,10.8,11.17,10.7,10.94,296333.0,,adjusted
2022-04-14,11.16,11.64,11.16,11.28,363063.0,,adjusted
2022-04-15,11.1,11.35,10.99,11.3,332323.0,,adjusted
2022-04-18,11.21,11.58,11.17,11.58,328015.0,,adjusted
2022-04-19,11.42,11.69,11.33,11.39,314046.0,,adjusted
2022-04-20,11.46,11.72,11.29,11.36,374059.0,,adjusted
2022-04-21,11.13,11.32,10.83,10.87,320975.0,,adjusted
2022-04-22,10.76,11.11,10.61,11.0,198913.0,,adjusted
2022-04-25,10.82,10.85,10.39,10.47,316249.0,,adjusted
2022-04-26,10.51,10.69,10.15,10.23,289286.0,,adjusted
2022-04-27,9.94,10.41,9.55,10.34,476877.0,,adjusted
2022-04-28,10.69,11.12,10.47,11.0,571768.0,,adjusted
2022-04-29,11.29,11.66,11.04,11.63,579551.0,,adjusted
2022-05-05,11.39,11.71,11.31,11.56,448321.0,,adjusted
2022-05-06,11.39,11.84,11.28,11.68,405858.0,,adjusted
2022-05-09,11.59,11.64,11.4,11.53,287427.0,,adjusted
2022-05-10,11.34,11.52,11.14,11.42,305400.0,,adjusted
2022-05-11,11.49,12.34,11.41,11.79,568433.0,,adjusted
2022-05-12,11.67,11.95,11.6,11.82,308763.0,,adjusted
2022-05-13,11.93,13.01,11.93,12.96,867972.0,,adjusted
2022-05-16,12.96,12.99,12.37,12.52,523308.0,,adjusted
2022-05-17,12.53,13.38,12.44,12.94,683132.0,,adjusted
2022-05-18,12.97,13.33,12.6,12.69,562535.0,,adjusted
2022-05-19,12.39,13.0,12.31,12.86,422533.0,,adjusted
2022-05-20,12.79,13.04,12.7,12.77,370098.0,,adjusted
2022-05-23,12.71,13.5,12.71,13.37,713286.0,,adjusted
2022-05-24,13.69,14.72,13.69,13.73,1282792.0,,adjusted
2022-05-25,13.68,14.38,13.37,14.12,632974.0,,adjusted
2022-05-26,13.9,14.2,13.54,14.1,422725.0,,adjusted
2022-05-27,14.04,14.49,13.67,13.91,305000.0,,adjusted
2022-05-30,14.11,14.14,13.69,13.95,241466.0,,adjusted
2022-05-31,13.92,14.37,13.69,14.37,562303.0,,adjusted
2022-06-01,14.59,15.41,14.54,15.32,906976.0,,adjusted
2022-06-02,15.28,15.89,14.99,15.5,725788.0,,adjusted
2022-06-06,15.39,15.45,14.9,15.25,471408.0,,adjusted
2022-06-07,15.38,15.44,14.77,15.09,385648.0,,adjusted
2022-06-08,15.09,15.47,14.9,15.42,529691.0,,adjusted
2022-06-09,15.43,15.43,14.89,14.98,274218.0,,adjusted
2022-06-10,14.79,15.89,14.71,15.47,465851.0,,adjusted
2022-06-13,15.28,16.24,15.16,16.09,571521.0,,adjusted
2022-06-14,15.87,16.89,15.49,16.57,539527.0,,adjusted
2022-06-15,16.59,17.5,16.59,16.68,716895.0,,adjusted
2022-06-16,16.61,16.94,16.08,16.22,452839.0,,adjusted
2022-06-17,15.99,16.69,15.89,16.6,385492.0,,adjusted
2022-06-20,16.6,16.81,16.2,16.49,268964.0,,adjusted
2022-06-21,16.49,16.49,15.6,16.12,478665.0,,adjusted
2022-06-22,16.12,16.38,15.74,15.82,354907.0,,adjusted
2022-06-23,16.26,17.06,16.02,17.06,612446.0,,adjusted
2022-06-24,16.93,17.58,16.58,17.02,475840.0,,adjusted
2022-06-27,17.05,17.67,16.82,17.34,505842.0,,adjusted
2022-06-28,17.34,17.56,16.68,17.09,602961.0,,adjusted
2022-06-29,17.14,17.14,15.34,15.34,907394.0,,adjusted
2022-06-30,15.06,15.21,14.62,14.8,970803.0,,adjusted
2022-07-01,14.82,15.64,14.69,15.32,660370.0,,adjusted
2022-07-04,15.6,15.66,14.91,15.15,537486.0,,adjusted
2022-07-05,15.15,15.43,14.72,14.88,435666.0,,adjusted
2022-07-06,15.06,15.67,14.99,15.36,621257.0,,adjusted
2022-07-07,15.27,16.71,15.26,16.69,846653.0,,adjusted
2022-07-08,16.73,16.74,16.16,16.23,453539.0,,adjusted
2022-07-11,16.07,16.09,15.12,15.3,526472.0,,adjusted
2022-07-12,15.3,15.7,14.76,15.05,398751.0,,adjusted
2022-07-13,15.1,15.56,14.76,15.31,381088.0,,adjusted
2022-07-14,15.16,15.61,15.01,15.27,314745.0,,adjusted
2022-07-15,15.22,16.15,15.21,15.63,452482.0,,adjusted
2022-07-18,15.61,15.97,15.23,15.48,381251.0,,adjusted
2022-07-19,15.34,15.52,15.07,15.27,319300.0,,adjusted
2022-07-20,15.28,15.34,14.93,15.0,294188.0,,adjusted
2022-07-21,14.97,14.97,14.61,14.67,303639.0,,adjusted
2022-07-22,14.8,15.06,14.57,14.84,337283.0,,adjusted
2022-07-25,14.66,14.73,13.92,14.08,706777.0,,adjusted
2022-07-26,14.02,14.4,13.97,14.21,307183.0,,adjusted
2022-07-27,14.22,14.74,14.17,14.43,297877.0,,adjusted
2022-07-28,14.54,14.81,14.29,14.42,292386.0,,adjusted
2022-07-29,14.38,14.71,14.27,14.45,293645.0,,adjusted
2022-08-01,14.43,15.36,14.19,15.14,613704.0,,adjusted
2022-08-02,14.88,15.05,14.49,14.78,436212.0,,adjusted
2022-08-03,14.86,15.95,14.86,15.05,710119.0,,adjusted
2022-08-04,15.18,15.42,14.29,14.54,507292.0,,adjusted
2022-08-05,14.67,15.13,14.46,14.73,389335.0,,adjusted
2022-08-08,14.62,15.16,14.43,14.87,386459.0,,adjusted
2022-08-09,14.88,15.08,14.72,14.76,339299.0,,adjusted
2022-08-10,14.7,14.93,14.29,14.41,449178.0,,adjusted
2022-08-11,14.42,14.98,14.19,14.88,450811.0,,adjusted
2022-08-12,14.88,14.89,14.46,14.46,372077.0,,adjusted
2022-08-15,14.35,14.52,14.18,14.29,353895.0,,adjusted
