date,open,high,low,close,volume,amount,price_type
2019-05-06,26.98,27.4,25.15,25.61,19288.0,,adjusted
2019-05-07,26.53,26.82,26.11,26.37,17605.0,,adjusted
2019-05-08,25.84,26.79,25.67,26.34,12875.0,,adjusted
2019-05-09,26.42,26.7,25.98,26.07,13356.0,,adjusted
2019-05-10,26.29,27.67,25.87,27.35,22641.0,,adjusted
2019-05-13,26.69,27.17,26.56,26.67,15203.0,,adjusted
2019-05-14,26.02,28.33,26.02,27.04,20034.0,,adjusted
2019-05-15,27.02,29.75,27.02,29.75,28484.0,,adjusted
2019-05-16,29.76,31.77,28.97,30.86,46522.0,,adjusted
2019-05-17,29.97,30.43,28.15,28.35,28905.0,,adjusted
2019-05-20,28.92,28.93,26.77,28.25,15511.0,,adjusted
2019-05-21,27.92,30.12,27.92,29.22,19558.0,,adjusted
2019-05-22,29.22,29.42,28.07,28.46,15805.0,,adjusted
2019-05-23,28.49,28.49,27.05,27.52,16755.0,,adjusted
2019-05-24,27.46,29.77,26.92,28.22,19666.0,,adjusted
2019-05-27,28.12,28.95,27.17,28.85,17169.0,,adjusted
2019-05-28,28.97,29.37,28.38,28.43,15900.0,,adjusted
2019-05-29,28.32,28.77,27.97,28.09,13377.0,,adjusted
2019-05-30,27.86,27.96,27.15,27.47,11027.0,,adjusted
2019-05-31,27.47,27.9,27.3,27.64,8417.0,,adjusted
2019-06-03,27.72,27.95,26.65,26.95,9594.0,,adjusted
2019-06-04,27.16,28.22,26.87,27.82,19117.0,,adjusted
2019-06-05,28.02,28.67,27.8,28.24,19335.0,,adjusted
2019-06-06,28.36,31.07,27.98,29.35,46999.0,,adjusted
2019-06-10,29.25,32.29,28.55,32.29,69216.0,,adjusted
2019-06-11,32.33,33.02,30.66,32.41,90106.0,,adjusted
2019-06-12,31.56,33.25,31.31,31.97,59943.0,,adjusted
2019-06-13,31.25,34.58,31.25,32.75,63462.0,,adjusted
2019-06-14,32.16,32.85,30.3,30.63,46235.0,,adjusted
2019-06-17,31.43,32.85,30.52,31.02,33641.0,,adjusted
2019-06-18,31.45,31.48,29.52,30.13,29913.0,,adjusted
2019-06-19,30.79,31.83,30.2,30.66,32894.0,,adjusted
2019-06-20,30.08,33.73,29.53,32.9,93963.0,,adjusted
2019-06-21,31.55,33.24,31.53,32.47,70543.0,,adjusted
2019-06-24,31.67,32.17,30.87,31.42,36504.0,,adjusted
2019-06-25,31.43,32.89,31.14,31.97,38836.0,,adjusted
2019-06-26,30.97,31.88,30.77,31.48,23705.0,,adjusted
2019-06-27,31.5,32.66,31.19,32.64,42601.0,,adjusted
2019-06-28,32.64,32.64,31.2,31.76,28925.0,,adjusted
2019-07-01,32.32,33.71,32.1,33.3,50689.0,,adjusted
2019-07-02,34.2,36.63,33.48,34.52,85844.0,,adjusted
2019-07-03,33.81,34.51,32.93,33.07,42702.0,,adjusted
2019-07-04,33.17,33.77,30.76,31.14,53701.0,,adjusted
2019-07-05,31.14,31.14,30.05,30.87,25410.0,,adjusted
