date,open,high,low,close,volume,amount,price_type
2020-01-02,37.456,38.367,36.617,37.628,206115.0,,adjusted
2020-01-03,37.628,39.111,36.767,38.756,180841.0,,adjusted
2020-01-06,39.728,41.506,37.784,38.5,265002.0,,adjusted
2020-01-07,38.456,38.806,37.567,38.173,135075.0,,adjusted
2020-01-08,38.456,39.839,37.395,38.784,192240.0,,adjusted
2020-01-09,40.117,42.061,39.011,41.784,201643.0,,adjusted
2020-01-10,41.339,41.339,39.939,40.845,144280.0,,adjusted
2020-01-13,42.339,43.717,41.339,42.839,215974.0,,adjusted
2020-01-14,44.289,44.978,41.884,42.173,217684.0,,adjusted
2020-01-15,42.173,43.217,40.234,41.95,177587.0,,adjusted
2020-01-16,42.339,42.617,41.145,42.561,129341.0,,adjusted
2020-01-17,42.539,43.206,41.228,41.828,146624.0,,adjusted
2020-01-20,41.778,47.384,40.617,46.339,248922.0,,adjusted
2020-01-21,45.956,46.228,44.817,45.478,142671.0,,adjusted
2020-01-22,45.478,52.239,44.217,52.239,349915.0,,adjusted
2020-01-23,51.506,54.006,47.395,50.434,359862.0,,adjusted
2020-02-03,48.206,57.606,48.173,53.095,526346.0,,adjusted
2020-02-04,58.878,60.617,55.678,60.617,359135.0,,adjusted
2020-02-05,65.767,68.889,64.728,68.889,530823.0,,adjusted
2020-02-06,64.011,72.278,62.889,72.278,579189.0,,adjusted
2020-02-07,70.117,71.967,66.2,66.895,454994.0,,adjusted
2020-02-10,67.339,71.55,66.784,69.706,375409.0,,adjusted
2020-02-11,70.784,71.228,65.45,65.895,339945.0,,adjusted
2020-02-12,63.2,67.806,62.356,66.589,325862.0,,adjusted
2020-02-13,64.556,66.439,63.278,64.75,313609.0,,adjusted
2020-02-14,66.173,66.728,60.595,61.173,439618.0,,adjusted
2020-02-17,60.673,64.65,60.606,63.506,344471.0,,adjusted
2020-02-18,63.506,66.228,62.811,64.906,282305.0,,adjusted
2020-02-19,69.561,69.617,62.834,63.006,418167.0,,adjusted
2020-02-20,64.839,69.561,62.895,66.784,518440.0,,adjusted
2020-02-21,65.561,68.173,64.128,66.728,338051.0,,adjusted
2020-02-24,65.117,66.7,62.606,63.678,365230.0,,adjusted
2020-02-25,61.084,69.839,60.584,67.811,516026.0,,adjusted
2020-02-26,66.061,67.256,61.617,62.817,338279.0,,adjusted
2020-02-27,64.061,64.928,60.561,60.939,332002.0,,adjusted
2020-02-28,55.667,58.45,53.178,53.267,508447.0,,adjusted
2020-03-02,55.006,56.756,52.867,55.667,318150.0,,adjusted
2020-03-03,59.006,61.056,57.839,58.884,296910.0,,adjusted
2020-03-04,57.889,58.939,55.55,57.728,205946.0,,adjusted
2020-03-05,59.306,60.023,56.784,58.573,224633.0,,adjusted
2020-03-06,56.789,59.728,56.506,57.628,159808.0,,adjusted
2020-03-09,55.111,56.173,51.784,52.034,294252.0,,adjusted
2020-03-10,52.123,56.611,51.789,55.967,292744.0,,adjusted
2020-03-11,57.339,60.439,55.006,56.106,339232.0,,adjusted
2020-03-12,53.561,53.878,50.85,52.45,333858.0,,adjusted
2020-03-13,47.95,52.228,47.9,51.284,274553.0,,adjusted
2020-03-16,49.006,49.495,43.945,44.039,490485.0,,adjusted
2020-03-17,45.117,46.189,39.7,43.423,392203.0,,adjusted
2020-03-18,43.95,46.506,42.339,43.089,313384.0,,adjusted
2020-03-19,44.006,44.284,39.945,41.806,331563.0,,adjusted
2020-03-20,43.45,44.395,40.795,42.261,225142.0,,adjusted
2020-03-23,39.45,39.878,36.234,37.606,307618.0,,adjusted
2020-03-24,39.339,40.606,37.339,39.878,291170.0,,adjusted
2020-03-25,42.45,45.773,42.339,45.117,385928.0,,adjusted
2020-03-26,44.011,45.867,43.617,44.356,194371.0,,adjusted
2020-03-27,45.789,46.411,43.095,43.845,174991.0,,adjusted
2020-03-30,42.339,44.917,39.395,44.178,261655.0,,adjusted
2020-03-31,44.711,46.3,43.373,44.778,194852.0,,adjusted
2020-04-01,46.284,47.65,44.05,44.784,298951.0,,adjusted
2020-04-02,43.173,46.561,42.734,46.561,209588.0,,adjusted
2020-04-03,47.145,47.339,44.45,45.117,182204.0,,adjusted
2020-04-07,46.561,47.945,46.239,47.173,183729.0,,adjusted
2020-04-08,46.728,47.611,46.006,46.228,119470.0,,adjusted
2020-04-09,46.773,47.05,44.456,44.678,160528.0,,adjusted
2020-04-10,45.2,46.267,43.411,43.706,145696.0,,adjusted
2020-04-13,41.728,42.889,40.717,41.611,124581.0,,adjusted
2020-04-14,43.45,47.984,43.173,47.984,388939.0,,adjusted
2020-04-15,50.006,51.167,48.578,49.006,325645.0,,adjusted
2020-04-16,49.156,52.178,48.35,51.756,216381.0,,adjusted
2020-04-17,53.495,55.995,52.95,53.978,292522.0,,adjusted
