date,open,high,low,close,volume,amount,price_type
2021-01-04,14.129,15.779,13.569,14.779,873242.0,,adjusted
2021-01-05,15.489,16.189,14.089,14.139,763977.0,,adjusted
2021-01-06,13.419,14.389,13.149,13.269,512628.0,,adjusted
2021-01-07,13.159,14.069,12.649,13.539,430656.0,,adjusted
2021-01-08,14.099,14.179,13.089,13.229,331876.0,,adjusted
2021-01-11,13.139,13.709,12.769,12.869,292718.0,,adjusted
2021-01-12,12.869,12.869,11.689,12.369,299304.0,,adjusted
2021-01-13,12.289,12.859,11.759,11.989,285324.0,,adjusted
2021-01-14,11.589,11.819,10.919,10.979,288399.0,,adjusted
2021-01-15,10.739,11.199,10.519,10.989,216455.0,,adjusted
2021-01-18,10.909,11.159,10.599,10.849,200719.0,,adjusted
2021-01-19,11.079,11.519,10.729,11.069,247134.0,,adjusted
2021-01-20,11.039,11.909,10.939,11.349,253698.0,,adjusted
2021-01-21,11.139,11.729,10.549,11.519,298860.0,,adjusted
2021-01-22,11.309,12.909,11.199,12.909,519501.0,,adjusted
2021-01-25,12.589,13.889,12.089,12.959,607692.0,,adjusted
2021-01-26,14.489,14.499,13.169,14.499,674835.0,,adjusted
2021-01-27,15.979,16.189,15.599,16.189,248271.0,,adjusted
2021-01-28,16.189,18.049,15.649,18.049,901194.0,,adjusted
2021-01-29,17.289,17.769,15.999,15.999,347012.0,,adjusted
2021-02-01,14.159,15.059,14.159,14.159,483166.0,,adjusted
2021-02-02,13.859,13.969,12.819,12.889,628373.0,,adjusted
2021-02-03,12.839,13.339,12.249,12.609,515332.0,,adjusted
2021-02-04,12.289,12.449,11.439,11.709,434999.0,,adjusted
2021-02-05,11.809,11.909,10.889,10.909,299279.0,,adjusted
2021-02-08,10.979,11.249,10.779,10.939,298201.0,,adjusted
2021-02-09,10.949,11.139,10.599,11.109,259713.0,,adjusted
2021-02-10,11.519,11.789,10.689,10.799,335386.0,,adjusted
2021-02-18,10.639,12.109,10.639,11.809,445532.0,,adjusted
2021-02-19,12.239,13.229,12.039,13.229,322520.0,,adjusted
2021-02-22,13.389,13.909,12.399,12.679,578661.0,,adjusted
2021-02-23,12.689,14.189,12.299,14.189,390069.0,,adjusted
2021-02-24,14.289,15.849,14.289,15.849,781173.0,,adjusted
2021-02-25,14.939,16.509,14.749,15.169,653047.0,,adjusted
2021-02-26,14.809,16.929,14.809,16.789,787175.0,,adjusted
2021-03-01,16.239,17.669,15.499,17.059,760461.0,,adjusted
2021-03-02,16.699,17.169,15.709,16.079,401074.0,,adjusted
2021-03-03,15.789,17.929,15.739,17.929,382073.0,,adjusted
2021-03-04,18.769,19.959,18.489,19.959,506695.0,,adjusted
2021-03-05,19.439,21.389,18.789,20.839,592086.0,,adjusted
2021-03-08,20.409,21.089,19.049,19.159,447365.0,,adjusted
2021-03-09,19.609,19.979,16.999,16.999,430930.0,,adjusted
2021-03-10,16.689,16.869,15.339,15.439,430578.0,,adjusted
2021-03-11,15.609,17.229,14.769,16.789,609427.0,,adjusted
2021-03-12,17.439,18.709,17.389,18.109,690778.0,,adjusted
2021-03-15,16.919,17.749,16.089,17.439,425645.0,,adjusted
2021-03-16,17.589,19.429,17.169,19.429,495280.0,,adjusted
2021-03-17,19.549,21.249,19.089,20.189,513891.0,,adjusted
2021-03-18,20.289,21.089,19.129,19.559,448757.0,,adjusted
2021-03-19,18.949,20.249,18.669,19.939,375228.0,,adjusted
2021-03-22,19.889,22.179,19.689,22.179,369228.0,,adjusted
2021-03-23,23.389,23.669,21.159,22.089,503472.0,,adjusted
2021-03-24,21.669,23.059,21.169,22.769,430655.0,,adjusted
2021-03-25,22.019,23.709,20.249,20.409,439110.0,,adjusted
2021-03-26,20.769,22.689,20.769,22.189,566780.0,,adjusted
2021-03-29,21.659,21.889,19.959,20.389,518039.0,,adjusted
2021-03-30,20.519,20.769,18.559,20.529,437734.0,,adjusted
2021-03-31,20.529,21.849,20.529,20.839,404904.0,,adjusted
2021-04-01,20.089,21.889,20.089,21.229,423629.0,,adjusted
2021-04-02,21.139,21.719,19.999,20.039,356130.0,,adjusted
2021-04-06,20.249,22.189,19.889,21.469,429175.0,,adjusted
