trade_date,open,high,low,close,volume,amount,price_type
2024-05-06,21.37,22.16,20.76,20.86,123166.0,,raw
2024-05-07,20.95,21.74,20.79,21.28,89548.0,,raw
2024-05-08,21.37,21.93,20.45,21.04,96143.0,,raw
2024-05-09,20.76,21.18,20.65,21.13,66297.0,,raw
2024-05-10,21.0,21.35,19.71,19.73,125247.0,,raw
2024-05-13,17.76,17.76,17.76,17.76,16696.0,,raw
2024-05-14,15.98,15.98,15.98,15.98,26524.0,,raw
2024-05-15,15.03,16.19,14.98,15.34,267300.0,,raw
2024-05-16,15.23,15.73,14.95,15.35,170265.0,,raw
2024-05-17,15.59,16.64,15.26,16.25,174904.0,,raw
2024-05-20,16.55,17.35,16.33,16.73,185385.0,,raw
2024-05-21,16.69,16.76,16.09,16.23,95128.0,,raw
2024-05-22,16.19,16.55,15.92,16.06,88018.0,,raw
2024-05-23,16.08,16.25,15.94,16.03,100663.0,,raw
2024-05-24,15.88,15.93,15.32,15.35,95554.0,,raw
2024-05-27,15.53,15.66,14.58,15.14,95338.0,,raw
2024-05-28,15.06,15.18,14.78,14.8,61718.0,,raw
2024-05-29,15.07,15.24,14.7,14.8,56971.0,,raw
2024-05-30,14.6,15.75,14.5,15.5,113457.0,,raw
2024-05-31,15.4,16.12,15.31,16.01,105083.0,,raw
2024-06-03,16.18,16.31,15.21,15.38,89142.0,,raw
2024-06-04,15.2,15.26,14.63,14.93,69331.0,,raw
2024-06-05,14.9,15.18,14.75,14.79,59018.0,,raw
2024-06-06,14.7,14.79,13.72,13.91,102315.0,,raw
2024-06-07,14.02,14.38,13.94,14.19,50262.0,,raw
2024-06-11,14.12,14.39,13.8,14.37,47560.0,,raw
2024-06-12,14.36,14.74,14.23,14.63,41732.0,,raw
2024-06-13,14.57,14.66,14.25,14.4,42927.0,,raw
2024-06-14,14.37,14.4,14.09,14.33,36093.0,,raw
2024-06-17,14.33,14.42,14.06,14.11,38215.0,,raw
2024-06-18,14.1,14.77,14.07,14.76,63641.0,,raw
2024-06-19,14.78,14.99,14.62,14.74,54056.0,,raw
2024-06-20,14.66,14.79,13.99,13.99,62406.0,,raw
2024-06-21,14.0,14.74,13.65,14.23,72424.0,,raw
