date,open,high,low,close,volume,amount,price_type
2020-01-02,16.135,16.564,16.058,16.467,72192.0,,adjusted
2020-01-03,16.467,16.875,16.166,16.742,74040.0,,adjusted
2020-01-06,18.206,18.523,17.701,18.523,160746.0,,adjusted
2020-01-07,19.324,20.482,18.813,19.834,200832.0,,adjusted
2020-01-08,20.038,21.926,20.038,21.926,182926.0,,adjusted
2020-01-09,21.931,23.992,21.926,22.538,249337.0,,adjusted
2020-01-10,22.15,24.426,21.711,23.579,234287.0,,adjusted
2020-01-13,23.717,26.043,23.717,26.043,211127.0,,adjusted
2020-01-14,26.977,28.39,24.426,24.681,309563.0,,adjusted
2020-01-15,24.548,25.176,23.89,24.921,205390.0,,adjusted
2020-01-16,24.757,26.523,24.757,26.002,207741.0,,adjusted
2020-01-17,25.854,26.104,24.681,25.354,184124.0,,adjusted
2020-01-20,24.936,25.829,24.176,25.829,181945.0,,adjusted
2020-01-21,25.191,26.558,24.839,25.461,168382.0,,adjusted
2020-01-22,26.262,27.793,24.63,27.028,217274.0,,adjusted
2020-01-23,26.125,27.155,24.63,25.4,189370.0,,adjusted
2020-02-03,22.752,24.426,22.752,22.752,165162.0,,adjusted
2020-02-04,24.416,25.135,24.018,25.135,75050.0,,adjusted
2020-02-05,27.655,27.757,26.283,26.512,274770.0,,adjusted
2020-02-06,24.936,27.742,24.936,27.222,241945.0,,adjusted
2020-02-07,26.752,27.64,25.711,26.089,167015.0,,adjusted
2020-02-10,26.109,28.808,25.936,28.808,186534.0,,adjusted
2020-02-11,30.191,30.191,26.982,27.288,191288.0,,adjusted
2020-02-12,26.467,27.956,26.467,27.446,129391.0,,adjusted
2020-02-13,26.982,27.436,26.329,26.941,148210.0,,adjusted
2020-02-14,27.543,27.742,25.982,26.257,125902.0,,adjusted
2020-02-17,26.125,26.813,26.084,26.747,105475.0,,adjusted
2020-02-18,26.599,27.768,26.523,26.997,127050.0,,adjusted
2020-02-19,27.997,28.472,26.4,26.589,145881.0,,adjusted
2020-02-20,26.773,27.033,25.813,26.441,120467.0,,adjusted
2020-02-21,25.961,27.487,25.732,27.063,186994.0,,adjusted
2020-02-24,26.62,26.666,26.058,26.273,115191.0,,adjusted
2020-02-25,25.395,27.41,24.987,26.982,173405.0,,adjusted
2020-02-26,26.211,26.467,24.176,24.359,135546.0,,adjusted
2020-02-27,24.456,24.671,23.145,23.252,96745.0,,adjusted
2020-02-28,21.365,21.875,20.819,20.819,139408.0,,adjusted
2020-03-02,21.048,21.604,20.385,21.365,106152.0,,adjusted
2020-03-03,22.227,22.625,21.359,21.762,107482.0,,adjusted
2020-03-04,21.456,22.262,21.303,21.849,67712.0,,adjusted
2020-03-05,21.875,22.171,21.456,21.89,73134.0,,adjusted
2020-03-06,21.257,22.344,21.012,21.798,68263.0,,adjusted
