date,open,high,low,close,volume,amount,price_type
2021-01-04,21.200,22.300,21.010,21.750,1359361.000,,raw
2021-01-05,21.890,22.110,20.950,21.030,1482879.000,,raw
2021-01-06,21.300,21.730,20.600,21.130,1250232.000,,raw
2021-01-07,21.340,23.000,20.600,22.690,2594174.000,,raw
2021-01-08,22.900,23.590,21.800,23.430,2363165.000,,raw
2021-01-11,23.430,24.700,22.900,23.160,2187772.000,,raw
2021-01-12,22.600,22.770,21.500,22.240,1638048.000,,raw
2021-01-13,22.270,22.860,21.500,21.690,1390037.000,,raw
2021-01-14,21.300,21.300,19.740,19.920,1634893.000,,raw
2021-01-15,19.620,20.430,19.110,20.100,1121092.000,,raw
2021-01-18,19.620,19.930,19.280,19.630,745760.000,,raw
2021-01-19,19.730,20.180,19.430,19.800,893044.000,,raw
2021-01-20,19.890,20.200,19.480,19.600,1014449.000,,raw
2021-01-21,19.300,19.830,19.000,19.450,1140906.000,,raw
2021-01-22,19.340,20.350,19.150,20.140,1519587.000,,raw
2021-01-25,19.850,20.370,19.380,19.830,1265620.000,,raw
2021-01-26,19.810,19.850,18.870,18.940,1023452.000,,raw
2021-01-27,18.660,18.820,17.800,18.240,1353936.000,,raw
2021-01-28,17.920,18.090,17.440,17.540,1023803.000,,raw
2021-01-29,17.550,17.840,16.740,17.240,975840.000,,raw
2021-02-01,17.160,18.040,17.160,17.690,1153827.000,,raw
2021-02-02,18.450,19.460,18.260,19.460,1284508.000,,raw
2021-02-03,20.260,20.460,19.410,19.530,2125345.000,,raw
2021-02-04,19.520,20.280,19.280,19.970,1455636.000,,raw
2021-02-05,19.670,19.800,17.970,18.040,1626560.000,,raw
2021-02-08,17.700,19.250,17.700,18.860,1067030.000,,raw
2021-02-09,19.070,19.260,18.480,19.000,877026.000,,raw
2021-02-10,19.130,19.850,19.000,19.020,887360.000,,raw
2021-02-18,19.130,19.730,18.580,19.590,1127178.000,,raw
2021-02-19,19.290,19.290,18.400,18.960,1056389.000,,raw
2021-02-22,18.800,19.030,18.420,18.430,870348.000,,raw
2021-02-23,18.050,18.070,17.250,17.400,1083865.000,,raw
2021-02-24,17.350,17.780,16.980,17.130,878432.000,,raw
2021-02-25,17.410,17.480,17.050,17.250,566362.000,,raw
2021-02-26,16.880,18.890,16.600,18.150,1633424.000,,raw
2021-03-01,17.600,17.760,17.000,17.680,1124880.000,,raw
2021-03-02,17.730,17.730,17.090,17.220,806621.000,,raw
2021-03-03,16.950,17.400,16.770,17.330,666912.000,,raw
2021-03-04,17.150,17.150,16.770,16.790,679041.000,,raw
2021-03-05,16.570,17.140,16.410,16.950,616488.000,,raw
2021-03-08,17.000,17.170,16.430,16.490,611904.000,,raw
2021-03-09,16.420,16.430,15.030,15.300,1069981.000,,raw
2021-03-10,15.640,15.860,15.210,15.290,729249.000,,raw
2021-03-11,15.280,15.980,15.040,15.730,802048.000,,raw
2021-03-12,15.800,16.080,15.420,15.900,813310.000,,raw
2021-03-15,15.660,15.750,15.140,15.240,682959.000,,raw
2021-03-16,15.010,15.340,14.700,15.100,651302.000,,raw
2021-03-17,15.140,15.450,14.950,15.260,544814.000,,raw
2021-03-18,15.270,15.400,15.020,15.100,517712.000,,raw
2021-03-19,14.890,15.060,14.750,14.760,526307.000,,raw
2021-03-22,14.810,15.430,14.660,15.170,691615.000,,raw
2021-03-23,15.180,15.200,14.610,14.710,576280.000,,raw
2021-03-24,14.570,14.700,14.070,14.080,629187.000,,raw
2021-03-25,13.910,14.270,13.760,14.070,519522.000,,raw
2021-03-26,14.070,14.720,14.050,14.550,995050.000,,raw
2021-03-29,14.420,14.900,14.060,14.500,782437.000,,raw
2021-03-30,14.460,14.690,14.350,14.590,541689.000,,raw
2021-03-31,14.680,15.050,14.160,14.190,746637.000,,raw
2021-04-01,14.400,14.740,14.280,14.480,729579.000,,raw
2021-04-02,14.420,14.980,14.220,14.790,976583.000,,raw
2021-04-06,14.820,15.660,14.630,15.380,1283380.000,,raw
2021-04-07,15.110,15.160,14.750,14.830,941254.000,,raw
2021-04-08,14.850,14.970,14.600,14.770,526729.000,,raw
2021-04-09,14.830,14.860,14.420,14.480,503996.000,,raw
2021-04-12,14.480,14.660,14.180,14.200,475992.000,,raw
2021-04-13,14.300,14.540,14.180,14.250,434778.000,,raw
2021-04-14,14.310,14.720,14.310,14.600,583861.000,,raw
2021-04-15,14.500,14.500,14.180,14.370,479291.000,,raw
2021-04-16,14.570,15.810,14.570,15.810,1853285.000,,raw
2021-04-19,17.300,17.390,16.750,17.390,1504261.000,,raw
2021-04-20,18.490,19.130,17.610,18.010,3989697.000,,raw
2021-04-21,17.290,17.390,16.600,16.780,2345045.000,,raw
2021-04-22,16.780,17.300,16.670,16.810,1493401.000,,raw
2021-04-23,16.450,16.700,16.010,16.120,1437893.000,,raw
2021-04-26,16.150,16.950,15.860,16.840,2333525.000,,raw
2021-04-27,16.480,16.620,15.900,16.190,1390062.000,,raw
