date,open,high,low,close,volume,amount,price_type
2020-01-02,5.040,5.110,5.010,5.070,238814.000,,raw
2020-01-03,5.070,5.140,5.050,5.100,156971.000,,raw
2020-01-06,5.060,5.210,5.020,5.140,217385.000,,raw
2020-01-07,5.180,5.320,5.150,5.240,246506.000,,raw
2020-01-08,5.220,5.370,5.180,5.250,309564.000,,raw
2020-01-09,5.290,5.320,5.200,5.240,188129.000,,raw
2020-01-10,5.220,5.250,5.100,5.140,183415.000,,raw
2020-01-13,5.200,5.310,5.170,5.240,245197.000,,raw
2020-01-14,5.250,5.310,5.190,5.210,178655.000,,raw
2020-01-15,5.190,5.190,5.120,5.130,103181.000,,raw
2020-01-16,5.130,5.160,5.060,5.080,124342.000,,raw
2020-01-17,5.070,5.220,5.040,5.190,233008.000,,raw
2020-01-20,5.170,5.200,5.090,5.190,174976.000,,raw
2020-01-21,5.160,5.160,4.980,4.990,219771.000,,raw
2020-01-22,5.010,5.100,4.910,5.060,160481.000,,raw
2020-01-23,5.010,5.070,4.800,4.900,217491.000,,raw
2020-02-03,4.410,4.450,4.410,4.410,149466.000,,raw
2020-02-04,4.430,4.450,4.310,4.370,260174.000,,raw
2020-02-05,4.400,4.560,4.370,4.450,220029.000,,raw
2020-02-06,4.430,4.530,4.380,4.500,179725.000,,raw
2020-02-07,4.450,4.490,4.420,4.480,130703.000,,raw
2020-02-10,4.460,4.580,4.430,4.570,167053.000,,raw
2020-02-11,4.600,4.600,4.530,4.560,115668.000,,raw
2020-02-12,4.550,4.610,4.530,4.590,118766.000,,raw
2020-02-13,4.590,4.860,4.540,4.730,274457.000,,raw
2020-02-14,4.680,4.690,4.550,4.620,214769.000,,raw
2020-02-17,4.610,4.740,4.590,4.710,218850.000,,raw
2020-02-18,4.720,4.760,4.660,4.710,208902.000,,raw
2020-02-19,4.710,4.760,4.680,4.690,196482.000,,raw
2020-02-20,4.710,4.770,4.680,4.760,226397.000,,raw
2020-02-21,4.790,4.920,4.740,4.890,366349.000,,raw
2020-02-24,4.840,4.910,4.780,4.860,240397.000,,raw
2020-02-25,4.730,5.350,4.690,5.350,511434.000,,raw
2020-02-26,5.890,5.890,5.890,5.890,151346.000,,raw
2020-02-27,6.000,6.480,5.500,6.020,1560001.000,,raw
2020-02-28,5.580,5.790,5.420,5.440,838028.000,,raw
2020-03-02,5.480,5.870,5.400,5.700,704773.000,,raw
2020-03-03,5.840,6.270,5.670,6.130,879393.000,,raw
2020-03-04,5.930,6.040,5.750,5.940,559295.000,,raw
2020-03-05,5.980,6.020,5.770,5.810,443288.000,,raw
2020-03-06,5.730,5.980,5.580,5.810,531942.000,,raw
2020-03-09,5.630,5.710,5.400,5.400,412641.000,,raw
