date,open,high,low,close,volume,amount,price_type
2024-05-06,7.930,8.090,7.920,8.060,36179.000,,raw
2024-05-07,8.070,8.100,7.920,8.040,40178.000,,raw
2024-05-08,8.120,8.690,8.100,8.130,88155.000,,raw
2024-05-09,8.060,8.180,7.960,8.140,63056.000,,raw
2024-05-10,8.100,8.190,8.060,8.110,32092.000,,raw
2024-05-13,8.020,8.180,8.000,8.050,32220.000,,raw
2024-05-14,8.060,8.250,8.060,8.210,37791.000,,raw
2024-05-15,8.210,8.220,8.090,8.110,25825.000,,raw
2024-05-16,8.120,8.180,8.070,8.100,23500.000,,raw
2024-05-17,8.130,8.180,8.090,8.180,22700.000,,raw
2024-05-20,8.200,8.330,8.180,8.270,31368.000,,raw
2024-05-21,8.210,8.480,8.160,8.260,54043.000,,raw
2024-05-22,8.200,8.310,8.180,8.300,24833.000,,raw
2024-05-23,8.280,8.290,8.020,8.040,30408.000,,raw
2024-05-24,8.040,8.130,8.000,8.040,25568.000,,raw
2024-05-27,7.990,8.140,7.990,8.080,18144.000,,raw
2024-05-28,8.050,8.130,8.010,8.030,20575.000,,raw
2024-05-29,8.030,8.130,7.970,8.100,18509.000,,raw
2024-05-30,8.100,8.100,7.940,7.970,21053.000,,raw
2024-05-31,7.970,8.140,7.950,8.090,21186.000,,raw
2024-06-03,8.030,8.160,7.810,7.850,19953.000,,raw
2024-06-04,7.830,7.840,7.710,7.810,15348.000,,raw
2024-06-05,7.780,7.820,7.590,7.610,17434.000,,raw
2024-06-06,7.630,7.660,7.190,7.270,33527.000,,raw
2024-06-07,7.290,7.580,7.290,7.570,34788.000,,raw
2024-06-11,7.510,7.560,7.290,7.380,24070.000,,raw
2024-06-12,7.340,7.440,7.340,7.430,16789.000,,raw
2024-06-13,7.460,7.480,7.290,7.320,17820.000,,raw
2024-06-14,7.320,7.380,7.250,7.350,14512.000,,raw
2024-06-17,7.310,7.430,7.270,7.290,15476.000,,raw
2024-06-18,7.300,7.420,7.250,7.370,14652.000,,raw
2024-06-19,7.320,7.470,7.320,7.360,16811.000,,raw
2024-06-20,7.330,7.370,7.210,7.230,15653.000,,raw
2024-06-21,7.230,7.300,7.150,7.280,15893.000,,raw
2024-06-24,7.200,7.200,6.930,6.960,29278.000,,raw
2024-06-25,6.970,7.060,6.950,7.020,15465.000,,raw
2024-06-26,6.970,7.180,6.960,7.160,13932.000,,raw
2024-06-27,7.170,7.210,7.050,7.090,12066.000,,raw
2024-06-28,7.030,7.200,7.030,7.080,11446.000,,raw
2024-07-01,7.130,7.170,7.030,7.160,10995.000,,raw
2024-07-02,7.150,7.260,7.150,7.220,13634.000,,raw
2024-07-03,7.230,7.350,7.220,7.250,16737.000,,raw
2024-07-04,7.290,7.290,7.040,7.070,15150.000,,raw
2024-07-05,7.120,7.210,6.980,7.190,12252.000,,raw
2024-07-08,7.200,7.360,6.990,7.080,21827.000,,raw
2024-07-09,7.790,7.790,7.500,7.790,159490.000,,raw
2024-07-10,8.570,8.570,8.570,8.570,41749.000,,raw
2024-07-11,9.430,9.430,9.430,9.430,27850.000,,raw
2024-07-12,10.370,10.370,10.370,10.370,46904.000,,raw
2024-07-15,11.410,11.410,11.410,11.410,46082.000,,raw
2024-07-16,12.550,12.550,12.550,12.550,76812.000,,raw
2024-07-17,13.630,13.810,13.190,13.810,905162.000,,raw
2024-07-18,12.430,13.480,12.430,12.530,802153.000,,raw
2024-07-19,12.050,13.780,11.820,13.540,861483.000,,raw
2024-07-22,13.400,14.890,13.170,14.890,848615.000,,raw
2024-07-23,13.650,14.770,13.400,13.400,689850.000,,raw
2024-07-24,12.500,12.990,12.060,12.060,582941.000,,raw
2024-07-25,12.500,13.270,12.390,13.270,663987.000,,raw
2024-07-26,12.510,14.530,11.940,13.280,831095.000,,raw
2024-07-29,13.000,14.610,12.900,14.610,758614.000,,raw
2024-07-30,14.300,16.070,13.860,16.070,591854.000,,raw
2024-07-31,17.200,17.680,14.460,14.600,900378.000,,raw
2024-08-01,13.520,14.390,13.510,13.830,650127.000,,raw
2024-08-02,13.600,14.600,12.850,13.850,654078.000,"{'nd': '2023', 'fh_sh': '0.83', 'djr': '2024-08-01', 'cqr': '2024-08-02', 'FHcontent': '10派0.83元'}",raw
2024-08-05,13.010,15.170,12.660,14.500,718150.000,,raw
2024-08-06,13.900,13.900,13.050,13.050,378624.000,,raw
2024-08-07,12.380,12.600,11.750,11.750,534550.000,,raw
2024-08-08,11.700,11.700,10.630,10.880,443883.000,,raw
