date,open,high,low,close,volume,amount,price_type
2024-05-06,7.860,8.480,7.850,8.480,441678.000,,raw
2024-05-07,8.450,8.720,8.280,8.550,705337.000,,raw
2024-05-08,8.490,8.640,8.260,8.290,378316.000,,raw
2024-05-09,8.270,8.410,8.140,8.310,350994.000,,raw
2024-05-10,8.310,8.370,8.170,8.290,278831.000,,raw
2024-05-13,8.170,9.100,7.940,8.650,681595.000,,raw
2024-05-14,8.580,9.520,8.580,9.520,728807.000,,raw
2024-05-15,9.700,9.850,9.090,9.170,1047512.000,,raw
2024-05-16,9.190,9.340,8.820,8.860,506707.000,,raw
2024-05-17,8.800,8.920,8.620,8.680,441336.000,,raw
2024-05-20,8.720,8.990,8.480,8.780,575064.000,,raw
2024-05-21,8.740,9.360,8.600,9.210,741164.000,,raw
2024-05-22,8.980,9.020,8.610,8.770,534141.000,,raw
2024-05-23,8.590,8.600,8.350,8.440,355807.000,,raw
2024-05-24,8.360,8.670,8.210,8.370,333714.000,,raw
2024-05-27,8.380,8.650,8.350,8.510,271623.000,,raw
2024-05-28,8.430,8.500,8.010,8.110,314030.000,,raw
2024-05-29,8.030,8.150,7.950,8.010,229016.000,,raw
2024-05-30,8.050,8.190,7.950,7.950,221411.000,,raw
2024-05-31,7.910,8.020,7.770,7.790,242991.000,,raw
2024-06-03,7.830,7.850,7.570,7.670,218094.000,,raw
2024-06-04,7.670,7.730,7.560,7.720,181771.000,,raw
2024-06-05,7.750,7.750,7.430,7.450,203977.000,,raw
2024-06-06,7.370,7.470,7.080,7.200,315073.000,,raw
2024-06-07,7.260,7.440,7.180,7.420,194158.000,,raw
2024-06-11,7.330,7.380,7.210,7.320,129107.000,,raw
2024-06-12,7.280,7.510,7.220,7.480,174608.000,,raw
2024-06-13,7.450,7.480,7.280,7.300,139322.000,,raw
2024-06-14,7.280,7.350,7.210,7.330,98082.000,,raw
2024-06-17,7.270,7.430,7.220,7.390,122337.000,,raw
2024-06-18,7.370,7.690,7.330,7.680,223448.000,,raw
2024-06-19,7.670,7.790,7.640,7.650,170099.000,,raw
2024-06-20,7.650,8.180,7.400,7.880,362655.000,,raw
2024-06-21,7.710,7.870,7.560,7.620,244585.000,,raw
2024-06-24,7.510,7.660,7.330,7.330,173120.000,,raw
2024-06-25,7.330,7.540,7.210,7.260,175318.000,,raw
2024-06-26,7.250,7.420,7.190,7.420,154340.000,,raw
2024-06-27,7.380,7.420,7.120,7.120,138992.000,,raw
2024-06-28,7.120,7.470,7.090,7.360,190541.000,,raw
2024-07-01,7.360,7.650,7.300,7.540,139119.000,,raw
2024-07-02,7.510,7.620,7.480,7.540,113848.000,,raw
2024-07-03,7.560,7.670,7.490,7.520,97696.000,,raw
2024-07-04,7.530,7.640,7.330,7.330,120930.000,,raw
2024-07-05,7.380,7.440,7.210,7.370,105419.000,,raw
2024-07-08,7.380,7.440,7.200,7.230,101720.000,,raw
2024-07-09,7.230,7.340,6.900,7.330,185773.000,,raw
2024-07-10,7.400,8.060,7.400,8.040,507904.000,,raw
2024-07-11,7.930,8.470,7.820,8.280,634378.000,"{'nd': '2023', 'fh_sh': '0.35', 'djr': '2024-07-10', 'cqr': '2024-07-11', 'FHcontent': '10派0.35元'}",raw
2024-07-12,8.450,9.110,8.350,9.110,856626.000,,raw
2024-07-15,9.600,10.020,8.880,8.950,1508131.000,,raw
2024-07-16,9.130,9.850,9.130,9.850,687155.000,,raw
2024-07-17,10.280,10.560,9.850,9.940,1467829.000,,raw
2024-07-18,9.500,9.960,9.300,9.680,1080623.000,,raw
2024-07-19,10.010,10.650,10.010,10.450,1760574.000,,raw
2024-07-22,10.500,11.500,10.460,11.500,1066735.000,,raw
2024-07-23,12.000,12.650,11.890,12.650,670712.000,,raw
2024-07-24,13.000,13.280,11.420,11.660,1890993.000,,raw
2024-07-25,12.090,12.830,12.090,12.830,764756.000,,raw
2024-07-26,13.850,14.110,12.150,14.110,2080059.000,,raw
2024-07-29,14.800,15.520,14.790,15.520,828097.000,,raw
2024-07-30,15.500,17.070,14.710,17.070,2156015.000,,raw
2024-07-31,16.730,18.150,15.360,15.710,2158124.000,,raw
2024-08-01,15.700,17.170,14.930,16.710,2052310.000,,raw
2024-08-02,16.390,18.380,16.190,18.100,2169437.000,,raw
2024-08-05,17.580,19.180,16.700,18.100,2187191.000,,raw
2024-08-06,16.610,17.000,16.290,16.290,692335.000,,raw
2024-08-07,14.660,16.940,14.660,16.300,1782966.000,,raw
2024-08-08,16.200,16.880,14.670,14.670,1686483.000,,raw
2024-08-09,14.680,16.140,14.680,16.010,1981228.000,,raw
2024-08-12,15.460,15.780,14.410,14.860,1658968.000,,raw
2024-08-13,14.400,16.350,13.410,16.350,1890064.000,,raw
2024-08-14,17.200,17.990,16.950,17.990,1258809.000,,raw
2024-08-15,17.890,19.790,16.720,19.790,2064458.000,,raw
2024-08-16,18.400,19.130,17.810,17.810,1580315.000,,raw
2024-08-19,17.150,18.350,16.420,16.950,1799427.000,,raw
2024-08-20,16.450,17.000,15.410,15.790,1711680.000,,raw
2024-08-21,15.330,16.160,14.930,15.550,1500013.000,,raw
2024-08-22,15.210,15.880,14.660,14.760,1450192.000,,raw
2024-08-23,14.560,15.590,14.020,14.820,1640344.000,,raw
2024-08-26,14.800,14.900,13.800,14.260,1290322.000,,raw
2024-08-27,14.210,14.500,13.600,13.680,1128707.000,,raw
2024-08-28,13.530,14.090,13.280,13.520,1103403.000,,raw
2024-08-29,13.440,13.500,13.110,13.200,943897.000,,raw
2024-08-30,13.160,13.580,13.070,13.310,1068681.000,,raw
2024-09-02,13.400,13.800,12.960,12.970,991488.000,,raw
2024-09-03,13.020,13.120,12.520,12.650,1012431.000,,raw
2024-09-04,12.650,12.760,12.360,12.400,862380.000,,raw
2024-09-05,12.400,13.640,12.310,13.640,1699607.000,,raw
2024-09-06,14.360,15.000,14.360,14.550,1948161.000,,raw
2024-09-09,13.800,14.000,13.100,13.100,341203.000,,raw
2024-09-10,11.790,11.790,11.790,11.790,118615.000,,raw
2024-09-11,10.920,12.630,10.920,11.660,1649500.000,,raw
2024-09-12,11.600,12.160,11.310,11.460,1297826.000,,raw
2024-09-13,11.400,11.600,10.980,11.150,1128007.000,,raw
2024-09-18,11.150,11.300,10.870,10.880,618071.000,,raw
2024-09-19,10.900,11.140,10.700,10.880,662993.000,,raw
2024-09-20,10.900,11.130,10.790,10.900,611255.000,,raw
2024-09-23,10.880,11.360,10.790,11.160,818458.000,,raw
2024-09-24,11.050,11.330,10.730,11.330,918181.000,,raw
2024-09-25,11.330,11.730,11.270,11.300,802532.000,,raw
2024-09-26,11.240,11.890,11.190,11.830,1022886.000,,raw
2024-09-27,12.000,12.350,12.000,12.300,672184.000,,raw
2024-09-30,12.780,13.500,12.120,13.490,1264484.000,,raw
