date,open,high,low,close,volume,amount,price_type
2020-01-02,107.210,108.850,105.700,107.520,206115.000,,raw
2020-01-03,107.520,110.190,105.970,109.550,180841.000,,raw
2020-01-06,111.300,114.500,107.800,109.090,265002.000,,raw
2020-01-07,109.010,109.640,107.410,108.500,135075.000,,raw
2020-01-08,109.010,111.500,107.100,109.600,192240.000,,raw
2020-01-09,112.000,115.500,110.010,115.000,201643.000,,raw
2020-01-10,114.200,114.200,111.680,113.310,144280.000,,raw
2020-01-13,116.000,118.480,114.200,116.900,215974.000,,raw
2020-01-14,119.510,120.750,115.180,115.700,217684.000,,raw
2020-01-15,115.700,117.580,112.210,115.300,177587.000,,raw
2020-01-16,116.000,116.500,113.850,116.400,129341.000,,raw
2020-01-17,116.360,117.560,114.000,115.080,146624.000,,raw
2020-01-20,114.990,125.080,112.900,123.200,248922.000,,raw
2020-01-21,122.510,123.000,120.460,121.650,142671.000,,raw
2020-01-22,121.650,133.820,119.380,133.820,349915.000,,raw
2020-01-23,132.500,137.000,125.100,130.570,359862.000,,raw
2020-02-03,126.560,143.480,126.500,135.360,526346.000,,raw
2020-02-04,145.770,148.900,140.010,148.900,359135.000,,raw
2020-02-05,158.170,163.790,156.300,163.790,530823.000,,raw
2020-02-06,155.010,169.890,152.990,169.890,579189.000,,raw
2020-02-07,166.000,169.330,158.950,160.200,454994.000,,raw
2020-02-10,161.000,168.580,160.000,165.260,375409.000,,raw
2020-02-11,167.200,168.000,157.600,158.400,339945.000,,raw
2020-02-12,153.550,161.840,152.030,159.650,325862.000,,raw
2020-02-13,155.990,159.380,153.690,156.340,313609.000,,raw
2020-02-14,158.900,159.900,148.860,149.900,439618.000,,raw
2020-02-17,149.000,156.160,148.880,154.100,344471.000,,raw
2020-02-18,154.100,159.000,152.850,156.620,282305.000,,raw
2020-02-19,165.000,165.100,152.890,153.200,418167.000,,raw
2020-02-20,156.500,165.000,153.000,160.000,518440.000,,raw
2020-02-21,157.800,162.500,155.220,159.900,338051.000,,raw
2020-02-24,157.000,159.850,152.480,154.410,365230.000,,raw
2020-02-25,149.740,165.500,148.840,161.850,516026.000,,raw
2020-02-26,158.700,160.850,150.700,152.860,338279.000,,raw
2020-02-27,155.100,156.660,148.800,149.480,332002.000,,raw
2020-02-28,139.990,145.000,135.510,135.670,508447.000,,raw
2020-03-02,138.800,141.950,134.950,139.990,318150.000,,raw
2020-03-03,146.000,149.690,143.900,145.780,296910.000,,raw
2020-03-04,143.990,145.880,139.780,143.700,205946.000,,raw
2020-03-05,146.540,147.830,142.000,145.220,224633.000,,raw
2020-03-06,142.010,147.300,141.500,143.520,159808.000,,raw
2020-03-09,138.990,140.900,133.000,133.450,294252.000,,raw
2020-03-10,133.610,141.690,133.010,140.530,292744.000,,raw
2020-03-11,143.000,148.580,138.800,140.780,339232.000,,raw
2020-03-12,136.200,136.770,131.320,134.200,333858.000,,raw
2020-03-13,126.100,133.800,126.010,132.100,274553.000,,raw
2020-03-16,128.000,128.880,118.890,119.060,490485.000,,raw
2020-03-17,121.000,122.930,111.250,117.950,392203.000,,raw
2020-03-18,118.900,123.500,116.000,117.350,313384.000,,raw
2020-03-19,119.000,119.500,111.690,115.040,331563.000,,raw
2020-03-20,118.000,119.700,113.220,115.860,225142.000,,raw
2020-03-23,110.800,111.570,105.010,107.480,307618.000,,raw
2020-03-24,110.600,112.880,107.000,111.570,291170.000,,raw
2020-03-25,116.200,122.180,116.000,121.000,385928.000,,raw
2020-03-26,119.010,122.350,118.300,119.630,194371.000,,raw
2020-03-27,122.210,123.330,117.360,118.710,174991.000,,raw
2020-03-30,116.000,120.640,110.700,119.310,261655.000,,raw
2020-03-31,120.270,123.130,117.860,120.390,194852.000,,raw
2020-04-01,123.100,125.560,119.080,120.400,298951.000,,raw
2020-04-02,117.500,123.600,116.710,123.600,209588.000,,raw
2020-04-03,124.650,125.000,119.800,121.000,182204.000,,raw
2020-04-07,123.600,126.090,123.020,124.700,183729.000,,raw
2020-04-08,123.900,125.490,122.600,123.000,119470.000,,raw
2020-04-09,123.980,124.480,119.810,120.210,160528.000,,raw
2020-04-10,121.150,123.070,117.930,118.460,145696.000,,raw
2020-04-13,114.900,116.990,113.080,114.690,124581.000,,raw
2020-04-14,118.000,126.160,117.500,126.160,388939.000,,raw
2020-04-15,129.800,131.890,127.230,128.000,325645.000,,raw
2020-04-16,128.270,133.710,126.820,132.950,216381.000,,raw
2020-04-17,136.080,140.580,135.100,136.950,292522.000,,raw
2020-04-20,136.400,136.750,131.880,134.510,187002.000,,raw
2020-04-21,131.990,132.860,127.000,130.520,193917.000,,raw
2020-04-22,127.330,132.300,127.300,130.850,146869.000,,raw
