date,open,high,low,close,volume,amount,price_type
2019-05-06,7.770,7.770,7.180,7.330,59958.000,,raw
2019-05-07,7.450,7.640,7.330,7.500,43507.000,,raw
2019-05-08,7.470,7.560,7.330,7.420,32356.000,,raw
2019-05-09,7.400,7.470,7.320,7.380,25165.000,,raw
2019-05-10,7.460,7.700,7.290,7.690,55766.000,,raw
2019-05-13,7.610,7.650,7.490,7.540,29872.000,,raw
2019-05-14,7.390,7.690,7.380,7.490,34730.000,,raw
2019-05-15,7.500,8.240,7.490,8.240,79138.000,,raw
2019-05-16,8.300,8.490,7.960,8.290,142243.000,,raw
2019-05-17,8.110,8.150,7.610,7.730,92245.000,,raw
2019-05-20,7.710,7.770,7.430,7.750,44247.000,,raw
2019-05-21,7.750,8.060,7.640,7.890,48982.000,,raw
2019-05-22,7.800,7.950,7.690,7.740,38375.000,,raw
2019-05-23,7.700,7.700,7.500,7.510,38081.000,,raw
2019-05-24,7.660,7.950,7.460,7.780,52468.000,,raw
2019-05-27,7.760,8.020,7.710,7.990,53201.000,,raw
2019-05-28,7.990,8.150,7.800,7.950,48135.000,,raw
2019-05-29,7.910,8.150,7.910,7.980,37154.000,,raw
2019-05-30,7.900,7.930,7.770,7.870,28443.000,,raw
2019-05-31,8.000,8.230,7.940,7.950,56865.000,,raw
2019-06-03,7.900,8.100,7.840,7.920,49040.000,,raw
2019-06-04,7.870,7.960,7.750,7.780,37201.000,,raw
2019-06-05,7.860,7.930,7.780,7.810,26552.000,,raw
2019-06-06,7.810,8.260,7.600,7.880,55349.000,,raw
2019-06-10,7.890,8.340,7.890,8.260,93223.000,,raw
2019-06-11,8.060,8.680,8.050,8.550,134807.000,,raw
2019-06-12,8.460,8.500,8.260,8.300,72936.000,,raw
2019-06-13,8.300,8.600,8.260,8.400,65162.000,,raw
2019-06-14,8.380,8.380,8.000,8.050,56517.000,,raw
2019-06-17,8.070,8.140,7.980,8.060,25272.000,,raw
2019-06-18,8.060,8.080,7.930,7.960,19494.000,,raw
2019-06-19,8.090,8.260,8.050,8.100,40789.000,,raw
2019-06-20,8.060,8.800,8.010,8.390,105850.000,,raw
2019-06-21,8.370,8.720,8.310,8.500,105952.000,,raw
2019-06-24,8.490,8.560,8.360,8.400,43466.000,,raw
2019-06-25,8.430,8.480,8.190,8.330,45232.000,,raw
2019-06-26,8.280,8.370,8.200,8.280,25155.000,,raw
2019-06-27,8.290,8.420,8.250,8.350,42459.000,,raw
2019-06-28,8.350,8.350,8.010,8.050,53698.000,,raw
2019-07-01,8.160,8.370,8.160,8.370,54871.000,,raw
2019-07-02,8.480,8.700,8.370,8.370,76562.000,,raw
2019-07-03,8.330,8.390,8.230,8.260,38960.000,,raw
2019-07-04,8.290,8.360,8.150,8.190,28421.000,,raw
2019-07-05,8.160,8.230,8.000,8.170,37570.000,,raw
2019-07-08,8.170,8.170,7.690,7.690,51938.000,,raw
2019-07-09,7.680,7.680,7.450,7.600,39277.000,,raw
2019-07-10,7.610,7.630,7.440,7.500,19871.000,,raw
2019-07-11,7.530,7.650,7.400,7.510,18855.000,,raw
2019-07-12,7.490,7.630,7.410,7.540,21880.000,,raw
2019-07-15,7.400,7.600,7.240,7.570,28133.000,,raw
2019-07-16,7.570,7.580,7.510,7.550,19558.000,,raw
2019-07-17,7.550,7.630,7.500,7.510,21796.000,,raw
2019-07-18,7.480,7.480,7.300,7.300,22093.000,,raw
2019-07-19,7.300,7.550,7.280,7.400,17102.000,,raw
2019-07-22,7.410,7.480,7.260,7.270,16062.000,,raw
2019-07-23,7.270,7.390,7.270,7.330,9676.000,,raw
2019-07-24,7.420,7.490,7.360,7.390,15290.000,,raw
2019-07-25,7.410,7.470,7.360,7.430,10030.000,,raw
2019-07-26,7.410,7.430,7.320,7.350,10703.000,,raw
2019-07-29,7.420,7.420,7.290,7.330,9995.000,,raw
2019-07-30,7.340,7.380,7.290,7.310,13361.000,,raw
2019-07-31,7.300,7.310,7.080,7.140,23435.000,,raw
2019-08-01,7.130,7.330,7.060,7.270,28622.000,,raw
2019-08-02,7.060,7.120,7.000,7.060,20339.000,,raw
2019-08-05,7.000,7.050,6.940,6.940,15596.000,,raw
2019-08-06,6.720,6.770,6.280,6.590,34332.000,,raw
