date,open,high,low,close,volume,amount,price_type
2018-01-02,28.15,28.27,27.56,28.08,123736.0,,adjusted
2018-01-03,28.4,29.63,28.1,29.52,241021.0,,adjusted
2018-01-04,29.48,29.58,29.06,29.56,138878.0,,adjusted
2018-01-05,29.43,29.58,28.53,28.66,179869.0,,adjusted
2018-01-08,28.5,28.66,27.68,28.65,141247.0,,adjusted
2018-01-09,28.97,29.94,28.66,29.91,237204.0,,adjusted
2018-01-10,29.56,29.9,28.81,29.38,155011.0,,adjusted
2018-01-11,29.08,30.58,28.88,30.27,262415.0,,adjusted
2018-01-12,30.18,30.54,29.63,29.65,151326.0,,adjusted
2018-01-15,29.28,29.43,28.02,28.2,217427.0,,adjusted
2018-01-16,27.98,28.76,27.69,28.49,171608.0,,adjusted
2018-01-17,28.56,28.65,26.08,27.25,261395.0,,adjusted
2018-01-18,26.89,27.46,26.38,26.51,119226.0,,adjusted
2018-01-19,26.52,26.82,25.46,25.48,178707.0,,adjusted
2018-01-22,25.53,26.12,24.92,25.76,145601.0,,adjusted
2018-01-23,25.21,25.73,24.29,24.55,178104.0,,adjusted
2018-01-24,24.44,25.72,24.38,25.72,157019.0,,adjusted
2018-01-25,25.63,25.63,25.17,25.29,117947.0,,adjusted
2018-01-26,25.28,25.67,24.78,25.15,72011.0,,adjusted
2018-01-29,25.06,25.46,23.85,23.92,140869.0,,adjusted
2018-01-30,23.84,24.29,23.53,23.8,53287.0,,adjusted
2018-01-31,23.53,24.13,23.0,23.63,87288.0,,adjusted
2018-02-01,23.51,23.71,21.28,21.3,172067.0,,adjusted
2018-02-02,21.48,21.96,21.29,21.58,99748.0,,adjusted
2018-02-05,21.08,21.96,20.88,21.54,75317.0,,adjusted
2018-02-06,20.93,21.33,19.35,19.43,112734.0,,adjusted
2018-02-07,20.28,20.32,18.48,19.8,123184.0,,adjusted
2018-02-08,19.68,21.13,19.38,20.78,138020.0,,adjusted
2018-02-09,19.98,21.34,19.68,20.45,120799.0,,adjusted
2018-02-12,20.93,21.53,20.58,21.38,116597.0,,adjusted
2018-02-13,21.48,21.59,21.06,21.17,87448.0,,adjusted
2018-02-14,21.26,21.35,20.78,21.21,50910.0,,adjusted
2018-02-22,21.48,22.68,21.27,22.33,123466.0,,adjusted
2018-02-23,22.21,22.64,21.98,22.34,85524.0,,adjusted
2018-02-26,22.71,24.73,22.43,24.73,201693.0,,adjusted
2018-02-27,24.88,25.26,24.28,24.3,225505.0,,adjusted
2018-02-28,24.0,24.85,23.78,24.41,159850.0,,adjusted
2018-03-01,24.08,25.34,23.98,25.04,174211.0,,adjusted
2018-03-02,24.69,25.3,24.58,24.78,132212.0,,adjusted
2018-03-05,24.83,25.77,24.77,25.4,159275.0,,adjusted
2018-03-06,25.53,26.09,25.08,25.26,219346.0,,adjusted
2018-03-07,24.97,25.18,24.65,24.71,115025.0,,adjusted
2018-03-08,24.6,25.04,24.36,24.6,96424.0,,adjusted
2018-03-09,24.56,27.2,24.56,27.07,313226.0,,adjusted
2018-03-12,26.98,27.32,26.66,27.13,275182.0,,adjusted
2018-03-13,26.78,27.26,26.33,26.77,160061.0,,adjusted
2018-03-14,26.57,27.21,26.53,26.57,132558.0,,adjusted
2018-03-15,26.28,27.03,25.51,26.66,149985.0,,adjusted
2018-03-16,26.66,26.91,25.89,25.98,100329.0,,adjusted
2018-03-19,26.0,26.94,25.65,26.34,132175.0,,adjusted
2018-03-20,25.91,26.38,25.39,25.96,108106.0,,adjusted
2018-03-21,26.51,27.48,25.8,25.98,191905.0,,adjusted
2018-03-22,25.61,26.52,25.61,26.03,126556.0,,adjusted
2018-03-23,24.53,25.21,23.4,23.96,222332.0,,adjusted
2018-03-26,23.68,25.27,23.41,25.08,161139.0,,adjusted
2018-03-27,25.58,26.25,25.28,25.87,227337.0,,adjusted
2018-03-28,25.36,26.37,25.25,25.76,174691.0,,adjusted
2018-03-29,25.87,26.28,25.24,25.63,120842.0,,adjusted
2018-03-30,25.71,27.57,25.71,27.21,290403.0,,adjusted
2018-04-02,27.48,28.04,26.9,27.26,279355.0,,adjusted
2018-04-03,26.7,27.83,26.58,27.76,227702.0,,adjusted
2018-04-04,27.76,27.92,26.66,26.7,161490.0,,adjusted
2018-04-09,26.68,27.44,26.29,27.04,143237.0,,adjusted
2018-04-10,26.76,26.96,25.8,26.28,159991.0,,adjusted
2018-04-11,26.47,26.87,26.09,26.2,100173.0,,adjusted
2018-04-12,26.0,26.13,25.18,25.38,147493.0,,adjusted
2018-04-13,25.58,25.8,25.36,25.48,76815.0,,adjusted
2018-04-16,25.36,26.0,25.19,25.99,100168.0,,adjusted
2018-04-17,28.36,28.37,26.09,26.45,427762.0,,adjusted
2018-04-18,27.05,28.63,26.54,28.12,588019.0,,adjusted
2018-04-19,27.8,28.04,27.02,27.06,408839.0,,adjusted
2018-04-20,26.38,26.43,24.87,25.14,390318.0,,adjusted
2018-04-23,25.33,25.46,23.48,24.14,208440.0,,adjusted
2018-04-24,23.94,24.94,23.94,24.86,143891.0,,adjusted
2018-04-25,25.18,26.03,24.86,25.58,224514.0,,adjusted
2018-04-26,24.48,24.8,24.11,24.48,212601.0,,adjusted
2018-04-27,25.18,25.42,24.48,24.56,135793.0,,adjusted
2018-05-02,24.44,24.44,22.59,23.1,183686.0,,adjusted
2018-05-03,23.08,23.88,22.54,23.75,125371.0,,adjusted
2018-05-04,23.81,23.94,23.38,23.38,86634.0,,adjusted
2018-05-07,23.56,23.96,23.42,23.68,86937.0,,adjusted
2018-05-08,23.76,23.86,23.44,23.74,85154.0,,adjusted
2018-05-09,23.72,24.23,23.59,23.88,96718.0,,adjusted
2018-05-10,23.93,24.18,23.53,23.9,99869.0,,adjusted
2018-05-11,23.68,23.69,22.14,22.37,242251.0,,adjusted
2018-05-14,23.28,23.74,22.68,22.69,184512.0,,adjusted
2018-05-15,22.51,22.87,22.16,22.68,162357.0,,adjusted
2018-05-16,22.84,23.52,22.81,23.03,195956.0,,adjusted
2018-05-17,23.07,23.51,22.87,23.08,97522.0,,adjusted
