date,open,high,low,close,volume,amount,price_type
2022-01-04,1.249,1.262,1.231,1.243,209979.0,,adjusted
2022-01-05,1.232,1.235,1.207,1.21,222156.0,,adjusted
2022-01-06,1.2,1.204,1.187,1.198,153298.0,,adjusted
2022-01-07,1.198,1.21,1.189,1.195,206374.0,,adjusted
2022-01-10,1.188,1.207,1.175,1.207,236112.0,,adjusted
2022-01-11,1.206,1.208,1.18,1.183,244127.0,,adjusted
2022-01-12,1.189,1.215,1.189,1.215,253327.0,,adjusted
2022-01-13,1.216,1.218,1.199,1.202,279347.0,,adjusted
2022-01-14,1.194,1.207,1.186,1.202,212047.0,,adjusted
2022-01-17,1.203,1.229,1.198,1.227,205229.0,,adjusted
2022-01-18,1.226,1.231,1.218,1.229,201255.0,,adjusted
2022-01-19,1.229,1.229,1.19,1.202,193434.0,,adjusted
2022-01-20,1.198,1.2,1.186,1.194,153226.0,,adjusted
2022-01-21,1.189,1.189,1.173,1.176,172232.0,,adjusted
2022-01-24,1.17,1.186,1.162,1.181,153289.0,,adjusted
2022-01-25,1.174,1.185,1.145,1.146,227465.0,,adjusted
2022-01-26,1.145,1.164,1.145,1.158,216062.0,,adjusted
2022-01-27,1.158,1.16,1.126,1.127,145210.0,,adjusted
2022-01-28,1.127,1.134,1.093,1.103,252663.0,,adjusted
2022-02-07,1.134,1.147,1.122,1.131,184659.0,,adjusted
2022-02-08,1.131,1.131,1.099,1.116,156842.0,,adjusted
2022-02-09,1.116,1.14,1.113,1.138,204628.0,,adjusted
2022-02-10,1.139,1.139,1.114,1.122,195613.0,,adjusted
2022-02-11,1.115,1.116,1.092,1.094,166713.0,,adjusted
2022-02-14,1.093,1.095,1.075,1.083,155918.0,,adjusted
2022-02-15,1.077,1.102,1.077,1.101,180089.0,,adjusted
2022-02-16,1.121,1.121,1.108,1.11,178020.0,,adjusted
2022-02-17,1.111,1.118,1.099,1.11,140657.0,,adjusted
2022-02-18,1.106,1.109,1.097,1.108,115872.0,,adjusted
2022-02-21,1.108,1.115,1.099,1.105,126181.0,,adjusted
2022-02-22,1.1,1.101,1.079,1.085,127210.0,,adjusted
2022-02-23,1.083,1.117,1.08,1.117,248211.0,,adjusted
2022-02-24,1.114,1.114,1.074,1.087,282444.0,,adjusted
2022-02-25,1.103,1.11,1.095,1.098,170487.0,,adjusted
2022-02-28,1.097,1.105,1.082,1.096,134417.0,,adjusted
2022-03-01,1.096,1.111,1.096,1.103,221020.0,,adjusted
2022-03-02,1.097,1.097,1.086,1.094,161541.0,,adjusted
2022-03-03,1.097,1.099,1.063,1.067,292911.0,,adjusted
2022-03-04,1.045,1.071,1.032,1.041,227055.0,,adjusted
2022-03-07,1.039,1.039,0.997,1.002,334886.0,,adjusted
2022-03-08,0.998,1.007,0.959,0.969,285154.0,,adjusted
2022-03-09,0.972,0.979,0.92,0.971,305749.0,,adjusted
2022-03-10,0.995,0.997,0.976,0.985,200393.0,,adjusted
2022-03-11,0.955,0.987,0.955,0.986,251988.0,,adjusted
2022-03-14,0.97,0.977,0.955,0.955,208085.0,,adjusted
2022-03-15,0.939,0.959,0.914,0.914,278205.0,,adjusted
2022-03-16,0.925,0.958,0.902,0.955,319160.0,,adjusted
2022-03-17,0.969,0.991,0.969,0.975,283573.0,,adjusted
2022-03-18,0.96,0.98,0.96,0.975,271148.0,,adjusted
2022-03-21,0.985,0.991,0.972,0.982,265867.0,,adjusted
2022-03-22,0.975,0.989,0.97,0.983,229970.0,,adjusted
2022-03-23,0.986,0.993,0.981,0.983,223827.0,,adjusted
2022-03-24,0.981,0.982,0.969,0.976,212084.0,,adjusted
2022-03-25,0.976,0.977,0.953,0.953,239127.0,,adjusted
2022-03-28,0.953,0.958,0.9,0.949,311182.0,,adjusted
2022-03-29,0.954,0.958,0.938,0.941,216133.0,,adjusted
2022-03-30,0.953,0.969,0.938,0.969,277840.0,,adjusted
2022-03-31,0.959,0.98,0.948,0.953,318138.0,,adjusted
2022-04-01,0.95,0.964,0.942,0.958,220938.0,,adjusted
2022-04-06,0.96,0.965,0.943,0.949,199266.0,,adjusted
2022-04-07,0.949,0.951,0.927,0.927,304288.0,,adjusted
2022-04-08,0.927,0.934,0.914,0.933,217477.0,,adjusted
2022-04-11,0.927,0.927,0.881,0.886,315585.0,,adjusted
2022-04-12,0.891,0.905,0.877,0.905,303985.0,,adjusted
2022-04-13,0.896,0.908,0.891,0.894,251696.0,,adjusted
2022-04-14,0.905,0.92,0.905,0.912,257825.0,,adjusted
2022-04-15,0.896,0.93,0.894,0.922,460334.0,,adjusted
2022-04-18,0.941,0.941,0.911,0.934,401149.0,,adjusted
2022-04-19,0.932,0.946,0.921,0.924,340896.0,,adjusted
2022-04-20,0.914,0.937,0.914,0.919,333420.0,,adjusted
2022-04-21,0.91,0.918,0.887,0.895,449661.0,,adjusted
2022-04-22,0.89,0.901,0.876,0.896,318657.0,,adjusted
2022-04-25,0.892,0.892,0.84,0.841,313649.0,,adjusted
2022-04-26,0.84,0.854,0.823,0.828,357288.0,,adjusted
2022-04-27,0.803,0.851,0.8,0.85,344816.0,,adjusted
2022-04-28,0.848,0.863,0.842,0.856,373302.0,,adjusted
2022-04-29,0.866,0.901,0.866,0.9,319643.0,,adjusted
2022-05-05,0.89,0.93,0.89,0.927,371872.0,,adjusted
2022-05-06,0.905,0.921,0.903,0.911,317043.0,,adjusted
2022-05-09,0.901,0.908,0.888,0.893,253488.0,,adjusted
2022-05-10,0.89,0.9,0.863,0.897,277523.0,,adjusted
2022-05-11,0.898,0.966,0.893,0.94,446299.0,,adjusted
2022-05-12,0.926,0.945,0.925,0.939,289010.0,,adjusted
2022-05-13,0.939,1.005,0.939,0.998,732773.0,,adjusted
2022-05-16,1.014,1.015,0.966,0.971,787691.0,,adjusted
2022-05-17,0.968,1.014,0.968,1.001,1136345.0,,adjusted
2022-05-18,1.004,1.03,0.99,1.006,1023162.0,,adjusted
2022-05-19,0.983,1.025,0.983,1.022,1165943.0,,adjusted
2022-05-20,1.016,1.029,1.007,1.023,815616.0,,adjusted
2022-05-23,1.025,1.048,1.012,1.047,958550.0,,adjusted
2022-05-24,1.064,1.089,1.035,1.037,1077574.0,,adjusted
2022-05-25,1.026,1.075,1.023,1.073,1036386.0,,adjusted
2022-05-26,1.064,1.064,1.039,1.053,1308000.0,,adjusted
