date,open,high,low,close,volume,amount,price_type
2021-01-04,10.261,10.866,10.157,10.563,1359361.0,,adjusted
2021-01-05,10.64,10.761,10.124,10.168,1482879.0,,adjusted
2021-01-06,10.316,10.552,9.931,10.223,1250232.0,,adjusted
2021-01-07,10.338,11.25,9.931,11.08,2594174.0,,adjusted
2021-01-08,11.195,11.574,10.591,11.486,2363165.0,,adjusted
2021-01-11,11.486,12.184,11.195,11.338,2187772.0,,adjusted
2021-01-12,11.03,11.124,10.426,10.833,1638048.0,,adjusted
2021-01-13,10.849,11.173,10.426,10.53,1390037.0,,adjusted
2021-01-14,10.316,10.316,9.459,9.558,1634893.0,,adjusted
2021-01-15,9.393,9.838,9.113,9.657,1121092.0,,adjusted
2021-01-18,9.393,9.563,9.206,9.399,745760.0,,adjusted
2021-01-19,9.453,9.701,9.289,9.492,893044.0,,adjusted
2021-01-20,9.541,9.712,9.316,9.382,1014449.0,,adjusted
2021-01-21,9.217,9.508,9.052,9.3,1140906.0,,adjusted
2021-01-22,9.239,9.794,9.135,9.679,1519587.0,,adjusted
2021-01-25,9.519,9.805,9.261,9.508,1265620.0,,adjusted
2021-01-26,9.497,9.519,8.981,9.019,1023452.0,,adjusted
2021-01-27,8.866,8.953,8.393,8.635,1353936.0,,adjusted
2021-01-28,8.459,8.552,8.195,8.25,1023803.0,,adjusted
2021-01-29,8.256,8.415,7.811,8.085,975840.0,,adjusted
2021-02-01,8.041,8.525,8.041,8.333,1153827.0,,adjusted
2021-02-02,8.75,9.305,8.646,9.305,1284508.0,,adjusted
2021-02-03,9.745,9.855,9.278,9.344,2125345.0,,adjusted
2021-02-04,9.338,9.756,9.206,9.585,1455636.0,,adjusted
2021-02-05,9.421,9.492,8.486,8.525,1626560.0,,adjusted
2021-02-08,8.338,9.19,8.338,8.975,1067030.0,,adjusted
2021-02-09,9.091,9.195,8.767,9.052,877026.0,,adjusted
2021-02-10,9.124,9.519,9.052,9.063,887360.0,,adjusted
2021-02-18,9.124,9.453,8.822,9.377,1127178.0,,adjusted
2021-02-19,9.212,9.212,8.723,9.03,1056389.0,,adjusted
2021-02-22,8.942,9.069,8.734,8.739,870348.0,,adjusted
2021-02-23,8.53,8.541,8.091,8.173,1083865.0,,adjusted
2021-02-24,8.146,8.382,7.942,8.025,878432.0,,adjusted
2021-02-25,8.179,8.217,7.981,8.091,566362.0,,adjusted
2021-02-26,7.888,8.992,7.734,8.585,1633424.0,,adjusted
2021-03-01,8.283,8.371,7.953,8.327,1124880.0,,adjusted
2021-03-02,8.355,8.355,8.003,8.074,806621.0,,adjusted
2021-03-03,7.926,8.173,7.827,8.135,666912.0,,adjusted
2021-03-04,8.036,8.036,7.827,7.838,679041.0,,adjusted
2021-03-05,7.717,8.03,7.629,7.926,616488.0,,adjusted
2021-03-08,7.953,8.047,7.64,7.673,611904.0,,adjusted
2021-03-09,7.635,7.64,6.871,7.019,1069981.0,,adjusted
2021-03-10,7.206,7.327,6.97,7.014,729249.0,,adjusted
