date,open,high,low,close,volume,amount,price_type
2018-01-02,27.156,27.456,26.646,27.426,146501.0,,adjusted
2018-01-03,27.306,28.876,27.266,28.606,211544.0,,adjusted
2018-01-04,28.596,28.626,28.156,28.566,95519.0,,adjusted
2018-01-05,28.546,28.746,27.936,28.166,102335.0,,adjusted
2018-01-08,28.066,28.126,27.196,27.596,122648.0,,adjusted
2018-01-09,27.566,27.926,27.296,27.886,124704.0,,adjusted
2018-01-10,27.866,27.866,27.216,27.456,100673.0,,adjusted
2018-01-11,27.356,28.436,27.216,28.206,145050.0,,adjusted
2018-01-12,28.086,28.146,27.756,27.776,76578.0,,adjusted
2018-01-15,27.766,27.846,26.646,26.766,158337.0,,adjusted
2018-01-16,26.766,27.346,26.386,26.706,142281.0,,adjusted
2018-01-17,27.026,27.096,25.506,26.616,132978.0,,adjusted
2018-01-18,26.556,26.846,25.966,26.076,93305.0,,adjusted
2018-01-19,26.076,26.496,26.006,26.166,69912.0,,adjusted
2018-01-22,26.236,26.886,25.676,26.686,98837.0,,adjusted
2018-01-23,26.506,26.806,26.106,26.186,99095.0,,adjusted
2018-01-24,26.246,27.156,25.846,27.106,131130.0,,adjusted
2018-01-25,27.106,27.396,26.766,26.986,122902.0,,adjusted
2018-01-26,27.266,27.966,27.226,27.776,169177.0,,adjusted
2018-01-29,28.166,28.166,25.556,26.096,256950.0,,adjusted
2018-01-30,25.836,26.396,25.726,25.896,69394.0,,adjusted
2018-01-31,26.106,26.176,24.466,24.526,140632.0,,adjusted
2018-02-01,24.416,24.506,22.786,23.436,213654.0,,adjusted
2018-02-02,23.396,24.366,23.106,24.126,129085.0,,adjusted
2018-02-05,23.606,24.366,23.316,23.446,76411.0,,adjusted
2018-02-06,22.306,23.256,22.306,22.446,91199.0,,adjusted
2018-02-07,23.206,23.506,21.906,23.246,134684.0,,adjusted
2018-02-08,23.156,24.256,22.986,24.146,128257.0,,adjusted
2018-02-09,23.416,24.006,23.116,23.426,79158.0,,adjusted
2018-02-12,23.696,24.866,23.696,24.576,96414.0,,adjusted
2018-02-13,24.596,25.086,24.406,24.596,67796.0,,adjusted
2018-02-14,24.506,25.036,24.416,24.726,43437.0,,adjusted
2018-02-22,24.806,25.636,24.806,25.176,60061.0,,adjusted
2018-02-23,25.386,25.886,24.806,24.986,68738.0,,adjusted
2018-02-26,25.306,26.696,25.136,26.346,143902.0,,adjusted
2018-02-27,26.366,27.186,26.106,26.216,172663.0,,adjusted
2018-02-28,25.946,27.116,25.786,26.726,115553.0,,adjusted
2018-03-01,26.406,28.006,26.326,27.456,140166.0,,adjusted
2018-03-02,27.326,27.676,26.786,27.196,106274.0,,adjusted
2018-03-05,27.176,27.646,26.636,27.556,91913.0,,adjusted
