date,open,high,low,close,volume,amount,price_type
2018-01-02,15.36,15.907,15.2,15.79,493848.0,,adjusted
2018-01-03,15.764,16.101,15.385,15.613,442550.0,,adjusted
2018-01-04,15.554,15.68,15.091,15.529,340906.0,,adjusted
2018-01-05,15.529,15.562,15.116,15.234,254846.0,,adjusted
2018-01-08,15.259,15.259,14.594,15.209,470712.0,,adjusted
2018-01-09,15.049,15.512,14.88,15.326,318167.0,,adjusted
2018-01-10,15.209,15.268,14.779,15.032,286292.0,,adjusted
2018-01-11,14.998,15.04,14.67,14.771,205473.0,,adjusted
2018-01-12,14.72,15.049,14.67,14.838,155359.0,,adjusted
2018-01-15,14.712,14.905,13.701,14.19,531567.0,,adjusted
2018-01-16,14.097,14.527,13.895,14.417,284568.0,,adjusted
2018-01-17,14.4,14.535,13.76,14.198,259240.0,,adjusted
2018-01-18,14.148,15.074,14.122,14.964,387972.0,,adjusted
2018-01-19,14.771,15.369,14.762,14.821,272245.0,,adjusted
2018-01-22,14.931,15.369,14.931,15.167,218896.0,,adjusted
2018-01-23,15.091,15.461,14.88,14.964,217652.0,,adjusted
2018-01-24,14.956,14.956,14.383,14.602,266377.0,,adjusted
2018-01-25,14.703,15.343,14.484,15.276,390184.0,,adjusted
2018-01-26,15.133,15.2,14.88,14.964,188835.0,,adjusted
2018-01-29,14.99,15.655,14.939,15.175,389798.0,,adjusted
2018-01-30,15.167,15.529,14.644,14.872,269297.0,,adjusted
2018-01-31,14.644,15.04,14.636,14.737,176170.0,,adjusted
2018-02-01,14.67,14.771,13.752,13.76,423258.0,,adjusted
2018-02-02,13.449,14.148,13.264,13.828,232197.0,,adjusted
2018-02-05,13.642,14.08,13.154,13.196,370839.0,,adjusted
2018-02-06,12.775,13.196,12.699,12.944,252724.0,,adjusted
2018-02-07,13.365,13.617,12.354,12.657,322528.0,,adjusted
2018-02-08,12.641,12.902,12.27,12.859,267351.0,,adjusted
2018-02-09,12.346,12.489,11.857,12.017,309702.0,,adjusted
2018-02-12,12.017,12.683,12.017,12.624,304622.0,,adjusted
2018-02-13,12.75,13.213,12.691,12.859,191668.0,,adjusted
2018-02-14,12.944,13.053,12.775,12.876,75544.0,,adjusted
2018-02-22,13.112,13.381,12.859,13.306,145307.0,,adjusted
2018-02-23,13.323,13.398,12.944,13.036,141329.0,,adjusted
2018-02-26,13.053,13.811,13.045,13.567,227824.0,,adjusted
2018-02-27,13.558,14.055,13.525,13.828,259491.0,,adjusted
2018-02-28,13.449,14.459,12.935,14.35,342089.0,,adjusted
2018-03-01,14.021,14.703,14.021,14.417,245238.0,,adjusted
2018-03-02,14.291,14.678,14.03,14.131,183719.0,,adjusted
2018-03-05,14.122,14.341,13.786,13.996,144169.0,,adjusted
2018-03-06,14.08,14.207,13.76,14.207,205373.0,,adjusted
2018-03-07,14.114,14.24,13.617,13.676,170258.0,,adjusted
2018-03-08,13.954,14.089,13.735,14.013,196821.0,,adjusted
2018-03-09,14.122,14.417,14.072,14.333,247186.0,,adjusted
2018-03-12,14.552,15.023,14.527,14.779,338764.0,,adjusted
2018-03-13,14.779,15.032,14.611,14.644,219596.0,,adjusted
2018-03-14,14.543,15.268,14.535,14.939,340337.0,,adjusted
2018-03-15,14.838,15.512,14.813,15.402,379697.0,,adjusted
2018-03-16,15.47,16.034,15.183,15.369,295078.0,,adjusted
2018-03-19,15.428,15.596,14.981,15.352,194731.0,,adjusted
2018-03-20,15.141,15.428,14.973,15.2,163267.0,,adjusted
2018-03-21,15.747,16.312,15.571,15.663,426349.0,,adjusted
2018-03-22,15.823,16.16,15.369,15.537,247730.0,,adjusted
2018-03-23,14.948,16.042,14.695,15.537,409348.0,,adjusted
2018-03-26,15.007,15.369,13.971,14.518,584922.0,,adjusted
2018-03-27,14.72,15.116,14.543,14.804,449408.0,,adjusted
2018-03-28,14.628,15.293,14.459,14.847,455570.0,,adjusted
2018-03-29,15.04,15.133,14.139,14.434,363157.0,,adjusted
2018-03-30,14.434,14.779,14.325,14.729,256577.0,,adjusted
2018-04-02,14.788,14.796,13.659,13.685,624159.0,,adjusted
2018-04-03,13.323,13.853,13.213,13.744,275229.0,,adjusted
2018-04-04,13.777,14.131,13.744,13.777,234639.0,,adjusted
2018-04-09,13.744,14.232,13.659,14.038,255447.0,,adjusted
2018-04-10,14.148,14.215,13.954,14.165,157944.0,,adjusted
2018-04-11,14.19,14.527,14.055,14.4,201499.0,,adjusted
2018-04-12,14.341,14.341,13.811,13.853,217492.0,,adjusted
2018-04-13,13.937,14.038,13.019,13.247,369505.0,,adjusted
2018-04-16,13.12,13.12,12.775,13.011,251624.0,,adjusted
2018-04-17,13.011,13.297,12.876,13.087,217856.0,,adjusted
2018-04-18,13.12,13.323,12.758,12.952,233518.0,,adjusted
2018-04-19,12.859,13.811,12.851,13.727,306710.0,,adjusted
2018-04-20,13.634,13.634,13.255,13.449,156183.0,,adjusted
2018-04-23,13.474,13.575,13.078,13.188,129182.0,,adjusted
2018-04-24,13.373,13.811,13.28,13.575,187453.0,,adjusted
2018-04-25,13.558,13.87,13.508,13.609,104951.0,,adjusted
2018-04-26,13.828,14.131,13.575,13.634,231780.0,,adjusted
2018-04-27,13.668,14.114,13.668,13.988,194664.0,,adjusted
2018-05-02,14.417,14.56,14.181,14.257,251166.0,,adjusted
2018-05-03,14.249,14.712,14.131,14.552,199270.0,,adjusted
2018-05-04,14.459,14.847,14.383,14.586,156752.0,,adjusted
2018-05-07,14.67,14.746,14.468,14.628,170207.0,,adjusted
2018-05-08,14.594,14.922,14.316,14.493,185035.0,,adjusted
2018-05-09,14.501,14.501,14.03,14.434,229885.0,,adjusted
2018-05-10,14.375,14.661,14.207,14.392,216641.0,,adjusted
2018-05-11,14.451,14.67,14.274,14.358,155500.0,,adjusted
2018-05-14,14.375,14.586,14.165,14.51,165733.0,,adjusted
2018-05-15,14.569,14.931,14.493,14.796,293884.0,,adjusted
2018-05-16,14.712,14.948,14.56,14.847,205764.0,,adjusted
2018-05-17,14.788,14.847,14.207,14.333,203694.0,,adjusted
2018-05-18,14.358,14.426,13.744,14.097,228360.0,,adjusted
2018-05-21,14.207,14.35,14.106,14.223,161534.0,,adjusted
2018-05-22,14.215,14.358,13.744,13.954,183820.0,,adjusted
2018-05-23,14.021,14.165,13.836,13.912,165916.0,,adjusted
2018-05-24,14.03,14.03,13.415,13.592,197697.0,,adjusted
2018-05-25,13.196,13.314,12.523,13.078,574806.0,,adjusted
2018-05-28,13.053,13.558,12.767,13.508,221010.0,,adjusted
2018-05-29,13.533,13.558,13.247,13.272,129395.0,,adjusted
2018-05-30,12.994,13.255,12.792,12.969,168435.0,,adjusted
2018-05-31,13.028,13.348,12.775,13.062,209007.0,,adjusted
2018-06-01,13.019,13.019,12.102,12.582,368770.0,,adjusted
2018-06-04,11.436,11.849,11.268,11.268,598314.0,,adjusted
2018-06-05,11.31,12.127,11.276,12.102,428944.0,,adjusted
2018-06-06,12.186,12.556,12.026,12.262,202111.0,,adjusted
2018-06-07,12.422,12.666,12.354,12.531,190426.0,,adjusted
2018-06-08,12.413,12.556,12.009,12.346,147875.0,,adjusted
2018-06-11,12.346,12.523,12.144,12.371,103277.0,,adjusted
2018-06-12,12.405,12.514,11.958,12.085,164487.0,,adjusted
2018-06-13,12.102,12.262,11.799,11.841,117361.0,,adjusted
2018-06-14,11.773,12.068,11.706,11.756,83688.0,,adjusted
2018-06-15,11.799,12.161,11.664,11.9,104744.0,,adjusted
2018-06-19,11.681,11.681,10.797,11.26,270010.0,,adjusted
2018-06-20,11.184,11.428,10.898,11.251,142677.0,,adjusted
2018-06-21,11.251,11.647,11.049,11.268,127204.0,,adjusted
2018-06-22,11.175,11.697,10.973,11.613,139398.0,,adjusted
2018-06-25,11.689,11.731,11.159,11.184,134440.0,,adjusted
2018-06-26,11.083,11.083,10.199,10.569,368323.0,,adjusted
2018-06-27,10.519,10.544,10.131,10.199,223642.0,,adjusted
2018-06-28,10.106,10.401,10.064,10.14,130393.0,,adjusted
2018-06-29,10.199,10.207,9.685,10.115,233429.0,,adjusted
2018-07-02,10.131,10.376,9.87,9.988,181469.0,,adjusted
2018-07-03,10.064,10.317,9.719,10.275,170361.0,,adjusted
2018-07-04,10.165,10.232,9.668,9.727,196992.0,,adjusted
2018-07-05,9.744,9.769,8.7,8.818,515707.0,,adjusted
2018-07-06,8.86,9.651,8.86,9.365,413680.0,,adjusted
2018-07-09,9.702,10.359,9.702,10.359,309887.0,,adjusted
2018-07-10,10.771,10.771,10.199,10.401,403715.0,,adjusted
2018-07-11,10.367,10.367,9.82,10.123,267277.0,,adjusted
2018-07-12,10.148,10.527,10.005,10.333,247331.0,,adjusted
2018-07-13,10.367,10.376,10.064,10.123,171756.0,,adjusted
