date,open,high,low,close,volume,amount,price_type
2018-01-02,27.746,27.818,26.896,27.611,213245.0,,adjusted
2018-01-03,27.618,29.425,27.618,29.039,452658.0,,adjusted
2018-01-04,28.868,29.268,28.711,29.161,270863.0,,adjusted
2018-01-05,29.146,29.239,28.439,28.696,245118.0,,adjusted
2018-01-08,28.518,28.525,27.304,28.068,372157.0,,adjusted
2018-01-09,27.868,28.646,27.604,28.489,276701.0,,adjusted
2018-01-10,28.732,28.739,27.461,27.711,315329.0,,adjusted
2018-01-11,27.546,28.204,27.282,27.789,238539.0,,adjusted
2018-01-12,27.582,28.011,27.304,27.596,170872.0,,adjusted
2018-01-15,27.554,28.439,27.268,27.718,369745.0,,adjusted
2018-01-16,27.475,28.982,27.354,28.939,504218.0,,adjusted
2018-01-17,29.125,29.196,27.654,28.068,381382.0,,adjusted
2018-01-18,27.882,28.361,27.761,27.789,177713.0,,adjusted
2018-01-19,27.839,28.304,27.582,27.889,182161.0,,adjusted
2018-01-22,27.789,27.996,27.046,27.882,284159.0,,adjusted
2018-01-23,27.954,28.575,27.725,28.175,253372.0,,adjusted
2018-01-24,28.225,29.225,27.768,29.011,402865.0,,adjusted
2018-01-25,28.996,29.004,28.246,28.289,270075.0,,adjusted
2018-01-26,28.082,28.182,27.368,27.382,330634.0,,adjusted
2018-01-29,27.282,27.282,24.525,24.525,788076.0,,adjusted
2018-01-30,23.618,24.404,23.296,23.832,422128.0,,adjusted
2018-01-31,24.154,24.954,23.989,24.532,335230.0,,adjusted
2018-02-01,24.696,24.711,23.575,23.661,334690.0,,adjusted
2018-02-02,23.982,24.768,23.554,24.325,244544.0,,adjusted
2018-02-05,23.796,24.625,23.596,23.875,203772.0,,adjusted
2018-02-06,23.161,23.439,21.418,21.604,474185.0,,adjusted
2018-02-07,22.382,22.496,20.946,21.868,364840.0,,adjusted
2018-02-08,21.804,23.211,21.782,22.775,313972.0,,adjusted
2018-02-09,22.011,22.654,21.661,22.046,285326.0,,adjusted
2018-02-12,22.546,23.996,22.439,23.625,333248.0,,adjusted
2018-02-13,24.118,24.139,23.554,23.725,217197.0,,adjusted
2018-02-14,23.868,24.118,23.632,24.075,150443.0,,adjusted
2018-02-22,24.368,24.904,24.011,24.611,217019.0,,adjusted
2018-02-23,24.654,25.382,24.554,24.739,214495.0,,adjusted
2018-02-26,25.154,26.189,24.875,25.904,346285.0,,adjusted
2018-02-27,26.118,26.868,26.004,26.068,376275.0,,adjusted
2018-02-28,25.725,26.782,25.496,26.661,281621.0,,adjusted
2018-03-01,26.425,27.054,26.332,26.789,236985.0,,adjusted
2018-03-02,26.546,27.225,26.304,26.418,220244.0,,adjusted
2018-03-05,26.568,27.004,26.254,26.475,167399.0,,adjusted
2018-03-06,26.511,27.225,26.511,27.139,275094.0,,adjusted
2018-03-07,27.082,27.082,26.154,26.168,274666.0,,adjusted
2018-03-08,26.168,26.575,26.161,26.396,129452.0,,adjusted
2018-03-09,26.539,27.625,26.525,27.496,377404.0,,adjusted
2018-03-12,27.704,27.996,27.496,27.868,264601.0,,adjusted
2018-03-13,27.725,27.782,27.161,27.275,182331.0,,adjusted
2018-03-14,27.061,27.504,27.025,27.039,138454.0,,adjusted
2018-03-15,26.975,27.546,26.625,27.146,163972.0,,adjusted
2018-03-16,27.218,27.289,26.361,26.368,178974.0,,adjusted
2018-03-19,26.654,27.289,26.654,26.932,181192.0,,adjusted
2018-03-20,26.725,27.411,26.582,27.268,177270.0,,adjusted
2018-03-21,27.404,27.568,26.732,26.811,184390.0,,adjusted
2018-03-22,26.868,27.068,26.025,26.204,198453.0,,adjusted
2018-03-23,24.518,25.561,23.896,24.368,333613.0,,adjusted
2018-03-26,23.911,25.089,23.654,24.725,261561.0,,adjusted
2018-03-27,25.461,25.696,25.089,25.596,247090.0,,adjusted
2018-03-28,25.111,25.525,24.961,25.046,154666.0,,adjusted
2018-03-29,25.332,25.396,24.646,25.104,159392.0,,adjusted
2018-03-30,25.211,25.868,25.118,25.746,182460.0,,adjusted
2018-04-02,25.718,26.225,25.461,25.818,202262.0,,adjusted
2018-04-03,25.225,25.461,24.554,24.646,270168.0,,adjusted
2018-04-04,24.868,25.032,24.118,24.254,226480.0,,adjusted
2018-04-09,24.282,24.732,23.789,24.482,166578.0,,adjusted
2018-04-10,24.461,24.946,24.425,24.925,136042.0,,adjusted
2018-04-11,25.132,25.354,25.011,25.168,149873.0,,adjusted
2018-04-12,25.118,25.182,24.296,24.318,184566.0,,adjusted
