date,open,high,low,close,volume,amount,price_type
2018-01-02,27.329,27.535,26.601,27.422,8917.0,,adjusted
2018-01-03,27.54,27.832,26.97,27.381,12812.0,,adjusted
2018-01-04,27.078,27.396,26.365,26.847,21111.0,,adjusted
2018-01-05,26.97,27.791,26.442,26.739,27450.0,,adjusted
2018-01-08,27.273,27.278,26.293,26.457,30173.0,,adjusted
2018-01-09,26.97,27.94,26.775,27.75,23205.0,,adjusted
2018-01-10,28.038,29.664,27.92,28.761,37878.0,,adjusted
2018-01-11,28.407,29.177,28.166,28.874,13895.0,,adjusted
2018-01-12,28.499,29.526,28.499,28.931,16531.0,,adjusted
2018-01-15,28.972,29.372,28.212,28.592,14388.0,,adjusted
2018-01-16,28.859,28.859,27.555,27.637,25745.0,,adjusted
2018-01-17,27.894,28.161,27.473,27.848,19293.0,,adjusted
2018-01-18,27.437,28.612,26.96,27.894,12037.0,,adjusted
2018-01-19,27.894,28.304,27.565,27.663,7828.0,,adjusted
2018-01-22,27.848,28.048,27.063,27.637,15248.0,,adjusted
2018-01-23,27.068,27.92,27.063,27.791,13466.0,,adjusted
2018-01-24,27.843,30.573,27.268,30.378,28402.0,,adjusted
2018-01-25,30.922,31.127,29.716,30.178,29079.0,,adjusted
2018-01-26,29.849,30.511,29.849,30.019,9429.0,,adjusted
2018-01-29,30.614,30.614,26.806,27.766,33508.0,,adjusted
2018-01-30,27.098,28.761,27.063,28.664,10421.0,,adjusted
2018-01-31,28.089,28.966,27.596,27.807,9862.0,,adjusted
2018-02-01,27.483,28.561,27.027,27.175,11080.0,,adjusted
2018-02-02,27.175,28.715,27.021,28.366,12553.0,,adjusted
2018-02-05,27.417,28.356,26.996,27.432,12920.0,,adjusted
2018-02-06,25.584,27.011,25.584,26.462,13813.0,,adjusted
2018-02-07,27.016,27.278,25.02,25.79,20854.0,,adjusted
2018-02-08,25.785,27.74,25.533,27.53,20369.0,,adjusted
2018-02-09,26.621,28.048,26.621,27.725,18696.0,,adjusted
2018-02-12,27.725,29.567,27.714,28.566,20779.0,,adjusted
2018-02-13,28.576,29.1,28.15,28.407,9037.0,,adjusted
2018-02-14,28.433,28.715,28.161,28.689,4485.0,,adjusted
2018-02-22,28.869,30.604,28.869,30.434,17371.0,,adjusted
2018-02-23,30.208,31.225,30.208,31.225,14818.0,,adjusted
2018-02-26,31.255,33.472,31.24,33.129,22178.0,,adjusted
2018-02-27,33.17,33.575,31.707,32.898,28421.0,,adjusted
2018-02-28,32.615,33.411,31.902,33.062,11868.0,,adjusted
2018-03-01,32.708,33.652,32.138,33.103,16255.0,,adjusted
2018-03-02,33.688,36.516,33.108,34.104,26070.0,,adjusted
2018-03-05,34.412,34.642,32.682,34.304,16140.0,,adjusted
2018-03-06,33.734,34.463,33.436,33.698,14193.0,,adjusted
2018-03-07,33.821,35.746,33.821,34.766,15710.0,,adjusted
2018-03-08,35.13,36.336,35.13,36.085,19680.0,,adjusted
2018-03-09,35.997,36.767,35.494,35.997,15254.0,,adjusted
2018-03-12,36.233,38.302,36.105,37.034,20229.0,,adjusted
2018-03-13,37.799,37.809,36.274,36.357,11577.0,,adjusted
2018-03-14,36.269,36.762,35.777,35.9,11093.0,,adjusted
2018-03-15,35.977,36.659,35.13,36.464,8513.0,,adjusted
2018-03-16,36.12,38.25,35.879,37.645,15757.0,,adjusted
2018-03-19,37.696,37.799,37.111,37.799,7719.0,,adjusted
2018-03-20,37.624,38.512,37.311,38.312,10887.0,,adjusted
2018-03-21,38.594,38.594,37.593,37.819,20439.0,,adjusted
2018-03-22,37.604,37.722,36.772,36.926,10539.0,,adjusted
2018-03-23,33.693,36.618,33.693,34.663,21603.0,,adjusted
2018-03-26,33.693,36.772,31.384,36.3,40075.0,,adjusted
2018-03-27,35.736,36.362,34.73,35.233,34396.0,,adjusted
2018-03-28,34.268,35.438,33.282,33.282,16840.0,,adjusted
2018-03-29,33.442,34.642,33.442,34.104,23618.0,,adjusted
2018-03-30,34.412,36.813,34.412,36.439,29802.0,,adjusted
2018-04-02,36.541,37.537,35.443,35.864,27876.0,,adjusted
2018-04-03,35.089,36.09,34.791,35.238,11081.0,,adjusted
2018-04-04,36.259,38.476,36.259,37.208,32047.0,,adjusted
2018-04-09,37.876,38.312,36.428,37.65,14448.0,,adjusted
2018-04-10,37.619,37.619,36.259,36.988,21942.0,,adjusted
2018-04-11,36.983,37.747,36.49,37.229,14959.0,,adjusted
2018-04-12,37.183,37.465,36.67,36.916,7399.0,,adjusted
2018-04-13,37.27,37.27,36.259,36.259,8610.0,,adjusted
2018-04-16,36.259,39.179,36.259,37.901,32804.0,,adjusted
