trade_date,open,high,low,close,volume,amount,price_type
2024-05-06,7.86,8.48,7.85,8.48,441678.0,,raw
2024-05-07,8.45,8.72,8.28,8.55,705337.0,,raw
2024-05-08,8.49,8.64,8.26,8.29,378316.0,,raw
2024-05-09,8.27,8.41,8.14,8.31,350994.0,,raw
2024-05-10,8.31,8.37,8.17,8.29,278831.0,,raw
2024-05-13,8.17,9.1,7.94,8.65,681595.0,,raw
2024-05-14,8.58,9.52,8.58,9.52,728807.0,,raw
2024-05-15,9.7,9.85,9.09,9.17,1047512.0,,raw
2024-05-16,9.19,9.34,8.82,8.86,506707.0,,raw
2024-05-17,8.8,8.92,8.62,8.68,441336.0,,raw
2024-05-20,8.72,8.99,8.48,8.78,575064.0,,raw
2024-05-21,8.74,9.36,8.6,9.21,741164.0,,raw
2024-05-22,8.98,9.02,8.61,8.77,534141.0,,raw
2024-05-23,8.59,8.6,8.35,8.44,355807.0,,raw
2024-05-24,8.36,8.67,8.21,8.37,333714.0,,raw
2024-05-27,8.38,8.65,8.35,8.51,271623.0,,raw
2024-05-28,8.43,8.5,8.01,8.11,314030.0,,raw
2024-05-29,8.03,8.15,7.95,8.01,229016.0,,raw
2024-05-30,8.05,8.19,7.95,7.95,221411.0,,raw
2024-05-31,7.91,8.02,7.77,7.79,242991.0,,raw
2024-06-03,7.83,7.85,7.57,7.67,218094.0,,raw
2024-06-04,7.67,7.73,7.56,7.72,181771.0,,raw
2024-06-05,7.75,7.75,7.43,7.45,203977.0,,raw
2024-06-06,7.37,7.47,7.08,7.2,315073.0,,raw
2024-06-07,7.26,7.44,7.18,7.42,194158.0,,raw
2024-06-11,7.33,7.38,7.21,7.32,129107.0,,raw
2024-06-12,7.28,7.51,7.22,7.48,174608.0,,raw
2024-06-13,7.45,7.48,7.28,7.3,139322.0,,raw
2024-06-14,7.28,7.35,7.21,7.33,98082.0,,raw
2024-06-17,7.27,7.43,7.22,7.39,122337.0,,raw
2024-06-18,7.37,7.69,7.33,7.68,223448.0,,raw
2024-06-19,7.67,7.79,7.64,7.65,170099.0,,raw
2024-06-20,7.65,8.18,7.4,7.88,362655.0,,raw
2024-06-21,7.71,7.87,7.56,7.62,244585.0,,raw
2024-06-24,7.51,7.66,7.33,7.33,173120.0,,raw
2024-06-25,7.33,7.54,7.21,7.26,175318.0,,raw
2024-06-26,7.25,7.42,7.19,7.42,154340.0,,raw
2024-06-27,7.38,7.42,7.12,7.12,138992.0,,raw
2024-06-28,7.12,7.47,7.09,7.36,190541.0,,raw
2024-07-01,7.36,7.65,7.3,7.54,139119.0,,raw
2024-07-02,7.51,7.62,7.48,7.54,113848.0,,raw
2024-07-03,7.56,7.67,7.49,7.52,97696.0,,raw
2024-07-04,7.53,7.64,7.33,7.33,120930.0,,raw
2024-07-05,7.38,7.44,7.21,7.37,105419.0,,raw
2024-07-08,7.38,7.44,7.2,7.23,101720.0,,raw
2024-07-09,7.23,7.34,6.9,7.33,185773.0,,raw
2024-07-10,7.4,8.06,7.4,8.04,507904.0,,raw
2024-07-11,7.93,8.47,7.82,8.28,634378.0,,raw
2024-07-12,8.45,9.11,8.35,9.11,856626.0,,raw
2024-07-15,9.6,10.02,8.88,8.95,1508131.0,,raw
2024-07-16,9.13,9.85,9.13,9.85,687155.0,,raw
2024-07-17,10.28,10.56,9.85,9.94,1467829.0,,raw
2024-07-18,9.5,9.96,9.3,9.68,1080623.0,,raw
2024-07-19,10.01,10.65,10.01,10.45,1760574.0,,raw
2024-07-22,10.5,11.5,10.46,11.5,1066735.0,,raw
2024-07-23,12.0,12.65,11.89,12.65,670712.0,,raw
2024-07-24,13.0,13.28,11.42,11.66,1890993.0,,raw
2024-07-25,12.09,12.83,12.09,12.83,764756.0,,raw
2024-07-26,13.85,14.11,12.15,14.11,2080059.0,,raw
