date,open,high,low,close,volume,amount,price_type
2018-01-02,9.694,9.739,9.057,9.444,335212.0,,adjusted
2018-01-03,9.279,9.944,9.279,9.899,304057.0,,adjusted
2018-01-04,9.896,10.194,9.717,10.076,241136.0,,adjusted
2018-01-05,10.059,10.25,9.731,10.079,301041.0,,adjusted
2018-01-08,9.975,9.975,9.587,9.798,276794.0,,adjusted
2018-01-09,9.77,9.871,9.579,9.677,204313.0,,adjusted
2018-01-10,9.725,10.003,9.534,9.857,243660.0,,adjusted
2018-01-11,9.61,9.632,9.343,9.475,295791.0,,adjusted
2018-01-12,9.478,9.736,9.377,9.663,223389.0,,adjusted
2018-01-15,9.568,9.68,8.875,9.068,308310.0,,adjusted
2018-01-16,9.071,9.287,8.768,8.945,289256.0,,adjusted
2018-01-17,8.922,8.945,8.114,8.748,465975.0,,adjusted
2018-01-18,9.021,9.077,8.72,8.765,262372.0,,adjusted
2018-01-19,9.063,9.582,8.936,9.265,355670.0,,adjusted
2018-01-22,9.441,9.576,9.315,9.467,277835.0,,adjusted
2018-01-23,9.419,10.132,9.298,10.104,438629.0,,adjusted
2018-01-24,10.073,10.6,10.006,10.3,445451.0,,adjusted
2018-01-25,10.255,10.398,9.862,9.966,341271.0,,adjusted
2018-01-26,10.275,10.362,10.003,10.053,347076.0,,adjusted
2018-01-29,9.919,10.306,9.865,9.919,297114.0,,adjusted
2018-01-30,9.913,10.269,9.89,10.081,250393.0,,adjusted
2018-01-31,10.039,10.205,9.919,10.171,228975.0,,adjusted
2018-02-01,10.011,10.16,9.5,9.683,322233.0,,adjusted
2018-02-02,9.579,10.109,9.346,9.963,208080.0,,adjusted
2018-02-05,9.273,9.694,8.903,8.903,701352.0,,adjusted
2018-02-06,8.628,8.953,8.586,8.726,369926.0,,adjusted
2018-02-07,8.959,8.992,8.207,8.456,347849.0,,adjusted
2018-02-08,8.465,8.586,8.052,8.254,344982.0,,adjusted
2018-02-09,7.794,8.381,7.758,8.08,322015.0,,adjusted
2018-02-12,8.137,8.734,8.137,8.597,205074.0,,adjusted
2018-02-13,8.734,8.796,8.384,8.417,191540.0,,adjusted
2018-02-14,8.423,8.703,8.378,8.616,119851.0,,adjusted
2018-02-22,8.698,8.931,8.698,8.9,145607.0,,adjusted
2018-02-23,8.908,8.978,8.075,8.58,317103.0,,adjusted
2018-02-26,8.487,8.984,8.398,8.953,315938.0,,adjusted
2018-02-27,9.001,9.287,8.877,9.138,361170.0,,adjusted
2018-02-28,8.987,9.267,8.83,9.035,168145.0,,adjusted
2018-03-01,8.964,9.792,8.95,9.7,342778.0,,adjusted
2018-03-02,9.697,9.795,9.363,9.405,185279.0,,adjusted
2018-03-05,9.385,9.565,9.242,9.484,152541.0,,adjusted
2018-03-06,9.486,9.775,9.436,9.658,168866.0,,adjusted
2018-03-07,9.601,9.803,9.498,9.683,175522.0,,adjusted
2018-03-08,9.615,9.801,9.486,9.534,159097.0,,adjusted
2018-03-09,9.526,9.773,9.47,9.652,146225.0,,adjusted
2018-03-12,9.717,10.059,9.672,9.865,209085.0,,adjusted
2018-03-13,9.834,9.91,9.385,9.399,217022.0,,adjusted
2018-03-14,9.399,9.731,9.399,9.694,199532.0,,adjusted
2018-03-15,9.68,9.803,9.52,9.649,128201.0,,adjusted
2018-03-16,9.655,9.705,9.481,9.495,93338.0,,adjusted
2018-03-19,9.498,9.498,9.248,9.282,138495.0,,adjusted
2018-03-20,9.197,9.245,9.023,9.136,125750.0,,adjusted
2018-03-21,9.245,9.714,9.245,9.436,242539.0,,adjusted
2018-03-22,9.436,9.607,9.304,9.385,123693.0,,adjusted
2018-03-23,8.922,9.231,8.518,8.917,235082.0,,adjusted
2018-03-26,8.684,9.223,8.684,8.922,236362.0,,adjusted
2018-03-27,9.113,9.138,8.88,9.004,165763.0,,adjusted
2018-03-28,8.931,8.931,8.642,8.706,233160.0,,adjusted
2018-03-29,8.908,9.035,8.586,8.835,168559.0,,adjusted
2018-03-30,8.908,9.032,8.852,8.984,134487.0,,adjusted
2018-04-02,9.046,9.049,8.827,8.92,127073.0,,adjusted
2018-04-03,8.813,9.026,8.659,8.88,141121.0,,adjusted
2018-04-04,8.956,9.009,8.459,8.504,256025.0,,adjusted
2018-04-09,8.501,8.681,8.431,8.549,123373.0,,adjusted
2018-04-10,8.572,8.737,8.566,8.723,105992.0,,adjusted
2018-04-11,8.827,8.964,8.776,8.793,106019.0,,adjusted
2018-04-12,8.754,8.894,8.462,8.574,131255.0,,adjusted
2018-04-13,8.605,8.703,8.403,8.448,96354.0,,adjusted
2018-04-16,8.431,8.504,8.094,8.153,171712.0,,adjusted
2018-04-17,8.207,8.263,7.926,7.979,181548.0,,adjusted
2018-04-18,8.061,8.616,7.982,8.524,320622.0,,adjusted
2018-04-19,8.566,9.189,8.566,8.984,349352.0,,adjusted
2018-04-20,8.917,9.13,8.79,8.92,156729.0,,adjusted
2018-04-23,8.962,9.119,8.804,8.931,201838.0,,adjusted
2018-04-24,8.931,9.329,8.931,9.279,232800.0,,adjusted
2018-04-25,9.192,9.273,9.057,9.237,119407.0,,adjusted
2018-04-26,9.237,9.237,8.872,9.015,154837.0,,adjusted
2018-04-27,9.037,9.231,8.936,9.026,128288.0,,adjusted
2018-05-02,8.939,9.178,8.628,8.838,180072.0,,adjusted
2018-05-03,8.852,9.077,8.746,9.068,162650.0,,adjusted
2018-05-04,8.978,9.267,8.95,9.113,124279.0,,adjusted
2018-05-07,9.164,9.537,8.978,9.422,197549.0,,adjusted
2018-05-08,9.427,10.095,9.324,9.75,306868.0,,adjusted
2018-05-09,9.75,9.829,9.669,9.784,117633.0,,adjusted
2018-05-10,9.89,9.961,9.599,9.68,122114.0,,adjusted
2018-05-11,9.736,10.073,9.719,10.014,194261.0,,adjusted
2018-05-14,10.031,10.241,9.865,10.011,189289.0,,adjusted
2018-05-15,10.059,10.421,10.059,10.382,203354.0,,adjusted
2018-05-16,10.396,10.396,10.146,10.255,95485.0,,adjusted
2018-05-17,10.236,10.261,9.573,9.705,215965.0,,adjusted
2018-05-18,9.767,9.806,9.425,9.708,196949.0,,adjusted
2018-05-21,9.739,9.986,9.733,9.888,146525.0,,adjusted
2018-05-22,9.916,10.182,9.834,10.081,156918.0,,adjusted
2018-05-23,10.081,10.166,9.806,9.854,108539.0,,adjusted
2018-05-24,9.941,9.941,9.391,9.453,241919.0,,adjusted
2018-05-25,9.47,9.503,9.203,9.253,166869.0,,adjusted
2018-05-28,9.36,9.408,9.102,9.259,176172.0,,adjusted
2018-05-29,9.263,9.412,8.964,9.008,183543.0,,adjusted
2018-05-30,8.847,9.067,8.654,8.882,205125.0,,adjusted
2018-05-31,9.004,9.114,8.67,8.905,242595.0,,adjusted
2018-06-01,8.945,8.992,8.022,8.198,494246.0,,adjusted
2018-06-04,7.322,7.322,7.322,7.322,48230.0,,adjusted
2018-06-05,6.532,6.532,6.532,6.532,70176.0,,adjusted
2018-06-06,6.14,6.371,5.861,6.265,1594173.0,,adjusted
2018-06-07,6.112,6.234,6.057,6.132,634766.0,,adjusted
2018-06-08,6.151,6.273,6.081,6.183,428935.0,,adjusted
2018-06-11,6.175,6.175,5.861,5.982,497650.0,,adjusted
2018-06-12,6.163,6.273,5.998,6.238,476738.0,,adjusted
2018-06-13,6.147,6.257,6.002,6.034,295380.0,,adjusted
2018-06-14,6.018,6.034,5.774,5.935,304721.0,,adjusted
2018-06-15,5.759,5.845,5.68,5.715,350390.0,,adjusted
2018-06-19,5.621,5.664,5.33,5.397,394488.0,,adjusted
2018-06-20,5.334,5.817,5.334,5.727,323816.0,,adjusted
2018-06-21,5.735,5.88,5.617,5.676,213822.0,,adjusted
2018-06-22,5.617,5.814,5.527,5.79,180696.0,,adjusted
2018-06-25,5.841,5.924,5.684,5.711,227943.0,,adjusted
2018-06-26,5.621,5.833,5.539,5.692,225778.0,,adjusted
2018-06-27,5.723,5.975,5.645,5.947,353663.0,,adjusted
2018-06-28,5.92,6.037,5.825,5.869,235101.0,,adjusted
