date,open,high,low,close,volume,amount,price_type
2022-01-04,25.499,25.638,24.332,24.548,400649.0,,adjusted
2022-01-05,24.485,24.679,23.346,23.805,439494.0,,adjusted
2022-01-06,23.416,23.985,23.013,23.784,471437.0,,adjusted
2022-01-07,23.742,24.048,23.103,23.193,329603.0,,adjusted
2022-01-10,23.18,23.707,22.561,23.395,339799.0,,adjusted
2022-01-11,23.339,24.11,23.096,23.881,360519.0,,adjusted
2022-01-12,25.186,25.86,24.582,24.888,646651.0,,adjusted
2022-01-13,25.145,25.193,24.61,25.075,357756.0,,adjusted
2022-01-14,24.749,24.888,23.978,24.221,311210.0,,adjusted
2022-01-17,24.221,24.86,23.624,23.798,315936.0,,adjusted
2022-01-18,23.811,25.02,23.673,24.818,365185.0,,adjusted
2022-01-19,25.061,26.291,24.749,25.666,433785.0,,adjusted
2022-01-20,25.721,26.277,24.749,25.159,238250.0,,adjusted
2022-01-21,25.235,25.304,23.895,24.186,243704.0,,adjusted
2022-01-24,23.978,24.61,23.818,24.124,166615.0,,adjusted
2022-01-25,23.811,24.2,22.464,22.652,327018.0,,adjusted
2022-01-26,23.013,24.263,22.95,24.249,344344.0,,adjusted
2022-01-27,24.499,24.499,23.138,23.186,287581.0,,adjusted
2022-01-28,23.499,23.603,21.555,21.971,438358.0,,adjusted
2022-02-07,22.666,22.839,22.041,22.485,225398.0,,adjusted
2022-02-08,22.582,22.589,21.277,21.652,288091.0,,adjusted
2022-02-09,21.52,21.673,20.492,21.638,385927.0,,adjusted
2022-02-10,21.478,21.589,20.582,20.999,274440.0,,adjusted
2022-02-11,20.86,20.999,20.103,20.18,397796.0,,adjusted
2022-02-14,19.909,20.214,19.568,19.846,310764.0,,adjusted
2022-02-15,20.075,20.923,19.846,20.811,263108.0,,adjusted
2022-02-16,21.166,21.166,20.436,20.492,231297.0,,adjusted
2022-02-17,20.61,21.596,20.409,21.43,412329.0,,adjusted
2022-02-18,21.27,21.346,20.728,21.096,213570.0,,adjusted
2022-02-21,21.2,21.763,20.735,21.18,299758.0,,adjusted
2022-02-22,20.888,21.034,20.443,20.964,203081.0,,adjusted
2022-02-23,20.964,21.943,20.811,21.923,272124.0,,adjusted
2022-02-24,21.624,22.436,21.311,21.693,306012.0,,adjusted
2022-02-25,22.048,22.617,21.735,21.902,193697.0,,adjusted
2022-02-28,21.902,22.346,21.603,22.214,200565.0,,adjusted
2022-03-01,22.561,22.7,22.11,22.18,203865.0,,adjusted
2022-03-02,22.061,22.381,21.277,21.409,308036.0,,adjusted
2022-03-03,21.631,21.881,20.902,20.985,210264.0,,adjusted
2022-03-04,20.721,21.193,20.582,20.881,202498.0,,adjusted
2022-03-07,20.881,20.895,19.957,20.173,295318.0,,adjusted
2022-03-08,20.395,20.978,20.048,20.374,358257.0,,adjusted
2022-03-09,20.728,21.43,20.18,21.311,463849.0,,adjusted
2022-03-10,22.145,22.582,21.666,22.325,400825.0,,adjusted
2022-03-11,22.075,22.318,21.499,22.138,293680.0,,adjusted
2022-03-14,21.735,22.138,21.409,21.45,230938.0,,adjusted
2022-03-15,21.221,21.86,20.027,20.2,359100.0,,adjusted
2022-03-16,20.492,20.645,17.95,18.436,1067548.0,,adjusted
2022-03-17,18.811,19.867,18.485,19.249,718881.0,,adjusted
2022-03-18,19.193,19.193,18.055,19.055,401571.0,,adjusted
2022-03-21,19.02,19.686,18.784,19.388,240267.0,,adjusted
2022-03-22,19.339,19.645,18.589,18.791,230938.0,,adjusted
2022-03-23,19.152,20.068,18.888,19.839,380884.0,,adjusted
2022-03-24,19.68,19.853,19.367,19.714,193938.0,,adjusted
2022-03-25,19.714,19.791,19.027,19.089,194812.0,,adjusted
2022-03-28,18.666,19.082,18.485,18.7,166329.0,,adjusted
2022-03-29,18.707,18.846,18.166,18.277,253777.0,,adjusted
2022-03-30,18.555,19.534,18.367,19.52,342977.0,,adjusted
2022-03-31,19.506,19.645,18.95,19.534,286806.0,,adjusted
2022-04-01,19.381,19.541,18.985,19.061,207411.0,,adjusted
2022-04-06,19.193,19.298,18.388,18.568,209035.0,,adjusted
2022-04-07,18.499,18.95,18.374,18.568,166926.0,,adjusted
2022-04-08,18.603,19.013,18.367,18.589,138571.0,,adjusted
2022-04-11,18.353,18.353,16.978,17.11,323442.0,,adjusted
2022-04-12,17.457,17.971,17.214,17.805,220959.0,,adjusted
2022-04-13,17.798,17.805,17.11,17.457,160457.0,,adjusted
2022-04-14,17.513,18.068,17.388,17.818,150130.0,,adjusted
2022-04-15,17.631,17.763,17.305,17.478,114248.0,,adjusted
2022-04-18,17.249,18.2,17.186,18.013,130246.0,,adjusted
2022-04-19,18.18,18.346,17.603,17.666,124592.0,,adjusted
2022-04-20,17.652,17.763,17.131,17.166,162649.0,,adjusted
2022-04-21,16.784,17.145,16.152,16.311,224442.0,,adjusted
2022-04-22,16.138,16.478,15.93,16.263,167549.0,,adjusted
2022-04-25,15.895,16.117,15.617,15.721,243479.0,,adjusted
2022-04-26,15.756,15.943,15.43,15.596,241258.0,,adjusted
2022-04-27,15.888,17.388,15.791,17.388,411426.0,,adjusted
2022-04-28,17.527,18.2,17.388,17.964,300490.0,,adjusted
2022-04-29,18.666,19.985,17.909,19.888,403225.0,,adjusted
2022-05-05,20.992,20.992,19.2,19.436,350315.0,,adjusted
2022-05-06,18.957,20.061,18.867,19.534,187478.0,,adjusted
2022-05-09,19.193,19.999,19.138,19.825,118708.0,,adjusted
2022-05-10,20.041,20.534,19.541,19.902,330117.0,,adjusted
2022-05-11,19.902,20.68,19.68,20.305,276934.0,,adjusted
2022-05-12,20.061,20.971,19.992,20.86,239002.0,,adjusted
2022-05-13,20.923,20.93,20.277,20.541,159027.0,,adjusted
2022-05-16,20.784,21.138,20.409,20.777,99370.0,,adjusted
2022-05-17,20.839,21.457,20.471,21.416,160646.0,,adjusted
2022-05-18,21.464,21.52,20.7,21.034,181907.0,,adjusted
2022-05-19,20.7,21.409,20.527,21.173,109976.0,,adjusted
2022-05-20,21.374,21.832,20.756,21.763,304310.0,,adjusted
2022-05-23,21.575,21.575,20.464,21.18,232711.0,,adjusted
2022-05-24,20.999,21.311,20.2,20.221,228375.0,,adjusted
2022-05-25,20.166,21.228,19.825,21.055,240490.0,,adjusted
2022-05-26,20.811,21.138,20.277,20.902,166635.0,,adjusted
2022-05-27,21.013,21.596,20.652,20.791,120998.0,,adjusted
2022-05-30,20.874,21.381,20.492,21.291,164137.0,,adjusted
2022-05-31,21.95,22.18,21.291,21.45,376662.0,,adjusted
2022-06-01,21.416,22.214,21.277,22.131,293830.0,,adjusted
2022-06-02,22.513,22.513,21.7,22.152,214517.0,,adjusted
2022-06-06,21.978,22.214,21.381,21.673,322437.0,,adjusted
2022-06-07,21.52,21.624,20.791,21.416,249430.0,,adjusted
2022-06-08,21.277,21.409,20.27,20.867,358816.0,,adjusted
2022-06-09,20.964,21.374,20.582,20.853,214406.0,,adjusted
2022-06-10,20.506,21.082,20.443,21.068,212105.0,,adjusted
2022-06-13,20.721,21.041,20.43,20.798,209273.0,,adjusted
2022-06-14,20.381,20.575,19.214,19.95,330528.0,,adjusted
2022-06-15,19.749,20.298,19.534,19.805,217664.0,,adjusted
2022-06-16,19.798,20.443,19.763,20.228,193121.0,,adjusted
2022-06-17,20.27,20.839,19.957,20.548,215960.0,,adjusted
2022-06-20,20.798,20.985,20.263,20.346,253549.0,,adjusted
2022-06-21,20.513,20.652,19.971,20.36,201984.0,,adjusted
2022-06-22,20.617,20.817,19.959,20.0,210764.0,,adjusted
2022-06-23,19.95,21.442,19.709,21.259,315859.0,,adjusted
2022-06-24,21.6,21.775,21.167,21.584,228306.0,,adjusted
2022-06-27,21.834,21.834,21.167,21.4,274584.0,,adjusted
2022-06-28,21.459,21.459,20.784,21.267,203916.0,,adjusted
2022-06-29,21.284,21.334,20.2,20.25,354286.0,,adjusted
2022-06-30,20.2,20.684,20.2,20.45,165712.0,,adjusted
2022-07-01,20.45,20.825,20.35,20.517,140795.0,,adjusted
2022-07-04,20.292,21.259,20.217,21.242,345266.0,,adjusted
2022-07-05,21.359,21.675,21.034,21.534,380539.0,,adjusted
2022-07-06,21.517,22.117,20.867,21.192,313942.0,,adjusted
2022-07-07,21.209,22.334,20.875,22.1,380755.0,,adjusted
2022-07-08,22.334,22.534,21.617,21.759,384376.0,,adjusted
2022-07-11,22.017,22.775,21.725,22.2,549564.0,,adjusted
2022-07-12,22.017,22.95,21.9,21.959,449407.0,,adjusted
2022-07-13,21.784,22.9,21.734,22.717,545015.0,,adjusted
2022-07-14,22.709,23.225,22.284,22.592,385263.0,,adjusted
2022-07-15,22.6,23.692,22.534,23.067,504430.0,,adjusted
2022-07-18,23.067,23.367,22.534,23.117,372563.0,,adjusted
2022-07-19,23.125,23.125,22.125,22.209,334653.0,,adjusted
2022-07-20,22.35,22.425,21.992,22.217,189755.0,,adjusted
2022-07-21,22.117,22.934,21.875,22.384,273483.0,,adjusted
2022-07-22,22.384,23.034,22.384,22.742,239159.0,,adjusted
2022-07-25,22.617,22.642,21.509,21.642,250297.0,,adjusted
2022-07-26,21.492,22.075,21.467,21.992,151699.0,,adjusted
2022-07-27,21.984,22.125,21.367,22.092,257751.0,,adjusted
2022-07-28,22.084,22.192,21.617,21.659,167987.0,,adjusted
2022-07-29,21.95,23.509,21.95,22.267,498764.0,,adjusted
