date,open,high,low,close,volume,amount,price_type
2022-01-04,8.187,8.277,7.737,7.807,485661.0,,adjusted
2022-01-05,7.797,7.887,7.477,7.557,359624.0,,adjusted
2022-01-06,7.477,7.787,7.397,7.707,264803.0,,adjusted
2022-01-07,7.647,7.777,7.467,7.607,280970.0,,adjusted
2022-01-10,7.607,7.887,7.507,7.727,332724.0,,adjusted
2022-01-11,7.687,7.737,7.397,7.467,310345.0,,adjusted
2022-01-12,8.307,8.307,8.307,8.307,328673.0,,adjusted
2022-01-13,8.387,8.777,8.197,8.437,1126103.0,,adjusted
2022-01-14,8.147,8.767,8.107,8.487,784463.0,,adjusted
2022-01-17,8.477,8.647,8.277,8.447,514630.0,,adjusted
2022-01-18,8.377,9.197,8.297,8.947,1040411.0,,adjusted
2022-01-19,8.817,9.087,8.687,8.797,604532.0,,adjusted
2022-01-20,8.717,8.897,8.347,8.377,554772.0,,adjusted
2022-01-21,8.397,8.597,8.217,8.317,415901.0,,adjusted
2022-01-24,8.237,8.597,8.237,8.307,292048.0,,adjusted
2022-01-25,8.197,8.247,7.547,7.577,521481.0,,adjusted
2022-01-26,7.757,8.117,7.657,7.957,495241.0,,adjusted
2022-01-27,7.877,8.047,7.747,7.787,327600.0,,adjusted
2022-01-28,7.897,7.947,7.127,7.427,447624.0,,adjusted
2022-02-07,7.567,7.957,7.497,7.897,341405.0,,adjusted
2022-02-08,7.897,7.997,7.597,7.997,304184.0,,adjusted
2022-02-09,7.897,8.237,7.757,8.237,398873.0,,adjusted
2022-02-10,8.137,8.467,8.047,8.197,414362.0,,adjusted
2022-02-11,8.087,8.117,7.737,7.757,355243.0,,adjusted
2022-02-14,7.737,7.817,7.537,7.567,208597.0,,adjusted
2022-02-15,7.567,7.757,7.397,7.737,220747.0,,adjusted
2022-02-16,7.767,7.777,7.577,7.617,194367.0,,adjusted
2022-02-17,7.527,7.787,7.507,7.547,266613.0,,adjusted
2022-02-18,7.447,7.707,7.317,7.587,216969.0,,adjusted
2022-02-21,7.547,7.757,7.517,7.747,212349.0,,adjusted
2022-02-22,7.617,7.697,7.327,7.437,300302.0,,adjusted
2022-02-23,7.447,7.657,7.397,7.647,284864.0,,adjusted
2022-02-24,7.547,7.807,7.227,7.357,403232.0,,adjusted
2022-02-25,7.407,7.667,7.377,7.417,221790.0,,adjusted
2022-02-28,7.397,7.477,7.107,7.467,223347.0,,adjusted
2022-03-01,7.487,7.647,7.447,7.477,191571.0,,adjusted
2022-03-02,7.387,7.697,7.357,7.667,244490.0,,adjusted
2022-03-03,7.757,7.797,7.547,7.577,242747.0,,adjusted
2022-03-04,7.377,7.557,7.277,7.307,218452.0,,adjusted
2022-03-07,7.197,7.217,6.917,7.007,237678.0,,adjusted
2022-03-08,7.017,7.057,6.777,6.807,179901.0,,adjusted
2022-03-09,6.857,6.917,6.457,6.907,213422.0,,adjusted
2022-03-10,7.037,7.127,6.907,7.007,195857.0,,adjusted
2022-03-11,6.847,6.997,6.667,6.977,165388.0,,adjusted
2022-03-14,6.847,6.897,6.587,6.597,159195.0,,adjusted
2022-03-15,6.577,6.597,6.077,6.097,212436.0,,adjusted
2022-03-16,6.167,6.247,5.837,6.217,267432.0,,adjusted
2022-03-17,6.317,6.527,6.247,6.357,229842.0,,adjusted
2022-03-18,6.307,6.427,6.277,6.387,121361.0,,adjusted
2022-03-21,6.397,6.497,6.197,6.347,134307.0,,adjusted
2022-03-22,6.347,6.377,6.247,6.307,104235.0,,adjusted
2022-03-23,6.427,6.847,6.397,6.657,373173.0,,adjusted
2022-03-24,6.627,6.627,6.407,6.427,180994.0,,adjusted
2022-03-25,6.427,6.467,6.277,6.277,121474.0,,adjusted
2022-03-28,6.217,6.467,6.157,6.417,150775.0,,adjusted
2022-03-29,6.447,6.477,6.227,6.317,90771.0,,adjusted
2022-03-30,6.417,7.037,6.417,7.037,580106.0,,adjusted
2022-03-31,6.897,7.467,6.787,7.107,648346.0,,adjusted
2022-04-01,6.947,7.077,6.847,6.897,317503.0,,adjusted
2022-04-06,6.817,6.947,6.707,6.937,208341.0,,adjusted
2022-04-07,6.887,6.887,6.547,6.567,229362.0,,adjusted
2022-04-08,6.607,6.687,6.457,6.607,141697.0,,adjusted
2022-04-11,6.547,6.577,6.097,6.147,220342.0,,adjusted
2022-04-12,6.107,6.307,6.017,6.297,164752.0,,adjusted
2022-04-13,6.247,6.257,6.107,6.177,110406.0,,adjusted
2022-04-14,6.197,6.277,6.117,6.247,108124.0,,adjusted
2022-04-15,6.227,6.297,6.167,6.277,152352.0,,adjusted
2022-04-18,6.247,6.537,6.177,6.487,210911.0,,adjusted
2022-04-19,6.477,6.687,6.397,6.427,134643.0,,adjusted
2022-04-20,6.417,6.467,6.237,6.277,92357.0,,adjusted
2022-04-21,6.287,6.287,5.907,5.917,175063.0,,adjusted
2022-04-22,5.847,5.977,5.687,5.757,157609.0,,adjusted
2022-04-25,5.667,5.687,5.147,5.157,197556.0,,adjusted
2022-04-26,5.197,5.397,5.107,5.207,159562.0,,adjusted
2022-04-27,5.207,5.617,5.177,5.587,220545.0,,adjusted
2022-04-28,5.477,5.697,5.457,5.527,162649.0,,adjusted
2022-04-29,5.547,5.767,5.487,5.697,192442.0,,adjusted
2022-05-05,5.617,5.817,5.617,5.707,151190.0,,adjusted
2022-05-06,5.557,5.637,5.477,5.597,126461.0,,adjusted
2022-05-09,5.587,5.737,5.587,5.697,92092.0,,adjusted
2022-05-10,5.617,5.917,5.597,5.837,153470.0,,adjusted
2022-05-11,5.837,5.987,5.757,5.777,241011.0,,adjusted
2022-05-12,5.737,5.917,5.647,5.767,172654.0,,adjusted
2022-05-13,5.797,5.837,5.697,5.757,108212.0,,adjusted
2022-05-16,5.797,5.817,5.657,5.697,119724.0,,adjusted
2022-05-17,5.707,5.757,5.537,5.727,140070.0,,adjusted
2022-05-18,5.737,5.847,5.717,5.787,124394.0,,adjusted
2022-05-19,5.697,5.897,5.627,5.897,186185.0,,adjusted
2022-05-20,5.897,6.197,5.797,6.157,315777.0,,adjusted
2022-05-23,6.097,6.197,6.007,6.167,183073.0,,adjusted
2022-05-24,6.087,6.197,5.797,5.807,229101.0,,adjusted
2022-05-25,5.837,6.477,5.817,6.427,440073.0,,adjusted
2022-05-26,6.237,6.387,6.207,6.317,341107.0,,adjusted
2022-05-27,6.317,6.337,6.127,6.217,170225.0,,adjusted
2022-05-30,6.237,6.737,6.117,6.577,470931.0,,adjusted
2022-05-31,6.647,7.077,6.467,6.727,649847.0,,adjusted
2022-06-01,6.667,6.987,6.597,6.887,407802.0,,adjusted
2022-06-02,6.777,6.867,6.697,6.797,275946.0,,adjusted
2022-06-06,6.737,6.957,6.677,6.817,284813.0,,adjusted
2022-06-07,6.817,6.887,6.637,6.717,234120.0,,adjusted
2022-06-08,6.667,6.747,6.357,6.557,309409.0,,adjusted
2022-06-09,6.587,6.667,6.367,6.557,229837.0,,adjusted
2022-06-10,6.557,6.647,6.457,6.587,170569.0,,adjusted
2022-06-13,6.487,6.747,6.467,6.637,190680.0,,adjusted
2022-06-14,6.547,6.697,6.347,6.697,195479.0,,adjusted
2022-06-15,6.717,6.787,6.597,6.617,220430.0,,adjusted
2022-06-16,6.617,6.737,6.557,6.637,187075.0,,adjusted
2022-06-17,6.597,7.027,6.557,6.867,365616.0,,adjusted
2022-06-20,6.897,7.067,6.807,6.837,251147.0,,adjusted
2022-06-21,6.917,6.937,6.697,6.787,217477.0,,adjusted
2022-06-22,6.817,7.127,6.707,6.877,313936.0,,adjusted
2022-06-23,6.887,6.997,6.697,6.957,279594.0,,adjusted
2022-06-24,6.967,7.127,6.907,6.987,226025.0,,adjusted
2022-06-27,7.017,7.287,6.897,7.197,371686.0,,adjusted
2022-06-28,7.207,7.557,7.067,7.457,468472.0,,adjusted
2022-06-29,7.403,7.413,7.073,7.163,343290.0,,adjusted
2022-06-30,7.173,7.273,7.033,7.093,244612.0,,adjusted
2022-07-01,7.053,7.393,7.023,7.173,234639.0,,adjusted
