date,open,high,low,close,volume,amount,price_type
2022-01-04,47.28,47.76,45.21,45.5,145060.0,,adjusted
2022-01-05,45.49,45.75,43.26,43.63,130456.0,,adjusted
2022-01-06,43.0,44.8,42.8,44.03,177127.0,,adjusted
2022-01-07,43.9,44.4,41.93,42.85,143705.0,,adjusted
2022-01-10,42.4,43.88,42.08,42.76,81443.0,,adjusted
2022-01-11,42.72,43.96,42.14,42.91,105858.0,,adjusted
2022-01-12,45.15,46.85,43.47,44.4,186578.0,,adjusted
2022-01-13,43.88,44.3,41.8,42.65,136852.0,,adjusted
2022-01-14,41.8,44.66,41.8,44.03,123617.0,,adjusted
2022-01-17,43.05,46.1,43.05,44.9,123679.0,,adjusted
2022-01-18,44.5,45.41,43.68,44.95,156936.0,,adjusted
2022-01-19,44.74,47.21,44.28,45.9,134749.0,,adjusted
2022-01-20,46.27,46.56,44.3,44.89,84094.0,,adjusted
2022-01-21,44.8,45.77,43.7,44.32,87360.0,,adjusted
2022-01-24,44.4,46.35,44.16,45.55,71525.0,,adjusted
2022-01-25,45.15,45.69,43.6,43.8,76818.0,,adjusted
2022-01-26,43.86,47.0,43.51,45.78,114324.0,,adjusted
2022-01-27,45.6,46.5,44.55,44.99,82215.0,,adjusted
2022-01-28,46.11,46.11,42.6,43.4,132504.0,,adjusted
2022-02-07,43.95,44.38,42.8,43.76,64163.0,,adjusted
2022-02-08,43.69,43.69,40.7,42.22,99638.0,,adjusted
2022-02-09,41.7,43.65,40.48,43.37,93699.0,,adjusted
2022-02-10,43.4,43.5,41.43,41.93,85970.0,,adjusted
2022-02-11,41.49,41.92,39.5,40.0,108676.0,,adjusted
2022-02-14,39.6,41.49,39.16,40.79,71058.0,,adjusted
2022-02-15,40.89,43.08,40.41,42.8,78935.0,,adjusted
2022-02-16,43.2,43.56,42.18,42.45,51483.0,,adjusted
2022-02-17,42.36,44.09,41.73,43.65,59982.0,,adjusted
2022-02-18,42.97,43.64,42.6,43.23,31440.0,,adjusted
2022-02-21,43.17,44.5,42.72,44.04,44278.0,,adjusted
2022-02-22,43.77,43.77,42.12,43.52,37545.0,,adjusted
2022-02-23,43.49,45.45,43.0,44.23,60333.0,,adjusted
2022-02-24,44.4,45.28,43.34,44.13,54608.0,,adjusted
2022-02-25,44.58,45.37,43.9,44.26,44429.0,,adjusted
2022-02-28,44.33,45.08,43.55,44.94,43609.0,,adjusted
2022-03-01,44.97,45.7,43.99,44.16,44778.0,,adjusted
2022-03-02,43.87,44.1,42.27,42.5,63792.0,,adjusted
2022-03-03,42.59,43.0,40.5,40.69,73339.0,,adjusted
2022-03-04,40.41,41.32,39.9,40.35,39580.0,,adjusted
2022-03-07,39.9,40.34,38.08,38.45,110330.0,,adjusted
2022-03-08,38.79,39.55,36.6,37.22,112595.0,,adjusted
2022-03-09,37.41,38.55,35.5,37.25,89501.0,,adjusted
2022-03-10,38.1,38.77,37.41,37.43,62111.0,,adjusted
2022-03-11,36.82,37.78,36.2,37.67,57861.0,,adjusted
2022-03-14,37.07,37.75,36.19,36.34,71016.0,,adjusted
2022-03-15,36.22,37.1,34.3,34.35,147956.0,,adjusted
2022-03-16,35.4,35.57,32.97,34.95,158239.0,,adjusted
2022-03-17,35.42,36.96,34.92,36.1,108582.0,,adjusted
2022-03-18,35.9,35.95,34.25,35.1,93164.0,,adjusted
2022-03-21,35.06,36.98,34.9,36.23,93433.0,,adjusted
2022-03-22,36.8,36.8,35.4,35.75,67515.0,,adjusted
2022-03-23,36.08,37.35,35.62,36.56,63264.0,,adjusted
2022-03-24,36.2,36.4,35.4,35.63,43015.0,,adjusted
2022-03-25,35.97,35.98,34.21,34.32,59723.0,,adjusted
2022-03-28,34.06,34.49,33.45,34.34,72874.0,,adjusted
2022-03-29,32.3,33.1,31.3,31.83,302390.0,,adjusted
2022-03-30,32.46,33.05,31.22,31.92,158824.0,,adjusted
2022-03-31,31.72,31.86,30.27,30.7,130829.0,,adjusted
2022-04-01,30.9,31.24,30.26,31.02,82446.0,,adjusted
2022-04-06,31.21,31.24,29.3,29.58,143777.0,,adjusted
2022-04-07,29.58,29.74,28.04,28.48,157581.0,,adjusted
2022-04-08,28.79,28.85,27.66,28.11,123565.0,,adjusted
2022-04-11,28.12,28.2,26.62,26.75,112281.0,,adjusted
2022-04-12,26.51,27.95,26.51,27.56,135451.0,,adjusted
2022-04-13,27.23,27.8,26.95,27.19,82907.0,,adjusted
2022-04-14,27.34,28.21,27.34,27.8,64234.0,,adjusted
2022-04-15,27.81,28.65,27.25,28.23,66425.0,,adjusted
2022-04-18,28.7,30.28,27.52,30.18,99963.0,,adjusted
2022-04-19,30.2,30.56,28.5,28.71,132069.0,,adjusted
2022-04-20,28.61,28.72,27.71,27.83,71341.0,,adjusted
2022-04-21,27.89,28.1,26.93,27.02,58139.0,,adjusted
2022-04-22,26.91,27.4,26.4,26.75,85759.0,,adjusted
2022-04-25,25.98,26.44,24.7,24.7,104739.0,,adjusted
2022-04-26,24.85,24.9,22.87,23.1,98236.0,,adjusted
2022-04-27,23.1,25.62,22.54,25.62,109639.0,,adjusted
2022-04-28,25.72,27.02,25.13,26.49,129390.0,,adjusted
2022-04-29,26.54,28.97,26.16,27.98,147867.0,,adjusted
2022-05-05,28.07,28.7,27.38,28.42,70304.0,,adjusted
2022-05-06,27.8,29.7,27.7,28.56,59963.0,,adjusted
2022-05-09,28.56,29.28,27.8,28.95,57719.0,,adjusted
2022-05-10,28.77,30.08,28.34,29.43,62919.0,,adjusted
2022-05-11,29.48,31.3,28.99,29.77,104664.0,,adjusted
2022-05-12,29.5,30.35,29.35,29.65,44964.0,,adjusted
2022-05-13,29.9,30.35,29.46,29.8,34654.0,,adjusted
2022-05-16,30.0,30.7,29.26,29.45,42556.0,,adjusted
2022-05-17,29.61,29.83,28.81,29.78,57941.0,,adjusted
2022-05-18,29.8,30.58,29.31,29.84,44372.0,,adjusted
2022-05-19,29.47,29.88,29.0,29.88,51705.0,,adjusted
2022-05-20,29.7,31.72,29.18,31.35,159348.0,,adjusted
2022-05-23,31.76,32.9,30.78,32.51,144351.0,,adjusted
2022-05-24,31.94,33.22,30.49,30.55,96134.0,,adjusted
2022-05-25,30.14,31.93,29.28,31.62,122651.0,,adjusted
2022-05-26,31.29,31.62,29.56,30.95,119798.0,,adjusted
2022-05-27,30.88,32.33,30.42,31.44,102887.0,,adjusted
2022-05-30,31.44,33.54,31.4,33.1,113230.0,,adjusted
2022-05-31,33.51,35.48,33.4,34.45,151722.0,,adjusted
2022-06-01,34.6,36.86,34.49,36.61,93275.0,,adjusted
2022-06-02,36.4,37.84,34.95,37.15,132475.0,,adjusted
2022-06-06,36.6,37.07,36.0,36.27,85278.0,,adjusted
2022-06-07,36.39,36.56,34.76,34.96,94646.0,,adjusted
2022-06-08,35.2,35.2,33.5,34.46,125832.0,,adjusted
2022-06-09,34.22,34.76,33.1,33.61,72549.0,,adjusted
2022-06-10,33.58,34.19,32.91,34.0,75191.0,,adjusted
2022-06-13,33.78,34.18,32.83,33.28,64376.0,,adjusted
2022-06-14,33.1,33.26,31.96,33.2,87615.0,,adjusted
2022-06-15,33.2,34.02,32.36,32.85,72852.0,,adjusted
2022-06-16,32.7,34.33,32.65,33.4,66369.0,,adjusted
2022-06-17,33.3,34.95,32.9,34.7,76529.0,,adjusted
2022-06-20,34.6,35.48,33.9,34.15,79204.0,,adjusted
2022-06-21,34.1,34.39,32.6,33.56,76569.0,,adjusted
2022-06-22,33.89,34.95,33.1,33.2,87826.0,,adjusted
2022-06-23,33.2,33.8,32.18,33.68,89203.0,,adjusted
2022-06-24,33.88,35.17,33.8,33.98,91040.0,,adjusted
2022-06-27,34.19,34.83,33.29,33.86,78520.0,,adjusted
2022-06-28,33.83,34.37,32.66,34.3,83789.0,,adjusted
2022-06-29,34.0,34.28,31.9,32.06,122205.0,,adjusted
2022-06-30,32.1,34.22,32.1,33.76,130499.0,,adjusted
2022-07-01,33.47,33.68,31.78,31.9,107751.0,,adjusted
2022-07-04,31.68,35.28,31.09,35.28,187580.0,,adjusted
2022-07-05,35.3,36.42,34.8,36.2,202355.0,,adjusted
2022-07-06,36.27,36.55,34.9,35.55,94766.0,,adjusted
2022-07-07,35.78,36.72,34.96,36.72,114026.0,,adjusted
2022-07-08,38.04,38.48,36.62,36.98,139669.0,,adjusted
2022-07-11,36.6,38.29,36.0,37.05,127839.0,,adjusted
2022-07-12,36.62,38.18,36.32,37.22,111514.0,,adjusted
2022-07-13,38.78,41.13,38.78,40.2,220761.0,,adjusted
2022-07-14,40.53,42.78,40.07,41.12,145614.0,,adjusted
2022-07-15,40.9,42.05,40.67,40.75,112719.0,,adjusted
2022-07-18,41.08,45.02,41.0,45.02,213353.0,,adjusted
2022-07-19,44.78,45.21,42.18,43.0,140811.0,,adjusted
2022-07-20,44.11,44.3,43.11,43.88,89042.0,,adjusted
2022-07-21,43.19,43.59,42.05,42.41,78994.0,,adjusted
2022-07-22,42.1,43.11,41.77,43.05,62664.0,,adjusted
2022-07-25,42.55,44.6,41.92,43.03,82280.0,,adjusted
2022-07-26,42.58,43.89,42.1,43.59,47299.0,,adjusted
2022-07-27,43.22,43.4,42.1,42.68,60125.0,,adjusted
2022-07-28,43.35,43.7,42.1,43.06,85316.0,,adjusted
2022-07-29,43.1,45.22,42.29,42.36,111195.0,,adjusted
2022-08-01,41.92,42.99,41.35,42.08,92483.0,,adjusted
2022-08-02,41.28,43.52,40.69,42.31,97507.0,,adjusted
2022-08-03,42.38,43.77,41.79,42.53,82118.0,,adjusted
