date,open,high,low,close,volume,amount,price_type
2018-01-02,9.731,9.91,9.552,9.881,165635.0,,adjusted
2018-01-03,10.103,10.103,9.731,9.989,183123.0,,adjusted
2018-01-04,9.939,9.946,9.43,9.709,209968.0,,adjusted
2018-01-05,9.673,9.688,8.885,9.129,337950.0,,adjusted
2018-01-08,9.036,9.136,8.391,8.721,281231.0,,adjusted
2018-01-09,8.649,8.706,8.391,8.484,204831.0,,adjusted
2018-01-10,8.477,8.577,8.112,8.169,205406.0,,adjusted
2018-01-11,8.148,8.527,8.105,8.398,148146.0,,adjusted
2018-01-12,8.391,8.585,8.241,8.262,125613.0,,adjusted
2018-01-15,8.255,8.255,7.661,7.775,193509.0,,adjusted
2018-01-16,7.775,7.868,7.388,7.56,165492.0,,adjusted
2018-01-17,7.575,8.162,7.295,7.99,214427.0,,adjusted
2018-01-18,7.997,8.556,7.961,8.305,236433.0,,adjusted
2018-01-19,8.312,8.663,8.255,8.312,147450.0,,adjusted
2018-01-22,8.312,8.585,8.255,8.413,159287.0,,adjusted
2018-01-23,8.327,8.628,8.298,8.549,132029.0,,adjusted
2018-01-24,8.456,8.85,8.312,8.757,190575.0,,adjusted
2018-01-25,8.757,9.029,8.434,8.563,156796.0,,adjusted
2018-01-26,8.456,8.807,8.37,8.585,105679.0,,adjusted
2018-01-29,8.527,8.814,8.312,8.384,109547.0,,adjusted
2018-01-30,8.312,8.728,8.312,8.649,113833.0,,adjusted
2018-01-31,8.234,8.42,7.395,8.219,171502.0,,adjusted
2018-02-01,8.226,8.671,8.09,8.133,157981.0,,adjusted
2018-02-02,7.854,8.355,7.453,7.539,204897.0,,adjusted
2018-02-05,7.216,7.453,6.758,6.88,268394.0,,adjusted
2018-02-06,6.593,6.851,6.385,6.507,157631.0,,adjusted
2018-02-07,6.808,6.987,6.171,6.736,214887.0,,adjusted
2018-02-08,6.779,6.88,6.457,6.55,206646.0,,adjusted
2018-02-09,6.171,6.4,5.798,6.034,213276.0,,adjusted
2018-02-12,6.221,6.98,6.199,6.951,178386.0,,adjusted
2018-02-13,7.073,7.216,6.758,6.951,136822.0,,adjusted
2018-02-14,6.93,6.966,6.686,6.851,77453.0,,adjusted
2018-02-22,6.994,7.209,6.787,7.159,99218.0,,adjusted
2018-02-23,7.138,7.152,6.751,6.851,107540.0,,adjusted
2018-02-26,6.994,7.926,6.865,7.926,265338.0,,adjusted
2018-02-27,7.789,8.284,7.768,7.954,217543.0,,adjusted
2018-02-28,7.725,8.269,7.725,7.94,158566.0,,adjusted
2018-03-01,7.947,8.599,7.818,8.513,256343.0,,adjusted
2018-03-02,8.42,8.585,8.148,8.176,170519.0,,adjusted
2018-03-05,8.241,8.341,8.076,8.269,135102.0,,adjusted
2018-03-06,8.334,8.628,8.248,8.37,177234.0,,adjusted
2018-03-07,8.384,8.656,8.119,8.477,184347.0,,adjusted
2018-03-08,8.427,8.635,8.327,8.37,106105.0,,adjusted
2018-03-09,8.363,8.921,8.348,8.828,214350.0,,adjusted
2018-03-12,8.885,9.573,8.885,9.294,271619.0,,adjusted
2018-03-13,9.33,9.351,9.086,9.136,162198.0,,adjusted
2018-03-14,9.05,9.229,8.95,8.95,148305.0,,adjusted
2018-03-15,8.835,8.957,8.549,8.914,131920.0,,adjusted
2018-03-16,8.871,9.072,8.499,8.499,140307.0,,adjusted
2018-03-19,8.398,9.079,8.284,9.0,190445.0,,adjusted
2018-03-20,8.885,9.022,8.692,8.885,112230.0,,adjusted
2018-03-21,9.014,9.43,8.692,8.785,186563.0,,adjusted
2018-03-22,8.785,9.194,8.785,8.986,184943.0,,adjusted
2018-03-23,8.441,8.592,7.754,7.789,226082.0,,adjusted
2018-03-26,7.417,8.957,7.417,8.957,258241.0,,adjusted
2018-03-27,9.172,9.516,9.1,9.358,277129.0,,adjusted
2018-03-28,9.172,9.745,9.1,9.588,255087.0,,adjusted
2018-03-29,9.602,9.709,9.279,9.609,175764.0,,adjusted
2018-03-30,9.709,9.924,9.494,9.874,264675.0,,adjusted
2018-04-02,9.91,10.003,9.337,9.702,303892.0,,adjusted
2018-04-03,9.459,9.709,9.251,9.494,212369.0,,adjusted
2018-04-04,9.623,9.623,8.857,8.871,177204.0,,adjusted
2018-04-09,8.8,9.301,8.785,9.115,205652.0,,adjusted
2018-04-10,9.301,9.373,8.857,9.136,155735.0,,adjusted
2018-04-11,9.315,9.38,8.964,9.079,155179.0,,adjusted
2018-04-12,9.057,9.279,8.864,9.014,99436.0,,adjusted
2018-04-13,9.057,9.172,8.413,8.649,183566.0,,adjusted
2018-04-16,8.527,8.785,8.241,8.484,178507.0,,adjusted
2018-04-17,8.506,8.728,8.004,8.026,214244.0,,adjusted
2018-04-18,8.162,8.8,7.954,8.62,197085.0,,adjusted
2018-04-19,8.599,9.365,8.549,9.143,279735.0,,adjusted
2018-04-20,9.115,9.294,8.828,8.921,178679.0,,adjusted
2018-04-23,8.85,9.079,8.685,9.057,151651.0,,adjusted
2018-04-24,9.079,9.709,8.957,9.595,302240.0,,adjusted
2018-04-25,9.573,9.595,9.251,9.38,189159.0,,adjusted
2018-04-26,9.401,9.444,9.029,9.165,130691.0,,adjusted
2018-04-27,9.251,9.308,8.907,9.151,129868.0,,adjusted
2018-05-02,9.172,9.444,8.878,9.057,143602.0,,adjusted
2018-05-03,9.079,9.158,8.477,8.914,191717.0,,adjusted
2018-05-04,8.821,9.057,8.613,8.692,162362.0,,adjusted
2018-05-07,8.807,9.724,8.663,9.552,307132.0,,adjusted
2018-05-08,9.602,9.716,9.416,9.709,219749.0,,adjusted
2018-05-09,9.709,9.817,9.466,9.652,151997.0,,adjusted
2018-05-10,9.716,9.989,9.473,9.86,240317.0,,adjusted
2018-05-11,9.86,9.86,9.358,9.487,188648.0,,adjusted
2018-05-14,9.43,9.43,8.957,9.158,230453.0,,adjusted
2018-05-15,9.186,9.251,8.9,9.151,184021.0,,adjusted
2018-05-16,9.1,9.265,8.814,9.036,167951.0,,adjusted
2018-05-17,9.05,9.05,8.492,8.613,234399.0,,adjusted
2018-05-18,8.613,8.62,8.055,8.212,252121.0,,adjusted
2018-05-21,8.305,8.499,8.183,8.363,257214.0,,adjusted
2018-05-22,8.355,8.363,7.754,8.033,310695.0,,adjusted
2018-05-23,8.047,8.162,7.711,7.725,234201.0,,adjusted
2018-05-24,7.725,7.904,7.704,7.761,151735.0,,adjusted
