date,open,high,low,close,volume,amount,price_type
2022-01-04,14.198,14.29,13.629,13.713,794911.0,,adjusted
2022-01-05,13.713,13.744,13.029,13.052,842190.0,,adjusted
2022-01-06,13.005,13.259,12.813,13.09,509071.0,,adjusted
2022-01-07,13.036,13.267,12.944,13.029,419339.0,,adjusted
2022-01-10,13.044,13.075,12.352,12.69,621050.0,,adjusted
2022-01-11,12.698,12.929,12.544,12.598,409689.0,,adjusted
2022-01-12,12.929,13.352,12.929,13.313,860516.0,,adjusted
2022-01-13,13.321,13.352,12.975,13.005,542904.0,,adjusted
2022-01-14,12.89,13.144,12.698,12.905,361835.0,,adjusted
2022-01-17,13.236,13.405,13.067,13.182,517540.0,,adjusted
2022-01-18,13.144,13.621,13.044,13.513,644153.0,,adjusted
2022-01-19,13.359,13.39,13.167,13.275,429790.0,,adjusted
2022-01-20,13.252,13.321,12.836,12.905,437700.0,,adjusted
2022-01-21,12.882,13.129,12.775,12.829,309086.0,,adjusted
2022-01-24,12.805,13.136,12.675,12.998,302881.0,,adjusted
2022-01-25,12.89,12.982,12.413,12.421,422236.0,,adjusted
2022-01-26,12.621,12.99,12.521,12.736,489579.0,,adjusted
2022-01-27,12.659,12.852,12.467,12.49,413812.0,,adjusted
2022-01-28,12.521,12.636,11.682,12.236,626884.0,,adjusted
2022-02-07,12.482,13.005,12.482,12.905,567345.0,,adjusted
2022-02-08,12.898,13.075,12.613,13.075,490464.0,,adjusted
2022-02-09,12.967,13.175,12.859,13.09,438112.0,,adjusted
2022-02-10,13.075,13.075,12.775,12.929,390287.0,,adjusted
2022-02-11,12.836,12.913,12.582,12.613,379671.0,,adjusted
2022-02-14,12.475,12.667,12.282,12.367,300139.0,,adjusted
2022-02-15,12.405,12.69,12.329,12.575,334299.0,,adjusted
2022-02-16,12.713,12.867,12.629,12.675,370337.0,,adjusted
2022-02-17,12.782,13.375,12.782,13.082,705294.0,,adjusted
2022-02-18,12.89,13.413,12.821,13.236,615314.0,,adjusted
2022-02-21,13.221,13.413,13.059,13.344,514355.0,,adjusted
2022-02-22,13.159,13.382,13.09,13.305,476198.0,,adjusted
2022-02-23,13.275,13.775,13.275,13.682,921776.0,,adjusted
2022-02-24,13.536,13.89,12.952,13.252,1070155.0,,adjusted
2022-02-25,13.429,13.667,13.313,13.352,628158.0,,adjusted
2022-02-28,13.344,13.467,13.159,13.413,491815.0,,adjusted
2022-03-01,13.736,14.144,13.552,13.667,970791.0,,adjusted
2022-03-02,13.544,13.813,13.405,13.713,632263.0,,adjusted
2022-03-03,13.929,13.998,13.559,13.621,537224.0,,adjusted
2022-03-04,13.444,13.582,13.221,13.29,487517.0,,adjusted
2022-03-07,13.205,13.39,13.029,13.059,511510.0,,adjusted
2022-03-08,13.098,13.29,12.675,12.929,590941.0,,adjusted
2022-03-09,13.09,13.182,11.967,12.836,646928.0,,adjusted
2022-03-10,13.259,13.798,13.19,13.621,1255834.0,,adjusted
2022-03-11,13.559,14.19,13.452,14.182,1413482.0,,adjusted
2022-03-14,14.052,14.413,13.805,13.875,1072446.0,,adjusted
2022-03-15,13.652,14.021,13.098,13.105,979802.0,,adjusted
2022-03-16,13.567,13.936,13.044,13.929,1109578.0,,adjusted
2022-03-17,14.313,14.352,13.736,13.775,1105542.0,,adjusted
2022-03-18,13.629,13.89,13.544,13.782,523162.0,,adjusted
2022-03-21,13.682,14.005,13.598,13.713,553141.0,,adjusted
2022-03-22,13.636,13.798,13.352,13.413,525914.0,,adjusted
2022-03-23,13.505,13.929,13.413,13.605,596051.0,,adjusted
2022-03-24,13.436,13.459,13.159,13.267,522195.0,,adjusted
2022-03-25,13.259,13.352,12.775,12.775,562187.0,,adjusted
2022-03-28,12.79,13.475,12.782,13.275,649487.0,,adjusted
2022-03-29,13.39,13.652,13.244,13.482,545637.0,,adjusted
2022-03-30,13.582,13.844,13.467,13.736,637507.0,,adjusted
2022-03-31,13.59,13.69,13.405,13.567,471186.0,,adjusted
2022-04-01,13.467,13.844,13.398,13.759,510763.0,,adjusted
2022-04-06,13.582,13.659,13.275,13.367,493045.0,,adjusted
2022-04-07,13.282,13.552,13.267,13.298,381792.0,,adjusted
2022-04-08,13.236,13.282,12.813,12.967,624372.0,,adjusted
2022-04-11,12.99,13.005,12.259,12.382,598600.0,,adjusted
2022-04-12,12.49,12.729,12.259,12.713,465040.0,,adjusted
2022-04-13,12.69,13.167,12.567,12.859,464944.0,,adjusted
2022-04-14,13.029,13.198,12.798,13.059,450632.0,,adjusted
2022-04-15,12.929,13.182,12.882,13.036,363755.0,,adjusted
2022-04-18,12.89,13.152,12.659,13.098,317789.0,,adjusted
2022-04-19,13.144,13.513,13.105,13.39,571147.0,,adjusted
2022-04-20,13.452,13.521,13.044,13.059,460130.0,,adjusted
2022-04-21,13.029,13.267,12.459,12.544,546686.0,,adjusted
2022-04-22,12.505,12.698,12.121,12.498,447548.0,,adjusted
2022-04-25,12.39,12.798,12.182,12.19,645138.0,,adjusted
2022-04-26,12.229,12.467,11.744,11.767,641038.0,,adjusted
2022-04-27,11.582,12.652,11.375,12.605,817497.0,,adjusted
2022-04-28,12.413,12.729,12.29,12.398,518222.0,,adjusted
2022-04-29,12.552,12.929,12.398,12.798,656231.0,,adjusted
2022-05-05,12.905,12.944,12.659,12.713,536489.0,,adjusted
2022-05-06,12.352,12.544,12.236,12.313,354748.0,,adjusted
2022-05-09,12.29,12.521,12.259,12.367,230155.0,,adjusted
2022-05-10,12.121,12.621,12.029,12.475,409031.0,,adjusted
2022-05-11,12.513,13.075,12.429,12.682,690713.0,,adjusted
2022-05-12,12.582,12.867,12.459,12.605,442071.0,,adjusted
2022-05-13,12.729,13.613,12.721,13.344,1013774.0,,adjusted
2022-05-16,13.498,13.575,13.205,13.305,511316.0,,adjusted
2022-05-17,13.29,13.813,13.252,13.805,929904.0,,adjusted
2022-05-18,13.852,13.905,13.629,13.659,601611.0,,adjusted
2022-05-19,13.375,14.705,13.313,14.429,1410324.0,,adjusted
2022-05-20,14.313,14.582,14.244,14.475,884242.0,,adjusted
2022-05-23,14.313,14.513,14.159,14.482,729331.0,,adjusted
2022-05-24,14.452,14.813,13.99,14.005,1057484.0,,adjusted
2022-05-25,14.052,14.552,14.021,14.513,902154.0,,adjusted
2022-05-26,14.513,14.721,14.29,14.475,786225.0,,adjusted
2022-05-27,14.544,14.636,14.259,14.367,544168.0,,adjusted
2022-05-30,14.529,14.582,14.182,14.398,477401.0,,adjusted
2022-05-31,14.729,15.244,14.705,15.198,1475382.0,,adjusted
2022-06-01,15.029,15.252,14.967,15.105,683506.0,,adjusted
2022-06-02,15.121,15.421,14.998,15.229,750965.0,,adjusted
2022-06-06,15.375,15.967,15.275,15.767,947496.0,,adjusted
2022-06-07,16.198,16.49,15.782,15.929,1237793.0,,adjusted
2022-06-08,16.044,16.382,15.821,16.298,1102709.0,,adjusted
2022-06-09,16.598,17.429,16.598,16.905,1700495.0,,adjusted
2022-06-10,16.905,17.813,16.736,17.49,1814923.0,,adjusted
2022-06-13,17.744,19.275,17.698,19.044,2350405.0,,adjusted
2022-06-14,18.744,19.421,18.298,19.182,2046244.0,,adjusted
2022-06-15,19.159,20.029,18.744,18.744,1820077.0,,adjusted
2022-06-16,18.898,19.159,18.344,18.467,1407734.0,,adjusted
2022-06-17,18.49,19.721,18.49,19.544,1686239.0,,adjusted
2022-06-20,19.736,19.952,18.09,18.367,2144939.0,,adjusted
2022-06-21,18.198,18.482,17.675,18.129,1173365.0,,adjusted
2022-06-22,18.429,18.49,17.775,17.929,952093.0,,adjusted
2022-06-23,18.259,18.329,17.475,18.205,979984.0,,adjusted
2022-06-24,18.336,19.167,18.244,18.882,1384818.0,,adjusted
2022-06-27,18.913,18.952,18.067,18.552,1296340.0,,adjusted
2022-06-28,18.544,19.375,18.344,19.182,1387098.0,,adjusted
2022-06-29,18.921,18.944,17.89,17.929,1428839.0,,adjusted
2022-06-30,17.929,19.844,17.929,19.405,1854150.0,,adjusted
2022-07-01,19.567,20.49,19.19,19.621,1681628.0,,adjusted
2022-07-04,19.875,21.152,19.321,20.844,2184463.0,,adjusted
2022-07-05,20.836,22.059,20.652,21.967,2019822.0,,adjusted
2022-07-06,21.567,21.667,20.344,20.744,1610792.0,,adjusted
2022-07-07,20.621,20.882,20.129,20.729,1002702.0,,adjusted
2022-07-08,21.344,21.49,20.152,20.205,1068361.0,,adjusted
2022-07-11,20.336,20.336,18.805,19.352,1674065.0,,adjusted
2022-07-12,19.382,19.905,19.159,19.452,1077076.0,,adjusted
2022-07-13,19.744,19.982,19.167,19.382,1118382.0,,adjusted
2022-07-14,19.244,20.213,19.136,19.775,1120850.0,,adjusted
2022-07-15,19.452,20.013,19.244,19.244,1252305.0,,adjusted
2022-07-18,19.275,19.452,18.452,19.182,1113216.0,,adjusted
2022-07-19,19.105,19.359,18.813,18.929,777451.0,,adjusted
2022-07-20,19.105,19.213,18.882,19.029,571134.0,,adjusted
2022-07-21,19.021,19.021,18.19,18.275,1112200.0,,adjusted
2022-07-22,18.267,18.629,18.221,18.421,618476.0,,adjusted
2022-07-25,18.375,18.398,17.582,17.636,1001516.0,,adjusted
2022-07-26,17.798,18.19,17.705,17.882,730536.0,,adjusted
2022-07-27,17.936,18.144,17.598,17.99,621097.0,,adjusted
2022-07-28,18.129,18.221,17.475,17.498,965903.0,,adjusted
2022-07-29,17.498,18.144,17.467,17.552,970210.0,,adjusted
2022-08-01,17.398,17.429,16.744,17.336,1039780.0,,adjusted
2022-08-02,17.052,17.067,16.398,16.505,956564.0,,adjusted
2022-08-03,16.744,16.998,16.121,16.182,757562.0,,adjusted
2022-08-04,16.482,16.967,16.459,16.782,935108.0,,adjusted
2022-08-05,16.89,16.944,16.398,16.875,890598.0,,adjusted
2022-08-08,16.652,16.79,16.475,16.775,612501.0,,adjusted
2022-08-09,16.798,17.375,16.667,17.175,1205093.0,,adjusted
2022-08-10,16.952,17.067,16.567,16.675,926728.0,,adjusted
2022-08-11,16.736,16.913,16.575,16.89,676621.0,,adjusted
2022-08-12,16.836,17.052,16.705,16.713,608240.0,,adjusted
2022-08-15,16.752,17.444,16.675,17.367,1284746.0,,adjusted
2022-08-16,17.567,18.136,17.305,18.029,1815775.0,,adjusted
2022-08-17,18.029,18.198,17.744,18.059,1065747.0,,adjusted
2022-08-18,18.067,18.521,17.952,18.205,1101345.0,,adjusted
2022-08-19,18.336,18.836,17.782,18.305,1504800.0,,adjusted
2022-08-22,18.182,18.182,17.482,18.044,1038677.0,,adjusted
2022-08-23,17.852,18.329,17.844,18.067,753010.0,,adjusted
2022-08-24,18.005,18.252,17.636,17.752,799393.0,,adjusted
2022-08-25,17.936,18.105,17.321,17.982,842369.0,,adjusted
2022-08-26,18.005,18.159,17.813,17.921,664277.0,,adjusted
2022-08-29,17.929,19.259,17.836,19.098,1771437.0,,adjusted
2022-08-30,19.013,19.013,18.352,18.49,1079499.0,,adjusted
2022-08-31,18.375,18.459,17.259,17.398,1140497.0,,adjusted
2022-09-01,17.452,17.575,17.113,17.275,594636.0,,adjusted
2022-09-02,17.221,17.39,16.736,16.867,621526.0,,adjusted
2022-09-05,16.69,17.175,16.644,17.098,486368.0,,adjusted
2022-09-06,17.113,17.998,17.082,17.952,946230.0,,adjusted
2022-09-07,17.767,18.09,17.682,17.875,666249.0,,adjusted
2022-09-08,17.952,18.352,17.698,17.775,828750.0,,adjusted
2022-09-09,17.798,17.944,17.398,17.636,545629.0,,adjusted
2022-09-13,17.636,17.782,17.182,17.421,597430.0,,adjusted
2022-09-14,17.029,17.259,16.705,16.913,691830.0,,adjusted
2022-09-15,16.975,17.021,16.105,16.367,826413.0,,adjusted
2022-09-16,16.129,16.329,15.667,15.69,653351.0,,adjusted
2022-09-19,15.69,15.952,15.49,15.759,395722.0,,adjusted
2022-09-20,15.844,16.198,15.844,15.967,471012.0,,adjusted
2022-09-21,15.759,15.99,15.659,15.875,333716.0,,adjusted
2022-09-22,15.721,15.982,15.575,15.898,384888.0,,adjusted
2022-09-23,15.813,15.99,15.352,15.513,443190.0,,adjusted
2022-09-26,15.267,15.744,15.198,15.321,363596.0,,adjusted
2022-09-27,15.413,15.782,15.275,15.629,444984.0,,adjusted
2022-09-28,15.49,15.682,14.836,14.844,527029.0,,adjusted
2022-09-29,15.129,15.405,15.013,15.229,534357.0,,adjusted
2022-09-30,15.336,15.405,15.005,15.005,383127.0,,adjusted
