date,open,high,low,close,volume,amount,price_type
2018-01-02,1.627,1.71,1.605,1.682,8138.0,,adjusted
2018-01-03,1.684,1.824,1.664,1.791,15039.0,,adjusted
2018-01-04,1.769,1.809,1.735,1.767,9225.0,,adjusted
2018-01-05,1.767,1.862,1.763,1.783,9568.0,,adjusted
2018-01-08,1.759,1.777,1.68,1.735,6315.0,,adjusted
2018-01-09,1.716,1.777,1.708,1.757,5710.0,,adjusted
2018-01-10,1.757,1.757,1.615,1.692,8126.0,,adjusted
2018-01-11,1.658,1.785,1.645,1.743,9987.0,,adjusted
2018-01-12,1.747,1.757,1.696,1.698,5372.0,,adjusted
2018-01-15,1.66,1.704,1.498,1.508,9657.0,,adjusted
2018-01-16,1.508,1.573,1.443,1.492,7375.0,,adjusted
2018-01-17,1.504,1.585,1.441,1.54,8495.0,,adjusted
2018-01-18,1.52,1.552,1.453,1.459,8005.0,,adjusted
2018-01-19,1.463,1.508,1.421,1.423,7378.0,,adjusted
2018-01-22,1.423,1.457,1.269,1.451,11096.0,,adjusted
2018-01-23,1.39,1.39,1.275,1.289,15820.0,,adjusted
2018-01-24,1.287,1.321,1.145,1.297,17775.0,,adjusted
2018-01-25,1.291,1.419,1.253,1.313,18683.0,,adjusted
2018-01-26,1.273,1.336,1.226,1.23,12497.0,,adjusted
2018-01-29,1.238,1.238,1.068,1.077,15994.0,,adjusted
2018-01-30,1.089,1.105,1.008,1.03,9523.0,,adjusted
2018-01-31,1.022,1.03,0.704,0.761,16678.0,,adjusted
2018-02-01,0.775,0.791,0.56,0.566,14761.0,,adjusted
2018-02-02,0.562,0.629,0.481,0.576,11866.0,,adjusted
2018-02-05,0.502,0.599,0.481,0.524,7012.0,,adjusted
2018-02-06,0.404,0.483,0.283,0.295,14023.0,,adjusted
2018-02-07,0.392,0.392,0.161,0.311,13244.0,,adjusted
2018-02-08,0.299,0.421,0.259,0.388,12559.0,,adjusted
2018-02-09,0.299,0.366,0.24,0.309,10737.0,,adjusted
2018-02-12,0.35,0.443,0.34,0.404,10035.0,,adjusted
2018-02-13,0.418,0.418,0.319,0.338,13178.0,,adjusted
2018-02-14,0.307,0.35,0.307,0.309,7524.0,,adjusted
2018-02-22,0.344,0.398,0.309,0.374,10911.0,,adjusted
2018-02-23,0.396,0.441,0.358,0.418,12313.0,,adjusted
2018-02-26,0.441,0.751,0.441,0.751,29524.0,,adjusted
2018-02-27,0.785,0.953,0.765,0.817,51811.0,,adjusted
2018-02-28,0.749,0.799,0.663,0.795,27996.0,,adjusted
2018-03-01,0.742,0.886,0.716,0.864,29721.0,,adjusted
2018-03-02,0.821,0.979,0.795,0.846,32503.0,,adjusted
2018-03-05,0.827,1.008,0.795,0.953,33595.0,,adjusted
2018-03-06,1.012,1.06,0.858,0.89,45227.0,,adjusted
2018-03-07,0.88,0.88,0.801,0.809,26170.0,,adjusted
2018-03-08,0.793,0.985,0.793,0.983,37770.0,,adjusted
2018-03-09,1.01,1.135,0.951,1.119,49061.0,,adjusted
2018-03-12,1.137,1.214,1.081,1.127,47849.0,,adjusted
2018-03-13,1.143,1.143,1.042,1.052,30211.0,,adjusted
2018-03-14,1.028,1.058,0.955,0.971,25991.0,,adjusted
