trade_date,open,high,low,close,volume,amount,price_type
2024-05-06,26.24,28.0,25.16,26.17,73131.0,,raw
2024-05-07,25.32,25.5,24.6,24.83,53757.0,,raw
2024-05-08,25.25,26.26,24.55,25.24,53776.0,,raw
2024-05-09,24.4,25.3,24.4,24.81,36137.0,,raw
2024-05-10,24.83,25.85,23.7,25.35,49300.0,,raw
2024-05-13,24.3,24.46,22.9,23.14,35833.0,,raw
2024-05-14,23.04,23.59,23.04,23.47,18415.0,,raw
2024-05-15,23.5,23.69,22.77,22.87,20525.0,,raw
2024-05-16,23.07,24.07,23.07,24.05,30383.0,,raw
2024-05-17,24.5,24.5,23.46,23.92,19688.0,,raw
2024-05-20,23.8,24.23,23.5,23.79,18876.0,,raw
2024-05-21,23.78,24.14,22.8,23.54,27365.0,,raw
2024-05-22,23.54,24.2,23.17,23.68,26019.0,,raw
2024-05-23,23.51,23.65,22.79,23.25,23011.0,,raw
2024-05-24,22.99,24.96,22.66,24.35,45038.0,,raw
2024-05-27,23.91,26.0,23.91,25.82,61994.0,,raw
2024-05-28,25.32,25.87,24.65,25.28,39924.0,,raw
2024-05-29,25.24,25.9,25.01,25.55,35133.0,,raw
2024-05-30,25.11,25.18,23.71,23.96,32903.0,,raw
2024-05-31,23.71,25.18,23.68,24.87,32094.0,,raw
2024-06-03,26.7,28.48,25.2,25.22,60349.0,,raw
2024-06-04,25.17,26.8,25.17,26.38,66316.0,,raw
2024-06-05,26.23,27.44,24.41,24.66,55570.0,,raw
2024-06-06,23.02,23.69,20.35,21.32,56518.0,,raw
2024-06-07,21.5,21.87,20.49,20.8,29244.0,,raw
2024-06-11,20.45,21.27,19.5,21.18,19319.0,,raw
2024-06-12,21.22,21.98,20.75,21.79,20614.0,,raw
2024-06-13,21.73,22.3,21.32,21.5,16172.0,,raw
2024-06-14,21.5,22.39,21.02,22.24,24391.0,,raw
2024-06-17,23.0,23.78,22.34,22.45,28526.0,,raw
2024-06-18,22.21,26.15,22.2,24.93,64514.0,,raw
2024-06-19,24.91,25.33,24.45,24.9,55451.0,,raw
2024-06-20,27.0,29.88,26.03,29.88,136792.0,,raw
2024-06-21,29.8,29.8,26.7,28.08,121739.0,,raw
2024-06-24,27.4,27.4,25.15,25.56,78770.0,,raw
2024-06-25,25.38,26.37,24.8,26.35,71676.0,,raw
