date,open,high,low,close,volume,amount,price_type
2019-05-06,7.31,7.31,6.72,6.87,59958.0,,adjusted
2019-05-07,6.99,7.18,6.87,7.04,43507.0,,adjusted
2019-05-08,7.01,7.1,6.87,6.96,32356.0,,adjusted
2019-05-09,6.94,7.01,6.86,6.92,25165.0,,adjusted
2019-05-10,7.0,7.24,6.83,7.23,55766.0,,adjusted
2019-05-13,7.15,7.19,7.03,7.08,29872.0,,adjusted
2019-05-14,6.93,7.23,6.92,7.03,34730.0,,adjusted
2019-05-15,7.04,7.78,7.03,7.78,79138.0,,adjusted
2019-05-16,7.84,8.03,7.5,7.83,142243.0,,adjusted
2019-05-17,7.65,7.69,7.15,7.27,92245.0,,adjusted
2019-05-20,7.25,7.31,6.97,7.29,44247.0,,adjusted
2019-05-21,7.29,7.6,7.18,7.43,48982.0,,adjusted
2019-05-22,7.34,7.49,7.23,7.28,38375.0,,adjusted
2019-05-23,7.24,7.24,7.04,7.05,38081.0,,adjusted
2019-05-24,7.2,7.49,7.0,7.32,52468.0,,adjusted
2019-05-27,7.3,7.56,7.25,7.53,53201.0,,adjusted
2019-05-28,7.53,7.69,7.34,7.49,48135.0,,adjusted
2019-05-29,7.45,7.69,7.45,7.52,37154.0,,adjusted
2019-05-30,7.44,7.47,7.31,7.41,28443.0,,adjusted
2019-05-31,7.54,7.77,7.48,7.49,56865.0,,adjusted
2019-06-03,7.44,7.64,7.38,7.46,49040.0,,adjusted
2019-06-04,7.41,7.5,7.29,7.32,37201.0,,adjusted
2019-06-05,7.4,7.47,7.32,7.35,26552.0,,adjusted
2019-06-06,7.35,7.8,7.14,7.42,55349.0,,adjusted
2019-06-10,7.43,7.88,7.43,7.8,93223.0,,adjusted
2019-06-11,7.6,8.22,7.59,8.09,134807.0,,adjusted
2019-06-12,8.0,8.04,7.8,7.84,72936.0,,adjusted
2019-06-13,7.84,8.14,7.8,7.94,65162.0,,adjusted
2019-06-14,7.92,7.92,7.54,7.59,56517.0,,adjusted
2019-06-17,7.61,7.68,7.52,7.6,25272.0,,adjusted
2019-06-18,7.6,7.62,7.47,7.5,19494.0,,adjusted
2019-06-19,7.63,7.8,7.59,7.64,40789.0,,adjusted
2019-06-20,7.6,8.34,7.55,7.93,105850.0,,adjusted
2019-06-21,7.91,8.26,7.85,8.04,105952.0,,adjusted
2019-06-24,8.03,8.1,7.9,7.94,43466.0,,adjusted
2019-06-25,7.97,8.02,7.73,7.87,45232.0,,adjusted
2019-06-26,7.82,7.91,7.74,7.82,25155.0,,adjusted
2019-06-27,7.83,7.96,7.79,7.89,42459.0,,adjusted
2019-06-28,7.89,7.89,7.55,7.59,53698.0,,adjusted
2019-07-01,7.7,7.91,7.7,7.91,54871.0,,adjusted
2019-07-02,8.02,8.24,7.91,7.91,76562.0,,adjusted
2019-07-03,7.87,7.93,7.77,7.8,38960.0,,adjusted
2019-07-04,7.83,7.9,7.69,7.73,28421.0,,adjusted
2019-07-05,7.7,7.77,7.54,7.71,37570.0,,adjusted
2019-07-08,7.71,7.71,7.23,7.23,51938.0,,adjusted
