date,open,high,low,close,volume,amount,price_type
2022-01-04,24.636,24.776,23.186,23.526,473840.0,,adjusted
2022-01-05,23.806,23.856,22.216,22.526,477791.0,,adjusted
2022-01-06,22.586,24.086,22.296,23.636,457692.0,,adjusted
2022-01-07,23.246,24.336,23.006,23.446,442907.0,,adjusted
2022-01-10,23.286,24.446,22.946,23.516,480194.0,,adjusted
2022-01-11,23.256,23.776,22.106,22.626,428755.0,,adjusted
2022-01-12,24.386,25.026,23.586,24.056,895775.0,,adjusted
2022-01-13,24.086,24.286,22.796,23.266,498821.0,,adjusted
2022-01-14,22.886,24.086,22.856,23.106,371767.0,,adjusted
2022-01-17,23.226,24.466,22.936,23.986,458973.0,,adjusted
2022-01-18,23.896,26.106,23.346,25.946,693252.0,,adjusted
2022-01-19,25.946,26.966,25.496,26.566,571220.0,,adjusted
2022-01-20,26.216,26.456,24.686,24.706,442292.0,,adjusted
2022-01-21,24.396,25.376,23.636,24.796,385284.0,,adjusted
2022-01-24,24.586,25.536,24.486,24.986,290633.0,,adjusted
2022-01-25,24.596,24.986,22.486,22.656,421804.0,,adjusted
2022-01-26,22.866,24.436,22.866,24.266,451515.0,,adjusted
2022-01-27,24.446,24.546,22.876,23.266,316716.0,,adjusted
2022-01-28,23.236,23.516,21.286,22.406,381467.0,,adjusted
2022-02-07,22.916,23.386,22.416,23.116,271988.0,,adjusted
2022-02-08,23.186,23.316,21.556,22.146,364850.0,,adjusted
2022-02-09,22.086,22.536,21.106,22.456,290024.0,,adjusted
2022-02-10,22.436,22.556,21.716,21.796,243453.0,,adjusted
2022-02-11,21.586,21.586,19.486,19.676,589949.0,,adjusted
2022-02-14,19.136,19.806,18.886,19.366,275008.0,,adjusted
2022-02-15,19.386,20.246,19.216,20.246,367570.0,,adjusted
2022-02-16,20.206,20.306,19.746,19.896,305144.0,,adjusted
2022-02-17,20.006,20.806,19.806,20.236,321629.0,,adjusted
2022-02-18,19.786,20.246,19.716,19.886,234554.0,,adjusted
2022-02-21,19.906,20.436,19.796,20.306,271706.0,,adjusted
2022-02-22,20.036,20.036,19.476,19.826,236726.0,,adjusted
2022-02-23,19.876,20.806,19.876,20.656,405775.0,,adjusted
2022-02-24,20.346,21.036,19.386,19.866,419913.0,,adjusted
2022-02-25,20.126,20.866,20.116,20.336,375179.0,,adjusted
2022-02-28,20.216,20.806,19.866,20.726,377989.0,,adjusted
2022-03-01,20.916,21.266,20.586,20.706,366602.0,,adjusted
2022-03-02,20.386,20.636,19.916,20.296,278379.0,,adjusted
2022-03-03,20.786,20.886,19.796,19.866,282674.0,,adjusted
2022-03-04,19.486,19.836,19.036,19.186,310411.0,,adjusted
2022-03-07,19.036,19.036,18.026,18.196,363137.0,,adjusted
2022-03-08,18.426,18.466,17.436,17.586,340379.0,,adjusted
2022-03-09,17.696,17.976,16.786,17.836,361525.0,,adjusted
2022-03-10,18.236,18.656,18.086,18.296,318335.0,,adjusted
2022-03-11,17.896,18.236,17.376,18.146,268127.0,,adjusted
2022-03-14,17.826,18.076,17.286,17.296,263799.0,,adjusted
2022-03-15,17.176,17.516,16.206,16.216,328073.0,,adjusted
2022-03-16,16.586,16.836,15.656,16.566,414837.0,,adjusted
2022-03-17,16.696,17.996,16.616,17.556,460303.0,,adjusted
2022-03-18,17.236,17.286,16.886,17.176,287359.0,,adjusted
