date,open,high,low,close,volume,amount,price_type
2019-05-06,4.84,4.84,4.49,4.54,74336.0,,adjusted
2019-05-07,4.58,4.72,4.53,4.61,51917.0,,adjusted
2019-05-08,4.5,4.65,4.45,4.56,40435.0,,adjusted
2019-05-09,4.53,4.61,4.49,4.53,25790.0,,adjusted
2019-05-10,4.58,4.74,4.47,4.74,55773.0,,adjusted
2019-05-13,4.65,4.68,4.61,4.63,31782.0,,adjusted
2019-05-14,4.6,4.68,4.55,4.6,30870.0,,adjusted
2019-05-15,4.62,4.95,4.62,4.91,55673.0,,adjusted
2019-05-16,4.83,4.99,4.82,4.87,82689.0,,adjusted
2019-05-17,4.83,4.86,4.62,4.63,60017.0,,adjusted
2019-05-20,4.65,4.7,4.51,4.59,27695.0,,adjusted
2019-05-21,4.58,4.71,4.57,4.68,28825.0,,adjusted
2019-05-22,4.72,4.72,4.6,4.63,27716.0,,adjusted
2019-05-23,4.61,4.65,4.53,4.53,25796.0,,adjusted
2019-05-24,4.52,4.68,4.5,4.61,30238.0,,adjusted
2019-05-27,4.61,4.72,4.59,4.71,33195.0,,adjusted
2019-05-28,4.7,4.77,4.65,4.66,36046.0,,adjusted
2019-05-29,4.65,4.69,4.62,4.66,24133.0,,adjusted
2019-05-30,4.66,4.66,4.55,4.59,25573.0,,adjusted
2019-05-31,4.58,4.69,4.58,4.6,22440.0,,adjusted
2019-06-03,4.64,4.64,4.53,4.56,20460.0,,adjusted
2019-06-04,4.56,4.57,4.45,4.45,22237.0,,adjusted
2019-06-05,4.51,4.54,4.45,4.45,17256.0,,adjusted
2019-06-06,4.45,4.58,4.33,4.35,28504.0,,adjusted
2019-06-10,4.37,4.51,4.35,4.46,28719.0,,adjusted
2019-06-11,4.45,4.65,4.42,4.64,49237.0,,adjusted
2019-06-12,4.64,4.66,4.53,4.56,32352.0,,adjusted
2019-06-13,4.58,4.64,4.51,4.61,31608.0,,adjusted
2019-06-14,4.65,4.68,4.45,4.48,29430.0,,adjusted
2019-06-17,4.48,4.53,4.46,4.49,11024.0,,adjusted
2019-06-18,4.49,4.53,4.45,4.5,12188.0,,adjusted
2019-06-19,4.84,4.84,4.63,4.64,48332.0,,adjusted
2019-06-20,4.6,5.05,4.59,4.82,103515.0,,adjusted
2019-06-21,4.8,5.34,4.78,5.34,183641.0,,adjusted
2019-06-24,5.15,5.79,4.99,5.5,283028.0,,adjusted
2019-06-25,5.4,5.4,5.21,5.31,128882.0,,adjusted
2019-06-26,5.31,5.31,5.15,5.18,77931.0,,adjusted
2019-06-27,5.21,5.27,5.18,5.2,61981.0,,adjusted
2019-06-28,5.18,5.25,5.02,5.04,65573.0,,adjusted
2019-07-01,5.16,5.27,5.13,5.17,66602.0,,adjusted
2019-07-02,5.18,5.39,5.14,5.31,84806.0,,adjusted
2019-07-03,5.27,5.29,5.01,5.04,85087.0,,adjusted
2019-07-04,5.06,5.09,4.93,4.96,52556.0,,adjusted
2019-07-05,4.96,5.09,4.96,5.02,37064.0,,adjusted
2019-07-08,4.99,5.0,4.8,4.83,44036.0,,adjusted
2019-07-09,4.8,4.86,4.75,4.83,25791.0,,adjusted
2019-07-10,4.83,4.87,4.75,4.76,30185.0,,adjusted
2019-07-11,4.79,4.83,4.75,4.75,19314.0,,adjusted
