date,open,high,low,close,volume,amount,price_type
2018-07-20,28.946,35.356,28.946,35.356,576.0,,adjusted
2018-07-23,39.206,39.206,39.206,39.206,305.0,,adjusted
2018-07-24,43.436,43.436,43.436,43.436,495.0,,adjusted
2018-07-25,48.086,48.086,48.086,48.086,1302.0,,adjusted
2018-07-26,53.206,53.206,53.206,53.206,2207.0,,adjusted
2018-07-27,58.836,58.836,58.836,58.836,3530.0,,adjusted
2018-07-30,65.026,65.026,65.026,65.026,7310.0,,adjusted
2018-07-31,71.836,71.836,58.216,58.216,366665.0,,adjusted
2018-08-01,55.896,56.406,53.606,55.556,278768.0,,adjusted
2018-08-02,54.396,55.256,51.076,52.446,202563.0,,adjusted
2018-08-03,51.976,52.616,48.486,48.586,177093.0,,adjusted
2018-08-06,47.456,47.496,44.556,44.606,155238.0,,adjusted
2018-08-07,45.386,46.176,44.556,45.856,149411.0,,adjusted
2018-08-08,45.226,45.226,41.026,41.146,181082.0,,adjusted
2018-08-09,40.776,45.116,40.096,43.156,170721.0,,adjusted
2018-08-10,42.296,44.696,42.176,43.986,141225.0,,adjusted
2018-08-13,42.896,48.696,42.396,47.636,253879.0,,adjusted
2018-08-14,45.896,47.206,45.496,46.396,178246.0,,adjusted
2018-08-15,46.446,48.096,45.706,46.146,142218.0,,adjusted
2018-08-16,44.896,48.466,43.166,47.326,198305.0,,adjusted
2018-08-17,47.556,47.986,44.376,44.486,150525.0,,adjusted
2018-08-20,43.386,46.786,43.176,46.616,128308.0,,adjusted
2018-08-21,46.686,48.316,45.396,47.036,154524.0,,adjusted
2018-08-22,46.566,46.856,44.526,44.666,115320.0,,adjusted
2018-08-23,44.726,46.756,44.706,46.256,122048.0,,adjusted
2018-08-24,45.596,46.846,45.096,45.546,97608.0,,adjusted
2018-08-27,46.496,49.696,46.176,48.506,193026.0,,adjusted
2018-08-28,48.656,50.916,48.456,48.986,192360.0,,adjusted
2018-08-29,48.896,50.306,47.766,50.306,141787.0,,adjusted
2018-08-30,50.496,50.686,48.806,49.556,130179.0,,adjusted
2018-08-31,49.396,50.256,47.636,47.796,130176.0,,adjusted
2018-09-03,46.986,47.446,43.996,45.836,124728.0,,adjusted
2018-09-04,45.686,46.666,44.796,45.976,98694.0,,adjusted
2018-09-05,45.956,47.596,45.296,46.126,124436.0,,adjusted
2018-09-06,45.476,46.886,44.666,46.106,102278.0,,adjusted
