date,open,high,low,close,volume,amount,price_type
2018-01-02,33.672,33.792,31.972,32.922,899607.0,,adjusted
2018-01-03,32.822,34.692,32.712,33.882,1391321.0,,adjusted
2018-01-04,33.562,34.142,33.072,34.092,948300.0,,adjusted
2018-01-05,33.892,33.972,33.062,33.232,760473.0,,adjusted
2018-01-08,33.192,33.212,32.112,32.762,1095769.0,,adjusted
2018-01-09,32.762,33.542,32.502,33.542,969156.0,,adjusted
2018-01-10,33.472,33.472,32.442,33.112,777371.0,,adjusted
2018-01-11,32.792,34.042,32.492,33.612,1112692.0,,adjusted
2018-01-12,33.382,33.472,32.802,33.012,646269.0,,adjusted
2018-01-15,32.902,34.512,32.222,33.602,1579330.0,,adjusted
2018-01-16,33.262,35.832,33.082,35.792,2073313.0,,adjusted
2018-01-17,36.092,36.092,33.792,34.172,1959538.0,,adjusted
2018-01-18,34.212,34.682,33.512,33.762,1032230.0,,adjusted
2018-01-19,33.762,34.552,33.562,33.682,797058.0,,adjusted
2018-01-22,33.692,33.802,32.292,33.622,1064079.0,,adjusted
2018-01-23,33.572,34.312,33.002,33.572,901600.0,,adjusted
2018-01-24,33.352,34.292,33.042,34.242,1123582.0,,adjusted
2018-01-25,34.132,34.132,33.222,33.252,795353.0,,adjusted
2018-01-26,32.892,33.232,32.192,32.192,1319820.0,,adjusted
2018-01-29,31.992,31.992,28.782,28.902,2322598.0,,adjusted
2018-01-30,28.412,29.132,27.872,28.292,1031760.0,,adjusted
2018-01-31,28.252,28.572,27.802,28.312,696402.0,,adjusted
2018-02-01,27.192,27.192,25.202,25.202,2050648.0,,adjusted
2018-02-02,26.192,26.552,25.692,26.012,1313932.0,,adjusted
2018-02-05,25.412,27.132,25.402,26.472,872541.0,,adjusted
2018-02-06,25.692,26.572,25.492,25.642,776433.0,,adjusted
2018-02-07,26.392,26.682,25.422,25.902,695313.0,,adjusted
2018-02-08,25.952,27.072,25.912,26.842,858400.0,,adjusted
2018-02-09,25.982,26.592,25.202,25.642,814982.0,,adjusted
2018-02-12,26.182,26.962,25.802,26.612,742885.0,,adjusted
2018-02-13,26.952,27.442,26.832,26.932,763613.0,,adjusted
2018-02-14,26.972,27.782,26.942,27.692,568732.0,,adjusted
2018-02-22,27.902,28.642,27.442,28.412,646542.0,,adjusted
2018-02-23,28.502,29.342,28.222,28.512,734002.0,,adjusted
2018-02-26,28.992,30.042,28.552,29.742,1181345.0,,adjusted
2018-02-27,30.192,30.292,29.402,29.562,909327.0,,adjusted
2018-02-28,29.162,29.862,28.822,29.432,698489.0,,adjusted
2018-03-01,29.122,29.872,29.042,29.542,583772.0,,adjusted
2018-03-02,29.212,29.692,28.692,28.712,594218.0,,adjusted
2018-03-05,28.992,29.572,28.872,29.342,492015.0,,adjusted
2018-03-06,29.492,30.872,29.492,30.492,1146695.0,,adjusted
2018-03-07,30.292,30.302,29.862,29.862,532887.0,,adjusted
2018-03-08,29.862,30.172,29.492,29.872,411377.0,,adjusted
2018-03-09,29.892,30.832,29.892,30.812,930709.0,,adjusted
2018-03-12,31.072,31.422,30.602,31.182,841626.0,,adjusted
2018-03-13,31.182,31.192,30.332,30.342,539480.0,,adjusted
2018-03-14,30.192,30.272,29.692,29.912,424090.0,,adjusted
