date,open,high,low,close,volume,amount,price_type
2018-01-02,29.670,29.790,29.080,29.600,123736.000,,raw
2018-01-03,29.920,31.150,29.620,31.040,241021.000,,raw
2018-01-04,31.000,31.100,30.580,31.080,138878.000,,raw
2018-01-05,30.950,31.100,30.050,30.180,179869.000,,raw
2018-01-08,30.020,30.180,29.200,30.170,141247.000,,raw
2018-01-09,30.490,31.460,30.180,31.430,237204.000,,raw
2018-01-10,31.080,31.420,30.330,30.900,155011.000,,raw
2018-01-11,30.600,32.100,30.400,31.790,262415.000,,raw
2018-01-12,31.700,32.060,31.150,31.170,151326.000,,raw
2018-01-15,30.800,30.950,29.540,29.720,217427.000,,raw
2018-01-16,29.500,30.280,29.210,30.010,171608.000,,raw
2018-01-17,30.080,30.170,27.600,28.770,261395.000,,raw
2018-01-18,28.410,28.980,27.900,28.030,119226.000,,raw
2018-01-19,28.040,28.340,26.980,27.000,178707.000,,raw
2018-01-22,27.050,27.640,26.440,27.280,145601.000,,raw
2018-01-23,26.730,27.250,25.810,26.070,178104.000,,raw
2018-01-24,25.960,27.240,25.900,27.240,157019.000,,raw
2018-01-25,27.150,27.150,26.690,26.810,117947.000,,raw
2018-01-26,26.800,27.190,26.300,26.670,72011.000,,raw
2018-01-29,26.580,26.980,25.370,25.440,140869.000,,raw
2018-01-30,25.360,25.810,25.050,25.320,53287.000,,raw
2018-01-31,25.050,25.650,24.520,25.150,87288.000,,raw
2018-02-01,25.030,25.230,22.800,22.820,172067.000,,raw
2018-02-02,23.000,23.480,22.810,23.100,99748.000,,raw
2018-02-05,22.600,23.480,22.400,23.060,75317.000,,raw
2018-02-06,22.450,22.850,20.870,20.950,112734.000,,raw
2018-02-07,21.800,21.840,20.000,21.320,123184.000,,raw
2018-02-08,21.200,22.650,20.900,22.300,138020.000,,raw
2018-02-09,21.500,22.860,21.200,21.970,120799.000,,raw
2018-02-12,22.450,23.050,22.100,22.900,116597.000,,raw
2018-02-13,23.000,23.110,22.580,22.690,87448.000,,raw
2018-02-14,22.780,22.870,22.300,22.730,50910.000,,raw
2018-02-22,23.000,24.200,22.790,23.850,123466.000,,raw
2018-02-23,23.730,24.160,23.500,23.860,85524.000,,raw
2018-02-26,24.230,26.250,23.950,26.250,201693.000,,raw
2018-02-27,26.400,26.780,25.800,25.820,225505.000,,raw
2018-02-28,25.520,26.370,25.300,25.930,159850.000,,raw
2018-03-01,25.600,26.860,25.500,26.560,174211.000,,raw
2018-03-02,26.210,26.820,26.100,26.300,132212.000,,raw
2018-03-05,26.350,27.290,26.290,26.920,159275.000,,raw
2018-03-06,27.050,27.610,26.600,26.780,219346.000,,raw
2018-03-07,26.490,26.700,26.170,26.230,115025.000,,raw
2018-03-08,26.120,26.560,25.880,26.120,96424.000,,raw
2018-03-09,26.080,28.720,26.080,28.590,313226.000,,raw
2018-03-12,28.500,28.840,28.180,28.650,275182.000,,raw
2018-03-13,28.300,28.780,27.850,28.290,160061.000,,raw
2018-03-14,28.090,28.730,28.050,28.090,132558.000,,raw
2018-03-15,27.800,28.550,27.030,28.180,149985.000,,raw
2018-03-16,28.180,28.430,27.410,27.500,100329.000,,raw
2018-03-19,27.520,28.460,27.170,27.860,132175.000,,raw
2018-03-20,27.430,27.900,26.910,27.480,108106.000,,raw
2018-03-21,28.030,29.000,27.320,27.500,191905.000,,raw
2018-03-22,27.130,28.040,27.130,27.550,126556.000,,raw
2018-03-23,26.050,26.730,24.920,25.480,222332.000,,raw
2018-03-26,25.200,26.790,24.930,26.600,161139.000,,raw
2018-03-27,27.100,27.770,26.800,27.390,227337.000,,raw
2018-03-28,26.880,27.890,26.770,27.280,174691.000,,raw
2018-03-29,27.390,27.800,26.760,27.150,120842.000,,raw
2018-03-30,27.230,29.090,27.230,28.730,290403.000,,raw
2018-04-02,29.000,29.560,28.420,28.780,279355.000,,raw
2018-04-03,28.220,29.350,28.100,29.280,227702.000,,raw
2018-04-04,29.280,29.440,28.180,28.220,161490.000,,raw
2018-04-09,28.200,28.960,27.810,28.560,143237.000,,raw
2018-04-10,28.280,28.480,27.320,27.800,159991.000,,raw
2018-04-11,27.990,28.390,27.610,27.720,100173.000,,raw
2018-04-12,27.520,27.650,26.700,26.900,147493.000,,raw
2018-04-13,27.100,27.320,26.880,27.000,76815.000,,raw
2018-04-16,26.880,27.520,26.710,27.510,100168.000,,raw
2018-04-17,29.880,29.890,27.610,27.970,427762.000,,raw
2018-04-18,28.570,30.150,28.060,29.640,588019.000,,raw
2018-04-19,29.320,29.560,28.540,28.580,408839.000,,raw
2018-04-20,27.900,27.950,26.390,26.660,390318.000,,raw
2018-04-23,26.850,26.980,25.000,25.660,208440.000,,raw
2018-04-24,25.460,26.460,25.460,26.380,143891.000,,raw
2018-04-25,26.700,27.550,26.380,27.100,224514.000,,raw
2018-04-26,26.000,26.320,25.630,26.000,212601.000,,raw
2018-04-27,26.700,26.940,26.000,26.080,135793.000,,raw
2018-05-02,25.960,25.960,24.110,24.620,183686.000,,raw
2018-05-03,24.600,25.400,24.060,25.270,125371.000,,raw
2018-05-04,25.330,25.460,24.900,24.900,86634.000,,raw
2018-05-07,25.080,25.480,24.940,25.200,86937.000,,raw
2018-05-08,25.280,25.380,24.960,25.260,85154.000,,raw
2018-05-09,25.240,25.750,25.110,25.400,96718.000,,raw
2018-05-10,25.450,25.700,25.050,25.420,99869.000,,raw
2018-05-11,25.200,25.210,23.660,23.890,242251.000,,raw
2018-05-14,24.800,25.260,24.200,24.210,184512.000,,raw
2018-05-15,24.030,24.390,23.680,24.200,162357.000,,raw
2018-05-16,24.360,25.040,24.330,24.550,195956.000,,raw
2018-05-17,24.590,25.030,24.390,24.600,97522.000,,raw
2018-05-18,24.580,25.110,24.420,25.090,142228.000,,raw
2018-05-21,25.490,26.770,25.480,26.370,257839.000,,raw
2018-05-22,26.380,27.670,26.090,27.120,257231.000,,raw
2018-05-23,26.650,27.050,25.830,26.050,227170.000,,raw
2018-05-24,26.120,26.460,25.490,25.770,173018.000,,raw
2018-05-25,25.590,25.680,25.100,25.510,122851.000,,raw
2018-05-28,25.550,25.960,25.190,25.300,121815.000,,raw
2018-05-29,24.680,25.100,24.620,24.980,101804.000,,raw
2018-05-30,24.450,24.790,23.690,23.850,107175.000,"{'nd': '2017', 'fh_sh': '1.7', 'djr': '2018-05-29', 'cqr': '2018-05-30', 'FHcontent': '10派1.7元'}",raw
2018-05-31,24.200,24.370,23.770,24.080,78284.000,,raw
2018-06-01,23.830,24.320,23.830,23.980,66059.000,,raw
2018-06-04,24.180,24.380,23.900,23.960,66359.000,,raw
2018-06-05,24.020,24.630,24.000,24.610,91737.000,,raw
2018-06-06,24.740,25.360,24.630,25.280,134500.000,,raw
2018-06-07,25.040,25.370,24.800,25.020,90764.000,,raw
2018-06-08,25.290,25.550,24.850,25.240,125476.000,,raw
2018-06-11,25.000,25.120,24.120,24.130,84718.000,,raw
2018-06-12,24.300,24.540,23.800,24.330,70424.000,,raw
2018-06-13,24.100,24.750,23.920,24.080,64317.000,,raw
2018-06-14,23.950,24.360,23.850,24.100,50607.000,,raw
2018-06-15,24.230,24.400,22.800,22.900,119870.000,,raw
2018-06-19,22.010,22.590,20.610,20.620,152697.000,,raw
2018-06-20,20.600,21.090,20.260,20.800,87381.000,,raw
2018-06-21,20.900,20.960,19.200,19.420,137406.000,,raw
2018-06-22,19.510,20.180,19.070,20.110,91524.000,,raw
2018-06-25,20.330,20.490,19.720,19.810,64436.000,,raw
2018-06-26,19.400,20.750,19.300,20.510,81526.000,,raw
2018-06-27,20.650,20.800,20.260,20.340,53180.000,,raw
2018-06-28,20.810,20.950,20.010,20.090,95838.000,,raw
2018-06-29,20.250,21.250,20.150,21.200,103801.000,,raw
2018-07-02,21.300,21.930,20.810,21.100,122454.000,,raw
2018-07-03,21.120,22.140,20.780,21.980,117800.000,,raw
2018-07-04,21.800,21.950,21.230,21.380,84087.000,,raw
2018-07-05,21.300,21.400,20.310,20.350,83448.000,,raw
2018-07-06,20.410,21.230,20.300,20.720,92805.000,,raw
2018-07-09,20.800,21.270,20.780,21.100,83912.000,,raw
2018-07-10,21.330,21.980,21.300,21.720,127447.000,,raw
2018-07-11,21.090,21.150,20.450,20.980,101108.000,,raw
2018-07-12,21.800,22.160,21.410,22.060,166395.000,,raw
2018-07-13,21.800,21.950,21.610,21.800,103262.000,,raw
2018-07-16,21.990,22.690,21.850,22.340,138160.000,,raw
2018-07-17,22.150,22.600,22.000,22.390,90352.000,,raw
2018-07-18,22.400,22.520,21.750,21.750,76143.000,,raw
2018-07-19,21.710,22.290,21.710,21.880,68766.000,,raw
2018-07-20,21.910,22.100,21.320,21.990,80760.000,,raw
2018-07-23,22.200,22.890,22.120,22.740,133691.000,,raw
2018-07-24,22.700,22.880,22.300,22.700,91411.000,,raw
2018-07-25,22.690,23.070,22.450,22.540,84578.000,,raw
2018-07-26,22.560,22.590,21.870,21.950,74555.000,,raw
2018-07-27,21.830,22.370,21.830,22.060,56504.000,,raw
2018-07-30,21.990,22.250,21.000,21.250,66920.000,,raw
2018-07-31,21.290,21.600,21.250,21.410,43662.000,,raw
2018-08-01,21.480,22.310,21.410,21.600,85301.000,,raw
2018-08-02,21.290,21.390,20.510,20.900,72120.000,,raw
2018-08-03,20.930,21.040,20.070,20.120,54242.000,,raw
2018-08-06,19.980,20.280,19.700,19.870,41913.000,,raw
2018-08-07,19.920,21.200,19.860,21.060,77320.000,,raw
2018-08-08,20.910,21.770,20.820,21.390,92920.000,,raw
2018-08-09,21.180,23.470,21.170,22.740,188155.000,,raw
2018-08-10,22.810,23.740,22.680,23.270,177737.000,,raw
2018-08-13,23.310,24.330,23.200,24.040,214854.000,,raw
2018-08-14,24.050,24.190,23.530,23.730,117012.000,,raw
2018-08-15,24.040,24.400,23.410,23.410,132406.000,,raw
2018-08-16,23.320,24.670,23.220,23.930,197141.000,,raw
2018-08-17,24.180,25.150,24.120,24.500,229677.000,,raw
2018-08-20,24.500,24.940,23.720,24.730,180213.000,,raw
2018-08-21,24.530,24.610,23.890,24.370,151167.000,,raw
2018-08-22,24.340,25.080,24.120,24.240,160805.000,,raw
2018-08-23,24.110,25.270,24.030,24.940,199073.000,,raw
2018-08-24,24.670,24.730,24.030,24.160,154797.000,,raw
2018-08-27,24.000,26.050,23.860,25.860,263418.000,,raw
2018-08-28,25.810,26.560,25.730,26.000,234905.000,,raw
2018-08-29,26.070,26.200,25.570,26.200,119749.000,,raw
2018-08-30,27.280,27.590,25.650,26.300,230209.000,,raw
2018-08-31,26.130,26.720,25.700,25.780,119074.000,,raw
2018-09-03,25.720,26.580,24.250,26.460,182764.000,,raw
2018-09-04,26.280,27.140,26.150,26.590,160657.000,,raw
2018-09-05,26.360,27.640,26.130,27.060,202254.000,,raw
2018-09-06,26.790,27.560,26.660,26.990,126189.000,,raw
2018-09-07,27.070,27.290,25.430,25.540,200777.000,,raw
2018-09-10,25.460,26.270,25.150,25.250,157197.000,,raw
2018-09-11,25.500,26.460,25.210,26.030,150935.000,,raw
2018-09-12,25.950,26.290,24.920,25.200,144467.000,,raw
2018-09-13,25.810,27.460,25.810,27.180,264235.000,,raw
2018-09-14,27.210,27.210,26.000,26.140,214532.000,,raw
2018-09-17,25.980,26.650,25.330,26.090,134562.000,,raw
2018-09-18,25.830,26.320,25.030,26.190,134692.000,,raw
2018-09-19,25.820,26.870,25.360,26.290,168463.000,,raw
2018-09-20,26.130,26.950,26.130,26.710,132607.000,,raw
2018-09-21,26.650,26.820,25.900,26.550,137454.000,,raw
2018-09-25,26.180,27.330,26.020,27.330,163115.000,,raw
2018-09-26,27.110,27.700,26.850,27.180,170405.000,,raw
2018-09-27,27.030,27.720,26.880,27.210,128997.000,,raw
2018-09-28,27.190,27.330,26.170,26.690,153614.000,,raw
2018-10-08,25.850,25.850,24.610,24.610,141215.000,,raw
2018-10-09,24.620,25.060,24.010,24.700,85687.000,,raw
2018-10-10,24.400,25.000,24.160,24.500,80310.000,,raw
2018-10-11,23.500,23.670,22.050,22.230,165785.000,,raw
2018-10-12,22.220,23.480,22.020,23.280,112812.000,,raw
2018-10-15,23.360,24.190,23.280,23.380,109394.000,,raw
2018-10-16,23.400,23.590,22.210,22.600,94718.000,,raw
2018-10-17,23.120,23.780,22.590,23.300,143275.000,,raw
2018-10-18,22.990,23.570,22.600,22.800,108633.000,,raw
2018-10-19,22.120,23.880,22.110,23.690,117439.000,,raw
2018-10-22,24.500,26.060,24.160,25.980,208303.000,,raw
2018-10-23,25.680,26.060,25.430,25.800,111731.000,,raw
2018-10-24,25.700,26.250,25.500,25.930,90254.000,,raw
2018-10-25,25.000,26.770,24.820,26.750,157288.000,,raw
2018-10-26,26.940,27.580,25.840,26.370,154709.000,,raw
2018-10-29,26.300,27.200,26.220,26.480,113320.000,,raw
2018-10-30,26.190,26.500,24.100,25.750,169761.000,,raw
2018-10-31,25.750,26.000,25.060,25.680,112922.000,,raw
2018-11-01,26.040,26.620,25.690,25.690,124619.000,,raw
2018-11-02,26.490,26.800,25.990,26.650,159182.000,,raw
2018-11-05,26.290,27.170,26.200,27.030,159658.000,,raw
2018-11-06,26.800,26.950,26.110,26.820,88502.000,,raw
2018-11-07,26.700,28.090,26.590,27.500,215389.000,,raw
2018-11-08,27.650,27.800,26.580,26.600,126719.000,,raw
2018-11-09,26.300,28.360,26.020,27.900,214304.000,,raw
2018-11-12,28.010,28.780,27.500,28.700,229822.000,,raw
2018-11-13,28.120,28.960,27.930,28.200,153284.000,,raw
2018-11-14,28.080,28.340,27.710,27.920,110780.000,,raw
2018-11-15,27.800,28.360,27.560,28.130,121548.000,,raw
2018-11-16,27.900,28.560,27.750,28.420,139554.000,,raw
2018-11-19,28.300,28.400,27.450,28.050,113473.000,,raw
2018-11-20,27.470,27.780,26.530,27.050,120053.000,,raw
2018-11-21,26.680,27.490,26.490,26.740,93300.000,,raw
2018-11-22,26.810,27.150,26.540,26.700,50955.000,,raw
2018-11-23,26.800,26.920,26.130,26.200,78608.000,,raw
2018-11-26,26.200,27.300,26.150,27.000,95395.000,,raw
2018-11-27,27.300,27.560,26.980,27.200,106723.000,,raw
2018-11-28,27.200,27.500,26.700,27.210,85366.000,,raw
2018-11-29,27.330,27.520,26.060,26.060,146276.000,,raw
2018-11-30,25.800,26.700,25.240,26.460,98715.000,,raw
2018-12-03,27.530,28.000,27.200,27.720,182233.000,,raw
2018-12-04,27.620,27.900,27.460,27.730,101971.000,,raw
2018-12-05,27.060,27.480,27.000,27.200,65414.000,,raw
2018-12-06,26.490,26.490,24.870,25.140,242341.000,,raw
2018-12-07,25.500,25.670,25.220,25.380,81795.000,,raw
2018-12-10,25.200,26.050,25.030,25.550,93810.000,,raw
2018-12-11,25.730,26.150,25.500,25.830,95336.000,,raw
2018-12-12,26.090,26.140,25.510,25.680,61758.000,,raw
2018-12-13,25.780,26.250,25.540,26.100,103000.000,,raw
2018-12-14,26.030,26.100,25.470,25.610,79038.000,,raw
2018-12-17,25.470,25.470,24.900,25.380,58057.000,,raw
2018-12-18,25.200,25.550,24.950,25.390,55954.000,,raw
2018-12-19,25.540,26.060,25.450,25.550,108274.000,,raw
2018-12-20,25.370,25.860,25.200,25.610,72496.000,,raw
2018-12-21,25.470,25.830,25.330,25.800,71785.000,,raw
2018-12-24,25.940,27.200,25.850,27.000,186314.000,,raw
2018-12-25,26.660,27.590,26.500,27.290,202881.000,,raw
2018-12-26,27.020,27.220,26.600,26.750,139334.000,,raw
2018-12-27,27.010,27.360,26.810,26.870,135544.000,,raw
2018-12-28,26.760,27.050,26.090,26.860,126303.000,,raw
2019-01-02,26.740,27.110,26.590,26.720,103562.000,,raw
2019-01-03,26.610,26.750,25.080,25.410,160384.000,,raw
2019-01-04,24.950,25.950,24.800,25.800,89432.000,,raw
2019-01-07,26.100,26.940,25.860,26.930,162663.000,,raw
2019-01-08,26.800,27.150,26.500,26.780,110481.000,,raw
2019-01-09,26.860,27.360,26.520,26.650,133507.000,,raw
2019-01-10,26.660,27.290,26.430,26.800,128269.000,,raw
2019-01-11,27.230,28.190,27.010,27.020,213793.000,,raw
2019-01-14,26.870,27.280,26.600,27.070,113057.000,,raw
2019-01-15,26.970,27.430,26.600,27.330,132797.000,,raw
2019-01-16,27.280,27.480,27.040,27.070,84574.000,,raw
2019-01-17,26.830,27.360,26.650,26.670,84639.000,,raw
2019-01-18,26.570,26.790,26.100,26.510,96942.000,,raw
2019-01-21,26.590,27.450,26.430,27.160,133143.000,,raw
2019-01-22,27.010,27.110,26.220,26.530,109644.000,,raw
2019-01-23,26.300,26.560,26.080,26.350,69954.000,,raw
2019-01-24,26.400,27.000,26.110,26.550,89421.000,,raw
2019-01-25,26.610,26.720,26.200,26.280,69987.000,,raw
2019-01-28,26.250,26.870,26.230,26.310,86439.000,,raw
2019-01-29,26.200,26.300,25.470,25.900,98499.000,,raw
2019-01-30,25.980,26.450,25.800,25.940,70420.000,,raw
2019-01-31,25.810,26.480,25.810,26.000,71679.000,,raw
2019-02-01,26.120,26.590,26.090,26.580,83204.000,,raw
2019-02-11,26.620,27.350,26.620,27.210,128130.000,,raw
2019-02-12,27.210,27.340,26.960,27.230,102755.000,,raw
2019-02-13,27.390,28.630,27.220,28.240,253290.000,,raw
2019-02-14,28.100,28.170,27.810,27.990,142071.000,,raw
2019-02-15,28.170,28.470,27.750,27.870,128390.000,,raw
2019-02-18,28.230,29.090,28.000,29.080,207683.000,,raw
2019-02-19,29.150,29.280,28.390,28.820,158089.000,,raw
2019-02-20,28.500,29.050,28.080,28.830,144363.000,,raw
2019-02-21,28.570,31.710,28.500,31.110,460105.000,,raw
2019-02-22,30.950,33.750,30.590,32.940,376118.000,,raw
2019-02-25,34.100,34.480,33.020,33.700,436643.000,,raw
2019-02-26,33.600,34.240,32.100,32.600,377706.000,,raw
2019-02-27,32.120,32.860,31.290,31.750,251333.000,,raw
2019-02-28,31.790,32.260,31.460,32.170,160960.000,,raw
2019-03-01,32.180,32.280,31.270,31.900,196588.000,,raw
2019-03-04,32.240,33.150,31.770,32.010,301060.000,,raw
2019-03-05,31.810,33.120,31.450,33.120,288080.000,,raw
2019-03-06,33.460,33.700,32.180,32.680,271152.000,,raw
2019-03-07,32.200,32.300,31.080,31.620,292214.000,,raw
2019-03-08,31.000,34.500,30.680,32.580,476406.000,,raw
2019-03-11,33.460,34.600,32.300,33.980,349613.000,,raw
2019-03-12,34.580,35.770,33.230,34.540,398397.000,,raw
2019-03-13,34.090,34.090,31.880,32.210,308005.000,,raw
2019-03-14,32.000,34.400,31.860,33.900,384419.000,,raw
2019-03-15,33.920,34.270,32.480,33.100,220987.000,,raw
2019-03-18,32.770,33.700,32.350,33.680,177978.000,,raw
2019-03-19,33.810,34.600,33.240,33.750,204965.000,,raw
2019-03-20,33.530,34.360,32.850,33.250,160773.000,,raw
2019-03-21,33.310,33.940,33.000,33.300,161434.000,,raw
2019-03-22,33.460,33.790,32.110,32.520,183321.000,,raw
2019-03-25,31.980,32.460,31.800,31.820,158226.000,,raw
2019-03-26,31.820,32.050,30.260,30.350,199963.000,,raw
2019-03-27,30.600,30.900,29.890,30.610,119299.000,,raw
2019-03-28,31.000,32.300,30.810,30.990,210002.000,,raw
2019-03-29,30.610,31.690,30.010,31.560,174121.000,,raw
2019-04-01,31.440,32.560,31.140,32.280,214396.000,,raw
2019-04-02,32.390,32.390,31.500,31.670,219138.000,,raw
2019-04-03,31.500,31.510,31.010,31.380,156744.000,,raw
2019-04-04,31.540,31.760,31.020,31.170,138748.000,,raw
2019-04-08,31.500,31.520,30.030,30.790,178002.000,,raw
2019-04-09,30.500,31.500,30.430,31.030,120302.000,,raw
2019-04-10,31.030,31.800,30.480,31.560,161958.000,,raw
2019-04-11,31.610,31.670,30.540,30.540,108684.000,,raw
2019-04-12,30.490,30.700,30.120,30.380,77897.000,,raw
2019-04-15,31.000,31.550,30.320,30.350,152793.000,,raw
2019-04-16,30.400,32.300,30.200,32.250,271760.000,,raw
2019-04-17,32.300,32.490,31.520,31.710,195976.000,,raw
2019-04-18,31.660,32.350,31.540,32.000,171808.000,,raw
2019-04-19,31.990,32.310,31.280,31.920,153096.000,,raw
2019-04-22,32.000,33.180,31.920,32.030,224787.000,,raw
2019-04-23,31.900,32.130,31.010,31.170,132596.000,,raw
2019-04-24,31.170,31.890,31.010,31.660,119587.000,,raw
2019-04-25,31.510,31.930,30.040,30.040,189284.000,,raw
2019-04-26,29.900,30.420,29.440,29.600,118128.000,,raw
2019-04-29,29.590,29.850,27.800,27.940,163555.000,,raw
2019-04-30,27.660,28.350,27.660,28.130,77093.000,,raw
2019-05-06,27.000,27.100,25.320,25.320,167302.000,,raw
2019-05-07,25.330,25.710,24.910,25.420,89489.000,,raw
2019-05-08,24.800,25.750,24.560,25.170,74786.000,,raw
2019-05-09,24.810,25.460,24.750,24.950,58901.000,,raw
2019-05-10,25.200,26.360,24.400,26.320,155752.000,,raw
2019-05-13,25.900,26.090,25.520,25.690,99520.000,,raw
2019-05-14,24.910,25.860,24.880,25.530,80405.000,,raw
2019-05-15,25.800,25.970,25.640,25.860,70439.000,,raw
2019-05-16,25.900,25.900,25.200,25.720,78857.000,,raw
2019-05-17,25.830,26.600,25.220,25.320,126072.000,,raw
2019-05-20,25.560,26.660,25.400,26.520,172835.000,,raw
2019-05-21,26.400,27.350,26.100,26.780,154269.000,,raw
2019-05-22,26.690,27.950,26.530,27.230,173134.000,,raw
2019-05-23,27.200,27.320,26.210,26.320,103378.000,,raw
2019-05-24,25.990,26.250,25.330,25.750,82879.000,,raw
2019-05-27,25.740,26.950,25.410,26.680,102903.000,,raw
2019-05-28,26.770,27.040,26.490,26.580,93745.000,,raw
2019-05-29,26.400,27.130,26.350,26.650,79567.000,,raw
2019-05-30,26.630,26.630,25.910,26.260,65144.000,,raw
2019-05-31,26.180,26.890,26.180,26.400,64984.000,,raw
2019-06-03,26.380,27.930,26.350,27.390,173865.000,,raw
2019-06-04,27.950,28.800,27.560,27.970,252037.000,,raw
2019-06-05,28.400,28.800,27.820,28.270,185391.000,,raw
2019-06-06,28.360,28.370,26.270,26.550,180309.000,,raw
2019-06-10,26.530,27.590,26.500,27.190,126118.000,,raw
2019-06-11,27.270,27.800,26.600,27.770,153376.000,,raw
2019-06-12,27.510,27.920,27.340,27.400,128383.000,,raw
2019-06-13,27.390,27.850,27.100,27.310,73249.000,,raw
2019-06-14,27.300,27.530,26.530,26.580,93179.000,,raw
2019-06-17,26.530,26.650,26.000,26.220,61581.000,,raw
2019-06-18,26.260,26.490,26.100,26.340,42858.000,,raw
2019-06-19,27.270,27.470,26.610,26.610,111907.000,,raw
2019-06-20,26.610,27.100,26.200,26.950,113360.000,,raw
2019-06-21,27.000,27.520,26.990,27.220,117849.000,,raw
2019-06-24,27.340,27.340,26.580,26.700,97416.000,,raw
2019-06-25,26.690,26.760,25.900,26.360,85968.000,,raw
2019-06-26,26.250,26.720,26.130,26.330,62514.000,,raw
2019-06-27,26.510,27.200,26.510,27.010,144351.000,,raw
2019-06-28,27.000,27.000,26.270,26.480,74089.000,,raw
2019-07-01,27.440,27.890,27.310,27.350,175846.000,,raw
2019-07-02,27.360,27.480,27.030,27.090,89650.000,,raw
2019-07-03,27.100,27.100,26.500,26.550,78200.000,,raw
2019-07-04,26.580,26.740,26.430,26.620,56545.000,,raw
2019-07-05,26.620,26.690,26.440,26.540,40356.000,,raw
2019-07-08,26.540,26.550,25.350,25.420,95432.000,,raw
2019-07-09,25.420,25.600,25.110,25.420,45763.000,,raw
2019-07-10,25.590,25.620,25.170,25.280,36385.000,,raw
2019-07-11,25.550,25.720,25.250,25.330,29737.000,,raw
2019-07-12,25.320,25.480,24.870,25.400,36960.000,"{'nd': '2018', 'fh_sh': '1.7', 'djr': '2019-07-11', 'cqr': '2019-07-12', 'FHcontent': '10派1.7元'}",raw
2019-07-15,25.420,25.960,25.110,25.720,55243.000,,raw
2019-07-16,26.000,26.840,26.000,26.490,135615.000,,raw
2019-07-17,26.350,26.650,26.250,26.380,80937.000,,raw
2019-07-18,26.240,26.240,25.710,25.710,56643.000,,raw
2019-07-19,25.750,26.100,25.500,25.550,57763.000,,raw
2019-07-22,25.590,25.690,24.880,24.950,50040.000,,raw
2019-07-23,24.960,25.500,24.960,25.430,42889.000,,raw
2019-07-24,25.600,26.120,25.520,25.880,73071.000,,raw
2019-07-25,25.900,26.620,25.810,26.240,130821.000,,raw
