date,open,high,low,close,volume,amount,price_type
2020-01-02,47.690,48.470,47.510,48.170,159345.000,,raw
2020-01-03,48.200,48.990,47.680,48.040,129936.000,,raw
2020-01-06,47.390,49.190,47.190,48.280,169871.000,,raw
2020-01-07,48.310,48.500,47.770,48.050,93400.000,,raw
2020-01-08,47.550,48.350,47.150,47.280,110974.000,,raw
2020-01-09,47.750,48.200,47.380,47.650,89217.000,,raw
2020-01-10,47.660,47.660,46.610,46.920,109294.000,,raw
2020-01-13,51.610,51.610,50.510,51.610,518827.000,,raw
2020-01-14,55.000,55.990,53.000,53.440,614975.000,,raw
2020-01-15,54.010,54.750,52.280,53.310,298705.000,,raw
2020-01-16,53.490,54.540,51.780,54.090,335737.000,,raw
2020-01-17,53.860,59.500,53.200,57.950,530600.000,,raw
2020-01-20,57.300,59.900,56.500,58.760,300775.000,,raw
2020-01-21,57.720,57.730,56.550,56.720,203836.000,,raw
2020-01-22,56.500,60.500,56.100,59.270,327979.000,,raw
2020-01-23,57.990,61.880,57.510,59.830,291584.000,,raw
2020-02-03,53.850,54.480,53.850,53.850,100398.000,,raw
2020-02-04,54.000,57.500,54.000,56.360,367775.000,,raw
2020-02-05,57.700,62.000,56.990,60.810,446230.000,,raw
2020-02-06,58.450,60.850,58.400,60.750,301131.000,,raw
2020-02-07,60.740,60.740,56.660,57.900,321281.000,,raw
2020-02-10,59.200,63.360,58.850,60.930,352796.000,,raw
2020-02-11,60.000,60.120,58.280,59.040,196175.000,,raw
2020-02-12,59.040,60.600,58.350,59.190,197455.000,,raw
2020-02-13,58.500,60.130,57.500,57.550,236947.000,,raw
2020-02-14,57.560,57.900,56.440,56.900,211173.000,,raw
2020-02-17,56.910,58.560,56.910,58.480,209889.000,,raw
2020-02-18,57.800,60.000,57.770,59.470,228365.000,,raw
2020-02-19,64.470,64.480,61.660,61.910,437476.000,,raw
2020-02-20,63.170,68.100,63.110,68.100,649390.000,,raw
2020-02-21,67.000,68.270,65.680,67.500,455189.000,,raw
2020-02-24,65.420,67.140,64.960,66.200,357968.000,,raw
2020-02-25,64.400,72.190,64.170,70.850,407434.000,,raw
2020-02-26,69.780,75.800,69.000,71.700,522768.000,,raw
2020-02-27,71.680,73.150,68.080,70.050,272699.000,,raw
2020-02-28,66.660,68.990,64.950,65.370,338253.000,,raw
2020-03-02,65.600,67.230,64.000,66.850,225643.000,,raw
2020-03-03,69.800,70.200,67.460,67.870,274252.000,,raw
2020-03-04,66.950,67.800,64.720,66.580,180932.000,,raw
2020-03-05,67.020,67.620,65.500,66.810,170003.000,,raw
2020-03-06,65.500,67.550,65.330,65.360,147209.000,,raw
2020-03-09,63.290,63.290,59.180,59.450,292478.000,,raw
2020-03-10,57.600,61.500,57.330,60.170,266805.000,,raw
2020-03-11,60.770,61.150,58.600,58.750,222212.000,,raw
2020-03-12,57.310,57.660,55.900,57.030,232383.000,,raw
2020-03-13,53.800,56.500,52.350,55.660,213198.000,,raw
2020-03-16,56.590,57.330,53.880,53.880,238773.000,,raw
2020-03-17,53.880,54.960,51.880,53.040,180919.000,,raw
2020-03-18,53.590,54.670,52.020,52.090,172684.000,,raw
2020-03-19,52.110,52.520,49.880,51.360,194450.000,,raw
2020-03-20,52.300,52.790,51.400,52.520,148296.000,,raw
2020-03-23,50.250,50.800,47.890,48.150,242740.000,,raw
2020-03-24,49.260,49.880,47.390,49.730,205027.000,,raw
2020-03-25,51.550,52.800,51.040,52.250,289787.000,,raw
2020-03-26,52.500,55.180,51.610,54.270,296621.000,,raw
