date,open,high,low,close,volume,amount,price_type
2024-05-06,2.830,2.850,2.810,2.840,143807.000,,raw
2024-05-07,2.840,2.840,2.790,2.820,123412.000,,raw
2024-05-08,2.950,3.100,2.930,3.100,921933.000,,raw
2024-05-09,2.990,3.010,2.940,2.970,802943.000,,raw
2024-05-10,2.950,3.050,2.940,2.970,464243.000,,raw
2024-05-13,2.940,2.950,2.880,2.900,324730.000,,raw
2024-05-14,2.890,2.940,2.890,2.910,151704.000,,raw
2024-05-15,2.950,2.960,2.880,2.880,190909.000,,raw
2024-05-16,2.920,2.980,2.900,2.930,273831.000,,raw
2024-05-17,2.930,2.940,2.880,2.940,191423.000,,raw
2024-05-20,2.950,2.950,2.910,2.920,157737.000,,raw
2024-05-21,2.910,3.070,2.900,2.990,376545.000,,raw
2024-05-22,2.970,3.000,2.950,2.970,218734.000,,raw
2024-05-23,2.970,2.980,2.910,2.920,157408.000,,raw
2024-05-24,2.930,2.940,2.890,2.900,131438.000,,raw
2024-05-27,2.900,2.920,2.880,2.910,102287.000,,raw
2024-05-28,2.910,2.920,2.860,2.860,113652.000,,raw
2024-05-29,2.860,2.880,2.850,2.860,71392.000,,raw
2024-05-30,2.860,2.870,2.830,2.840,85563.000,,raw
2024-05-31,2.850,2.910,2.830,2.910,157962.000,,raw
2024-06-03,2.890,2.900,2.840,2.880,94225.000,,raw
2024-06-04,2.880,2.890,2.850,2.890,70068.000,,raw
2024-06-05,2.870,2.890,2.840,2.840,67806.000,,raw
2024-06-06,2.830,2.850,2.700,2.710,220037.000,,raw
2024-06-07,2.720,2.780,2.720,2.770,116324.000,,raw
2024-06-11,2.760,2.770,2.720,2.740,76746.000,,raw
2024-06-12,2.740,2.760,2.730,2.760,73483.000,,raw
2024-06-13,2.760,2.760,2.730,2.750,77325.000,,raw
2024-06-14,2.900,2.900,2.790,2.810,160923.000,,raw
2024-06-17,2.780,2.790,2.760,2.760,82410.000,,raw
2024-06-18,2.770,2.940,2.750,2.910,230716.000,,raw
2024-06-19,2.870,3.060,2.860,2.890,310157.000,,raw
2024-06-20,2.880,2.920,2.810,2.820,183430.000,,raw
2024-06-21,2.810,3.030,2.790,2.930,419377.000,,raw
2024-06-24,2.900,2.910,2.800,2.800,273466.000,,raw
2024-06-25,2.830,2.840,2.760,2.810,141573.000,,raw
2024-06-26,2.810,2.820,2.740,2.810,159882.000,,raw
2024-06-27,2.800,2.830,2.780,2.800,111072.000,,raw
2024-06-28,2.790,2.820,2.780,2.790,89126.000,,raw
2024-07-01,2.780,2.820,2.770,2.820,80151.000,,raw
2024-07-02,2.810,2.840,2.800,2.810,86442.000,,raw
2024-07-03,2.800,2.860,2.800,2.820,102931.000,,raw
2024-07-04,2.820,2.840,2.750,2.760,108590.000,,raw
2024-07-05,2.770,2.790,2.750,2.780,48363.000,,raw
2024-07-08,2.770,3.040,2.770,2.950,466175.000,,raw
2024-07-09,3.250,3.250,3.120,3.210,2043565.000,,raw
2024-07-10,3.530,3.530,3.530,3.530,1007990.000,,raw
2024-07-11,3.800,3.880,3.710,3.880,2516834.000,,raw
2024-07-12,4.000,4.270,4.000,4.200,3885173.000,,raw
2024-07-15,4.300,4.620,4.190,4.450,3905610.000,,raw
2024-07-16,4.430,4.900,4.290,4.900,4238411.000,,raw
2024-07-17,4.790,5.150,4.700,4.880,4278948.000,,raw
2024-07-18,4.700,5.370,4.650,5.370,4108138.000,,raw
2024-07-19,5.300,5.760,5.240,5.580,4092688.000,,raw
2024-07-22,5.610,6.140,5.610,6.140,3246698.000,,raw
2024-07-23,6.450,6.750,6.320,6.750,2566113.000,,raw
2024-07-24,6.980,7.270,6.510,7.110,4223063.000,,raw
2024-07-25,7.050,7.820,7.050,7.820,3209642.000,,raw
2024-07-26,8.200,8.600,7.820,8.430,4860823.000,,raw
2024-07-29,8.960,9.270,8.700,9.270,1891899.000,,raw
2024-07-30,9.580,10.200,9.500,10.200,3245132.000,,raw
2024-07-31,10.770,11.190,9.360,9.930,5194001.000,,raw
2024-08-01,9.950,10.260,9.610,10.000,4168414.000,,raw
2024-08-02,9.840,10.900,9.560,10.200,5340146.000,,raw
2024-08-05,9.790,11.220,9.640,11.220,4981874.000,,raw
2024-08-06,11.200,11.200,10.100,10.100,4982735.000,,raw
2024-08-07,10.210,10.390,9.810,10.100,3959477.000,,raw
2024-08-08,9.950,10.170,9.130,9.460,4188332.000,,raw
2024-08-09,9.660,9.960,9.410,9.500,3512818.000,,raw
2024-08-12,9.500,9.900,9.160,9.710,3688357.000,"{'nd': '2023', 'fh_sh': '0.5', 'djr': '2024-08-09', 'cqr': '2024-08-12', 'FHcontent': '10派0.5元'}",raw
2024-08-13,9.050,9.450,8.800,9.280,4335779.000,,raw
2024-08-14,9.110,9.740,9.030,9.350,3857288.000,,raw
2024-08-15,9.090,9.350,8.660,9.210,3544099.000,,raw
2024-08-16,8.950,9.750,8.740,8.800,3969589.000,,raw
2024-08-19,9.000,9.680,8.800,9.400,4592597.000,,raw
2024-08-20,9.270,9.530,8.940,9.210,3100586.000,,raw
2024-08-21,9.050,10.130,8.940,9.800,5151261.000,,raw
2024-08-22,9.600,10.490,9.420,10.000,5318549.000,,raw
2024-08-23,9.900,10.180,9.000,9.000,4430329.000,,raw
2024-08-26,9.010,9.100,8.660,9.060,2825724.000,,raw
2024-08-27,9.100,9.800,8.860,9.470,4318749.000,,raw
2024-08-28,9.270,10.090,8.890,9.750,4402478.000,,raw
2024-08-29,9.700,9.850,9.240,9.310,3804801.000,,raw
2024-08-30,9.200,9.990,9.070,9.490,4558627.000,,raw
2024-09-02,9.510,9.670,9.110,9.400,3267931.000,,raw
2024-09-03,9.450,9.580,9.000,9.200,3170015.000,,raw
2024-09-04,9.310,9.990,9.110,9.450,4722297.000,,raw
2024-09-05,9.300,10.400,9.150,10.400,3220195.000,,raw
2024-09-06,11.440,11.440,11.440,11.440,172777.000,,raw
2024-09-09,12.580,12.580,10.300,10.300,1744501.000,,raw
2024-09-10,9.270,9.270,9.270,9.270,102902.000,,raw
2024-09-11,8.340,8.600,8.340,8.340,3785416.000,,raw
2024-09-12,8.090,8.140,7.510,7.510,4476493.000,,raw
2024-09-13,7.380,7.440,6.760,6.760,3908679.000,,raw
2024-09-18,6.900,6.960,6.720,6.760,2292834.000,,raw
2024-09-19,6.640,6.870,6.540,6.790,2414138.000,,raw
2024-09-20,6.710,6.780,6.420,6.480,2620622.000,,raw
2024-09-23,6.400,6.730,6.400,6.730,2676002.000,,raw
2024-09-24,6.600,6.830,6.520,6.770,2871188.000,,raw
2024-09-25,6.690,7.050,6.680,6.830,3290012.000,,raw
2024-09-26,6.740,7.180,6.630,6.990,3619511.000,,raw
2024-09-27,7.080,7.200,6.960,7.120,2604783.000,,raw
2024-09-30,7.330,7.830,7.230,7.830,4346398.000,,raw
