date,open,high,low,close,volume,amount,price_type
2025-01-02,109.240,109.990,104.700,105.680,60899.000,,raw
2025-01-03,105.680,106.430,101.480,101.980,60659.000,,raw
2025-01-06,101.980,103.110,99.990,101.020,50420.000,,raw
2025-01-07,100.780,102.120,99.630,102.000,39878.000,,raw
2025-01-08,100.500,104.490,99.300,103.670,52057.000,,raw
2025-01-09,102.500,104.800,102.000,103.700,43581.000,,raw
2025-01-10,103.740,106.740,102.150,102.150,53092.000,,raw
2025-01-13,101.500,106.900,101.440,103.670,61704.000,,raw
2025-01-14,104.000,109.000,102.590,108.000,72070.000,,raw
2025-01-15,108.000,108.000,104.100,104.400,62169.000,,raw
2025-01-16,105.450,107.900,103.510,105.250,55304.000,,raw
2025-01-17,104.990,106.080,103.400,104.710,40982.000,,raw
2025-01-20,105.660,108.620,105.050,107.610,56031.000,,raw
2025-01-21,108.100,111.320,106.000,110.620,66189.000,,raw
2025-01-22,109.770,110.320,108.200,109.710,42489.000,,raw
2025-01-23,111.150,111.600,108.140,108.540,51048.000,,raw
2025-01-24,107.800,113.480,107.510,110.800,72251.000,,raw
2025-01-27,110.800,110.930,108.250,108.510,35154.000,,raw
2025-02-05,110.490,115.790,109.140,113.880,87614.000,,raw
2025-02-06,113.000,125.270,113.000,125.270,136098.000,,raw
2025-02-07,130.280,134.980,127.610,133.580,230471.000,,raw
2025-02-10,133.580,133.680,127.280,130.000,169806.000,,raw
2025-02-11,129.960,131.990,124.360,126.580,146417.000,,raw
2025-02-12,126.040,132.320,124.880,130.300,130727.000,,raw
2025-02-13,129.910,131.200,127.330,127.350,82773.000,,raw
2025-02-14,126.700,132.550,126.510,130.400,94689.000,,raw
2025-02-17,131.000,135.490,130.580,134.310,119130.000,,raw
2025-02-18,132.110,133.010,129.000,129.150,82886.000,,raw
2025-02-19,129.040,135.220,129.040,134.000,81610.000,,raw
2025-02-20,133.400,134.260,131.320,132.600,62000.000,,raw
2025-02-21,133.000,136.800,130.030,134.330,89143.000,,raw
2025-02-24,134.340,135.000,129.540,132.300,82144.000,,raw
2025-02-25,130.890,137.560,129.660,133.850,97210.000,,raw
2025-02-26,135.000,135.480,131.420,132.670,83583.000,,raw
2025-02-27,133.500,133.500,128.290,130.700,73467.000,,raw
2025-02-28,129.830,133.450,123.200,123.690,94934.000,,raw
2025-03-03,124.020,126.910,122.000,123.160,62407.000,,raw
2025-03-04,122.000,124.330,121.150,123.150,36893.000,,raw
2025-03-05,123.150,124.500,121.400,122.900,34843.000,,raw
2025-03-06,123.920,127.100,123.390,124.800,64604.000,,raw
2025-03-07,123.990,125.260,121.530,122.500,61095.000,,raw
