date,open,high,low,close,volume,amount,price_type
2018-01-02,28.870,29.080,28.120,28.420,42169.000,,raw
2018-01-03,28.560,29.660,28.440,29.580,72212.000,,raw
2018-01-04,29.560,29.560,28.660,28.860,66521.000,,raw
2018-01-05,28.810,29.100,28.210,28.270,39588.000,,raw
2018-01-08,28.330,28.330,25.450,25.500,99445.000,,raw
2018-01-09,25.400,26.100,25.130,25.960,43490.000,,raw
2018-01-10,25.760,26.030,25.550,25.700,33230.000,,raw
2018-01-11,25.750,26.300,25.600,25.940,29731.000,,raw
2018-01-12,25.990,26.000,24.600,24.600,50352.000,,raw
2018-01-15,25.030,25.180,23.100,23.470,59724.000,,raw
2018-01-16,23.800,24.150,23.480,23.710,37083.000,,raw
2018-01-17,22.990,24.150,22.000,23.480,58932.000,,raw
2018-01-18,23.640,24.580,23.640,24.070,52529.000,,raw
2018-01-19,24.050,24.650,23.500,23.590,39003.000,,raw
2018-01-22,24.280,24.650,23.750,24.360,43429.000,,raw
2018-01-23,24.320,25.200,24.310,24.650,43265.000,,raw
2018-01-24,24.700,25.320,24.100,25.100,47252.000,,raw
2018-01-25,25.000,25.260,24.340,24.340,38749.000,,raw
2018-01-26,24.330,24.620,23.810,23.900,20856.000,,raw
2018-01-29,23.900,23.900,22.900,23.290,30372.000,,raw
2018-01-30,23.150,23.660,23.150,23.470,18846.000,,raw
2018-01-31,23.800,23.800,22.690,22.700,20162.000,,raw
2018-02-01,22.500,22.940,21.500,21.700,24572.000,,raw
2018-02-02,21.510,22.200,21.050,21.970,18821.000,,raw
2018-02-05,21.620,22.310,21.400,21.810,21635.000,,raw
2018-02-06,21.360,22.200,20.810,20.990,23322.000,,raw
2018-02-07,21.840,21.840,20.000,21.410,24161.000,,raw
2018-02-08,21.400,22.880,21.350,22.660,37470.000,,raw
2018-02-09,22.280,23.250,21.900,22.370,43035.000,,raw
2018-02-12,22.800,23.400,22.600,23.250,35715.000,,raw
2018-02-13,23.300,23.300,22.610,22.750,25636.000,,raw
2018-02-14,22.690,22.940,22.210,22.460,14427.000,,raw
2018-02-22,22.800,23.600,22.220,23.310,24126.000,,raw
2018-02-23,23.180,23.500,23.000,23.320,19187.000,,raw
2018-02-26,23.580,25.520,23.250,25.180,59543.000,,raw
2018-02-27,24.880,26.200,24.520,25.510,70619.000,,raw
2018-02-28,25.100,26.340,24.800,25.810,56472.000,,raw
2018-03-01,25.700,26.260,25.510,26.160,37412.000,,raw
2018-03-02,25.940,26.230,24.900,25.130,43973.000,,raw
2018-03-05,25.020,26.820,25.020,26.700,62893.000,,raw
2018-03-06,26.900,27.480,26.210,26.460,55761.000,,raw
2018-03-07,26.300,26.610,25.570,26.020,38161.000,,raw
