date,open,high,low,close,volume,amount,price_type
2021-01-04,36.120,39.300,36.010,38.110,416722.000,,raw
2021-01-05,38.110,38.760,37.010,38.290,383431.000,,raw
2021-01-06,38.190,39.080,36.550,37.620,323661.000,,raw
2021-01-07,37.400,41.380,36.990,41.380,456451.000,,raw
2021-01-08,42.210,43.040,40.000,42.500,391515.000,,raw
2021-01-11,42.800,46.660,42.800,46.120,443969.000,,raw
2021-01-12,45.000,49.840,43.600,48.770,495241.000,,raw
2021-01-13,48.770,51.720,47.500,49.810,557544.000,,raw
2021-01-14,48.510,49.500,44.830,44.830,504433.000,,raw
2021-01-15,42.070,48.000,40.350,43.510,868762.000,,raw
2021-01-18,42.000,42.190,40.210,41.200,551149.000,,raw
2021-01-19,41.410,41.830,39.400,39.960,487719.000,,raw
2021-01-20,40.240,41.630,39.620,40.500,447201.000,,raw
2021-01-21,40.280,42.060,38.230,40.850,670139.000,,raw
2021-01-22,40.170,41.120,38.380,39.370,597434.000,,raw
2021-01-25,39.500,43.310,39.460,43.310,804003.000,,raw
2021-01-26,44.000,46.200,42.020,44.240,660376.000,,raw
2021-01-27,43.500,44.000,40.440,42.210,476471.000,,raw
2021-01-28,40.600,43.210,39.800,40.980,363518.000,,raw
2021-01-29,41.500,42.780,40.570,41.920,311651.000,,raw
2021-02-01,41.000,42.100,39.710,39.880,376291.000,,raw
2021-02-02,40.410,43.870,40.020,43.870,552379.000,,raw
2021-02-03,44.180,44.500,40.800,41.350,606785.000,,raw
2021-02-04,40.860,40.950,39.500,40.040,337266.000,,raw
2021-02-05,39.900,40.600,38.040,38.130,376658.000,,raw
2021-02-08,39.200,40.870,38.900,40.250,369913.000,,raw
2021-02-09,40.870,41.650,39.390,40.900,359766.000,,raw
2021-02-10,41.920,43.230,40.270,42.460,431498.000,,raw
2021-02-18,43.090,43.480,41.040,41.600,359079.000,,raw
2021-02-19,40.500,41.010,39.120,40.750,299699.000,,raw
2021-02-22,41.000,41.000,38.310,38.430,477520.000,,raw
2021-02-23,37.300,37.300,35.110,35.480,613973.000,,raw
2021-02-24,35.320,36.080,32.920,33.390,609594.000,,raw
2021-02-25,34.260,34.400,31.940,32.350,508939.000,,raw
2021-02-26,30.750,31.780,29.910,31.370,446721.000,,raw
2021-03-01,31.600,31.970,30.260,31.830,389422.000,,raw
2021-03-02,32.010,32.340,30.690,31.360,345200.000,,raw
2021-03-03,31.000,31.900,30.650,31.870,258538.000,,raw
2021-03-04,31.300,31.310,30.180,30.410,269938.000,,raw
2021-03-05,29.580,31.870,29.200,31.500,378212.000,,raw
2021-03-08,31.500,31.800,28.700,28.770,464776.000,,raw
2021-03-09,28.770,29.990,27.110,29.450,522148.000,"{'nd': '2020', 'fh_sh': '2.8', 'djr': '2021-03-08', 'cqr': '2021-03-09', 'FHcontent': '10派2.8元'}",raw
2021-03-10,30.540,31.270,30.130,30.730,421901.000,,raw
2021-03-11,30.520,31.680,30.100,30.880,363638.000,,raw
2021-03-12,31.200,31.420,30.000,30.600,260159.000,,raw
2021-03-15,30.000,30.320,29.180,29.550,232708.000,,raw
2021-03-16,29.550,30.540,29.550,29.810,210305.000,,raw
2021-03-17,29.670,30.160,29.000,29.900,190471.000,,raw
2021-03-18,30.300,30.950,30.010,30.180,188585.000,,raw
2021-03-19,29.400,29.900,28.800,28.800,224145.000,,raw
2021-03-22,29.020,29.630,28.700,29.390,180582.000,,raw
2021-03-23,29.370,29.500,28.140,28.360,199515.000,,raw
2021-03-24,28.380,28.640,27.180,27.760,218690.000,,raw
2021-03-25,27.390,28.800,27.260,28.140,177580.000,,raw
2021-03-26,28.250,30.950,28.250,30.950,439391.000,,raw
2021-03-29,29.700,30.100,28.960,29.140,481809.000,,raw
2021-03-30,28.660,29.860,28.610,29.690,298009.000,,raw
2021-03-31,31.260,32.350,29.940,30.130,480227.000,,raw
2021-04-01,30.470,32.830,30.460,32.430,559943.000,,raw
2021-04-02,32.550,35.300,31.400,34.380,596948.000,,raw
2021-04-06,34.590,35.620,33.650,34.420,417893.000,,raw
2021-04-07,34.430,34.430,32.670,33.000,373358.000,,raw
2021-04-08,32.170,33.000,31.800,32.460,269165.000,,raw
2021-04-09,32.840,32.970,31.110,31.620,284262.000,,raw
2021-04-12,31.620,31.830,30.240,30.390,245699.000,,raw
2021-04-13,30.700,31.200,30.160,30.580,215573.000,,raw
2021-04-14,30.680,31.880,30.680,31.760,291881.000,,raw
2021-04-15,31.020,31.500,30.250,31.020,257348.000,,raw
2021-04-16,31.020,33.280,30.680,32.780,479454.000,,raw
2021-04-19,33.700,36.050,32.900,36.020,742587.000,,raw
2021-04-20,36.030,37.980,34.600,35.190,742557.000,,raw
2021-04-21,34.500,35.980,34.220,35.540,458622.000,,raw
2021-04-22,34.610,34.980,33.120,34.000,541020.000,,raw
2021-04-23,33.590,34.800,33.500,33.720,298820.000,,raw
2021-04-26,33.000,34.180,33.000,33.240,328096.000,,raw
2021-04-27,32.900,33.500,32.250,33.270,244311.000,,raw
2021-04-28,33.200,34.400,32.600,34.160,331625.000,,raw
2021-04-29,33.910,34.740,33.380,34.170,309630.000,,raw
2021-04-30,33.890,34.250,33.000,33.430,245929.000,,raw
2021-05-06,33.430,33.770,32.330,33.030,230075.000,,raw
2021-05-07,33.030,33.030,30.450,31.240,359944.000,,raw
2021-05-10,30.700,32.280,30.050,31.700,285159.000,,raw
2021-05-11,30.800,31.360,30.250,30.840,284151.000,,raw
2021-05-12,30.630,32.480,30.400,31.830,307364.000,,raw
2021-05-13,31.300,31.350,30.600,30.720,213595.000,,raw
2021-05-14,30.500,31.230,30.410,30.740,217979.000,,raw
2021-05-17,30.850,33.330,30.770,33.110,480683.000,,raw
2021-05-18,33.060,33.060,32.100,32.490,254283.000,,raw
2021-05-19,32.280,35.240,32.120,34.460,543665.000,,raw
2021-05-20,34.600,35.830,33.880,34.370,479915.000,,raw
2021-05-21,34.380,35.000,33.200,34.140,412625.000,,raw
2021-05-24,33.560,34.270,32.860,33.950,261462.000,,raw
2021-05-25,33.900,35.750,33.470,35.300,407151.000,,raw
2021-05-26,36.130,38.830,36.130,37.030,644085.000,,raw
2021-05-27,37.540,37.600,36.080,36.350,336167.000,,raw
2021-05-28,36.000,38.000,35.560,36.750,354121.000,,raw
2021-05-31,36.720,37.100,35.190,36.990,279558.000,,raw
2021-06-01,36.900,38.250,36.180,37.660,312948.000,,raw
2021-06-02,37.810,39.550,37.810,38.200,399416.000,,raw
2021-06-03,39.000,39.600,37.570,37.610,296456.000,,raw
2021-06-04,37.490,38.910,36.810,38.600,302548.000,,raw
2021-06-07,38.600,39.200,37.900,38.190,212546.000,,raw
2021-06-08,38.380,40.030,38.380,39.730,348690.000,,raw
2021-06-09,38.700,40.440,38.210,40.100,293328.000,,raw
2021-06-10,39.770,43.160,39.510,42.460,399978.000,,raw
2021-06-11,42.010,45.500,41.600,44.300,455953.000,,raw
2021-06-15,44.600,46.300,43.330,44.050,394497.000,,raw
2021-06-16,43.450,43.500,39.650,39.650,389563.000,,raw
2021-06-17,38.480,41.250,38.180,40.200,353903.000,,raw
2021-06-18,40.720,44.200,40.250,42.980,431727.000,,raw
2021-06-21,42.500,45.300,41.390,44.230,345910.000,,raw
2021-06-22,44.260,45.770,43.110,44.030,278260.000,,raw
2021-06-23,44.120,47.000,44.120,45.290,432354.000,,raw
2021-06-24,45.310,46.500,44.330,44.850,323213.000,,raw
2021-06-25,45.620,45.860,43.500,43.880,386252.000,,raw
2021-06-28,43.980,45.280,43.230,44.320,309407.000,,raw
2021-06-29,45.000,45.630,43.000,43.820,298201.000,,raw
2021-06-30,43.800,43.800,42.160,43.590,240999.000,,raw
2021-07-01,43.580,43.940,42.240,42.370,175632.000,,raw
2021-07-02,42.230,42.730,41.110,41.880,216264.000,,raw
2021-07-05,41.600,45.170,41.230,44.800,418509.000,,raw
2021-07-06,45.150,47.000,44.800,46.060,435086.000,,raw
2021-07-07,45.110,47.180,44.130,46.350,314512.000,,raw
2021-07-08,46.980,47.140,45.340,45.390,256106.000,,raw
2021-07-09,45.760,49.800,45.320,49.130,542154.000,,raw
2021-07-12,49.000,51.500,47.680,48.900,463571.000,,raw
2021-07-13,48.500,49.650,47.430,48.000,282708.000,,raw
2021-07-14,47.680,47.680,45.000,45.050,371285.000,,raw
2021-07-15,44.770,45.420,42.500,43.760,389315.000,,raw
2021-07-16,43.500,45.900,43.000,44.680,309730.000,,raw
2021-07-19,43.000,45.760,41.300,45.300,282375.000,,raw
2021-07-20,44.500,46.300,44.200,45.520,163331.000,,raw
2021-07-21,48.000,50.070,48.000,50.070,335373.000,,raw
2021-07-22,51.780,51.780,49.200,51.030,496046.000,,raw
2021-07-23,50.000,55.000,49.800,54.950,473944.000,,raw
2021-07-26,54.260,56.000,52.800,54.430,420558.000,,raw
2021-07-27,54.300,56.300,51.250,52.160,361146.000,,raw
2021-07-28,50.200,53.000,49.830,51.010,307097.000,,raw
2021-07-29,53.110,56.110,51.060,56.110,434974.000,,raw
2021-07-30,56.000,61.490,55.180,60.710,501647.000,,raw
2021-08-02,61.690,65.090,59.760,63.710,523604.000,,raw
2021-08-03,62.000,63.700,58.410,59.120,409367.000,,raw
2021-08-04,58.980,63.100,58.000,61.300,372854.000,,raw
2021-08-05,60.500,64.200,58.120,63.390,384989.000,,raw
2021-08-06,64.050,65.220,61.980,62.520,247718.000,,raw
2021-08-09,60.680,60.830,58.500,60.020,272952.000,,raw
2021-08-10,60.080,61.390,55.660,58.200,470116.000,,raw
2021-08-11,58.200,58.380,55.820,57.400,289963.000,,raw
2021-08-12,56.960,62.160,56.200,60.640,452489.000,,raw
2021-08-13,59.350,60.500,58.150,58.450,243143.000,,raw
2021-08-16,57.680,59.550,56.800,57.710,247556.000,,raw
2021-08-17,57.110,58.450,54.500,55.590,311468.000,,raw
2021-08-18,55.200,55.850,53.730,54.380,258906.000,,raw
2021-08-19,55.200,58.500,54.500,57.210,363558.000,,raw
2021-08-20,56.800,58.850,55.410,58.270,336316.000,,raw
2021-08-23,58.300,61.000,56.990,60.730,368204.000,,raw
2021-08-24,60.460,62.000,58.900,59.510,321102.000,,raw
2021-08-25,59.610,63.150,59.030,61.230,302122.000,,raw
2021-08-26,60.990,61.970,57.380,58.280,336163.000,,raw
2021-08-27,57.980,64.000,57.690,62.970,467967.000,,raw
2021-08-30,63.980,67.770,62.660,65.100,405583.000,,raw
2021-08-31,65.090,67.200,63.700,66.120,265642.000,,raw
2021-09-01,66.090,66.700,60.600,64.920,303230.000,,raw
2021-09-02,64.800,66.680,63.100,63.680,228659.000,,raw
