date,open,high,low,close,volume,amount,price_type
2022-03-01,12.960,13.340,12.950,13.100,395262.000,,raw
2022-03-02,12.950,13.120,12.920,13.110,189128.000,,raw
2022-03-03,13.150,13.220,12.850,12.880,262180.000,,raw
2022-03-04,12.750,12.750,12.120,12.230,655092.000,,raw
2022-03-07,12.140,12.150,11.750,11.940,398827.000,,raw
2022-03-08,12.080,12.100,11.390,11.570,420921.000,,raw
2022-03-09,11.680,11.720,10.830,11.330,382542.000,,raw
2022-03-10,11.640,11.710,11.500,11.600,271239.000,,raw
2022-03-11,11.300,11.640,11.240,11.630,235394.000,,raw
2022-03-14,11.390,11.570,11.220,11.220,224976.000,,raw
2022-03-15,11.130,11.220,10.540,10.540,364174.000,,raw
2022-03-16,10.780,11.070,10.480,11.050,402375.000,,raw
2022-03-17,11.320,11.450,11.190,11.220,377979.000,,raw
2022-03-18,11.300,11.660,11.250,11.510,411783.000,,raw
2022-03-21,11.600,11.740,11.370,11.470,344338.000,,raw
2022-03-22,11.320,11.550,11.250,11.460,179793.000,,raw
2022-03-23,11.550,11.600,11.390,11.420,190922.000,,raw
2022-03-24,11.340,11.420,11.250,11.270,158998.000,,raw
2022-03-25,11.360,11.370,11.120,11.130,155636.000,,raw
2022-03-28,11.080,11.360,10.920,11.200,256345.000,,raw
2022-03-29,11.230,11.300,10.980,11.020,166734.000,,raw
2022-03-30,11.090,11.300,11.080,11.280,193949.000,,raw
2022-03-31,11.390,11.430,11.190,11.230,262733.000,,raw
2022-04-01,11.110,11.350,11.080,11.250,237403.000,,raw
2022-04-06,11.300,11.500,11.270,11.380,325438.000,,raw
2022-04-07,11.320,11.370,11.020,11.020,229047.000,,raw
2022-04-08,11.160,11.980,11.120,11.830,887229.000,,raw
2022-04-11,11.690,11.830,11.170,11.280,543464.000,,raw
2022-04-12,11.110,11.600,11.070,11.510,412743.000,,raw
2022-04-13,11.410,11.780,11.310,11.550,296333.000,,raw
