date,open,high,low,close,volume,amount,price_type
2018-01-02,40.530,40.630,39.340,40.340,213245.000,,raw
2018-01-03,40.350,42.880,40.350,42.340,452658.000,,raw
2018-01-04,42.100,42.660,41.880,42.510,270863.000,,raw
2018-01-05,42.490,42.620,41.500,41.860,245118.000,,raw
2018-01-08,41.610,41.620,39.910,40.980,372157.000,,raw
2018-01-09,40.700,41.790,40.330,41.570,276701.000,,raw
2018-01-10,41.910,41.920,40.130,40.480,315329.000,,raw
2018-01-11,40.250,41.170,39.880,40.590,238539.000,,raw
2018-01-12,40.300,40.900,39.910,40.320,170872.000,,raw
2018-01-15,40.260,41.500,39.860,40.490,369745.000,,raw
2018-01-16,40.150,42.260,39.980,42.200,504218.000,,raw
2018-01-17,42.460,42.560,40.400,40.980,381382.000,,raw
2018-01-18,40.720,41.390,40.550,40.590,177713.000,,raw
2018-01-19,40.660,41.310,40.300,40.730,182161.000,,raw
2018-01-22,40.590,40.880,39.550,40.720,284159.000,,raw
2018-01-23,40.820,41.690,40.500,41.130,253372.000,,raw
2018-01-24,41.200,42.600,40.560,42.300,402865.000,,raw
2018-01-25,42.280,42.290,41.230,41.290,270075.000,,raw
2018-01-26,41.000,41.140,40.000,40.020,330634.000,,raw
2018-01-29,39.880,39.880,36.020,36.020,788076.000,,raw
2018-01-30,34.750,35.850,34.300,35.050,422128.000,,raw
2018-01-31,35.500,36.620,35.270,36.030,335230.000,,raw
2018-02-01,36.260,36.280,34.690,34.810,334690.000,,raw
2018-02-02,35.260,36.360,34.660,35.740,244544.000,,raw
2018-02-05,35.000,36.160,34.720,35.110,203772.000,,raw
2018-02-06,34.110,34.500,31.670,31.930,474185.000,,raw
2018-02-07,33.020,33.180,31.010,32.300,364840.000,,raw
2018-02-08,32.210,34.180,32.180,33.570,313972.000,,raw
2018-02-09,32.500,33.400,32.010,32.550,285326.000,,raw
2018-02-12,33.250,35.280,33.100,34.760,333248.000,,raw
2018-02-13,35.450,35.480,34.660,34.900,217197.000,,raw
2018-02-14,35.100,35.450,34.770,35.390,150443.000,,raw
2018-02-22,35.800,36.550,35.300,36.140,217019.000,,raw
2018-02-23,36.200,37.220,36.060,36.320,214495.000,,raw
2018-02-26,36.900,38.350,36.510,37.950,346285.000,,raw
2018-02-27,38.250,39.300,38.090,38.180,376275.000,,raw
2018-02-28,37.700,39.180,37.380,39.010,281621.000,,raw
2018-03-01,38.680,39.560,38.550,39.190,236985.000,,raw
2018-03-02,38.850,39.800,38.510,38.670,220244.000,,raw
2018-03-05,38.880,39.490,38.440,38.750,167399.000,,raw
2018-03-06,38.800,39.800,38.800,39.680,275094.000,,raw
2018-03-07,39.600,39.600,38.300,38.320,274666.000,,raw
2018-03-08,38.320,38.890,38.310,38.640,129452.000,,raw
2018-03-09,38.840,40.360,38.820,40.180,377404.000,,raw
2018-03-12,40.470,40.880,40.180,40.700,264601.000,,raw
2018-03-13,40.500,40.580,39.710,39.870,182331.000,,raw
2018-03-14,39.570,40.190,39.520,39.540,138454.000,,raw
2018-03-15,39.450,40.250,38.960,39.690,163972.000,,raw
2018-03-16,39.790,39.890,38.590,38.600,178974.000,,raw
2018-03-19,39.000,39.890,39.000,39.390,181192.000,,raw
2018-03-20,39.100,40.060,38.900,39.860,177270.000,,raw
2018-03-21,40.050,40.280,39.110,39.220,184390.000,,raw
2018-03-22,39.300,39.580,38.120,38.370,198453.000,,raw
2018-03-23,36.010,37.470,35.140,35.800,333613.000,,raw
2018-03-26,35.160,36.810,34.800,36.300,261561.000,,raw
2018-03-27,37.330,37.660,36.810,37.520,247090.000,,raw
2018-03-28,36.840,37.420,36.630,36.750,154666.000,,raw
2018-03-29,37.150,37.240,36.190,36.830,159392.000,,raw
2018-03-30,36.980,37.900,36.850,37.730,182460.000,,raw
2018-04-02,37.690,38.400,37.330,37.830,202262.000,,raw
2018-04-03,37.000,37.330,36.060,36.190,270168.000,,raw
2018-04-04,36.500,36.730,35.450,35.640,226480.000,,raw
2018-04-09,35.680,36.310,34.990,35.960,166578.000,,raw
2018-04-10,35.930,36.610,35.880,36.580,136042.000,,raw
2018-04-11,36.870,37.180,36.700,36.920,149873.000,,raw
2018-04-12,36.850,36.940,35.700,35.730,184566.000,,raw
2018-04-13,36.100,36.380,35.160,35.340,145725.000,,raw
2018-04-16,35.300,35.720,33.900,34.590,267952.000,,raw
2018-04-17,34.590,34.790,31.930,32.570,427113.000,,raw
2018-04-18,32.560,32.560,29.770,31.520,583804.000,,raw
2018-04-19,31.360,32.070,30.800,31.620,294283.000,,raw
2018-04-20,31.390,31.450,30.300,30.390,231063.000,,raw
2018-04-23,30.990,32.000,30.700,31.380,257215.000,,raw
2018-04-24,31.510,32.800,31.510,32.720,277521.000,,raw
2018-04-25,32.450,34.070,32.330,33.480,292584.000,,raw
2018-04-26,32.930,33.000,31.210,31.430,357868.000,,raw
2018-04-27,31.950,32.290,29.910,31.080,337866.000,,raw
2018-05-02,32.300,32.910,31.890,32.250,300367.000,,raw
2018-05-03,32.490,33.630,32.070,33.470,278344.000,,raw
2018-05-04,33.450,34.030,33.100,33.290,222868.000,,raw
2018-05-07,33.400,33.960,33.150,33.700,222445.000,,raw
2018-05-08,33.860,33.930,33.400,33.640,185075.000,,raw
2018-05-09,33.650,33.760,33.330,33.470,112035.000,,raw
2018-05-10,33.650,34.470,33.650,34.110,225445.000,,raw
2018-05-11,34.250,34.280,33.530,33.650,140467.000,,raw
2018-05-14,35.000,35.170,33.950,34.040,251799.000,,raw
2018-05-15,34.350,34.600,33.200,33.930,255738.000,,raw
2018-05-16,33.650,33.860,33.390,33.540,154453.000,,raw
2018-05-17,33.580,33.730,33.120,33.610,146148.000,,raw
2018-05-18,34.100,34.380,33.730,34.230,204868.000,,raw
2018-05-21,34.820,36.470,34.820,36.090,480417.000,,raw
2018-05-22,36.080,37.080,35.640,36.350,369514.000,,raw
2018-05-23,35.940,35.990,35.260,35.350,256406.000,,raw
2018-05-24,35.340,35.770,34.900,35.460,203166.000,,raw
2018-05-25,35.210,35.270,34.420,34.570,175326.000,,raw
2018-05-28,34.690,35.270,34.500,34.670,151002.000,,raw
2018-05-29,34.600,34.890,34.390,34.740,110413.000,,raw
2018-05-30,33.830,33.850,31.800,32.120,355279.000,,raw
2018-05-31,32.700,33.200,32.010,32.960,182105.000,,raw
2018-06-01,32.880,33.050,32.400,32.600,115299.000,,raw
2018-06-04,32.880,33.110,32.500,32.750,123531.000,,raw
2018-06-05,32.900,33.840,32.760,33.820,167657.000,,raw
2018-06-06,34.250,34.470,33.900,34.130,172275.000,,raw
2018-06-07,34.390,35.060,34.180,34.820,269023.000,,raw
2018-06-08,34.840,35.330,34.380,34.420,231353.000,,raw
2018-06-11,34.270,34.300,33.610,33.720,145946.000,,raw
2018-06-12,33.980,34.530,33.500,34.400,134792.000,,raw
2018-06-13,34.100,35.350,33.850,34.170,189427.000,,raw
2018-06-14,33.980,34.500,33.410,33.470,150472.000,,raw
2018-06-15,33.600,33.770,32.370,32.660,182537.000,,raw
2018-06-19,31.700,31.700,29.400,29.960,347035.000,,raw
2018-06-20,29.940,30.680,29.510,30.370,186659.000,,raw
2018-06-21,30.380,30.570,28.940,28.950,209717.000,,raw
2018-06-22,28.850,29.660,28.160,29.640,160143.000,,raw
2018-06-25,30.150,30.450,29.580,29.640,137274.000,,raw
2018-06-26,29.420,30.490,28.860,30.370,145135.000,,raw
2018-06-27,30.500,30.590,29.730,30.090,111155.000,,raw
2018-06-28,29.980,30.500,29.670,29.730,110967.000,,raw
2018-06-29,21.450,22.160,21.170,22.050,155627.000,"{'nd': '2017', 'fh_sh': '1.6', 'djr': '2018-06-28', 'cqr': '2018-06-29', 'FHcontent': '10派1.6元送4股'}",raw
2018-07-02,22.000,22.330,21.150,21.420,215710.000,,raw
2018-07-03,21.500,22.130,20.510,22.060,283876.000,,raw
2018-07-04,21.720,21.900,20.910,20.960,218426.000,,raw
2018-07-05,20.550,20.950,19.570,19.600,325626.000,,raw
2018-07-06,19.550,20.100,18.920,19.420,304506.000,,raw
2018-07-09,19.750,20.410,19.750,20.330,249940.000,,raw
2018-07-10,20.400,20.870,20.300,20.640,228981.000,,raw
2018-07-11,20.530,20.530,19.880,20.190,250331.000,,raw
2018-07-12,21.020,22.210,20.870,22.180,646664.000,,raw
2018-07-13,21.940,22.000,21.470,21.570,433541.000,,raw
2018-07-16,21.930,22.600,21.770,21.850,458534.000,,raw
2018-07-17,21.800,22.200,21.500,21.960,270857.000,,raw
2018-07-18,22.000,22.100,21.310,21.380,258553.000,,raw
2018-07-19,21.990,22.590,21.890,22.140,464759.000,,raw
2018-07-20,22.200,22.500,22.020,22.300,318714.000,,raw
2018-07-23,22.230,23.430,21.880,23.420,549147.000,,raw
2018-07-24,23.450,23.510,22.950,23.390,409807.000,,raw
2018-07-25,23.320,23.630,23.130,23.370,298509.000,,raw
2018-07-26,23.260,23.350,22.430,22.490,336570.000,,raw
2018-07-27,22.300,22.750,22.130,22.480,182201.000,,raw
2018-07-30,22.420,22.820,22.060,22.280,231089.000,,raw
2018-07-31,22.200,22.700,22.160,22.540,172219.000,,raw
2018-08-01,22.680,23.290,22.570,22.630,333309.000,,raw
2018-08-02,22.470,22.660,21.560,22.210,275014.000,,raw
2018-08-03,22.140,22.340,20.960,21.010,336511.000,,raw
2018-08-06,20.600,21.090,20.180,20.390,205310.000,,raw
2018-08-07,20.600,21.340,20.160,21.290,217689.000,,raw
2018-08-08,21.470,21.730,20.890,21.160,222858.000,,raw
2018-08-09,21.040,22.750,20.840,22.430,403142.000,,raw
2018-08-10,22.300,23.040,22.270,22.980,318660.000,,raw
2018-08-13,22.820,23.940,22.660,23.470,575052.000,,raw
2018-08-14,23.280,23.750,23.180,23.390,329558.000,,raw
