date,open,high,low,close,volume,amount,price_type
2018-01-02,58.600,59.000,57.180,58.780,8917.000,,raw
2018-01-03,59.010,59.580,57.900,58.700,12812.000,,raw
2018-01-04,58.110,58.730,56.720,57.660,21111.000,,raw
2018-01-05,57.900,59.500,56.870,57.450,27450.000,,raw
2018-01-08,58.490,58.500,56.580,56.900,30173.000,,raw
2018-01-09,57.900,59.790,57.520,59.420,23205.000,,raw
2018-01-10,59.980,63.150,59.750,61.390,37878.000,,raw
2018-01-11,60.700,62.200,60.230,61.610,13895.000,,raw
2018-01-12,60.880,62.880,60.880,61.720,16531.000,,raw
2018-01-15,61.800,62.580,60.320,61.060,14388.000,,raw
2018-01-16,61.580,61.580,59.040,59.200,25745.000,,raw
2018-01-17,59.700,60.220,58.880,59.610,19293.000,,raw
2018-01-18,58.810,61.100,57.880,59.700,12037.000,,raw
2018-01-19,59.700,60.500,59.060,59.250,7828.000,,raw
2018-01-22,59.610,60.000,58.080,59.200,15248.000,,raw
2018-01-23,58.090,59.750,58.080,59.500,13466.000,,raw
2018-01-24,59.600,64.920,58.480,64.540,28402.000,,raw
2018-01-25,65.600,66.000,63.250,64.150,29079.000,,raw
2018-01-26,63.510,64.800,63.510,63.840,9429.000,,raw
2018-01-29,65.000,65.000,57.580,59.450,33508.000,,raw
2018-01-30,58.150,61.390,58.080,61.200,10421.000,,raw
2018-01-31,60.080,61.790,59.120,59.530,9862.000,,raw
2018-02-01,58.900,61.000,58.010,58.300,11080.000,,raw
2018-02-02,58.300,61.300,58.000,60.620,12553.000,,raw
2018-02-05,58.770,60.600,57.950,58.800,12920.000,,raw
2018-02-06,55.200,57.980,55.200,56.910,13813.000,,raw
2018-02-07,57.990,58.500,54.100,55.600,20854.000,,raw
2018-02-08,55.590,59.400,55.100,58.990,20369.000,,raw
2018-02-09,57.220,60.000,57.220,59.370,18696.000,,raw
2018-02-12,59.370,62.960,59.350,61.010,20779.000,,raw
2018-02-13,61.030,62.050,60.200,60.700,9037.000,,raw
2018-02-14,60.750,61.300,60.220,61.250,4485.000,,raw
2018-02-22,61.600,64.980,61.600,64.650,17371.000,,raw
2018-02-23,64.210,66.190,64.210,66.190,14818.000,,raw
