date,open,high,low,close,volume,amount,price_type
2019-01-02,14.610,14.860,14.610,14.680,7960.000,,raw
2019-01-03,14.630,14.830,14.480,14.670,8963.000,,raw
2019-01-04,14.520,15.010,14.350,14.970,13480.000,,raw
2019-01-07,15.030,15.490,14.970,15.290,11829.000,,raw
2019-01-08,15.310,15.880,15.040,15.440,19560.000,,raw
2019-01-09,15.300,15.470,15.120,15.350,19130.000,,raw
2019-01-10,15.280,15.280,14.990,15.000,13160.000,,raw
2019-01-11,15.000,15.150,14.960,15.110,9877.000,,raw
2019-01-14,15.060,15.280,14.880,14.930,8705.000,,raw
2019-01-15,14.860,15.170,14.820,15.170,8656.000,,raw
2019-01-16,15.360,15.900,15.350,15.750,32418.000,,raw
2019-01-17,15.610,15.700,15.400,15.470,14628.000,,raw
2019-01-18,15.580,15.590,15.170,15.420,12974.000,,raw
2019-01-21,15.380,15.720,15.260,15.540,12701.000,,raw
2019-01-22,15.530,15.530,15.050,15.220,16019.000,,raw
2019-01-23,15.190,15.470,15.180,15.440,13400.000,,raw
2019-01-24,15.380,15.660,15.360,15.600,12632.000,,raw
2019-01-25,15.500,15.670,15.300,15.300,11394.000,,raw
2019-01-28,15.300,15.590,15.180,15.300,12072.000,,raw
2019-01-29,15.270,15.300,14.580,14.890,16728.000,,raw
2019-01-30,14.890,15.200,14.700,15.020,11196.000,,raw
2019-01-31,14.870,15.140,14.720,14.780,12019.000,,raw
2019-02-01,14.950,15.160,14.750,15.160,12437.000,,raw
2019-02-11,15.130,15.910,15.110,15.830,24129.000,,raw
2019-02-12,15.820,16.250,15.710,15.930,23662.000,,raw
2019-02-13,15.980,16.750,15.900,16.480,34114.000,,raw
2019-02-14,16.530,16.820,16.350,16.650,26691.000,,raw
2019-02-15,16.650,16.700,16.360,16.600,15130.000,,raw
2019-02-18,16.630,17.350,16.630,17.200,24042.000,,raw
2019-02-19,17.250,17.490,16.800,17.030,27577.000,,raw
2019-02-20,17.100,17.270,16.910,17.100,15932.000,,raw
2019-02-21,17.120,17.180,16.660,16.800,26381.000,,raw
2019-02-22,16.900,17.190,16.670,17.110,26244.000,,raw
2019-02-25,17.260,18.060,17.150,17.970,36235.000,,raw
2019-02-26,17.970,19.770,17.900,18.910,77426.000,,raw
2019-02-27,18.780,19.500,18.350,18.600,45218.000,,raw
2019-02-28,18.600,19.620,18.410,19.160,38764.000,,raw
2019-03-01,18.940,18.940,17.810,18.410,58636.000,,raw
2019-03-04,18.400,19.160,18.210,18.780,67330.000,,raw
2019-03-05,18.500,19.160,18.390,19.140,41117.000,,raw
2019-03-06,19.170,19.460,18.880,19.200,41417.000,,raw
2019-03-07,19.200,19.340,18.800,19.160,35756.000,,raw
2019-03-08,19.080,19.990,18.560,19.450,73572.000,,raw
2019-03-11,19.600,21.230,19.360,20.950,73107.000,,raw
2019-03-12,20.860,21.960,20.360,21.320,69949.000,,raw
2019-03-13,20.780,21.200,20.100,20.120,44869.000,,raw
2019-03-14,20.210,20.490,19.000,19.300,34059.000,,raw
2019-03-15,19.490,19.900,19.310,19.780,21900.000,,raw
2019-03-18,19.700,20.360,19.310,20.270,25273.000,,raw
2019-03-19,20.280,20.540,19.830,20.190,22366.000,,raw
2019-03-20,20.090,20.180,19.450,19.760,18198.000,,raw
2019-03-21,19.800,20.090,19.650,19.960,25697.000,,raw
2019-03-22,19.760,19.900,19.210,19.570,20753.000,,raw
2019-03-25,19.310,19.440,19.030,19.210,23346.000,,raw
2019-03-26,19.250,19.400,18.400,18.600,23884.000,,raw
2019-03-27,18.620,18.920,18.470,18.770,15080.000,,raw
2019-03-28,18.600,19.040,18.400,18.400,15386.000,,raw
2019-03-29,18.420,19.050,18.210,18.980,18581.000,,raw
2019-04-01,19.010,20.030,19.010,19.640,31591.000,,raw
2019-04-02,19.780,19.820,19.460,19.490,25482.000,,raw
2019-04-03,19.760,20.000,19.590,19.720,26543.000,,raw
2019-04-04,19.730,19.860,19.310,19.600,34367.000,,raw
2019-04-08,19.610,20.590,19.610,20.590,56455.000,,raw
2019-04-09,20.590,21.360,20.280,21.260,74548.000,,raw
2019-04-10,21.100,21.480,20.630,20.980,42227.000,,raw
2019-04-11,20.680,21.080,20.100,20.950,44517.000,,raw
2019-04-12,20.680,20.800,20.130,20.440,32632.000,,raw
2019-04-15,20.590,20.760,20.010,20.030,21214.000,,raw
2019-04-16,20.000,20.340,19.800,20.270,17146.000,,raw
2019-04-17,20.210,20.640,20.150,20.540,20499.000,,raw
2019-04-18,20.560,20.750,20.330,20.340,18866.000,,raw
2019-04-19,20.500,20.900,20.420,20.820,25381.000,,raw
2019-04-22,20.760,21.640,20.760,21.060,35022.000,,raw
2019-04-23,21.000,21.000,20.330,20.460,17993.000,,raw
