date,open,high,low,close,volume,amount,price_type
2018-01-02,36.800,36.960,34.530,35.910,335212.000,,raw
2018-01-03,35.320,37.690,35.320,37.530,304057.000,,raw
2018-01-04,37.520,38.580,36.880,38.160,241136.000,,raw
2018-01-05,38.100,38.780,36.930,38.170,301041.000,,raw
2018-01-08,37.800,37.800,36.420,37.170,276794.000,,raw
2018-01-09,37.070,37.430,36.390,36.740,204313.000,,raw
2018-01-10,36.910,37.900,36.230,37.380,243660.000,,raw
2018-01-11,36.500,36.580,35.550,36.020,295791.000,,raw
2018-01-12,36.030,36.950,35.670,36.690,223389.000,,raw
2018-01-15,36.350,36.750,33.880,34.570,308310.000,,raw
2018-01-16,34.580,35.350,33.500,34.130,289256.000,,raw
2018-01-17,34.050,34.130,31.170,33.430,465975.000,,raw
2018-01-18,34.400,34.600,33.330,33.490,262372.000,,raw
2018-01-19,34.550,36.400,34.100,35.270,355670.000,,raw
2018-01-22,35.900,36.380,35.450,35.990,277835.000,,raw
2018-01-23,35.820,38.360,35.390,38.260,438629.000,,raw
2018-01-24,38.150,40.030,37.910,38.960,445451.000,,raw
2018-01-25,38.800,39.310,37.400,37.770,341271.000,,raw
2018-01-26,38.870,39.180,37.900,38.080,347076.000,,raw
2018-01-29,37.600,38.980,37.410,37.600,297114.000,,raw
2018-01-30,37.580,38.850,37.500,38.180,250393.000,,raw
2018-01-31,38.030,38.620,37.600,38.500,228975.000,,raw
2018-02-01,37.930,38.460,36.110,36.760,322233.000,,raw
2018-02-02,36.390,38.280,35.560,37.760,208080.000,,raw
2018-02-05,35.300,36.800,33.980,33.980,701352.000,,raw
2018-02-06,33.000,34.160,32.850,33.350,369926.000,,raw
2018-02-07,34.180,34.300,31.500,32.390,347849.000,,raw
2018-02-08,32.420,32.850,30.950,31.670,344982.000,,raw
2018-02-09,30.030,32.120,29.900,31.050,322015.000,,raw
2018-02-12,31.250,33.380,31.250,32.890,205074.000,,raw
2018-02-13,33.380,33.600,32.130,32.250,191540.000,,raw
2018-02-14,32.270,33.270,32.110,32.960,119851.000,,raw
2018-02-22,33.250,34.080,33.250,33.970,145607.000,,raw
2018-02-23,34.000,34.250,31.030,32.830,317103.000,,raw
2018-02-26,32.500,34.270,32.180,34.160,315938.000,,raw
2018-02-27,34.330,35.350,33.890,34.820,361170.000,,raw
2018-02-28,34.280,35.280,33.720,34.450,168145.000,,raw
2018-03-01,34.200,37.150,34.150,36.820,342778.000,,raw
2018-03-02,36.810,37.160,35.620,35.770,185279.000,,raw
2018-03-05,35.700,36.340,35.190,36.050,152541.000,,raw
2018-03-06,36.060,37.090,35.880,36.670,168866.000,,raw
2018-03-07,36.470,37.190,36.100,36.760,175522.000,,raw
2018-03-08,36.520,37.180,36.060,36.230,159097.000,,raw
2018-03-09,36.200,37.080,36.000,36.650,146225.000,,raw
2018-03-12,36.880,38.100,36.720,37.410,209085.000,,raw
2018-03-13,37.300,37.570,35.700,35.750,217022.000,,raw
2018-03-14,35.750,36.930,35.750,36.800,199532.000,,raw
2018-03-15,36.750,37.190,36.180,36.640,128201.000,,raw
2018-03-16,36.660,36.840,36.040,36.090,93338.000,,raw
2018-03-19,36.100,36.100,35.210,35.330,138495.000,,raw
2018-03-20,35.030,35.200,34.410,34.810,125750.000,,raw
2018-03-21,35.200,36.870,35.200,35.880,242539.000,,raw
2018-03-22,35.880,36.490,35.410,35.700,123693.000,,raw
2018-03-23,34.050,35.150,32.610,34.030,235082.000,,raw
2018-03-26,33.200,35.120,33.200,34.050,236362.000,,raw
2018-03-27,34.730,34.820,33.900,34.340,165763.000,,raw
2018-03-28,34.080,34.080,33.050,33.280,233160.000,,raw
2018-03-29,34.000,34.450,32.850,33.740,168559.000,,raw
2018-03-30,34.000,34.440,33.800,34.270,134487.000,,raw
2018-04-02,34.490,34.500,33.710,34.040,127073.000,,raw
2018-04-03,33.660,34.420,33.110,33.900,141121.000,,raw
2018-04-04,34.170,34.360,32.400,32.560,256025.000,,raw
2018-04-09,32.550,33.190,32.300,32.720,123373.000,,raw
2018-04-10,32.800,33.390,32.780,33.340,105992.000,,raw
2018-04-11,33.710,34.200,33.530,33.590,106019.000,,raw
2018-04-12,33.450,33.950,32.410,32.810,131255.000,,raw
2018-04-13,32.920,33.270,32.200,32.360,96354.000,,raw
2018-04-16,32.300,32.560,31.100,31.310,171712.000,,raw
2018-04-17,31.500,31.700,30.500,30.690,181548.000,,raw
2018-04-18,30.980,32.960,30.700,32.630,320622.000,,raw
2018-04-19,32.780,35.000,32.780,34.270,349352.000,,raw
2018-04-20,34.030,34.790,33.580,34.040,156729.000,,raw
2018-04-23,34.190,34.750,33.630,34.080,201838.000,,raw
2018-04-24,34.080,35.500,34.080,35.320,232800.000,,raw
2018-04-25,35.010,35.300,34.530,35.170,119407.000,,raw
2018-04-26,35.170,35.170,33.870,34.380,154837.000,,raw
2018-04-27,34.460,35.150,34.100,34.420,128288.000,,raw
2018-05-02,34.110,34.960,33.000,33.750,180072.000,,raw
2018-05-03,33.800,34.600,33.420,34.570,162650.000,,raw
2018-05-04,34.250,35.280,34.150,34.730,124279.000,,raw
2018-05-07,34.910,36.240,34.250,35.830,197549.000,,raw
2018-05-08,35.850,38.230,35.480,37.000,306868.000,,raw
2018-05-09,37.000,37.280,36.710,37.120,117633.000,,raw
2018-05-10,37.500,37.750,36.460,36.750,122114.000,,raw
2018-05-11,36.950,38.150,36.890,37.940,194261.000,,raw
2018-05-14,38.000,38.750,37.410,37.930,189289.000,,raw
2018-05-15,38.100,39.390,38.100,39.250,203354.000,,raw
2018-05-16,39.300,39.300,38.410,38.800,95485.000,,raw
2018-05-17,38.730,38.820,36.370,36.840,215965.000,,raw
2018-05-18,37.060,37.200,35.840,36.850,196949.000,,raw
2018-05-21,36.960,37.840,36.940,37.490,146525.000,,raw
2018-05-22,37.590,38.540,37.300,38.180,156918.000,,raw
2018-05-23,38.180,38.480,37.200,37.370,108539.000,,raw
2018-05-24,37.680,37.680,35.720,35.940,241919.000,,raw
2018-05-25,36.000,36.120,35.050,35.230,166869.000,,raw
2018-05-28,35.610,35.780,34.690,35.250,176172.000,,raw
2018-05-29,25.060,25.440,24.300,24.410,183543.000,"{'nd': '2017', 'fh_sh': '1.8', 'djr': '2018-05-28', 'cqr': '2018-05-29', 'FHcontent': '10派1.8元转4股'}",raw
2018-05-30,24.000,24.560,23.510,24.090,205125.000,,raw
2018-05-31,24.400,24.680,23.550,24.150,242595.000,,raw
2018-06-01,24.250,24.370,21.900,22.350,494246.000,,raw
2018-06-04,20.120,20.120,20.120,20.120,48230.000,,raw
