date,open,high,low,close,volume,amount,price_type
2019-05-06,27.010,27.430,25.180,25.640,19288.000,,raw
2019-05-07,26.560,26.850,26.140,26.400,17605.000,,raw
2019-05-08,25.870,26.820,25.700,26.370,12875.000,,raw
2019-05-09,26.450,26.730,26.010,26.100,13356.000,,raw
2019-05-10,26.320,27.700,25.900,27.380,22641.000,,raw
2019-05-13,26.720,27.200,26.590,26.700,15203.000,,raw
2019-05-14,26.050,28.360,26.050,27.070,20034.000,,raw
2019-05-15,27.050,29.780,27.050,29.780,28484.000,,raw
2019-05-16,29.790,31.800,29.000,30.890,46522.000,,raw
2019-05-17,30.000,30.460,28.180,28.380,28905.000,,raw
2019-05-20,28.950,28.960,26.800,28.280,15511.000,,raw
2019-05-21,27.950,30.150,27.950,29.250,19558.000,,raw
2019-05-22,29.250,29.450,28.100,28.490,15805.000,,raw
2019-05-23,28.520,28.520,27.080,27.550,16755.000,,raw
2019-05-24,27.490,29.800,26.950,28.250,19666.000,,raw
2019-05-27,28.150,28.980,27.200,28.880,17169.000,,raw
2019-05-28,29.000,29.400,28.410,28.460,15900.000,,raw
2019-05-29,28.350,28.800,28.000,28.120,13377.000,,raw
2019-05-30,27.890,27.990,27.180,27.500,11027.000,,raw
2019-05-31,27.500,27.930,27.330,27.670,8417.000,,raw
2019-06-03,27.750,27.980,26.680,26.980,9594.000,,raw
2019-06-04,27.190,28.250,26.900,27.850,19117.000,,raw
2019-06-05,28.050,28.700,27.830,28.270,19335.000,,raw
2019-06-06,28.390,31.100,28.010,29.380,46999.000,,raw
2019-06-10,29.280,32.320,28.580,32.320,69216.000,,raw
2019-06-11,32.360,33.050,30.690,32.440,90106.000,,raw
2019-06-12,31.590,33.280,31.340,32.000,59943.000,,raw
2019-06-13,31.280,34.610,31.280,32.780,63462.000,,raw
2019-06-14,32.190,32.880,30.330,30.660,46235.000,,raw
2019-06-17,31.460,32.880,30.550,31.050,33641.000,,raw
2019-06-18,31.480,31.510,29.550,30.160,29913.000,,raw
2019-06-19,30.820,31.860,30.230,30.690,32894.000,,raw
2019-06-20,30.110,33.760,29.560,32.930,93963.000,,raw
2019-06-21,31.580,33.270,31.560,32.500,70543.000,,raw
2019-06-24,31.700,32.200,30.900,31.450,36504.000,,raw
2019-06-25,31.460,32.920,31.170,32.000,38836.000,,raw
2019-06-26,31.000,31.910,30.800,31.510,23705.000,,raw
2019-06-27,31.530,32.690,31.220,32.670,42601.000,,raw
2019-06-28,32.670,32.670,31.230,31.790,28925.000,,raw
2019-07-01,32.350,33.740,32.130,33.330,50689.000,,raw
2019-07-02,34.230,36.660,33.510,34.550,85844.000,,raw
2019-07-03,33.840,34.540,32.960,33.100,42702.000,,raw
2019-07-04,33.200,33.800,30.790,31.170,53701.000,,raw
2019-07-05,31.170,31.170,30.080,30.900,25410.000,,raw
2019-07-08,30.900,30.900,29.860,29.870,21082.000,,raw
2019-07-09,30.230,30.270,29.500,30.150,12226.000,,raw
2019-07-10,30.240,30.500,29.790,30.020,10717.000,,raw
2019-07-11,30.350,30.450,29.710,30.020,11348.000,"{'nd': '2018', 'fh_sh': '0.3', 'djr': '2019-07-10', 'cqr': '2019-07-11', 'FHcontent': '10派0.3元'}",raw
2019-07-12,30.030,30.660,29.710,30.400,12878.000,,raw
2019-07-15,29.580,29.600,28.300,28.920,23349.000,,raw
2019-07-16,29.260,29.260,28.600,29.080,10006.000,,raw
2019-07-17,29.000,29.360,28.860,29.250,9511.000,,raw
2019-07-18,29.230,29.230,28.710,28.720,7952.000,,raw
2019-07-19,29.070,29.990,28.800,28.990,9645.000,,raw
2019-07-22,28.700,29.180,27.620,27.700,11539.000,,raw
2019-07-23,27.940,28.530,27.710,28.200,6687.000,,raw
2019-07-24,28.180,29.160,28.020,28.630,10936.000,,raw
2019-07-25,28.630,28.920,28.350,28.470,9694.000,,raw
2019-07-26,28.380,28.830,28.320,28.520,6326.000,,raw
2019-07-29,28.500,28.980,28.500,28.830,7769.000,,raw
2019-07-30,28.850,29.130,28.690,28.880,9135.000,,raw
2019-07-31,28.600,28.840,28.220,28.250,8802.000,,raw
2019-08-01,28.290,29.390,27.810,28.860,13878.000,,raw
2019-08-02,28.120,28.850,27.800,28.190,10157.000,,raw
2019-08-05,28.220,28.600,28.000,28.150,7429.000,,raw
2019-08-06,27.700,27.700,26.000,26.760,11637.000,,raw
2019-08-07,27.150,27.170,26.650,26.700,5883.000,,raw
2019-08-08,26.900,27.230,26.710,26.780,5315.000,,raw
2019-08-09,26.980,27.170,26.220,26.300,7831.000,,raw
2019-08-12,26.580,26.580,26.120,26.460,6696.000,,raw
2019-08-13,26.440,26.990,26.120,26.590,6730.000,,raw
2019-08-14,26.900,26.990,26.560,26.620,8076.000,,raw
2019-08-15,26.070,26.070,25.530,26.030,13090.000,,raw
2019-08-16,26.200,26.360,25.860,26.060,10540.000,,raw
2019-08-19,27.030,28.660,26.900,27.540,19346.000,,raw
2019-08-20,27.490,29.630,27.490,28.600,29060.000,,raw
2019-08-21,28.250,28.400,27.650,27.960,16647.000,,raw
2019-08-22,28.000,28.660,27.960,28.160,12090.000,,raw
2019-08-23,28.280,28.460,27.500,27.630,11786.000,,raw
2019-08-26,27.000,28.200,26.900,27.950,14634.000,,raw
2019-08-27,27.450,30.500,27.450,29.150,43642.000,,raw
2019-08-28,28.580,29.140,28.160,28.300,23723.000,,raw
2019-08-29,28.010,28.390,27.610,27.670,16190.000,,raw
2019-08-30,27.850,28.660,27.350,27.480,18535.000,,raw
2019-09-02,27.400,28.000,27.080,27.860,13183.000,,raw
2019-09-03,27.880,28.340,27.720,28.120,12052.000,,raw
2019-09-04,28.180,28.250,27.700,28.010,10133.000,,raw
2019-09-05,28.290,28.820,28.100,28.300,21282.000,,raw
2019-09-06,28.400,29.370,28.400,29.290,31360.000,,raw
2019-09-09,29.690,30.480,29.170,30.240,42328.000,,raw
2019-09-10,30.260,30.260,29.360,29.530,27384.000,,raw
2019-09-11,29.560,29.850,28.980,29.000,17706.000,,raw
