date,open,high,low,close,volume,amount,price_type
2022-01-04,40.080,40.280,38.400,38.710,400649.000,,raw
2022-01-05,38.620,38.900,36.980,37.640,439494.000,,raw
2022-01-06,37.080,37.900,36.500,37.610,471437.000,,raw
2022-01-07,37.550,37.990,36.630,36.760,329603.000,,raw
2022-01-10,36.740,37.500,35.850,37.050,339799.000,,raw
2022-01-11,36.970,38.080,36.620,37.750,360519.000,,raw
2022-01-12,39.630,40.600,38.760,39.200,646651.000,,raw
2022-01-13,39.570,39.640,38.800,39.470,357756.000,,raw
2022-01-14,39.000,39.200,37.890,38.240,311210.000,,raw
2022-01-17,38.240,39.160,37.380,37.630,315936.000,,raw
2022-01-18,37.650,39.390,37.450,39.100,365185.000,,raw
2022-01-19,39.450,41.220,39.000,40.320,433785.000,,raw
2022-01-20,40.400,41.200,39.000,39.590,238250.000,,raw
2022-01-21,39.700,39.800,37.770,38.190,243704.000,,raw
2022-01-24,37.890,38.800,37.660,38.100,166615.000,,raw
2022-01-25,37.650,38.210,35.710,35.980,327018.000,,raw
2022-01-26,36.500,38.300,36.410,38.280,344344.000,,raw
2022-01-27,38.640,38.640,36.680,36.750,287581.000,,raw
2022-01-28,37.200,37.350,34.400,35.000,438358.000,,raw
2022-02-07,36.000,36.250,35.100,35.740,225398.000,,raw
2022-02-08,35.880,35.890,34.000,34.540,288091.000,,raw
2022-02-09,34.350,34.570,32.870,34.520,385927.000,,raw
2022-02-10,34.290,34.450,33.000,33.600,274440.000,,raw
2022-02-11,33.400,33.600,32.310,32.420,397796.000,,raw
2022-02-14,32.030,32.470,31.540,31.940,310764.000,,raw
2022-02-15,32.270,33.490,31.940,33.330,263108.000,,raw
2022-02-16,33.840,33.840,32.790,32.870,231297.000,,raw
2022-02-17,33.040,34.460,32.750,34.220,412329.000,,raw
2022-02-18,33.990,34.100,33.210,33.740,213570.000,,raw
2022-02-21,33.890,34.700,33.220,33.860,299758.000,,raw
2022-02-22,33.440,33.650,32.800,33.550,203081.000,,raw
2022-02-23,33.550,34.960,33.330,34.930,272124.000,,raw
2022-02-24,34.500,35.670,34.050,34.600,306012.000,,raw
2022-02-25,35.110,35.930,34.660,34.900,193697.000,,raw
2022-02-28,34.900,35.540,34.470,35.350,200565.000,,raw
2022-03-01,35.850,36.050,35.200,35.300,203865.000,,raw
2022-03-02,35.130,35.590,34.000,34.190,308036.000,,raw
2022-03-03,34.510,34.870,33.460,33.580,210264.000,,raw
2022-03-04,33.200,33.880,33.000,33.430,202498.000,,raw
2022-03-07,33.430,33.450,32.100,32.410,295318.000,,raw
2022-03-08,32.730,33.570,32.230,32.700,358257.000,,raw
2022-03-09,33.210,34.220,32.420,34.050,463849.000,,raw
2022-03-10,35.250,35.880,34.560,35.510,400825.000,,raw
2022-03-11,35.150,35.500,34.320,35.240,293680.000,,raw
2022-03-14,34.660,35.240,34.190,34.250,230938.000,,raw
2022-03-15,33.920,34.840,32.200,32.450,359100.000,,raw
2022-03-16,32.870,33.090,29.210,29.910,1067548.000,,raw
2022-03-17,30.450,31.970,29.980,31.080,718881.000,,raw
2022-03-18,31.000,31.000,29.360,30.800,401571.000,,raw
2022-03-21,30.750,31.710,30.410,31.280,240267.000,,raw
2022-03-22,31.210,31.650,30.130,30.420,230938.000,,raw
2022-03-23,30.940,32.260,30.560,31.930,380884.000,,raw
2022-03-24,31.700,31.950,31.250,31.750,193938.000,,raw
2022-03-25,31.750,31.860,30.760,30.850,194812.000,,raw
2022-03-28,30.240,30.840,29.980,30.290,166329.000,,raw
2022-03-29,30.300,30.500,29.520,29.680,253777.000,,raw
2022-03-30,30.080,31.490,29.810,31.470,342977.000,,raw
2022-03-31,31.450,31.650,30.650,31.490,286806.000,,raw
2022-04-01,31.270,31.500,30.700,30.810,207411.000,,raw
2022-04-06,31.000,31.150,29.840,30.100,209035.000,,raw
2022-04-07,30.000,30.650,29.820,30.100,166926.000,,raw
2022-04-08,30.150,30.740,29.810,30.130,138571.000,,raw
2022-04-11,29.790,29.790,27.810,28.000,323442.000,,raw
2022-04-12,28.500,29.240,28.150,29.000,220959.000,,raw
2022-04-13,28.990,29.000,28.000,28.500,160457.000,,raw
2022-04-14,28.580,29.380,28.400,29.020,150130.000,,raw
2022-04-15,28.750,28.940,28.280,28.530,114248.000,,raw
2022-04-18,28.200,29.570,28.110,29.300,130246.000,,raw
2022-04-19,29.540,29.780,28.710,28.800,124592.000,,raw
2022-04-20,28.780,28.940,28.030,28.080,162649.000,,raw
2022-04-21,27.530,28.050,26.620,26.850,224442.000,,raw
2022-04-22,26.600,27.090,26.300,26.780,167549.000,,raw
2022-04-25,26.250,26.570,25.850,26.000,243479.000,,raw
2022-04-26,26.050,26.320,25.580,25.820,241258.000,,raw
2022-04-27,26.240,28.400,26.100,28.400,411426.000,,raw
2022-04-28,28.600,29.570,28.400,29.230,300490.000,,raw
2022-04-29,30.240,32.140,29.150,32.000,403225.000,,raw
2022-05-05,33.590,33.590,31.010,31.350,350315.000,,raw
2022-05-06,30.660,32.250,30.530,31.490,187478.000,,raw
2022-05-09,31.000,32.160,30.920,31.910,118708.000,,raw
2022-05-10,32.220,32.930,31.500,32.020,330117.000,,raw
2022-05-11,32.020,33.140,31.700,32.600,276934.000,,raw
2022-05-12,32.250,33.560,32.150,33.400,239002.000,,raw
2022-05-13,33.490,33.500,32.560,32.940,159027.000,,raw
2022-05-16,33.290,33.800,32.750,33.280,99370.000,,raw
2022-05-17,33.370,34.260,32.840,34.200,160646.000,,raw
2022-05-18,34.270,34.350,33.170,33.650,181907.000,,raw
2022-05-19,33.170,34.190,32.920,33.850,109976.000,,raw
2022-05-20,34.140,34.800,33.250,34.700,304310.000,,raw
2022-05-23,34.430,34.430,32.830,33.860,232711.000,,raw
2022-05-24,33.600,34.050,32.450,32.480,228375.000,,raw
2022-05-25,32.400,33.930,31.910,33.680,240490.000,,raw
2022-05-26,33.330,33.800,32.560,33.460,166635.000,,raw
2022-05-27,33.620,34.460,33.100,33.300,120998.000,,raw
2022-05-30,33.420,34.150,32.870,34.020,164137.000,,raw
2022-05-31,34.970,35.300,34.020,34.250,376662.000,,raw
2022-06-01,34.200,35.350,34.000,35.230,293830.000,,raw
2022-06-02,35.780,35.780,34.610,35.260,214517.000,,raw
2022-06-06,35.010,35.350,34.150,34.570,322437.000,,raw
2022-06-07,34.350,34.500,33.300,34.200,249430.000,,raw
2022-06-08,34.000,34.190,32.550,33.410,358816.000,,raw
2022-06-09,33.550,34.140,33.000,33.390,214406.000,,raw
2022-06-10,32.890,33.720,32.800,33.700,212105.000,,raw
2022-06-13,33.200,33.660,32.780,33.310,209273.000,,raw
2022-06-14,32.710,32.990,31.030,32.090,330528.000,,raw
2022-06-15,31.800,32.590,31.490,31.880,217664.000,,raw
2022-06-16,31.870,32.800,31.820,32.490,193121.000,,raw
