date,open,high,low,close,volume,amount,price_type
2019-01-02,1.326,1.330,1.276,1.278,97701.000,,raw
2019-01-03,1.278,1.282,1.236,1.243,108580.000,,raw
2019-01-04,1.240,1.283,1.224,1.281,121211.000,,raw
2019-01-07,1.283,1.290,1.271,1.287,180763.000,,raw
2019-01-08,1.290,1.295,1.280,1.291,91253.000,,raw
2019-01-09,1.288,1.326,1.288,1.309,290181.000,,raw
2019-01-10,1.310,1.317,1.288,1.298,109301.000,,raw
2019-01-11,1.298,1.305,1.286,1.298,69880.000,,raw
2019-01-14,1.299,1.299,1.268,1.270,41041.000,,raw
2019-01-15,1.270,1.310,1.270,1.310,90657.000,,raw
2019-01-16,1.312,1.334,1.303,1.330,125368.000,,raw
2019-01-17,1.322,1.340,1.321,1.323,75320.000,,raw
2019-01-18,1.329,1.367,1.323,1.366,181563.000,,raw
2019-01-21,1.366,1.387,1.359,1.365,385448.000,,raw
2019-01-22,1.364,1.364,1.334,1.341,109213.000,,raw
2019-01-23,1.330,1.343,1.330,1.340,65842.000,,raw
2019-01-24,1.340,1.351,1.326,1.350,46402.000,,raw
2019-01-25,1.351,1.359,1.340,1.350,59866.000,,raw
2019-01-28,1.355,1.355,1.322,1.323,104294.000,,raw
2019-01-29,1.314,1.337,1.314,1.334,92552.000,,raw
2019-01-30,1.328,1.341,1.322,1.323,49163.000,,raw
2019-01-31,1.323,1.334,1.319,1.328,60062.000,,raw
2019-02-01,1.334,1.378,1.334,1.378,195188.000,,raw
2019-02-11,1.375,1.405,1.365,1.404,128841.000,,raw
2019-02-12,1.405,1.452,1.405,1.443,319927.000,,raw
2019-02-13,1.447,1.470,1.437,1.464,218378.000,,raw
2019-02-14,1.455,1.472,1.450,1.466,155057.000,,raw
2019-02-15,1.457,1.466,1.440,1.444,183665.000,,raw
2019-02-18,1.445,1.500,1.445,1.500,271514.000,,raw
2019-02-19,1.500,1.507,1.467,1.495,275065.000,,raw
2019-02-20,1.484,1.484,1.447,1.467,267656.000,,raw
2019-02-21,1.465,1.477,1.451,1.455,223568.000,,raw
2019-02-22,1.450,1.477,1.439,1.475,253770.000,,raw
2019-02-25,1.480,1.537,1.480,1.534,570374.000,,raw
2019-02-26,1.537,1.618,1.516,1.543,938599.000,,raw
2019-02-27,1.538,1.553,1.515,1.531,388806.000,,raw
2019-02-28,1.521,1.568,1.521,1.564,370376.000,,raw
2019-03-01,1.581,1.588,1.554,1.577,330372.000,,raw
2019-03-04,1.585,1.619,1.574,1.600,597640.000,,raw
2019-03-05,1.586,1.599,1.574,1.598,307444.000,,raw
2019-03-06,1.598,1.610,1.583,1.603,364611.000,,raw
2019-03-07,1.594,1.601,1.568,1.575,316779.000,,raw
