date,open,high,low,close,volume,amount,price_type
2019-01-02,86.600,86.600,83.200,84.390,38695.000,,raw
2019-01-03,83.680,83.690,80.950,80.990,46519.000,,raw
2019-01-04,80.500,83.390,79.210,82.680,34460.000,,raw
2019-01-07,83.850,83.980,82.600,83.390,28761.000,,raw
2019-01-08,83.400,84.370,83.010,83.500,21429.000,,raw
2019-01-09,83.490,86.370,83.270,85.200,41118.000,,raw
2019-01-10,85.210,85.900,84.210,84.600,18649.000,,raw
2019-01-11,84.460,85.330,83.680,85.150,22778.000,,raw
2019-01-14,85.000,85.550,84.500,84.600,17051.000,,raw
2019-01-15,84.700,87.280,84.040,87.200,45380.000,,raw
2019-01-16,87.200,88.900,86.880,88.000,36548.000,,raw
2019-01-17,87.980,88.400,86.000,86.000,36309.000,,raw
2019-01-18,85.850,91.050,85.850,90.580,77178.000,,raw
2019-01-21,90.300,92.080,89.420,90.320,51524.000,,raw
2019-01-22,90.100,90.130,87.700,88.360,37871.000,,raw
2019-01-23,87.500,89.250,87.460,88.600,20206.000,,raw
2019-01-24,88.660,88.910,86.850,87.990,33399.000,,raw
2019-01-25,87.800,88.490,87.540,87.970,24886.000,,raw
2019-01-28,88.480,90.000,88.000,88.200,34074.000,,raw
2019-01-29,87.980,89.000,87.360,89.000,24206.000,,raw
2019-01-30,88.800,89.900,88.200,88.800,23003.000,,raw
2019-01-31,88.380,89.500,87.910,88.380,27760.000,,raw
2019-02-01,89.000,91.900,88.990,91.300,56409.000,,raw
2019-02-11,91.000,94.210,90.910,93.710,50208.000,,raw
2019-02-12,96.400,98.180,95.480,96.970,86416.000,,raw
2019-02-13,97.380,100.660,97.010,99.900,73807.000,,raw
2019-02-14,99.990,101.350,98.760,100.590,48622.000,,raw
2019-02-15,100.000,101.990,98.230,98.230,55716.000,,raw
2019-02-18,99.000,106.820,99.000,105.780,77033.000,,raw
2019-02-19,105.840,107.300,104.010,105.000,57999.000,,raw
2019-02-20,105.080,105.800,100.510,103.100,52272.000,,raw
2019-02-21,103.000,104.870,101.970,102.000,44210.000,,raw
2019-02-22,101.680,104.680,101.020,103.940,45026.000,,raw
2019-02-25,104.780,106.500,102.800,106.010,100100.000,,raw
2019-02-26,107.000,110.800,104.200,104.780,90810.000,,raw
2019-02-27,104.500,106.770,103.010,103.990,68524.000,,raw
2019-02-28,103.890,106.600,103.880,105.930,47911.000,,raw
2019-03-01,106.500,108.660,105.580,107.350,59080.000,,raw
2019-03-04,109.400,109.430,106.380,106.990,90528.000,,raw
2019-03-05,106.000,107.500,105.190,106.960,55219.000,,raw
2019-03-06,106.970,107.300,104.410,105.750,65813.000,,raw
2019-03-07,106.400,106.400,101.800,103.170,78178.000,,raw
2019-03-08,101.300,104.590,100.110,100.850,61795.000,,raw
2019-03-11,101.700,104.000,101.040,103.900,48388.000,,raw
2019-03-12,105.010,105.630,102.350,103.050,50692.000,,raw
2019-03-13,103.000,104.500,102.080,102.610,37714.000,,raw
2019-03-14,102.540,104.410,102.300,103.190,45212.000,,raw
2019-03-15,103.450,104.880,102.360,103.900,50433.000,,raw
2019-03-18,104.110,112.000,104.110,111.950,130990.000,,raw
2019-03-19,111.000,112.190,108.110,108.720,68684.000,,raw
2019-03-20,108.540,110.800,107.380,108.480,52166.000,,raw
2019-03-21,109.400,109.970,107.500,108.670,40724.000,,raw
2019-03-22,108.670,109.500,107.880,108.800,33991.000,,raw
2019-03-25,107.500,109.970,107.010,107.810,40087.000,,raw
2019-03-26,107.950,108.900,107.100,107.400,36735.000,,raw
2019-03-27,108.290,113.010,108.000,111.950,87421.000,,raw
2019-03-28,111.300,114.490,110.580,112.970,63285.000,,raw
2019-03-29,113.500,117.480,113.500,114.900,69345.000,,raw
2019-04-01,115.190,117.700,115.190,116.620,60557.000,,raw
2019-04-02,116.440,116.440,114.610,115.990,42413.000,,raw
2019-04-03,115.000,117.700,114.860,116.300,44357.000,,raw
2019-04-04,115.700,118.800,115.500,118.480,49049.000,,raw
2019-04-08,119.000,120.740,116.720,117.400,59877.000,,raw
2019-04-09,117.500,120.690,116.110,120.380,55177.000,,raw
2019-04-10,119.850,124.050,118.880,122.500,65226.000,,raw
2019-04-11,122.500,122.500,116.580,116.600,69923.000,,raw
2019-04-12,116.590,118.690,116.120,118.530,38912.000,,raw
2019-04-15,119.000,121.010,116.100,116.110,59209.000,,raw
2019-04-16,115.380,117.590,115.100,116.890,42883.000,,raw
2019-04-17,117.200,119.450,117.000,118.080,38350.000,,raw
2019-04-18,118.540,118.980,116.000,116.600,24651.000,,raw
2019-04-19,116.700,117.890,116.180,117.110,22727.000,,raw
2019-04-22,117.200,118.190,115.010,116.500,39269.000,,raw
2019-04-23,115.380,117.100,113.580,116.250,42755.000,,raw
2019-04-24,116.530,117.610,114.740,116.000,33446.000,,raw
2019-04-25,116.000,117.500,114.890,115.020,36125.000,,raw
2019-04-26,114.900,115.580,108.600,109.190,71198.000,,raw
2019-04-29,108.800,113.000,107.000,111.100,55946.000,,raw
2019-04-30,111.550,115.340,111.550,115.300,45036.000,,raw
2019-05-06,112.870,112.870,105.810,108.700,76894.000,,raw
2019-05-07,110.000,112.630,109.100,112.050,47620.000,,raw
2019-05-08,110.150,111.500,108.180,108.440,39038.000,,raw
2019-05-09,107.500,108.670,101.010,104.130,65118.000,,raw
2019-05-10,105.500,107.260,102.000,106.980,52635.000,,raw
2019-05-13,106.120,109.650,104.980,108.800,42764.000,,raw
2019-05-14,108.000,109.220,106.480,106.640,34402.000,,raw
2019-05-15,107.700,110.550,107.700,109.680,42273.000,,raw
2019-05-16,109.500,111.160,108.800,110.920,31254.000,,raw
2019-05-17,111.000,111.880,108.200,108.490,39566.000,,raw
2019-05-20,108.000,108.000,105.410,106.370,29449.000,,raw
2019-05-21,107.000,108.370,106.060,107.880,25005.000,,raw
2019-05-22,108.060,108.790,106.500,107.530,20132.000,,raw
2019-05-23,107.500,107.530,103.800,104.230,36817.000,,raw
2019-05-24,104.250,105.780,104.200,104.880,19475.000,,raw
2019-05-27,105.260,106.020,103.200,105.840,28514.000,,raw
2019-05-28,105.780,107.500,105.290,107.200,30473.000,,raw
2019-05-29,106.540,107.370,105.300,106.550,20726.000,,raw
2019-05-30,106.190,106.900,104.920,106.240,21799.000,,raw
2019-05-31,106.500,108.790,105.900,107.500,36822.000,,raw
2019-06-03,107.680,109.480,107.320,107.600,20701.000,,raw
2019-06-04,107.800,107.880,103.800,104.220,35945.000,,raw
2019-06-05,105.150,105.440,102.460,103.430,31933.000,,raw
2019-06-06,103.500,104.200,102.280,102.700,19804.000,,raw
2019-06-10,102.720,104.480,102.120,104.000,24679.000,,raw
2019-06-11,104.190,108.500,104.190,108.500,53393.000,,raw
2019-06-12,108.490,108.490,107.300,107.540,27213.000,,raw
2019-06-13,108.170,108.280,106.710,107.970,21573.000,,raw
2019-06-14,108.060,109.780,106.600,106.710,23567.000,,raw
2019-06-17,106.700,110.000,106.700,108.830,35178.000,,raw
2019-06-18,109.000,109.690,107.880,108.480,23458.000,,raw
2019-06-19,109.990,110.650,109.520,109.700,38611.000,,raw
2019-06-20,109.300,113.750,109.300,112.750,50295.000,,raw
2019-06-21,112.900,114.500,112.410,113.000,40063.000,,raw
2019-06-24,112.820,115.000,112.110,114.910,39006.000,,raw
2019-06-25,115.000,115.500,113.600,114.720,34224.000,,raw
2019-06-26,114.380,115.560,113.990,115.100,27832.000,,raw
2019-06-27,114.660,116.140,114.500,115.300,31648.000,"{'nd': '2018', 'fh_sh': '6', 'djr': '2019-06-26', 'cqr': '2019-06-27', 'FHcontent': '10派6元'}",raw
2019-06-28,115.700,116.300,114.000,115.200,30783.000,,raw
2019-07-01,116.800,117.750,116.490,117.190,38891.000,,raw
2019-07-02,117.100,117.200,116.010,116.800,34635.000,,raw
2019-07-03,115.550,115.870,111.330,112.980,61983.000,,raw
2019-07-04,113.900,113.900,111.300,111.890,38319.000,,raw
2019-07-05,112.390,114.400,112.190,113.880,29317.000,,raw
2019-07-08,113.760,114.850,110.670,112.050,37492.000,,raw
2019-07-09,112.050,113.700,111.300,111.890,21202.000,,raw
2019-07-10,112.500,112.600,111.200,111.380,17817.000,,raw
2019-07-11,111.800,111.950,110.210,110.400,23047.000,,raw
2019-07-12,111.000,111.680,110.120,111.060,18647.000,,raw
2019-07-15,110.500,110.500,106.000,108.000,51300.000,,raw
2019-07-16,106.880,108.860,106.230,107.380,35284.000,,raw
2019-07-17,107.000,107.750,103.710,105.130,63077.000,,raw
2019-07-18,105.090,105.480,103.050,103.230,40262.000,,raw
2019-07-19,103.690,104.480,101.980,102.780,49362.000,,raw
2019-07-22,103.370,103.400,100.500,100.800,54917.000,,raw
2019-07-23,100.800,102.800,100.800,102.510,35780.000,,raw
2019-07-24,102.800,103.510,102.250,102.550,34186.000,,raw
2019-07-25,103.000,104.590,102.280,104.500,35673.000,,raw
2019-07-26,104.000,106.170,103.530,105.770,34920.000,,raw
2019-07-29,105.980,106.180,104.770,105.500,22528.000,,raw
2019-07-30,104.930,105.900,104.010,104.980,29281.000,,raw
2019-07-31,104.660,105.250,103.990,104.000,21184.000,,raw
2019-08-01,104.000,104.390,102.360,103.990,29889.000,,raw
2019-08-02,102.600,103.550,101.990,103.150,21461.000,,raw
2019-08-05,102.800,103.370,101.800,101.820,23502.000,,raw
2019-08-06,100.400,101.450,99.200,100.970,39194.000,,raw
2019-08-07,100.660,102.680,100.660,102.020,24462.000,,raw
2019-08-08,102.200,102.970,101.220,102.030,22237.000,,raw
2019-08-09,102.650,102.680,92.310,94.800,122066.000,,raw
2019-08-12,95.310,97.040,90.960,96.010,66451.000,,raw
2019-08-13,95.860,96.900,95.060,95.900,30267.000,,raw
2019-08-14,96.800,97.910,96.400,96.500,36137.000,,raw
2019-08-15,95.000,97.980,94.030,97.590,33264.000,,raw
2019-08-16,97.590,99.450,97.100,98.720,32646.000,,raw
2019-08-19,99.300,100.440,98.930,100.090,35311.000,,raw
2019-08-20,100.110,100.390,99.080,99.200,28124.000,,raw
2019-08-21,98.510,98.640,96.800,97.050,41966.000,,raw
2019-08-22,97.690,101.460,97.600,100.990,68465.000,,raw
2019-08-23,100.990,101.040,99.060,100.750,46947.000,,raw
2019-08-26,98.710,104.500,98.710,102.600,60856.000,,raw
2019-08-27,104.000,104.000,102.080,102.820,50542.000,,raw
2019-08-28,102.650,102.980,100.310,100.890,37955.000,,raw
2019-08-29,100.720,101.180,99.800,100.050,24826.000,,raw
2019-08-30,100.220,101.790,99.440,99.710,30779.000,,raw
2019-09-02,99.480,100.490,98.910,100.340,34973.000,,raw
2019-09-03,100.350,100.580,98.220,98.960,40512.000,,raw
2019-09-04,98.800,99.190,97.680,99.150,31464.000,,raw
2019-09-05,99.680,101.000,99.470,100.140,39567.000,,raw
2019-09-06,100.300,101.430,99.720,101.320,36679.000,,raw
2019-09-09,101.470,102.120,100.660,101.070,34021.000,,raw
2019-09-10,101.080,102.400,99.780,102.000,43521.000,,raw
2019-09-11,102.000,103.600,100.220,100.420,41734.000,,raw
2019-09-12,100.020,100.790,99.800,100.040,27607.000,,raw
2019-09-16,100.040,100.960,100.000,100.200,23986.000,,raw
2019-09-17,100.200,100.500,99.000,99.150,24113.000,,raw
2019-09-18,99.010,101.800,98.980,101.610,45968.000,,raw
2019-09-19,101.760,102.920,101.000,102.680,40040.000,,raw
2019-09-20,102.790,105.540,102.610,104.940,62871.000,,raw
2019-09-23,104.900,105.880,103.000,103.230,31562.000,,raw
2019-09-24,104.080,104.900,102.500,103.250,32602.000,,raw
2019-09-25,103.250,103.450,101.410,102.130,22713.000,,raw
2019-09-26,102.690,103.000,99.990,100.400,29916.000,,raw
2019-09-27,100.390,101.660,99.030,101.120,23310.000,,raw
2019-09-30,101.120,103.300,100.810,101.880,29492.000,,raw
2019-10-08,102.000,105.150,102.000,104.300,44998.000,,raw
2019-10-09,104.100,105.100,103.050,104.670,31971.000,,raw
2019-10-10,105.000,108.560,104.690,107.990,65616.000,,raw
2019-10-11,108.690,108.990,107.100,107.890,42633.000,,raw
2019-10-14,108.200,110.050,107.790,109.090,45689.000,,raw
2019-10-15,108.980,113.500,108.560,112.050,56687.000,,raw
2019-10-16,112.220,115.050,111.300,114.500,72276.000,,raw
2019-10-17,114.500,116.000,113.390,114.100,35183.000,,raw
2019-10-18,114.000,115.260,112.370,114.170,47394.000,,raw
2019-10-21,113.580,114.500,109.930,112.220,50699.000,,raw
2019-10-22,113.000,114.790,112.500,114.000,38138.000,,raw
2019-10-23,114.160,115.950,112.470,112.600,35225.000,,raw
2019-10-24,113.400,113.700,110.500,111.460,45085.000,,raw
2019-10-25,109.940,109.940,105.700,106.500,115783.000,,raw
2019-10-28,106.800,108.880,105.980,106.910,49639.000,,raw
2019-10-29,106.010,110.130,106.010,107.790,55125.000,,raw
2019-10-30,107.820,108.670,106.200,107.800,26245.000,,raw
2019-10-31,108.200,109.090,107.020,108.520,30460.000,,raw
2019-11-01,108.030,108.720,106.510,108.590,33576.000,,raw
2019-11-04,108.900,109.940,108.020,108.500,36596.000,,raw
2019-11-05,109.000,109.400,107.450,108.320,36228.000,,raw
2019-11-06,108.180,108.850,107.750,108.180,24548.000,,raw
2019-11-07,108.400,108.890,107.500,108.480,22034.000,,raw
2019-11-08,108.880,111.980,108.770,111.070,49122.000,,raw
2019-11-11,111.000,112.630,108.990,109.450,43193.000,,raw
2019-11-12,108.960,109.800,106.980,107.600,35888.000,,raw
2019-11-13,107.600,108.400,105.960,106.300,53243.000,,raw
2019-11-14,106.590,107.320,105.920,107.010,36915.000,,raw
2019-11-15,107.000,107.200,104.700,104.710,42151.000,,raw
2019-11-18,104.600,105.490,103.850,104.730,34918.000,,raw
2019-11-19,104.700,106.250,104.700,105.200,39246.000,,raw
2019-11-20,105.440,106.400,105.100,105.300,31595.000,,raw
2019-11-21,105.090,105.090,102.280,103.250,41881.000,,raw
2019-11-22,103.230,103.800,101.110,101.470,43075.000,,raw
2019-11-25,101.470,102.330,100.650,101.910,29877.000,,raw
2019-11-26,102.280,102.800,101.700,102.600,29827.000,,raw
2019-11-27,102.430,102.500,101.000,101.620,23643.000,,raw
2019-11-28,101.900,102.470,101.220,101.780,18407.000,,raw
2019-11-29,101.660,102.190,98.780,99.780,48518.000,,raw
2019-12-02,99.090,99.880,99.000,99.210,22552.000,,raw
2019-12-03,98.110,99.400,98.110,99.380,23426.000,,raw
2019-12-04,99.620,100.480,99.000,100.090,20202.000,,raw
2019-12-05,100.500,101.280,100.000,100.500,21329.000,,raw
2019-12-06,100.610,101.080,100.110,101.060,21896.000,,raw
2019-12-09,101.000,101.600,99.900,100.240,25331.000,,raw
2019-12-10,99.990,100.520,99.890,100.390,17592.000,,raw
2019-12-11,100.400,100.930,100.350,100.830,16967.000,,raw
2019-12-12,100.750,100.850,99.880,99.890,16786.000,,raw
2019-12-13,100.500,102.590,100.500,102.580,38778.000,,raw
2019-12-16,102.880,103.670,101.800,102.720,28517.000,,raw
2019-12-17,102.770,104.400,102.020,103.980,34288.000,,raw
2019-12-18,103.770,104.820,102.880,103.360,28204.000,,raw
2019-12-19,103.650,103.680,102.030,103.030,20738.000,,raw
2019-12-20,103.010,103.590,102.610,103.140,18058.000,,raw
2019-12-23,103.150,106.240,102.800,104.450,42459.000,,raw
2019-12-24,104.440,105.180,103.640,104.520,23273.000,,raw
2019-12-25,106.500,110.880,106.500,109.950,107957.000,,raw
2019-12-26,109.610,110.600,108.870,109.970,41174.000,,raw
2019-12-27,109.970,110.600,107.980,108.140,40622.000,,raw
2019-12-30,108.470,110.090,107.000,109.160,37866.000,,raw
2019-12-31,109.160,110.990,108.930,109.870,41823.000,,raw
2020-01-02,109.990,110.610,108.630,109.220,46240.000,,raw
2020-01-03,109.500,109.580,108.220,109.000,32109.000,,raw
2020-01-06,108.290,109.510,108.040,108.640,37808.000,,raw
2020-01-07,108.940,110.070,107.750,110.050,39316.000,,raw
