date,open,high,low,close,volume,amount,price_type
2022-01-04,9.090,9.180,8.640,8.710,485661.000,,raw
2022-01-05,8.700,8.790,8.380,8.460,359624.000,,raw
2022-01-06,8.380,8.690,8.300,8.610,264803.000,,raw
2022-01-07,8.550,8.680,8.370,8.510,280970.000,,raw
2022-01-10,8.510,8.790,8.410,8.630,332724.000,,raw
2022-01-11,8.590,8.640,8.300,8.370,310345.000,,raw
2022-01-12,9.210,9.210,9.210,9.210,328673.000,,raw
2022-01-13,9.290,9.680,9.100,9.340,1126103.000,,raw
2022-01-14,9.050,9.670,9.010,9.390,784463.000,,raw
2022-01-17,9.380,9.550,9.180,9.350,514630.000,,raw
2022-01-18,9.280,10.100,9.200,9.850,1040411.000,,raw
2022-01-19,9.720,9.990,9.590,9.700,604532.000,,raw
2022-01-20,9.620,9.800,9.250,9.280,554772.000,,raw
2022-01-21,9.300,9.500,9.120,9.220,415901.000,,raw
2022-01-24,9.140,9.500,9.140,9.210,292048.000,,raw
2022-01-25,9.100,9.150,8.450,8.480,521481.000,,raw
2022-01-26,8.660,9.020,8.560,8.860,495241.000,,raw
2022-01-27,8.780,8.950,8.650,8.690,327600.000,,raw
2022-01-28,8.800,8.850,8.030,8.330,447624.000,,raw
2022-02-07,8.470,8.860,8.400,8.800,341405.000,,raw
2022-02-08,8.800,8.900,8.500,8.900,304184.000,,raw
2022-02-09,8.800,9.140,8.660,9.140,398873.000,,raw
2022-02-10,9.040,9.370,8.950,9.100,414362.000,,raw
2022-02-11,8.990,9.020,8.640,8.660,355243.000,,raw
2022-02-14,8.640,8.720,8.440,8.470,208597.000,,raw
2022-02-15,8.470,8.660,8.300,8.640,220747.000,,raw
2022-02-16,8.670,8.680,8.480,8.520,194367.000,,raw
2022-02-17,8.430,8.690,8.410,8.450,266613.000,,raw
2022-02-18,8.350,8.610,8.220,8.490,216969.000,,raw
2022-02-21,8.450,8.660,8.420,8.650,212349.000,,raw
2022-02-22,8.520,8.600,8.230,8.340,300302.000,,raw
2022-02-23,8.350,8.560,8.300,8.550,284864.000,,raw
2022-02-24,8.450,8.710,8.130,8.260,403232.000,,raw
2022-02-25,8.310,8.570,8.280,8.320,221790.000,,raw
2022-02-28,8.300,8.380,8.010,8.370,223347.000,,raw
2022-03-01,8.390,8.550,8.350,8.380,191571.000,,raw
2022-03-02,8.290,8.600,8.260,8.570,244490.000,,raw
2022-03-03,8.660,8.700,8.450,8.480,242747.000,,raw
2022-03-04,8.280,8.460,8.180,8.210,218452.000,,raw
2022-03-07,8.100,8.120,7.820,7.910,237678.000,,raw
2022-03-08,7.920,7.960,7.680,7.710,179901.000,,raw
2022-03-09,7.760,7.820,7.360,7.810,213422.000,,raw
2022-03-10,7.940,8.030,7.810,7.910,195857.000,,raw
2022-03-11,7.750,7.900,7.570,7.880,165388.000,,raw
2022-03-14,7.750,7.800,7.490,7.500,159195.000,,raw
2022-03-15,7.480,7.500,6.980,7.000,212436.000,,raw
2022-03-16,7.070,7.150,6.740,7.120,267432.000,,raw
2022-03-17,7.220,7.430,7.150,7.260,229842.000,,raw
2022-03-18,7.210,7.330,7.180,7.290,121361.000,,raw
2022-03-21,7.300,7.400,7.100,7.250,134307.000,,raw
2022-03-22,7.250,7.280,7.150,7.210,104235.000,,raw
2022-03-23,7.330,7.750,7.300,7.560,373173.000,,raw
2022-03-24,7.530,7.530,7.310,7.330,180994.000,,raw
2022-03-25,7.330,7.370,7.180,7.180,121474.000,,raw
2022-03-28,7.120,7.370,7.060,7.320,150775.000,,raw
2022-03-29,7.350,7.380,7.130,7.220,90771.000,,raw
2022-03-30,7.320,7.940,7.320,7.940,580106.000,,raw
2022-03-31,7.800,8.370,7.690,8.010,648346.000,,raw
2022-04-01,7.850,7.980,7.750,7.800,317503.000,,raw
2022-04-06,7.720,7.850,7.610,7.840,208341.000,,raw
2022-04-07,7.790,7.790,7.450,7.470,229362.000,,raw
2022-04-08,7.510,7.590,7.360,7.510,141697.000,,raw
2022-04-11,7.450,7.480,7.000,7.050,220342.000,,raw
2022-04-12,7.010,7.210,6.920,7.200,164752.000,,raw
2022-04-13,7.150,7.160,7.010,7.080,110406.000,,raw
2022-04-14,7.100,7.180,7.020,7.150,108124.000,,raw
2022-04-15,7.130,7.200,7.070,7.180,152352.000,,raw
2022-04-18,7.150,7.440,7.080,7.390,210911.000,,raw
2022-04-19,7.380,7.590,7.300,7.330,134643.000,,raw
2022-04-20,7.320,7.370,7.140,7.180,92357.000,,raw
2022-04-21,7.190,7.190,6.810,6.820,175063.000,,raw
2022-04-22,6.750,6.880,6.590,6.660,157609.000,,raw
2022-04-25,6.570,6.590,6.050,6.060,197556.000,,raw
2022-04-26,6.100,6.300,6.010,6.110,159562.000,,raw
2022-04-27,6.110,6.520,6.080,6.490,220545.000,,raw
2022-04-28,6.380,6.600,6.360,6.430,162649.000,,raw
2022-04-29,6.450,6.670,6.390,6.600,192442.000,,raw
2022-05-05,6.520,6.720,6.520,6.610,151190.000,,raw
2022-05-06,6.460,6.540,6.380,6.500,126461.000,,raw
2022-05-09,6.490,6.640,6.490,6.600,92092.000,,raw
2022-05-10,6.520,6.820,6.500,6.740,153470.000,,raw
2022-05-11,6.740,6.890,6.660,6.680,241011.000,,raw
2022-05-12,6.640,6.820,6.550,6.670,172654.000,,raw
2022-05-13,6.700,6.740,6.600,6.660,108212.000,,raw
2022-05-16,6.700,6.720,6.560,6.600,119724.000,,raw
2022-05-17,6.610,6.660,6.440,6.630,140070.000,,raw
2022-05-18,6.640,6.750,6.620,6.690,124394.000,,raw
2022-05-19,6.600,6.800,6.530,6.800,186185.000,,raw
2022-05-20,6.800,7.100,6.700,7.060,315777.000,,raw
2022-05-23,7.000,7.100,6.910,7.070,183073.000,,raw
2022-05-24,6.990,7.100,6.700,6.710,229101.000,,raw
2022-05-25,6.740,7.380,6.720,7.330,440073.000,,raw
2022-05-26,7.140,7.290,7.110,7.220,341107.000,,raw
2022-05-27,7.220,7.240,7.030,7.120,170225.000,,raw
2022-05-30,7.140,7.640,7.020,7.480,470931.000,,raw
2022-05-31,7.550,7.980,7.370,7.630,649847.000,,raw
2022-06-01,7.570,7.890,7.500,7.790,407802.000,,raw
2022-06-02,7.680,7.770,7.600,7.700,275946.000,,raw
2022-06-06,7.640,7.860,7.580,7.720,284813.000,,raw
2022-06-07,7.720,7.790,7.540,7.620,234120.000,,raw
2022-06-08,7.570,7.650,7.260,7.460,309409.000,,raw
2022-06-09,7.490,7.570,7.270,7.460,229837.000,,raw
2022-06-10,7.460,7.550,7.360,7.490,170569.000,,raw
2022-06-13,7.390,7.650,7.370,7.540,190680.000,,raw
2022-06-14,7.450,7.600,7.250,7.600,195479.000,,raw
2022-06-15,7.620,7.690,7.500,7.520,220430.000,,raw
2022-06-16,7.520,7.640,7.460,7.540,187075.000,,raw
2022-06-17,7.500,7.930,7.460,7.770,365616.000,,raw
2022-06-20,7.800,7.970,7.710,7.740,251147.000,,raw
2022-06-21,7.820,7.840,7.600,7.690,217477.000,,raw
2022-06-22,7.720,8.030,7.610,7.780,313936.000,,raw
2022-06-23,7.790,7.900,7.600,7.860,279594.000,,raw
2022-06-24,7.870,8.030,7.810,7.890,226025.000,,raw
2022-06-27,7.920,8.190,7.800,8.100,371686.000,,raw
2022-06-28,8.110,8.460,7.970,8.360,468472.000,,raw
2022-06-29,8.290,8.300,7.960,8.050,343290.000,"{'nd': '2021', 'fh_sh': '0.16', 'djr': '2022-06-28', 'cqr': '2022-06-29', 'FHcontent': '10派0.16元'}",raw
2022-06-30,8.060,8.160,7.920,7.980,244612.000,,raw
2022-07-01,7.940,8.280,7.910,8.060,234639.000,,raw
2022-07-04,8.040,8.350,7.950,8.290,288577.000,,raw
2022-07-05,8.230,8.650,8.220,8.500,446132.000,,raw
2022-07-06,8.600,8.680,8.250,8.440,314507.000,,raw
2022-07-07,8.400,8.980,8.300,8.760,358569.000,,raw
2022-07-08,8.850,9.050,8.560,8.590,307774.000,,raw
2022-07-11,8.630,8.800,8.490,8.690,306504.000,,raw
2022-07-12,8.690,9.050,8.620,8.820,399716.000,,raw
2022-07-13,8.920,9.090,8.760,8.950,289722.000,,raw
2022-07-14,8.860,8.940,8.770,8.810,271964.000,,raw
2022-07-15,8.770,9.030,8.750,8.750,342958.000,,raw
2022-07-18,8.750,8.860,8.610,8.710,416205.000,,raw
2022-07-19,8.680,8.720,8.490,8.550,287585.000,,raw
2022-07-20,8.740,8.950,8.610,8.700,280267.000,,raw
2022-07-21,8.670,8.730,8.490,8.510,222613.000,,raw
2022-07-22,8.520,8.700,8.400,8.510,197482.000,,raw
2022-07-25,8.560,8.560,8.190,8.240,201182.000,,raw
2022-07-26,8.290,8.460,8.130,8.410,167941.000,,raw
2022-07-27,8.410,8.440,8.190,8.380,176781.000,,raw
