date,open,high,low,close,volume,amount,price_type
2022-01-04,49.380,49.860,47.310,47.600,145060.000,,raw
2022-01-05,47.590,47.850,45.360,45.730,130456.000,,raw
2022-01-06,45.100,46.900,44.900,46.130,177127.000,,raw
2022-01-07,46.000,46.500,44.030,44.950,143705.000,,raw
2022-01-10,44.500,45.980,44.180,44.860,81443.000,,raw
2022-01-11,44.820,46.060,44.240,45.010,105858.000,,raw
2022-01-12,47.250,48.950,45.570,46.500,186578.000,,raw
2022-01-13,45.980,46.400,43.900,44.750,136852.000,,raw
2022-01-14,43.900,46.760,43.900,46.130,123617.000,,raw
2022-01-17,45.150,48.200,45.150,47.000,123679.000,,raw
2022-01-18,46.600,47.510,45.780,47.050,156936.000,,raw
2022-01-19,46.840,49.310,46.380,48.000,134749.000,,raw
2022-01-20,48.370,48.660,46.400,46.990,84094.000,,raw
2022-01-21,46.900,47.870,45.800,46.420,87360.000,,raw
2022-01-24,46.500,48.450,46.260,47.650,71525.000,,raw
2022-01-25,47.250,47.790,45.700,45.900,76818.000,,raw
2022-01-26,45.960,49.100,45.610,47.880,114324.000,,raw
2022-01-27,47.700,48.600,46.650,47.090,82215.000,,raw
2022-01-28,48.210,48.210,44.700,45.500,132504.000,,raw
2022-02-07,46.050,46.480,44.900,45.860,64163.000,,raw
2022-02-08,45.790,45.790,42.800,44.320,99638.000,,raw
2022-02-09,43.800,45.750,42.580,45.470,93699.000,,raw
2022-02-10,45.500,45.600,43.530,44.030,85970.000,,raw
2022-02-11,43.590,44.020,41.600,42.100,108676.000,,raw
2022-02-14,41.700,43.590,41.260,42.890,71058.000,,raw
2022-02-15,42.990,45.180,42.510,44.900,78935.000,,raw
2022-02-16,45.300,45.660,44.280,44.550,51483.000,,raw
2022-02-17,44.460,46.190,43.830,45.750,59982.000,,raw
2022-02-18,45.070,45.740,44.700,45.330,31440.000,,raw
2022-02-21,45.270,46.600,44.820,46.140,44278.000,,raw
2022-02-22,45.870,45.870,44.220,45.620,37545.000,,raw
2022-02-23,45.590,47.550,45.100,46.330,60333.000,,raw
2022-02-24,46.500,47.380,45.440,46.230,54608.000,,raw
2022-02-25,46.680,47.470,46.000,46.360,44429.000,,raw
2022-02-28,46.430,47.180,45.650,47.040,43609.000,,raw
2022-03-01,47.070,47.800,46.090,46.260,44778.000,,raw
2022-03-02,45.970,46.200,44.370,44.600,63792.000,,raw
2022-03-03,44.690,45.100,42.600,42.790,73339.000,,raw
2022-03-04,42.510,43.420,42.000,42.450,39580.000,,raw
2022-03-07,42.000,42.440,40.180,40.550,110330.000,,raw
2022-03-08,40.890,41.650,38.700,39.320,112595.000,,raw
2022-03-09,39.510,40.650,37.600,39.350,89501.000,,raw
2022-03-10,40.200,40.870,39.510,39.530,62111.000,,raw
2022-03-11,38.920,39.880,38.300,39.770,57861.000,,raw
2022-03-14,39.170,39.850,38.290,38.440,71016.000,,raw
2022-03-15,38.320,39.200,36.400,36.450,147956.000,,raw
2022-03-16,37.500,37.670,35.070,37.050,158239.000,,raw
2022-03-17,37.520,39.060,37.020,38.200,108582.000,,raw
2022-03-18,38.000,38.050,36.350,37.200,93164.000,,raw
2022-03-21,37.160,39.080,37.000,38.330,93433.000,,raw
2022-03-22,38.900,38.900,37.500,37.850,67515.000,,raw
2022-03-23,38.180,39.450,37.720,38.660,63264.000,,raw
2022-03-24,38.300,38.500,37.500,37.730,43015.000,,raw
2022-03-25,38.070,38.080,36.310,36.420,59723.000,,raw
2022-03-28,36.160,36.590,35.550,36.440,72874.000,,raw
2022-03-29,34.400,35.200,33.400,33.930,302390.000,,raw
2022-03-30,34.560,35.150,33.320,34.020,158824.000,,raw
2022-03-31,33.820,33.960,32.370,32.800,130829.000,,raw
2022-04-01,33.000,33.340,32.360,33.120,82446.000,,raw
2022-04-06,33.310,33.340,31.400,31.680,143777.000,,raw
2022-04-07,31.680,31.840,30.140,30.580,157581.000,,raw
2022-04-08,30.890,30.950,29.760,30.210,123565.000,,raw
2022-04-11,30.220,30.300,28.720,28.850,112281.000,,raw
2022-04-12,28.610,30.050,28.610,29.660,135451.000,,raw
2022-04-13,29.330,29.900,29.050,29.290,82907.000,,raw
2022-04-14,29.440,30.310,29.440,29.900,64234.000,,raw
2022-04-15,29.910,30.750,29.350,30.330,66425.000,,raw
2022-04-18,30.800,32.380,29.620,32.280,99963.000,,raw
2022-04-19,32.300,32.660,30.600,30.810,132069.000,,raw
2022-04-20,30.710,30.820,29.810,29.930,71341.000,,raw
2022-04-21,29.990,30.200,29.030,29.120,58139.000,,raw
2022-04-22,29.010,29.500,28.500,28.850,85759.000,,raw
2022-04-25,28.080,28.540,26.800,26.800,104739.000,,raw
2022-04-26,26.950,27.000,24.970,25.200,98236.000,,raw
2022-04-27,25.200,27.720,24.640,27.720,109639.000,,raw
2022-04-28,27.820,29.120,27.230,28.590,129390.000,,raw
2022-04-29,28.640,31.070,28.260,30.080,147867.000,,raw
2022-05-05,30.170,30.800,29.480,30.520,70304.000,,raw
2022-05-06,29.900,31.800,29.800,30.660,59963.000,,raw
2022-05-09,30.660,31.380,29.900,31.050,57719.000,,raw
2022-05-10,30.870,32.180,30.440,31.530,62919.000,,raw
