date,open,high,low,close,volume,amount,price_type
2018-01-02,18.980,19.230,18.730,19.190,165635.000,,raw
2018-01-03,19.500,19.500,18.980,19.340,183123.000,,raw
2018-01-04,19.270,19.280,18.560,18.950,209968.000,,raw
2018-01-05,18.900,18.920,17.800,18.140,337950.000,,raw
2018-01-08,18.010,18.150,17.110,17.570,281231.000,,raw
2018-01-09,17.470,17.550,17.110,17.240,204831.000,,raw
2018-01-10,17.230,17.370,16.720,16.800,205406.000,,raw
2018-01-11,16.770,17.300,16.710,17.120,148146.000,,raw
2018-01-12,17.110,17.380,16.900,16.930,125613.000,,raw
2018-01-15,16.920,16.920,16.090,16.250,193509.000,,raw
2018-01-16,16.250,16.380,15.710,15.950,165492.000,,raw
2018-01-17,15.970,16.790,15.580,16.550,214427.000,,raw
2018-01-18,16.560,17.340,16.510,16.990,236433.000,,raw
2018-01-19,17.000,17.490,16.920,17.000,147450.000,,raw
2018-01-22,17.000,17.380,16.920,17.140,159287.000,,raw
2018-01-23,17.020,17.440,16.980,17.330,132029.000,,raw
2018-01-24,17.200,17.750,17.000,17.620,190575.000,,raw
2018-01-25,17.620,18.000,17.170,17.350,156796.000,,raw
2018-01-26,17.200,17.690,17.080,17.380,105679.000,,raw
2018-01-29,17.300,17.700,17.000,17.100,109547.000,,raw
2018-01-30,17.000,17.580,17.000,17.470,113833.000,,raw
2018-01-31,16.890,17.150,15.720,16.870,171502.000,,raw
2018-02-01,16.880,17.500,16.690,16.750,157981.000,,raw
2018-02-02,16.360,17.060,15.800,15.920,204897.000,,raw
2018-02-05,15.470,15.800,14.830,15.000,268394.000,,raw
2018-02-06,14.600,14.960,14.310,14.480,157631.000,,raw
2018-02-07,14.900,15.150,14.010,14.800,214887.000,,raw
2018-02-08,14.860,15.000,14.410,14.540,206646.000,,raw
2018-02-09,14.010,14.330,13.490,13.820,213276.000,,raw
2018-02-12,14.080,15.140,14.050,15.100,178386.000,,raw
2018-02-13,15.270,15.470,14.830,15.100,136822.000,,raw
2018-02-14,15.070,15.120,14.730,14.960,77453.000,,raw
2018-02-22,15.160,15.460,14.870,15.390,99218.000,,raw
2018-02-23,15.360,15.380,14.820,14.960,107540.000,,raw
2018-02-26,15.160,16.460,14.980,16.460,265338.000,,raw
2018-02-27,16.270,16.960,16.240,16.500,217543.000,,raw
2018-02-28,16.180,16.940,16.180,16.480,158566.000,,raw
2018-03-01,16.490,17.400,16.310,17.280,256343.000,,raw
2018-03-02,17.150,17.380,16.770,16.810,170519.000,,raw
2018-03-05,16.900,17.040,16.670,16.940,135102.000,,raw
2018-03-06,17.030,17.440,16.910,17.080,177234.000,,raw
2018-03-07,17.100,17.480,16.730,17.230,184347.000,,raw
2018-03-08,17.160,17.450,17.020,17.080,106105.000,,raw
2018-03-09,17.070,17.850,17.050,17.720,214350.000,,raw
2018-03-12,17.800,18.760,17.800,18.370,271619.000,,raw
2018-03-13,18.420,18.450,18.080,18.150,162198.000,,raw
2018-03-14,18.030,18.280,17.890,17.890,148305.000,,raw
2018-03-15,17.730,17.900,17.330,17.840,131920.000,,raw
2018-03-16,17.780,18.060,17.260,17.260,140307.000,,raw
2018-03-19,17.120,18.070,16.960,17.960,190445.000,,raw
2018-03-20,17.800,17.990,17.530,17.800,112230.000,,raw
2018-03-21,17.980,18.560,17.530,17.660,186563.000,,raw
2018-03-22,17.660,18.230,17.660,17.940,184943.000,,raw
2018-03-23,17.180,17.390,16.220,16.270,226082.000,,raw
2018-03-26,15.750,17.900,15.750,17.900,258241.000,,raw
2018-03-27,18.200,18.680,18.100,18.460,277129.000,,raw
2018-03-28,18.200,19.000,18.100,18.780,255087.000,,raw
2018-03-29,18.800,18.950,18.350,18.810,175764.000,,raw
2018-03-30,18.950,19.250,18.650,19.180,264675.000,,raw
2018-04-02,19.230,19.360,18.430,18.940,303892.000,,raw
2018-04-03,18.600,18.950,18.310,18.650,212369.000,,raw
2018-04-04,18.830,18.830,17.760,17.780,177204.000,,raw
2018-04-09,17.680,18.380,17.660,18.120,205652.000,,raw
2018-04-10,18.380,18.480,17.760,18.150,155735.000,,raw
2018-04-11,18.400,18.490,17.910,18.070,155179.000,,raw
2018-04-12,18.040,18.350,17.770,17.980,99436.000,,raw
2018-04-13,18.040,18.200,17.140,17.470,183566.000,,raw
2018-04-16,17.300,17.660,16.900,17.240,178507.000,,raw
2018-04-17,17.270,17.580,16.570,16.600,214244.000,,raw
2018-04-18,16.790,17.680,16.500,17.430,197085.000,,raw
2018-04-19,17.400,18.470,17.330,18.160,279735.000,,raw
2018-04-20,18.120,18.370,17.720,17.850,178679.000,,raw
2018-04-23,17.750,18.070,17.520,18.040,151651.000,,raw
2018-04-24,18.070,18.950,17.900,18.790,302240.000,,raw
2018-04-25,18.760,18.790,18.310,18.490,189159.000,,raw
2018-04-26,18.520,18.580,18.000,18.190,130691.000,,raw
2018-04-27,18.310,18.390,17.830,18.170,129868.000,,raw
2018-05-02,18.200,18.580,17.790,18.040,143602.000,,raw
2018-05-03,18.070,18.180,17.230,17.840,191717.000,,raw
2018-05-04,17.710,18.040,17.420,17.530,162362.000,,raw
2018-05-07,17.690,18.970,17.490,18.730,307132.000,,raw
2018-05-08,18.800,18.960,18.540,18.950,219749.000,,raw
2018-05-09,18.950,19.100,18.610,18.870,151997.000,,raw
2018-05-10,18.960,19.340,18.620,19.160,240317.000,,raw
2018-05-11,19.160,19.160,18.460,18.640,188648.000,,raw
2018-05-14,18.560,18.560,17.900,18.180,230453.000,,raw
2018-05-15,18.220,18.310,17.820,18.170,184021.000,,raw
2018-05-16,18.100,18.330,17.700,18.010,167951.000,,raw
2018-05-17,18.030,18.030,17.250,17.420,234399.000,,raw
2018-05-18,17.420,17.430,16.640,16.860,252121.000,,raw
2018-05-21,16.990,17.260,16.820,17.070,257214.000,,raw
2018-05-22,17.060,17.070,16.220,16.610,310695.000,,raw
2018-05-23,16.630,16.790,16.160,16.180,234201.000,,raw
2018-05-24,16.180,16.430,16.150,16.230,151735.000,,raw
2018-05-25,16.180,16.240,15.560,15.700,231219.000,,raw
2018-05-28,15.810,15.830,14.940,15.090,272587.000,,raw
2018-05-29,15.150,15.500,15.020,15.080,190893.000,,raw
2018-05-30,14.790,15.150,14.560,14.880,177064.000,,raw
2018-05-31,15.010,15.060,14.030,14.290,319383.000,,raw
2018-06-01,14.160,14.540,13.910,13.960,196835.000,,raw
2018-06-04,12.560,12.560,12.560,12.560,42540.000,,raw
2018-06-05,11.300,11.300,11.300,11.300,36311.000,,raw
2018-06-06,10.800,10.960,10.170,10.430,1331552.000,,raw
2018-06-07,10.240,10.410,10.130,10.210,631565.000,"{'nd': '2017', 'fh_sh': '0.797807', 'djr': '2018-06-06', 'cqr': '2018-06-07', 'FHcontent': '10派0.797807元'}",raw
2018-06-08,10.250,10.270,9.820,9.940,495767.000,,raw
2018-06-11,9.910,10.160,9.500,9.590,509101.000,,raw
2018-06-12,9.850,10.050,9.710,9.970,474184.000,,raw
2018-06-13,9.950,9.960,9.600,9.620,331952.000,,raw
2018-06-14,9.610,9.740,9.400,9.660,327886.000,,raw
2018-06-15,9.650,9.670,9.120,9.160,373621.000,,raw
2018-06-19,9.010,9.180,8.270,8.470,408433.000,,raw
2018-06-20,8.460,8.880,8.460,8.740,347048.000,,raw
2018-06-21,8.830,8.850,8.350,8.460,377774.000,,raw
2018-06-22,8.370,8.880,8.330,8.830,363451.000,,raw
2018-06-25,8.960,9.040,8.620,8.660,324625.000,,raw
2018-06-26,8.520,9.010,8.520,8.770,371141.000,,raw
2018-06-27,8.780,9.070,8.700,8.900,363181.000,,raw
2018-06-28,8.990,9.040,8.610,8.700,330686.000,,raw
2018-06-29,8.680,9.020,8.670,8.970,323932.000,,raw
2018-07-02,8.990,9.010,8.360,8.480,445054.000,,raw
2018-07-03,8.550,8.960,8.440,8.830,455495.000,,raw
2018-07-04,8.900,8.960,8.570,8.680,326187.000,,raw
2018-07-05,8.730,8.820,8.330,8.330,293114.000,,raw
2018-07-06,8.340,8.560,8.080,8.420,387707.000,,raw
2018-07-09,8.500,8.570,8.430,8.570,221854.000,,raw
2018-07-10,8.620,8.630,8.030,8.230,553768.000,,raw
2018-07-11,8.060,8.170,7.830,7.930,344808.000,,raw
2018-07-12,7.960,8.310,7.960,8.280,366705.000,,raw
2018-07-13,8.300,8.350,8.120,8.130,277269.000,,raw
2018-07-16,8.190,8.300,8.010,8.060,347926.000,,raw
2018-07-17,8.110,8.130,7.910,8.060,245180.000,,raw
2018-07-18,8.090,8.150,7.790,7.800,511840.000,,raw
2018-07-19,7.850,7.880,7.560,7.590,376849.000,,raw
2018-07-20,7.620,7.770,7.530,7.750,293273.000,,raw
2018-07-23,7.750,7.820,7.630,7.800,271026.000,,raw
2018-07-24,7.850,8.470,7.780,8.310,731722.000,,raw
2018-07-25,8.260,8.310,8.050,8.090,513340.000,,raw
2018-07-26,8.120,8.240,8.050,8.160,393919.000,,raw
2018-07-27,8.140,8.290,8.010,8.020,369892.000,,raw
2018-07-30,7.970,8.060,7.750,7.810,312819.000,,raw
2018-07-31,7.840,7.940,7.770,7.850,187303.000,,raw
2018-08-01,7.860,7.930,7.770,7.810,232122.000,,raw
2018-08-02,7.770,7.770,7.250,7.390,347837.000,,raw
2018-08-03,7.360,7.500,7.310,7.320,182897.000,,raw
2018-08-06,7.260,7.260,6.750,6.830,356957.000,,raw
2018-08-07,6.890,7.090,6.820,7.070,299599.000,,raw
2018-08-08,7.120,7.780,7.110,7.260,605315.000,,raw
2018-08-09,7.110,7.510,7.030,7.400,408569.000,,raw
2018-08-10,7.400,7.530,7.320,7.440,227103.000,,raw
2018-08-13,7.330,7.450,7.240,7.410,201931.000,,raw
2018-08-14,7.400,7.480,7.330,7.360,165893.000,,raw
2018-08-15,7.310,7.350,6.940,7.000,347528.000,,raw
2018-08-16,6.890,7.070,6.860,6.970,204422.000,,raw
2018-08-17,7.060,7.100,6.730,6.760,250680.000,,raw
2018-08-20,6.780,6.840,6.510,6.700,327917.000,,raw
2018-08-21,6.700,6.840,6.610,6.800,239013.000,,raw
2018-08-22,6.780,6.800,6.560,6.620,227977.000,,raw
2018-08-23,6.620,6.700,6.550,6.670,226775.000,,raw
2018-08-24,6.650,6.670,6.580,6.580,163959.000,,raw
2018-08-27,6.660,6.860,6.620,6.800,332773.000,,raw
2018-08-28,6.930,7.290,6.900,7.020,545268.000,,raw
2018-08-29,7.040,7.080,6.890,6.900,231103.000,,raw
2018-08-30,6.900,7.070,6.870,6.900,262413.000,,raw
2018-08-31,6.880,7.070,6.650,6.820,328348.000,,raw
2018-09-03,7.000,7.080,6.790,6.970,387865.000,,raw
2018-09-04,6.890,7.020,6.840,6.960,319980.000,,raw
2018-09-05,6.920,7.040,6.840,6.840,334640.000,,raw
2018-09-06,6.790,6.830,6.590,6.640,333251.000,,raw
2018-09-07,6.650,6.880,6.650,6.800,332616.000,,raw
2018-09-10,6.770,6.880,6.580,6.590,260027.000,,raw
2018-09-11,6.600,6.730,6.570,6.660,179025.000,,raw
2018-09-12,6.670,6.930,6.630,6.850,333372.000,,raw
2018-09-13,6.940,6.980,6.760,6.900,239191.000,,raw
2018-09-14,6.930,7.020,6.800,6.820,243078.000,,raw
2018-09-17,6.840,6.840,6.610,6.620,216851.000,,raw
2018-09-18,6.630,6.860,6.600,6.840,239536.000,,raw
2018-09-19,6.730,6.920,6.710,6.840,291257.000,,raw
2018-09-20,6.860,6.980,6.820,6.860,251665.000,,raw
2018-09-21,6.880,6.950,6.760,6.930,296682.000,,raw
2018-09-25,6.880,6.960,6.840,6.870,184473.000,,raw
2018-09-26,6.890,7.110,6.870,7.060,485986.000,,raw
2018-09-27,7.030,7.050,6.860,6.880,322619.000,,raw
2018-09-28,6.900,6.990,6.850,6.910,240665.000,,raw
2018-10-08,6.780,6.780,6.570,6.590,244189.000,,raw
2018-10-09,6.620,6.670,6.530,6.600,156327.000,,raw
2018-10-10,6.660,6.730,6.540,6.620,164424.000,,raw
2018-10-11,6.280,6.320,5.960,5.960,375069.000,,raw
2018-10-12,5.850,5.930,5.460,5.730,404571.000,,raw
2018-10-15,5.750,5.830,5.540,5.570,195642.000,,raw
2018-10-16,5.560,5.630,5.360,5.390,214096.000,,raw
2018-10-17,5.480,5.550,5.340,5.500,240316.000,,raw
2018-10-18,5.450,5.470,5.300,5.330,177116.000,,raw
2018-10-19,5.220,5.510,5.170,5.470,220246.000,,raw
2018-10-22,5.530,5.950,5.500,5.850,397409.000,,raw
2018-10-23,5.850,5.920,5.650,5.700,238981.000,,raw
2018-10-24,5.700,5.840,5.680,5.700,179716.000,,raw
2018-10-25,5.490,5.700,5.450,5.680,200798.000,,raw
2018-10-26,5.730,5.820,5.610,5.650,172199.000,,raw
2018-10-29,5.590,5.840,5.580,5.740,233517.000,,raw
2018-10-30,5.730,5.840,5.610,5.780,200492.000,,raw
