date,open,high,low,close,volume,amount,price_type
2022-01-04,21.200,21.320,20.460,20.570,794911.000,,raw
2022-01-05,20.570,20.610,19.680,19.710,842190.000,,raw
2022-01-06,19.650,19.980,19.400,19.760,509071.000,,raw
2022-01-07,19.690,19.990,19.570,19.680,419339.000,,raw
2022-01-10,19.700,19.740,18.800,19.240,621050.000,,raw
2022-01-11,19.250,19.550,19.050,19.120,409689.000,,raw
2022-01-12,19.550,20.100,19.550,20.050,860516.000,,raw
2022-01-13,20.060,20.100,19.610,19.650,542904.000,,raw
2022-01-14,19.500,19.830,19.250,19.520,361835.000,,raw
2022-01-17,19.950,20.170,19.730,19.880,517540.000,,raw
2022-01-18,19.830,20.450,19.700,20.310,644153.000,,raw
2022-01-19,20.110,20.150,19.860,20.000,429790.000,,raw
2022-01-20,19.970,20.060,19.430,19.520,437700.000,,raw
2022-01-21,19.490,19.810,19.350,19.420,309086.000,,raw
2022-01-24,19.390,19.820,19.220,19.640,302881.000,,raw
2022-01-25,19.500,19.620,18.880,18.890,422236.000,,raw
2022-01-26,19.150,19.630,19.020,19.300,489579.000,,raw
2022-01-27,19.200,19.450,18.950,18.980,413812.000,,raw
2022-01-28,19.020,19.170,17.930,18.650,626884.000,,raw
2022-02-07,18.970,19.650,18.970,19.520,567345.000,,raw
2022-02-08,19.510,19.740,19.140,19.740,490464.000,,raw
2022-02-09,19.600,19.870,19.460,19.760,438112.000,,raw
2022-02-10,19.740,19.740,19.350,19.550,390287.000,,raw
2022-02-11,19.430,19.530,19.100,19.140,379671.000,,raw
2022-02-14,18.960,19.210,18.710,18.820,300139.000,,raw
2022-02-15,18.870,19.240,18.770,19.090,334299.000,,raw
2022-02-16,19.270,19.470,19.160,19.220,370337.000,,raw
2022-02-17,19.360,20.130,19.360,19.750,705294.000,,raw
2022-02-18,19.500,20.180,19.410,19.950,615314.000,,raw
2022-02-21,19.930,20.180,19.720,20.090,514355.000,,raw
2022-02-22,19.850,20.140,19.760,20.040,476198.000,,raw
2022-02-23,20.000,20.650,20.000,20.530,921776.000,,raw
2022-02-24,20.340,20.800,19.580,19.970,1070155.000,,raw
2022-02-25,20.200,20.510,20.050,20.100,628158.000,,raw
2022-02-28,20.090,20.250,19.850,20.180,491815.000,,raw
2022-03-01,20.600,21.130,20.360,20.510,970791.000,,raw
2022-03-02,20.350,20.700,20.170,20.570,632263.000,,raw
2022-03-03,20.850,20.940,20.370,20.450,537224.000,,raw
2022-03-04,20.220,20.400,19.930,20.020,487517.000,,raw
2022-03-07,19.910,20.150,19.680,19.720,511510.000,,raw
2022-03-08,19.770,20.020,19.220,19.550,590941.000,,raw
2022-03-09,19.760,19.880,18.300,19.430,646928.000,,raw
2022-03-10,19.980,20.680,19.890,20.450,1255834.000,,raw
2022-03-11,20.370,21.190,20.230,21.180,1413482.000,,raw
2022-03-14,21.010,21.480,20.690,20.780,1072446.000,,raw
2022-03-15,20.490,20.970,19.770,19.780,979802.000,,raw
2022-03-16,20.380,20.860,19.700,20.850,1109578.000,,raw
2022-03-17,21.350,21.400,20.600,20.650,1105542.000,,raw
2022-03-18,20.460,20.800,20.350,20.660,523162.000,,raw
2022-03-21,20.530,20.950,20.420,20.570,553141.000,,raw
2022-03-22,20.470,20.680,20.100,20.180,525914.000,,raw
2022-03-23,20.300,20.850,20.180,20.430,596051.000,,raw
2022-03-24,20.210,20.240,19.850,19.990,522195.000,,raw
2022-03-25,19.980,20.100,19.350,19.350,562187.000,,raw
2022-03-28,19.370,20.260,19.360,20.000,649487.000,,raw
2022-03-29,20.150,20.490,19.960,20.270,545637.000,,raw
2022-03-30,20.400,20.740,20.250,20.600,637507.000,,raw
2022-03-31,20.410,20.540,20.170,20.380,471186.000,,raw
2022-04-01,20.250,20.740,20.160,20.630,510763.000,,raw
2022-04-06,20.400,20.500,20.000,20.120,493045.000,,raw
2022-04-07,20.010,20.360,19.990,20.030,381792.000,,raw
2022-04-08,19.950,20.010,19.400,19.600,624372.000,,raw
2022-04-11,19.630,19.650,18.680,18.840,598600.000,,raw
2022-04-12,18.980,19.290,18.680,19.270,465040.000,,raw
2022-04-13,19.240,19.860,19.080,19.460,464944.000,,raw
2022-04-14,19.680,19.900,19.380,19.720,450632.000,,raw
2022-04-15,19.550,19.880,19.490,19.690,363755.000,,raw
2022-04-18,19.500,19.840,19.200,19.770,317789.000,,raw
2022-04-19,19.830,20.310,19.780,20.150,571147.000,,raw
2022-04-20,20.230,20.320,19.700,19.720,460130.000,,raw
2022-04-21,19.680,19.990,18.940,19.050,546686.000,,raw
2022-04-22,19.000,19.250,18.500,18.990,447548.000,,raw
2022-04-25,18.850,19.380,18.580,18.590,645138.000,,raw
2022-04-26,18.640,18.950,18.010,18.040,641038.000,,raw
2022-04-27,17.800,19.190,17.530,19.130,817497.000,,raw
2022-04-28,18.880,19.290,18.720,18.860,518222.000,,raw
2022-04-29,19.060,19.550,18.860,19.380,656231.000,,raw
2022-05-05,19.520,19.570,19.200,19.270,536489.000,,raw
2022-05-06,18.800,19.050,18.650,18.750,354748.000,,raw
2022-05-09,18.720,19.020,18.680,18.820,230155.000,,raw
2022-05-10,18.500,19.150,18.380,18.960,409031.000,,raw
2022-05-11,19.010,19.740,18.900,19.230,690713.000,,raw
2022-05-12,19.100,19.470,18.940,19.130,442071.000,,raw
2022-05-13,19.290,20.440,19.280,20.090,1013774.000,,raw
2022-05-16,20.290,20.390,19.910,20.040,511316.000,,raw
2022-05-17,20.020,20.700,19.970,20.690,929904.000,,raw
2022-05-18,20.750,20.820,20.460,20.500,601611.000,,raw
2022-05-19,20.130,21.860,20.050,21.500,1410324.000,,raw
2022-05-20,21.350,21.700,21.260,21.560,884242.000,,raw
2022-05-23,21.350,21.610,21.150,21.570,729331.000,,raw
2022-05-24,21.530,22.000,20.930,20.950,1057484.000,,raw
2022-05-25,21.010,21.660,20.970,21.610,902154.000,,raw
2022-05-26,21.610,21.880,21.320,21.560,786225.000,,raw
2022-05-27,21.650,21.770,21.280,21.420,544168.000,,raw
2022-05-30,21.630,21.700,21.180,21.460,477401.000,,raw
2022-05-31,21.890,22.560,21.860,22.500,1475382.000,,raw
2022-06-01,22.280,22.570,22.200,22.380,683506.000,,raw
2022-06-02,22.400,22.790,22.240,22.540,750965.000,,raw
2022-06-06,22.730,23.500,22.600,23.240,947496.000,,raw
2022-06-07,23.800,24.180,23.260,23.450,1237793.000,,raw
2022-06-08,23.600,24.040,23.310,23.930,1102709.000,,raw
2022-06-09,24.320,25.400,24.320,24.720,1700495.000,,raw
2022-06-10,24.720,25.900,24.500,25.480,1814923.000,,raw
2022-06-13,25.810,27.800,25.750,27.500,2350405.000,,raw
2022-06-14,27.110,27.990,26.530,27.680,2046244.000,,raw
2022-06-15,27.650,28.780,27.110,27.110,1820077.000,,raw
2022-06-16,27.310,27.650,26.590,26.750,1407734.000,,raw
2022-06-17,26.780,28.380,26.780,28.150,1686239.000,,raw
2022-06-20,28.400,28.680,26.260,26.620,2144939.000,,raw
2022-06-21,26.400,26.770,25.720,26.310,1173365.000,,raw
2022-06-22,26.700,26.780,25.850,26.050,952093.000,,raw
2022-06-23,25.900,25.990,24.880,25.830,979984.000,"{'nd': '2021', 'fh_sh': '5.8', 'djr': '2022-06-22', 'cqr': '2022-06-23', 'FHcontent': '10派5.8元'}",raw
2022-06-24,26.000,27.080,25.880,26.710,1384818.000,,raw
2022-06-27,26.750,26.800,25.650,26.280,1296340.000,,raw
2022-06-28,26.270,27.350,26.010,27.100,1387098.000,,raw
2022-06-29,26.760,26.790,25.420,25.470,1428839.000,,raw
2022-06-30,25.470,27.960,25.470,27.390,1854150.000,,raw
2022-07-01,27.600,28.800,27.110,27.670,1681628.000,,raw
2022-07-04,28.000,29.660,27.280,29.260,2184463.000,,raw
2022-07-05,29.250,30.840,29.010,30.720,2019822.000,,raw
2022-07-06,30.200,30.330,28.610,29.130,1610792.000,,raw
2022-07-07,28.970,29.310,28.330,29.110,1002702.000,,raw
2022-07-08,29.910,30.100,28.360,28.430,1068361.000,,raw
2022-07-11,28.600,28.600,26.610,27.320,1674065.000,,raw
2022-07-12,27.360,28.040,27.070,27.450,1077076.000,,raw
2022-07-13,27.830,28.140,27.080,27.360,1118382.000,,raw
2022-07-14,27.180,28.440,27.040,27.870,1120850.000,,raw
2022-07-15,27.450,28.180,27.180,27.180,1252305.000,,raw
2022-07-18,27.220,27.450,26.150,27.100,1113216.000,,raw
2022-07-19,27.000,27.330,26.620,26.770,777451.000,,raw
2022-07-20,27.000,27.140,26.710,26.900,571134.000,,raw
2022-07-21,26.890,26.890,25.810,25.920,1112200.000,,raw
2022-07-22,25.910,26.380,25.850,26.110,618476.000,,raw
2022-07-25,26.050,26.080,25.020,25.090,1001516.000,,raw
2022-07-26,25.300,25.810,25.180,25.410,730536.000,,raw
2022-07-27,25.480,25.750,25.040,25.550,621097.000,,raw
2022-07-28,25.730,25.850,24.880,24.910,965903.000,,raw
2022-07-29,24.910,25.750,24.870,24.980,970210.000,,raw
2022-08-01,24.780,24.820,23.930,24.700,1039780.000,,raw
2022-08-02,24.330,24.350,23.480,23.620,956564.000,,raw
2022-08-03,23.930,24.260,23.120,23.200,757562.000,,raw
