date,open,high,low,close,volume,amount,price_type
2018-01-02,22.360,22.770,22.250,22.630,8138.000,,raw
2018-01-03,22.640,23.330,22.540,23.170,15039.000,,raw
2018-01-04,23.060,23.260,22.890,23.050,9225.000,,raw
2018-01-05,23.050,23.520,23.030,23.130,9568.000,,raw
2018-01-08,23.010,23.100,22.620,22.890,6315.000,,raw
2018-01-09,22.800,23.100,22.760,23.000,5710.000,,raw
2018-01-10,23.000,23.000,22.300,22.680,8126.000,,raw
2018-01-11,22.510,23.140,22.450,22.930,9987.000,,raw
2018-01-12,22.950,23.000,22.700,22.710,5372.000,,raw
2018-01-15,22.520,22.740,21.720,21.770,9657.000,,raw
2018-01-16,21.770,22.090,21.450,21.690,7375.000,,raw
2018-01-17,21.750,22.150,21.440,21.930,8495.000,,raw
2018-01-18,21.830,21.990,21.500,21.530,8005.000,,raw
2018-01-19,21.550,21.770,21.340,21.350,7378.000,,raw
2018-01-22,21.350,21.520,20.590,21.490,11096.000,,raw
2018-01-23,21.190,21.190,20.620,20.690,15820.000,,raw
2018-01-24,20.680,20.850,19.980,20.730,17775.000,,raw
2018-01-25,20.700,21.330,20.510,20.810,18683.000,,raw
2018-01-26,20.610,20.920,20.380,20.400,12497.000,,raw
2018-01-29,20.440,20.440,19.600,19.640,15994.000,,raw
2018-01-30,19.700,19.780,19.300,19.410,9523.000,,raw
2018-01-31,19.370,19.410,17.800,18.080,16678.000,,raw
2018-02-01,18.150,18.230,17.090,17.120,14761.000,,raw
2018-02-02,17.100,17.430,16.700,17.170,11866.000,,raw
2018-02-05,16.800,17.280,16.700,16.910,7012.000,,raw
2018-02-06,16.320,16.710,15.720,15.780,14023.000,,raw
2018-02-07,16.260,16.260,15.120,15.860,13244.000,,raw
2018-02-08,15.800,16.400,15.600,16.240,12559.000,,raw
2018-02-09,15.800,16.130,15.510,15.850,10737.000,,raw
2018-02-12,16.050,16.510,16.000,16.320,10035.000,,raw
2018-02-13,16.390,16.390,15.900,15.990,13178.000,,raw
2018-02-14,15.840,16.050,15.840,15.850,7524.000,,raw
2018-02-22,16.020,16.290,15.850,16.170,10911.000,,raw
2018-02-23,16.280,16.500,16.090,16.390,12313.000,,raw
2018-02-26,16.500,18.030,16.500,18.030,29524.000,,raw
2018-02-27,18.200,19.030,18.100,18.360,51811.000,,raw
2018-02-28,18.020,18.270,17.600,18.250,27996.000,,raw
2018-03-01,17.990,18.700,17.860,18.590,29721.000,,raw
2018-03-02,18.380,19.160,18.250,18.500,32503.000,,raw
2018-03-05,18.410,19.300,18.250,19.030,33595.000,,raw
2018-03-06,19.320,19.560,18.560,18.720,45227.000,,raw
2018-03-07,18.670,18.670,18.280,18.320,26170.000,,raw
2018-03-08,18.240,19.190,18.240,19.180,37770.000,,raw
2018-03-09,19.310,19.930,19.020,19.850,49061.000,,raw
2018-03-12,19.940,20.320,19.660,19.890,47849.000,,raw
2018-03-13,19.970,19.970,19.470,19.520,30211.000,,raw
2018-03-14,19.400,19.550,19.040,19.120,25991.000,,raw
2018-03-15,18.850,19.000,18.310,18.860,23868.000,,raw
2018-03-16,18.900,19.120,18.640,18.660,15825.000,,raw
2018-03-19,18.600,19.280,18.520,18.880,16989.000,,raw
2018-03-20,18.080,18.380,17.770,18.280,40157.000,,raw
2018-03-21,18.390,18.850,18.210,18.230,25513.000,,raw
2018-03-22,18.220,18.630,18.170,18.600,16608.000,,raw
2018-03-23,17.900,18.220,16.880,17.050,27664.000,,raw
2018-03-26,16.820,17.500,16.230,17.450,17590.000,,raw
2018-03-27,17.580,18.310,17.580,18.270,25809.000,,raw
2018-03-28,17.930,18.970,17.930,18.790,30632.000,,raw
2018-03-29,18.820,19.230,18.420,18.680,18179.000,,raw
2018-03-30,18.680,19.500,18.600,19.490,31994.000,,raw
2018-04-02,19.800,19.980,19.100,19.410,35683.000,,raw
2018-04-03,19.100,19.280,18.600,19.140,19813.000,,raw
2018-04-04,19.090,19.390,18.410,18.600,21256.000,,raw
2018-04-09,18.610,19.410,18.180,19.410,28845.000,,raw
2018-04-10,19.410,19.800,19.100,19.580,32628.000,,raw
2018-04-11,19.600,20.350,19.420,20.200,39406.000,,raw
2018-04-12,20.050,20.250,19.660,19.740,26350.000,,raw
2018-04-13,19.860,20.170,19.620,20.020,25627.000,,raw
2018-04-16,20.000,20.620,19.820,20.170,27531.000,,raw
2018-04-17,20.800,21.980,20.180,21.440,88702.000,,raw
2018-04-18,22.000,22.300,20.540,21.920,97367.000,,raw
2018-04-19,21.010,21.590,20.980,21.000,53382.000,,raw
2018-04-20,20.730,21.630,20.420,21.060,42376.000,,raw
2018-04-23,20.650,20.940,19.680,20.170,34437.000,,raw
2018-04-24,19.800,20.180,19.620,20.100,23729.000,"{'nd': '2017', 'fh_sh': '3.2', 'djr': '2018-04-23', 'cqr': '2018-04-24', 'FHcontent': '10派3.2元'}",raw
2018-04-25,20.090,21.210,19.950,21.000,46360.000,,raw
2018-04-26,20.800,21.030,20.060,20.120,32166.000,,raw
2018-04-27,20.350,20.450,19.690,19.700,23318.000,,raw
2018-05-02,19.690,19.790,18.640,18.810,26187.000,,raw
2018-05-03,18.700,19.310,18.650,19.250,18185.000,,raw
2018-05-04,19.100,19.400,18.730,18.930,16491.000,,raw
2018-05-07,18.830,19.460,18.830,19.450,15886.000,,raw
2018-05-08,19.460,19.650,19.300,19.550,16148.000,,raw
2018-05-09,19.550,20.410,19.450,20.400,30390.000,,raw
2018-05-10,20.230,20.350,20.050,20.330,23308.000,,raw
2018-05-11,20.210,20.410,19.560,19.590,21137.000,,raw
2018-05-14,20.300,20.380,19.620,19.620,23797.000,,raw
2018-05-15,19.380,19.680,19.090,19.630,18791.000,,raw
2018-05-16,19.480,19.500,19.080,19.080,12039.000,,raw
2018-05-17,19.090,19.350,19.090,19.290,10027.000,,raw
2018-05-18,19.220,19.570,19.080,19.410,12376.000,,raw
2018-05-21,19.440,21.300,19.440,20.600,56170.000,,raw
2018-05-22,20.400,22.660,20.310,22.380,129756.000,,raw
2018-05-23,21.730,21.890,21.030,21.120,91113.000,,raw
2018-05-24,21.360,21.950,21.200,21.200,61271.000,,raw
2018-05-25,20.870,20.960,20.500,20.700,35910.000,,raw
2018-05-28,20.840,21.160,20.500,20.550,32668.000,,raw
2018-05-29,20.500,21.090,20.150,20.690,27466.000,,raw
2018-05-30,20.150,20.150,19.000,19.220,41618.000,,raw
2018-05-31,19.400,19.650,19.100,19.550,21758.000,,raw
2018-06-01,19.500,19.590,18.600,18.760,24565.000,,raw
2018-06-04,18.810,19.130,18.600,18.780,12157.000,,raw
2018-06-05,18.900,19.590,18.840,19.440,26459.000,,raw
2018-06-06,19.500,19.600,18.950,19.280,24315.000,,raw
2018-06-07,19.300,19.420,18.560,18.560,18979.000,,raw
2018-06-08,18.600,19.990,18.600,19.370,35985.000,,raw
2018-06-11,19.220,19.220,18.640,18.780,18997.000,,raw
2018-06-12,18.750,18.980,18.050,18.560,18926.000,,raw
2018-06-13,18.230,18.900,18.200,18.200,14832.000,,raw
2018-06-14,18.010,18.420,18.010,18.320,11015.000,,raw
2018-06-15,18.300,18.560,17.500,17.760,15312.000,,raw
2018-06-19,17.380,17.400,15.980,16.250,25185.000,,raw
2018-06-20,16.040,16.710,16.010,16.530,12613.000,,raw
2018-06-21,16.520,16.740,16.080,16.250,9832.000,,raw
2018-06-22,16.250,16.880,16.120,16.840,10316.000,,raw
2018-06-25,17.020,17.280,16.700,16.730,9066.000,,raw
2018-06-26,16.500,17.500,16.300,17.390,14658.000,,raw
2018-06-27,17.380,17.450,17.080,17.330,9444.000,,raw
2018-06-28,17.480,17.650,17.180,17.180,9166.000,,raw
2018-06-29,17.190,17.790,17.150,17.700,12749.000,,raw
2018-07-02,17.590,17.790,16.950,17.220,13447.000,,raw
2018-07-03,17.220,18.000,17.220,18.000,18459.000,,raw
2018-07-04,17.840,18.030,17.290,17.520,15632.000,,raw
2018-07-05,17.300,17.550,16.760,16.760,12835.000,,raw
2018-07-06,16.700,17.530,16.560,17.150,14076.000,,raw
2018-07-09,17.180,17.660,17.170,17.570,8750.000,,raw
2018-07-10,17.630,17.850,17.450,17.700,11150.000,,raw
2018-07-18,19.470,19.470,18.300,18.310,55626.000,,raw
2018-07-19,18.120,18.200,17.500,17.590,33269.000,,raw
2018-07-20,17.290,18.080,17.250,17.840,20852.000,,raw
2018-07-23,17.700,18.470,17.670,18.040,24276.000,,raw
