date,open,high,low,close,volume,amount,price_type
2024-05-06,26.240,28.000,25.160,26.170,73131.000,,raw
2024-05-07,25.320,25.500,24.600,24.830,53757.000,,raw
2024-05-08,25.250,26.260,24.550,25.240,53776.000,,raw
2024-05-09,24.400,25.300,24.400,24.810,36137.000,,raw
2024-05-10,24.830,25.850,23.700,25.350,49300.000,,raw
2024-05-13,24.300,24.460,22.900,23.140,35833.000,,raw
2024-05-14,23.040,23.590,23.040,23.470,18415.000,,raw
2024-05-15,23.500,23.690,22.770,22.870,20525.000,,raw
2024-05-16,23.070,24.070,23.070,24.050,30383.000,,raw
2024-05-17,24.500,24.500,23.460,23.920,19688.000,,raw
2024-05-20,23.800,24.230,23.500,23.790,18876.000,,raw
2024-05-21,23.780,24.140,22.800,23.540,27365.000,,raw
2024-05-22,23.540,24.200,23.170,23.680,26019.000,,raw
2024-05-23,23.510,23.650,22.790,23.250,23011.000,,raw
2024-05-24,22.990,24.960,22.660,24.350,45038.000,,raw
2024-05-27,23.910,26.000,23.910,25.820,61994.000,,raw
2024-05-28,25.320,25.870,24.650,25.280,39924.000,,raw
2024-05-29,25.240,25.900,25.010,25.550,35133.000,,raw
2024-05-30,25.110,25.180,23.710,23.960,32903.000,,raw
2024-05-31,23.710,25.180,23.680,24.870,32094.000,,raw
2024-06-03,26.700,28.480,25.200,25.220,60349.000,,raw
2024-06-04,25.170,26.800,25.170,26.380,66316.000,,raw
2024-06-05,26.230,27.440,24.410,24.660,55570.000,,raw
2024-06-06,23.020,23.690,20.350,21.320,56518.000,,raw
2024-06-07,21.500,21.870,20.490,20.800,29244.000,,raw
2024-06-11,20.450,21.270,19.500,21.180,19319.000,,raw
2024-06-12,21.220,21.980,20.750,21.790,20614.000,,raw
2024-06-13,21.730,22.300,21.320,21.500,16172.000,,raw
2024-06-14,21.500,22.390,21.020,22.240,24391.000,,raw
2024-06-17,23.000,23.780,22.340,22.450,28526.000,,raw
2024-06-18,22.210,26.150,22.200,24.930,64514.000,,raw
2024-06-19,24.910,25.330,24.450,24.900,55451.000,,raw
2024-06-20,27.000,29.880,26.030,29.880,136792.000,,raw
2024-06-21,29.800,29.800,26.700,28.080,121739.000,,raw
2024-06-24,27.400,27.400,25.150,25.560,78770.000,,raw
2024-06-25,25.380,26.370,24.800,26.350,71676.000,,raw
2024-06-26,25.590,25.700,23.790,25.430,70513.000,,raw
2024-06-27,25.050,26.020,24.550,24.580,52152.000,,raw
2024-06-28,23.900,25.720,23.440,24.750,51222.000,,raw
2024-07-01,24.720,24.800,23.560,24.190,37445.000,,raw
2024-07-02,24.210,24.690,23.820,23.960,30505.000,,raw
2024-07-03,24.060,24.070,22.700,22.720,40680.000,,raw
2024-07-04,23.290,23.450,21.590,21.590,31469.000,,raw
2024-07-05,22.000,22.490,21.240,22.030,27767.000,,raw
2024-07-08,22.030,22.100,21.000,21.110,23163.000,,raw
2024-07-09,25.330,25.330,24.290,25.330,64999.000,,raw
2024-07-10,30.400,30.400,30.400,30.400,21791.000,,raw
2024-07-11,35.000,36.480,33.360,36.480,219366.000,,raw
2024-07-12,38.000,41.580,36.490,37.210,227972.000,,raw
2024-07-15,38.990,43.210,38.320,40.710,202147.000,,raw
