date,open,high,low,close,volume,amount,price_type
2019-01-02,43.240,43.240,39.100,39.200,67562.000,,raw
2019-01-03,39.280,40.310,37.970,38.500,71584.000,,raw
2019-01-04,38.230,40.070,38.210,40.070,81595.000,,raw
2019-01-07,39.990,40.490,38.860,39.090,62184.000,,raw
2019-01-08,38.900,39.720,38.800,39.190,32476.000,,raw
2019-01-09,39.190,40.390,39.100,39.290,49687.000,,raw
2019-01-10,39.260,39.320,36.640,38.650,90311.000,,raw
2019-01-11,38.250,39.250,38.030,39.150,42109.000,,raw
2019-01-14,39.450,39.920,38.920,39.000,41623.000,,raw
2019-01-15,39.000,41.350,38.800,40.890,47010.000,,raw
2019-01-16,40.660,42.400,40.300,41.710,44538.000,,raw
2019-01-17,41.350,42.000,40.930,41.600,25199.000,,raw
2019-01-18,41.720,43.090,41.250,42.810,26563.000,,raw
2019-01-21,42.860,44.750,42.850,44.080,45226.000,,raw
2019-01-22,44.390,44.390,41.880,42.200,41404.000,,raw
2019-01-23,42.580,42.580,41.390,41.920,33201.000,,raw
2019-01-24,42.150,42.390,41.100,41.760,31782.000,,raw
2019-01-25,41.930,43.680,41.840,43.300,35280.000,,raw
2019-01-28,43.560,43.900,41.900,42.250,36140.000,,raw
2019-01-29,42.600,43.580,42.330,43.250,33694.000,,raw
2019-01-30,42.800,43.330,41.850,41.860,30302.000,,raw
2019-01-31,41.900,43.500,41.880,43.500,33357.000,,raw
2019-02-01,43.600,45.100,43.130,44.690,46173.000,,raw
2019-02-11,45.080,46.620,44.700,45.930,41410.000,,raw
2019-02-12,46.000,47.850,45.930,46.500,62973.000,,raw
2019-02-13,46.990,48.500,46.100,46.700,71347.000,,raw
2019-02-14,47.680,48.110,47.000,47.580,36089.000,,raw
2019-02-15,47.690,47.790,46.690,47.120,25157.000,,raw
2019-02-18,47.360,50.800,47.360,50.700,56958.000,,raw
2019-02-19,50.670,52.090,49.970,50.300,54014.000,,raw
2019-02-20,50.870,51.060,48.800,50.230,43953.000,,raw
2019-02-21,50.000,51.820,49.800,50.580,32826.000,,raw
2019-02-22,50.300,50.980,49.520,50.600,31058.000,,raw
2019-02-25,50.610,53.650,50.510,52.450,48879.000,,raw
2019-02-26,52.980,55.480,51.460,54.050,58291.000,,raw
2019-02-27,53.780,55.480,53.300,53.410,46254.000,,raw
