date,open,high,low,close,volume,amount,price_type
2021-01-04,16.540,18.190,15.980,17.190,873242.000,,raw
2021-01-05,17.900,18.600,16.500,16.550,763977.000,,raw
2021-01-06,15.830,16.800,15.560,15.680,512628.000,,raw
2021-01-07,15.570,16.480,15.060,15.950,430656.000,,raw
2021-01-08,16.510,16.590,15.500,15.640,331876.000,,raw
2021-01-11,15.550,16.120,15.180,15.280,292718.000,,raw
2021-01-12,15.280,15.280,14.100,14.780,299304.000,,raw
2021-01-13,14.700,15.270,14.170,14.400,285324.000,,raw
2021-01-14,14.000,14.230,13.330,13.390,288399.000,,raw
2021-01-15,13.150,13.610,12.930,13.400,216455.000,,raw
2021-01-18,13.320,13.570,13.010,13.260,200719.000,,raw
2021-01-19,13.490,13.930,13.140,13.480,247134.000,,raw
2021-01-20,13.450,14.320,13.350,13.760,253698.000,,raw
2021-01-21,13.550,14.140,12.960,13.930,298860.000,,raw
2021-01-22,13.720,15.320,13.610,15.320,519501.000,,raw
2021-01-25,15.000,16.300,14.500,15.370,607692.000,,raw
2021-01-26,16.900,16.910,15.580,16.910,674835.000,,raw
2021-01-27,18.390,18.600,18.010,18.600,248271.000,,raw
2021-01-28,18.600,20.460,18.060,20.460,901194.000,,raw
2021-01-29,19.700,20.180,18.410,18.410,347012.000,,raw
2021-02-01,16.570,17.470,16.570,16.570,483166.000,,raw
2021-02-02,16.270,16.380,15.230,15.300,628373.000,,raw
2021-02-03,15.250,15.750,14.660,15.020,515332.000,,raw
2021-02-04,14.700,14.860,13.850,14.120,434999.000,,raw
2021-02-05,14.220,14.320,13.300,13.320,299279.000,,raw
2021-02-08,13.390,13.660,13.190,13.350,298201.000,,raw
2021-02-09,13.360,13.550,13.010,13.520,259713.000,,raw
2021-02-10,13.930,14.200,13.100,13.210,335386.000,,raw
2021-02-18,13.050,14.520,13.050,14.220,445532.000,,raw
2021-02-19,14.650,15.640,14.450,15.640,322520.000,,raw
2021-02-22,15.800,16.320,14.810,15.090,578661.000,,raw
2021-02-23,15.100,16.600,14.710,16.600,390069.000,,raw
2021-02-24,16.700,18.260,16.700,18.260,781173.000,,raw
2021-02-25,17.350,18.920,17.160,17.580,653047.000,,raw
2021-02-26,17.220,19.340,17.220,19.200,787175.000,,raw
2021-03-01,18.650,20.080,17.910,19.470,760461.000,,raw
2021-03-02,19.110,19.580,18.120,18.490,401074.000,,raw
2021-03-03,18.200,20.340,18.150,20.340,382073.000,,raw
2021-03-04,21.180,22.370,20.900,22.370,506695.000,,raw
2021-03-05,21.850,23.800,21.200,23.250,592086.000,,raw
2021-03-08,22.820,23.500,21.460,21.570,447365.000,,raw
2021-03-09,22.020,22.390,19.410,19.410,430930.000,,raw
2021-03-10,19.100,19.280,17.750,17.850,430578.000,,raw
2021-03-11,18.020,19.640,17.180,19.200,609427.000,,raw
2021-03-12,19.850,21.120,19.800,20.520,690778.000,,raw
2021-03-15,19.330,20.160,18.500,19.850,425645.000,,raw
2021-03-16,20.000,21.840,19.580,21.840,495280.000,,raw
2021-03-17,21.960,23.660,21.500,22.600,513891.000,,raw
2021-03-18,22.700,23.500,21.540,21.970,448757.000,,raw
2021-03-19,21.360,22.660,21.080,22.350,375228.000,,raw
2021-03-22,22.300,24.590,22.100,24.590,369228.000,,raw
2021-03-23,25.800,26.080,23.570,24.500,503472.000,,raw
2021-03-24,24.080,25.470,23.580,25.180,430655.000,,raw
2021-03-25,24.430,26.120,22.660,22.820,439110.000,,raw
2021-03-26,23.180,25.100,23.180,24.600,566780.000,,raw
2021-03-29,24.070,24.300,22.370,22.800,518039.000,,raw
2021-03-30,22.930,23.180,20.970,22.940,437734.000,,raw
2021-03-31,22.940,24.260,22.940,23.250,404904.000,,raw
2021-04-01,22.500,24.300,22.500,23.640,423629.000,,raw
2021-04-02,23.550,24.130,22.410,22.450,356130.000,,raw
2021-04-06,22.660,24.600,22.300,23.880,429175.000,,raw
2021-04-07,24.410,25.240,23.070,24.550,435029.000,,raw
2021-04-08,24.150,27.010,23.800,27.010,495736.000,,raw
2021-04-09,26.960,27.660,26.000,26.390,395173.000,,raw
2021-04-12,26.390,28.650,26.230,28.050,424386.000,,raw
2021-04-13,27.700,30.860,27.570,29.860,481659.000,,raw
2021-04-14,29.860,30.630,28.990,30.150,360887.000,,raw
2021-04-15,29.800,30.500,28.650,29.820,320948.000,,raw
2021-04-16,30.260,31.910,28.590,29.000,539805.000,,raw
2021-04-19,31.900,31.900,31.000,31.900,276122.000,,raw
2021-04-20,35.090,35.090,35.090,35.090,144070.000,,raw
2021-04-21,36.000,36.000,31.580,31.580,1003600.000,,raw
2021-04-22,30.600,34.740,30.350,34.740,955019.000,,raw
2021-04-23,34.710,38.210,34.110,38.210,549157.000,,raw
2021-04-26,41.270,42.030,40.000,42.030,400663.000,,raw
2021-04-27,43.000,46.230,40.000,43.500,1005338.000,,raw
2021-04-28,42.400,47.850,42.050,47.000,1039155.000,,raw
2021-04-29,46.500,47.300,42.500,44.050,905642.000,,raw
2021-04-30,43.610,48.460,43.610,48.460,787146.000,,raw
2021-05-06,50.000,53.310,49.800,53.310,681211.000,,raw
2021-05-07,53.660,56.780,50.700,55.690,754607.000,,raw
2021-05-10,55.300,61.260,55.170,61.260,508975.000,,raw
2021-05-11,63.790,67.390,59.000,61.390,950439.000,,raw
2021-05-12,61.000,64.880,59.530,63.400,828507.000,,raw
2021-05-13,62.000,62.000,57.060,57.700,747057.000,,raw
2021-05-14,60.000,60.660,56.520,58.320,637180.000,,raw
2021-05-17,58.200,63.840,57.050,60.490,773252.000,,raw
2021-05-18,59.810,66.540,59.590,66.540,833628.000,,raw
2021-05-19,68.990,69.540,62.750,64.030,947903.000,,raw
2021-05-20,60.130,61.300,57.630,57.630,775921.000,,raw
2021-05-21,56.800,59.500,55.550,57.670,565180.000,,raw
