date,open,high,low,close,volume,amount,price_type
2024-05-06,21.370,22.160,20.760,20.860,123166.000,,raw
2024-05-07,20.950,21.740,20.790,21.280,89548.000,,raw
2024-05-08,21.370,21.930,20.450,21.040,96143.000,,raw
2024-05-09,20.760,21.180,20.650,21.130,66297.000,,raw
2024-05-10,21.000,21.350,19.710,19.730,125247.000,,raw
2024-05-13,17.760,17.760,17.760,17.760,16696.000,,raw
2024-05-14,15.980,15.980,15.980,15.980,26524.000,,raw
2024-05-15,15.030,16.190,14.980,15.340,267300.000,,raw
2024-05-16,15.230,15.730,14.950,15.350,170265.000,,raw
2024-05-17,15.590,16.640,15.260,16.250,174904.000,,raw
2024-05-20,16.550,17.350,16.330,16.730,185385.000,,raw
2024-05-21,16.690,16.760,16.090,16.230,95128.000,,raw
2024-05-22,16.190,16.550,15.920,16.060,88018.000,,raw
2024-05-23,16.080,16.250,15.940,16.030,100663.000,,raw
2024-05-24,15.880,15.930,15.320,15.350,95554.000,,raw
2024-05-27,15.530,15.660,14.580,15.140,95338.000,,raw
2024-05-28,15.060,15.180,14.780,14.800,61718.000,,raw
2024-05-29,15.070,15.240,14.700,14.800,56971.000,,raw
2024-05-30,14.600,15.750,14.500,15.500,113457.000,,raw
2024-05-31,15.400,16.120,15.310,16.010,105083.000,,raw
2024-06-03,16.180,16.310,15.210,15.380,89142.000,,raw
2024-06-04,15.200,15.260,14.630,14.930,69331.000,,raw
2024-06-05,14.900,15.180,14.750,14.790,59018.000,,raw
2024-06-06,14.700,14.790,13.720,13.910,102315.000,,raw
2024-06-07,14.020,14.380,13.940,14.190,50262.000,,raw
2024-06-11,14.120,14.390,13.800,14.370,47560.000,,raw
2024-06-12,14.360,14.740,14.230,14.630,41732.000,,raw
2024-06-13,14.570,14.660,14.250,14.400,42927.000,,raw
2024-06-14,14.370,14.400,14.090,14.330,36093.000,,raw
2024-06-17,14.330,14.420,14.060,14.110,38215.000,,raw
2024-06-18,14.100,14.770,14.070,14.760,63641.000,,raw
2024-06-19,14.780,14.990,14.620,14.740,54056.000,,raw
2024-06-20,14.660,14.790,13.990,13.990,62406.000,,raw
2024-06-21,14.000,14.740,13.650,14.230,72424.000,,raw
2024-06-24,14.030,14.180,13.250,13.270,80169.000,,raw
2024-06-25,13.300,13.670,13.060,13.160,55346.000,,raw
2024-06-26,13.070,13.690,12.920,13.680,53035.000,,raw
2024-06-27,13.630,13.630,13.160,13.160,39243.000,,raw
2024-06-28,13.170,13.650,13.070,13.390,53442.000,,raw
2024-07-01,13.450,13.520,12.890,13.100,49374.000,,raw
2024-07-02,13.010,13.210,12.870,12.930,47986.000,,raw
2024-07-03,12.900,12.920,12.590,12.650,47957.000,,raw
2024-07-04,12.650,12.830,12.190,12.310,50399.000,,raw
2024-07-05,12.300,12.440,11.990,12.320,44686.000,,raw
2024-07-08,12.330,12.330,11.850,11.860,40343.000,,raw
2024-07-09,12.940,13.050,12.440,13.050,143303.000,,raw
2024-07-10,14.360,14.360,14.360,14.360,25483.000,,raw
2024-07-11,15.800,15.800,15.800,15.800,27980.000,,raw
2024-07-12,17.380,17.380,17.380,17.380,33709.000,,raw
2024-07-15,18.420,19.120,17.930,19.120,352886.000,,raw
2024-07-16,20.990,21.030,18.020,19.900,612309.000,,raw
2024-07-17,18.080,18.350,17.910,17.910,345572.000,,raw
2024-07-18,16.120,17.170,16.120,16.120,441335.000,,raw
2024-07-19,15.800,17.500,15.680,16.900,415791.000,,raw
2024-07-22,16.590,17.800,16.400,17.390,364459.000,,raw
2024-07-23,17.030,18.870,16.800,17.640,399386.000,,raw
2024-07-24,16.900,17.170,15.880,15.880,274011.000,,raw
2024-07-25,15.510,17.470,15.500,17.470,298695.000,,raw
2024-07-26,17.970,18.760,17.320,17.660,430931.000,,raw
2024-07-29,17.660,19.320,17.660,18.320,408636.000,,raw
2024-07-30,18.180,20.150,17.950,20.150,417740.000,,raw
2024-07-31,19.890,21.500,18.550,19.700,506062.000,,raw
2024-08-01,19.220,21.670,19.210,21.670,245207.000,,raw
2024-08-02,23.150,23.840,23.000,23.840,111046.000,,raw
2024-08-05,25.700,26.220,22.700,23.500,665802.000,,raw
2024-08-06,21.150,21.150,21.150,21.150,70787.000,,raw
2024-08-07,19.040,23.010,19.040,22.140,509166.000,,raw
2024-08-08,21.570,23.680,21.120,21.290,522536.000,,raw
2024-08-09,21.110,21.650,19.400,19.610,411021.000,,raw
2024-08-12,19.430,19.650,17.850,18.680,310457.000,,raw
2024-08-13,18.770,20.550,18.770,20.550,377112.000,,raw
2024-08-14,21.200,22.610,21.170,22.610,278813.000,,raw
2024-08-15,22.120,22.520,20.350,21.850,501141.000,,raw
