date,open,high,low,close,volume,amount,price_type
2022-01-04,26.050,26.190,24.600,24.940,473840.000,,raw
2022-01-05,25.220,25.270,23.630,23.940,477791.000,,raw
2022-01-06,24.000,25.500,23.710,25.050,457692.000,,raw
2022-01-07,24.660,25.750,24.420,24.860,442907.000,,raw
2022-01-10,24.700,25.860,24.360,24.930,480194.000,,raw
2022-01-11,24.670,25.190,23.520,24.040,428755.000,,raw
2022-01-12,25.800,26.440,25.000,25.470,895775.000,,raw
2022-01-13,25.500,25.700,24.210,24.680,498821.000,,raw
2022-01-14,24.300,25.500,24.270,24.520,371767.000,,raw
2022-01-17,24.640,25.880,24.350,25.400,458973.000,,raw
2022-01-18,25.310,27.520,24.760,27.360,693252.000,,raw
2022-01-19,27.360,28.380,26.910,27.980,571220.000,,raw
2022-01-20,27.630,27.870,26.100,26.120,442292.000,,raw
2022-01-21,25.810,26.790,25.050,26.210,385284.000,,raw
2022-01-24,26.000,26.950,25.900,26.400,290633.000,,raw
2022-01-25,26.010,26.400,23.900,24.070,421804.000,,raw
2022-01-26,24.280,25.850,24.280,25.680,451515.000,,raw
2022-01-27,25.860,25.960,24.290,24.680,316716.000,,raw
2022-01-28,24.650,24.930,22.700,23.820,381467.000,,raw
2022-02-07,24.330,24.800,23.830,24.530,271988.000,,raw
2022-02-08,24.600,24.730,22.970,23.560,364850.000,,raw
2022-02-09,23.500,23.950,22.520,23.870,290024.000,,raw
2022-02-10,23.850,23.970,23.130,23.210,243453.000,,raw
2022-02-11,23.000,23.000,20.900,21.090,589949.000,,raw
2022-02-14,20.550,21.220,20.300,20.780,275008.000,,raw
2022-02-15,20.800,21.660,20.630,21.660,367570.000,,raw
2022-02-16,21.620,21.720,21.160,21.310,305144.000,,raw
2022-02-17,21.420,22.220,21.220,21.650,321629.000,,raw
2022-02-18,21.200,21.660,21.130,21.300,234554.000,,raw
2022-02-21,21.320,21.850,21.210,21.720,271706.000,,raw
2022-02-22,21.450,21.450,20.890,21.240,236726.000,,raw
2022-02-23,21.290,22.220,21.290,22.070,405775.000,,raw
2022-02-24,21.760,22.450,20.800,21.280,419913.000,,raw
2022-02-25,21.540,22.280,21.530,21.750,375179.000,,raw
2022-02-28,21.630,22.220,21.280,22.140,377989.000,,raw
2022-03-01,22.330,22.680,22.000,22.120,366602.000,,raw
2022-03-02,21.800,22.050,21.330,21.710,278379.000,,raw
2022-03-03,22.200,22.300,21.210,21.280,282674.000,,raw
2022-03-04,20.900,21.250,20.450,20.600,310411.000,,raw
2022-03-07,20.450,20.450,19.440,19.610,363137.000,,raw
2022-03-08,19.840,19.880,18.850,19.000,340379.000,,raw
2022-03-09,19.110,19.390,18.200,19.250,361525.000,,raw
2022-03-10,19.650,20.070,19.500,19.710,318335.000,,raw
2022-03-11,19.310,19.650,18.790,19.560,268127.000,,raw
2022-03-14,19.240,19.490,18.700,18.710,263799.000,,raw
2022-03-15,18.590,18.930,17.620,17.630,328073.000,,raw
2022-03-16,18.000,18.250,17.070,17.980,414837.000,,raw
2022-03-17,18.110,19.410,18.030,18.970,460303.000,,raw
2022-03-18,18.650,18.700,18.300,18.590,287359.000,,raw
2022-03-21,18.620,19.060,18.350,18.830,325133.000,,raw
2022-03-22,19.080,19.150,18.430,18.550,252367.000,,raw
2022-03-23,18.860,20.200,18.780,19.670,575424.000,,raw
2022-03-24,19.410,19.470,18.810,19.170,379984.000,,raw
2022-03-25,19.200,19.240,18.350,18.390,328844.000,,raw
2022-03-28,17.990,18.530,17.600,18.460,247646.000,,raw
2022-03-29,18.600,18.640,17.880,17.980,184533.000,,raw
2022-03-30,18.250,19.750,18.240,19.640,630223.000,,raw
2022-03-31,19.300,19.720,19.000,19.070,449459.000,,raw
2022-04-01,18.800,18.920,18.500,18.690,283599.000,,raw
2022-04-06,18.590,18.750,18.240,18.350,253911.000,,raw
2022-04-07,18.250,18.340,17.560,17.650,285551.000,,raw
2022-04-08,17.710,17.930,17.300,17.760,230550.000,,raw
2022-04-11,17.530,17.570,15.980,15.990,501561.000,,raw
2022-04-12,15.850,16.500,15.630,16.500,331681.000,,raw
2022-04-13,16.310,16.440,16.070,16.120,198859.000,,raw
2022-04-14,16.250,16.480,16.010,16.280,207549.000,,raw
2022-04-15,16.110,16.440,15.850,16.160,197339.000,,raw
2022-04-18,16.080,17.280,15.910,17.000,339082.000,,raw
2022-04-19,16.970,17.300,16.560,16.710,209757.000,,raw
2022-04-20,16.630,16.760,16.150,16.240,155446.000,,raw
2022-04-21,16.200,16.300,15.410,15.480,193723.000,,raw
2022-04-22,15.280,15.500,15.050,15.160,151542.000,,raw
2022-04-25,14.800,14.800,13.800,13.840,242643.000,,raw
2022-04-26,13.890,14.070,13.250,13.280,279756.000,,raw
2022-04-27,13.320,14.610,13.320,14.610,396043.000,,raw
2022-04-28,14.990,15.550,14.800,14.970,429472.000,,raw
2022-04-29,15.080,16.010,14.850,15.700,396061.000,,raw
2022-05-05,15.700,16.110,15.500,15.760,319236.000,,raw
