date,open,high,low,close,volume,amount,price_type
2020-01-02,33.750,34.590,33.600,34.400,72192.000,,raw
2020-01-03,34.400,35.200,33.810,34.940,74040.000,,raw
2020-01-06,37.810,38.430,36.820,38.430,160746.000,,raw
2020-01-07,40.000,42.270,39.000,41.000,200832.000,,raw
2020-01-08,41.400,45.100,41.400,45.100,182926.000,,raw
2020-01-09,45.110,49.150,45.100,46.300,249337.000,,raw
2020-01-10,45.540,50.000,44.680,48.340,234287.000,,raw
2020-01-13,48.610,53.170,48.610,53.170,211127.000,,raw
2020-01-14,55.000,57.770,50.000,50.500,309563.000,,raw
2020-01-15,50.240,51.470,48.950,50.970,205390.000,,raw
2020-01-16,50.650,54.110,50.650,53.090,207741.000,,raw
2020-01-17,52.800,53.290,50.500,51.820,184124.000,,raw
2020-01-20,51.000,52.750,49.510,52.750,181945.000,,raw
2020-01-21,51.500,54.180,50.810,52.030,168382.000,,raw
2020-01-22,53.600,56.600,50.400,55.100,217274.000,,raw
2020-01-23,53.330,55.350,50.400,51.910,189370.000,,raw
2020-02-03,46.720,50.000,46.720,46.720,165162.000,,raw
2020-02-04,49.980,51.390,49.200,51.390,75050.000,,raw
2020-02-05,56.330,56.530,53.640,54.090,274770.000,,raw
2020-02-06,51.000,56.500,51.000,55.480,241945.000,,raw
2020-02-07,54.560,56.300,52.520,53.260,167015.000,,raw
2020-02-10,53.300,58.590,52.960,58.590,186534.000,,raw
2020-02-11,61.300,61.300,55.010,55.610,191288.000,,raw
2020-02-12,54.000,56.920,54.000,55.920,129391.000,,raw
2020-02-13,55.010,55.900,53.730,54.930,148210.000,,raw
2020-02-14,56.110,56.500,53.050,53.590,125902.000,,raw
2020-02-17,53.330,54.680,53.250,54.550,105475.000,,raw
2020-02-18,54.260,56.550,54.110,55.040,127050.000,,raw
2020-02-19,57.000,57.930,53.870,54.240,145881.000,,raw
2020-02-20,54.600,55.110,52.720,53.950,120467.000,,raw
2020-02-21,53.010,56.000,52.560,55.170,186994.000,,raw
2020-02-24,54.300,54.390,53.200,53.620,115191.000,,raw
2020-02-25,51.900,55.850,51.100,55.010,173405.000,,raw
2020-02-26,53.500,54.000,49.510,49.870,135546.000,,raw
2020-02-27,50.060,50.480,47.490,47.700,96745.000,,raw
2020-02-28,44.000,45.000,42.930,42.930,139408.000,,raw
2020-03-02,43.380,44.470,42.080,44.000,106152.000,,raw
2020-03-03,45.690,46.470,43.990,44.780,107482.000,,raw
2020-03-04,44.180,45.760,43.880,44.950,67712.000,,raw
2020-03-05,45.000,45.580,44.180,45.030,73134.000,,raw
2020-03-06,43.790,45.920,43.310,44.850,68263.000,,raw
2020-03-09,43.260,43.990,40.830,40.920,88549.000,,raw
