date,open,high,low,close,volume,amount,price_type
2019-05-06,5.190,5.190,4.840,4.890,74336.000,,raw
2019-05-07,4.930,5.070,4.880,4.960,51917.000,,raw
2019-05-08,4.850,5.000,4.800,4.910,40435.000,,raw
2019-05-09,4.880,4.960,4.840,4.880,25790.000,,raw
2019-05-10,4.930,5.090,4.820,5.090,55773.000,,raw
2019-05-13,5.000,5.030,4.960,4.980,31782.000,,raw
2019-05-14,4.950,5.030,4.900,4.950,30870.000,,raw
2019-05-15,4.970,5.300,4.970,5.260,55673.000,,raw
2019-05-16,5.180,5.340,5.170,5.220,82689.000,,raw
2019-05-17,5.180,5.210,4.970,4.980,60017.000,,raw
2019-05-20,5.000,5.050,4.860,4.940,27695.000,,raw
2019-05-21,4.930,5.060,4.920,5.030,28825.000,,raw
2019-05-22,5.070,5.070,4.950,4.980,27716.000,,raw
2019-05-23,4.960,5.000,4.880,4.880,25796.000,,raw
2019-05-24,4.870,5.030,4.850,4.960,30238.000,,raw
2019-05-27,4.960,5.070,4.940,5.060,33195.000,,raw
2019-05-28,5.050,5.120,5.000,5.010,36046.000,,raw
2019-05-29,5.000,5.040,4.970,5.010,24133.000,,raw
2019-05-30,5.010,5.010,4.900,4.940,25573.000,,raw
2019-05-31,4.930,5.040,4.930,4.950,22440.000,,raw
2019-06-03,4.990,4.990,4.880,4.910,20460.000,,raw
2019-06-04,4.910,4.920,4.800,4.800,22237.000,,raw
2019-06-05,4.860,4.890,4.800,4.800,17256.000,,raw
2019-06-06,4.800,4.930,4.680,4.700,28504.000,,raw
2019-06-10,4.720,4.860,4.700,4.810,28719.000,,raw
2019-06-11,4.800,5.000,4.770,4.990,49237.000,,raw
2019-06-12,4.990,5.010,4.880,4.910,32352.000,,raw
2019-06-13,4.930,4.990,4.860,4.960,31608.000,,raw
2019-06-14,5.000,5.030,4.800,4.830,29430.000,,raw
2019-06-17,4.830,4.880,4.810,4.840,11024.000,,raw
2019-06-18,4.840,4.880,4.800,4.850,12188.000,,raw
2019-06-19,5.190,5.190,4.980,4.990,48332.000,,raw
2019-06-20,4.950,5.400,4.940,5.170,103515.000,,raw
2019-06-21,5.150,5.690,5.130,5.690,183641.000,,raw
2019-06-24,5.500,6.140,5.340,5.850,283028.000,,raw
2019-06-25,5.750,5.750,5.560,5.660,128882.000,,raw
2019-06-26,5.660,5.660,5.500,5.530,77931.000,,raw
2019-06-27,5.560,5.620,5.530,5.550,61981.000,,raw
2019-06-28,5.530,5.600,5.370,5.390,65573.000,,raw
2019-07-01,5.510,5.620,5.480,5.520,66602.000,,raw
2019-07-02,5.530,5.740,5.490,5.660,84806.000,,raw
2019-07-03,5.620,5.640,5.360,5.390,85087.000,,raw
2019-07-04,5.410,5.440,5.280,5.310,52556.000,,raw
2019-07-05,5.310,5.440,5.310,5.370,37064.000,,raw
2019-07-08,5.340,5.350,5.150,5.180,44036.000,,raw
2019-07-09,5.150,5.210,5.100,5.180,25791.000,,raw
2019-07-10,5.180,5.220,5.100,5.110,30185.000,,raw
2019-07-11,5.140,5.180,5.100,5.100,19314.000,,raw
2019-07-12,5.150,5.220,5.080,5.160,28124.000,,raw
2019-07-15,5.080,5.150,4.920,5.130,38686.000,,raw
2019-07-16,5.120,5.130,5.050,5.090,21711.000,,raw
2019-07-17,5.090,5.140,5.070,5.080,22930.000,,raw
2019-07-18,5.080,5.080,4.930,4.950,28732.000,,raw
2019-07-19,4.960,5.120,4.960,5.030,20830.000,,raw
2019-07-22,5.030,5.030,4.900,4.930,23000.000,,raw
2019-07-23,4.940,4.980,4.930,4.950,12900.000,,raw
2019-07-24,4.970,5.030,4.970,4.980,21415.000,,raw
2019-07-25,5.000,5.030,4.970,5.020,17058.000,,raw
2019-07-26,5.020,5.020,4.950,4.970,16313.000,,raw
2019-07-29,4.970,5.000,4.950,4.970,13504.000,,raw
2019-07-30,4.970,5.030,4.950,4.970,21187.000,,raw
2019-07-31,4.970,5.000,4.930,4.940,17058.000,,raw
2019-08-01,4.900,5.330,4.900,5.170,75332.000,,raw
2019-08-02,5.030,5.080,4.950,4.960,50509.000,,raw
2019-08-05,4.950,4.970,4.880,4.880,28457.000,,raw
2019-08-06,4.800,4.800,4.510,4.630,47934.000,,raw
2019-08-07,4.710,4.710,4.600,4.610,13410.000,,raw
2019-08-08,4.620,4.680,4.620,4.640,10574.000,,raw
2019-08-09,4.660,4.680,4.530,4.550,14814.000,,raw
2019-08-12,4.550,4.610,4.530,4.600,16424.000,,raw
2019-08-13,4.590,4.910,4.550,4.700,42631.000,,raw
2019-08-14,4.740,4.760,4.630,4.640,34377.000,,raw
2019-08-15,4.500,4.600,4.400,4.600,19141.000,,raw
