date,open,high,low,close,volume,amount,price_type
2019-01-02,10.510,10.540,10.280,10.330,25711.000,,raw
2019-01-03,10.360,10.420,10.200,10.280,37609.000,,raw
2019-01-04,10.120,10.430,10.100,10.390,38459.000,,raw
2019-01-07,10.450,10.540,10.390,10.490,41512.000,,raw
2019-01-08,10.460,10.500,10.400,10.470,22622.000,,raw
2019-01-09,10.480,10.610,10.450,10.480,46997.000,,raw
2019-01-10,10.480,10.600,10.450,10.530,28853.000,,raw
2019-01-11,10.500,10.580,10.430,10.550,29863.000,,raw
2019-01-14,10.600,11.000,10.600,10.880,108418.000,,raw
2019-01-15,11.030,11.200,10.880,10.960,103807.000,,raw
2019-01-16,10.950,11.140,10.880,11.030,65850.000,,raw
2019-01-17,11.000,11.130,10.850,10.890,51488.000,,raw
2019-01-18,10.990,11.050,10.900,11.020,63489.000,,raw
2019-01-21,11.150,11.250,10.900,10.950,71124.000,,raw
2019-01-22,10.950,10.950,10.710,10.720,49468.000,,raw
2019-01-23,10.740,10.820,10.670,10.740,27655.000,,raw
2019-01-24,10.750,11.010,10.690,10.930,59096.000,,raw
2019-01-25,10.900,10.920,10.780,10.780,45323.000,,raw
2019-01-28,10.850,10.880,10.740,10.800,42213.000,,raw
2019-01-29,10.770,10.800,10.500,10.640,46044.000,,raw
2019-01-30,10.630,10.780,10.560,10.650,37913.000,,raw
2019-01-31,10.670,10.990,10.600,10.780,46861.000,,raw
2019-02-01,10.810,11.100,10.760,11.100,79683.000,,raw
2019-02-11,11.080,11.250,10.960,11.250,100127.000,,raw
2019-02-12,11.220,11.400,11.150,11.230,92462.000,,raw
2019-02-13,11.200,11.340,11.160,11.330,92740.000,,raw
2019-02-14,11.310,11.480,11.280,11.330,68298.000,,raw
2019-02-15,11.290,11.300,11.150,11.170,79236.000,,raw
2019-02-18,11.210,11.480,11.200,11.480,107642.000,,raw
2019-02-19,11.480,11.640,11.330,11.400,97955.000,,raw
2019-02-20,11.400,11.420,11.250,11.370,65232.000,,raw
2019-02-21,11.350,11.510,11.270,11.310,78853.000,,raw
2019-02-22,11.280,11.470,11.200,11.470,96093.000,,raw
2019-02-25,11.520,12.320,11.520,12.100,192697.000,,raw
2019-02-26,12.100,12.740,12.010,12.210,168940.000,,raw
2019-02-27,12.200,12.400,12.030,12.160,97078.000,,raw
2019-02-28,12.210,12.560,12.110,12.440,101181.000,,raw
2019-03-01,12.480,12.580,12.300,12.450,77997.000,,raw
2019-03-04,12.470,12.720,12.310,12.450,155622.000,,raw
2019-03-05,12.390,12.590,12.250,12.590,105722.000,,raw
2019-03-06,12.590,12.700,12.410,12.700,122378.000,,raw
